#漢字	音標	解釋
煠	tsʰap055	煠
杉	tsʰam51	杉
尷	kam51	尷
減	kam31	減
鹻	ham12	鹻
鹻	kan31	鹻
夾	kʰiɛp055	夾
恰	hap055	恰
咸	ham12	咸
鹹	ham12	鹹
陷	ham31	陷
掐	niɛn31	掐
餡	ham24	餡
狹	kʰiɛp055	狹
狹	kʰiɛp055	狹
峽	hap055	峽
洽	hap055	洽
衫	sam45	衫
監	kam45	監
鑑	kam51	鑑
監	kam51	監
甲	kap022	甲
胛	kap022	胛
巖	ŋam12	巖
銜	ham12	銜
艦	lam31	艦
匣	kap022	匣
鴨	ap022	鴨
押	at022	押
壓	at022	壓
貶	piɛn31	貶
黏	niɛm45	黏
聶	siɛt022	聶
廉	liɛm12	廉
鐮	liɛm12	鐮
簾	liɛm12	簾
斂	liɛm12	斂
殮	liɛm12	殮
獵	liɛp055	獵
尖	tsiɛm45	尖
殲	tsʰiɛm45	殲
接	tsiɛp022	接
籤	tsʰiɛm45	籤
簽	tsʰiɛm45	簽
妾	tiɛp022	妾
潛	tsʰiɛn31	潛
漸	tsam31	漸
捷	tsʰiɛp055	捷
沾	tsam45	沾
粘	niɛm45	粘
占	tsam45	占
佔	tsam51	佔
曹	tsʰou12	曹
槽	tsʰou12	槽
皂	tsʰou31	皂
造	tsou31	造
騷	sou45	騷
臊	sou45	臊
掃	sou51	掃
嫂	sou31	嫂
掃	sou51	掃
髙	kou45	高
膏	kou45	膏
篙	kou45	篙
羔	kou45	羔
糕	kou45	糕
稿	kou31	稿
吿	kou51	告
考	hau31	考
烤	hau35	烤
烤	(GZ)	烤
靠	kʰau51	靠
熬	ei12	熬
傲	ŋou51	傲
蒿	pʰou45	蒿
好	hou31	好
好	hou51	好
耗	hou51	耗
豪	hou21	豪
壕	hou21	壕
毫	hou21	毫
號	hou31	號
浩	hou31	浩
號	hou31	號
襖	ou51	襖
懊	ou51	懊
奧	ou51	奥
懊	ou51	懊
澳	ou51	澳
包	pau45	包
胞	pau45	胞
飽	pau31	飽
豹	pau51	豹
爆	pau51	爆
泡	pʰau45	泡
泡	pʰau45	泡
拋	pʰau45	拋
炮	pʰau51	炮
泡	pʰau51	泡
跑	pʰau12	跑
刨	pʰau12	刨
鮑	pau45	鮑
茅	mau12	茅
貓	miɛu51	貓
錨	mau12	錨
卯	mau45	卯
貌	mau31	貌
鬧	nau31	鬧
罩	tsau51	罩
抓	tsa45	抓
爪	tsau31	爪
找	tsau31	找
笊	tsau51	笊
抄	tsʰau45	抄
鈔	tsʰau45	鈔
炒	tsʰau31	炒
吵	tsʰau31	吵
巢	tsʰau31	巢
梢	sau31	梢
捎	sau31	捎
稍	sau31	稍
哨	sau51	哨
交	kau45	交
交	kau45	交
郊	kau45	郊
膠	kau45	膠
敎	kau51	教
絞	kau31	絞
狡	kau31	狡
鉸	kau51	鉸
攪	kau31	攪
搞	kau31	搞
敎	kau51	教
校	hau31	校
校	hau31	校
較	kɛi51	較
較	kau45	較
酵	hau45	酵
窖	kau51	窖
覺	kau51	覺
敲	hau45	敲
巧	hau31	巧
咬	ŋau45	咬
孝	hau51	孝
哮	hau45	哮
肴	kau31	肴
淆	ŋau31	淆
效	hau31	效
校	hau31	校
凹	au51	凹
坳	au51	坳
標	piɛu45	標
表	piɛu45	表
錶	piɛu45	錶
飄	pʰiɛu45	飄
漂	pʰiɛu45	漂
漂	pʰiɛu51	漂
票	pʰiɛu51	票
嫖	pʰiɛu12	嫖
鰾	pɔk045	鰾
苗	miɛu12	苗
描	miɛu31	描
藐	miɛu31	藐
渺	miɛu12	渺
秒	miɛu12	秒
廟	miɛu31	廟
妙	miɛu31	妙
燎	liɛu31	燎
療	liɛu31	療
焦	tsiɛu45	焦
蕉	tsiɛu45	蕉
椒	tsiɛu45	椒
剿	tsʰau12	剿
醮	tsiɛu51	醮
悄	sau35	悄
俏	tsiɛu51	俏
消	siɛu45	消
宵	siɛu45	宵
硝	siɛu45	硝
銷	siɛu45	銷
小	siɛu31	小
笑	siɛu51	笑
肖	siɛu45	肖
肖	tsʰiɛu51	肖
鞘	siɛu45	鞘
朝	tsʰau12	朝
超	tsʰau45	超
朝	tsʰau12	朝
潮	tsʰau12	潮
趙	tsʰau31	趙
兆	siɛu31	兆
召	tsʰau31	召
昭	tsʰau31	昭
招	tsau45	招
沼	tsiɛu45	沼
照	tsau51	照
燒	sau45	燒
少	sau31	少
少	sau51	少
韶	sau31	韶
紹	sau31	紹
邵	sau31	邵
饒	iɛu12	饒
擾	iɛu12	擾
繞	iɛu31	繞
驕	kiɛu45	驕
嬌	kiɛu45	嬌
矯	kʰiɛu12	矯
喬	kiɛu45	喬
僑	kʰiɛu12	僑
橋	kʰiɛu12	橋
轎	kʰiɛu12	轎
翹	kʰiɛu12	翘
翹	kʰiɛu51	翘
囂	hiɛu45	囂
夭	iɛu45	夭
妖	iɛu45	妖
邀	iɛu45	邀
腰	iɛu45	腰
要	iɛu51	要
要	iɛu31	要
搖	iɛu12	搖
謠	iɛu12	謠
遙	iɛu12	遥
窯	iɛu12	窯
姚	iɛu12	姚
舀	iɛu31	舀
摺	tsap022	摺
褶	tsap022	褶
陝	sam31	陝
閃	sam31	閃
攝	siɛp022	攝
涉	siɛt022	涉
染	ȵiɛm45	染
染	ȵiɛm31	染
檢	kiɛm31	檢
臉	liɛm12	臉
鉗	kʰiɛm12	鉗
儉	kʰiɛm31	儉
驗	ȵiɛm31	驗
險	hiɛm31	險
淹	iɛm45	淹
閹	iɛm45	閹
掩	iɛm24	掩
厭	iɛm51	厭
炎	iɛm12	炎
鹽	iɛm12	鹽
閻	iɛm12	閻
豔	iɛm12	豔
焰	iɛm12	焰
葉	iɛp055	葉
頁	iɛp055	頁
劍	kiɛm51	劍
劫	kiɛp022	劫
欠	hiɛm51	欠
嚴	ȵiɛm12	嚴
業	iɛp055	業
脅	hiɛp022	脅
醃	iɛp022	醃
掂	tiɛm31	掂
點	tiɛm31	點
店	tiɛm51	店
跌	tʰiɛt022	跌
添	tʰiɛm45	添
帖	tʰiɛp022	帖
貼	tʰiɛp022	貼
貼	tʰiɛp022	貼
甜	tʰiɛm12	甜
簟	lap022	簟
疊	tʰiɛp055	疊
碟	tʰiɛp055	碟
牒	tʰiɛp055	牒
蝶	tʰiɛp055	蝶
諜	tʰiɛp055	諜
鮎	niɛm45	鮎
拈	tsam51	拈
念	niɛm31	念
兼	kiɛm45	兼
挾	nap022	挾
謙	hiɛm45	謙
歉	hiɛm022	歉
嫌	hiɛm12	嫌
協	hiɛp022	協
俠	hak055	侠
法	fat022	法
泛	fan51	泛
泛	fan51	泛
凡	fan12	凡
帆	fan31	帆
范	fan31	范
範	fan31	範
犯	fan31	犯
犯	fan31	犯
乏	fat055	乏
品	pen31	品
林	liem12	林
淋	liem12	淋
臨	liem12	臨
立	lip055	立
笠	lap022	笠
粒	lap055	粒
凜	lim12	凛
浸	tsim51	浸
侵	tsʰim45	侵
寢	tsim51	寢
緝	tsap055	緝
集	tsʰip055	集
輯	tsʰip055	輯
心	sim45	心
尋	tsʰim12	尋
習	tsʰip055	習
襲	tsʰim45	襲
沉	tsʰim12	沉
蟄	tsʰit055	蟄
參	tsʰam45	參
岑	kʰim12	岑
森	sim45	森
參	sam45	參
滲	sam51	渗
澀	kiɛp022	澀
澀	kiɛp022	澀
針	tsim45	針
斟	tsim45	斟
枕	tsim31	枕
執	tsip022	執
汁	tsip022	汁
深	tsʰim45	深
沈	sim31	沈
審	sim31	審
嬸	sim31	嬸
濕	sip022	濕
甚	sim31	甚
十	sip055	十
拾	sip055	拾
壬	ȵim31	壬
任	ȵim31	任
紝	in12	紝
入	ȵip055	入
今	kim45	今
今	kim45	今
金	kim45	金
禁	kim51	禁
襟	kʰim12	襟
錦	kim31	錦
禁	kim51	禁
急	kip022	急
級	kʰip022	級
級	kʰip022	級
給	kʰip022	给
欽	kʰim45	欽
泣	ip055	泣
琴	kʰim12	琴
禽	kʰim12	禽
擒	kʰim31	擒
及	kʰip055	及
吟	ȵim31	吟
吸	kʰip022	吸
音	im45	音
陰	im45	陰
飮	ȵim31	飲
蔭	im45	蔭
飮	ȵim31	飲
揖	ȵip055	揖
淫	ȵim31	淫
丹	tan45	丹
單	tan45	單
旦	tan51	旦
疸	tʰan31	疸
灘	tʰan45	灘
攤	tʰan45	攤
癱	tʰan45	瘫
坦	tʰan31	坦
炭	tʰan51	炭
嘆	tʰan51	嘆
檀	tʰan12	檀
壇	tʰan12	壇
彈	tʰan12	彈
誕	tan51	誕
但	tʰan31	但
彈	tʰan31	彈
蛋	tʰan31	蛋
達	tʰat055	達
難	nan12	難
難	nan31	難
捺	nat022	捺
蘭	lan12	蘭
攔	lan12	攔
欄	lan12	欄
懶	lan45	懶
爛	lan31	爛
辣	lat055	辣
瘌	lat022	瘌
贊	tsan51	贊
餐	tsʰan45	餐
燦	tsʰan51	燦
擦	tsʰat022	擦
殘	tsʰan12	殘
珊	san45	珊
散	san31	散
散	san51	散
撒	sat022	撒
薩	sat022	薩
干	kɔn45	干
亁	kɔn45	亁
肝	kɔn45	肝
竿	kɔn45	竿
桿	kɔn45	桿
稈	kɔn31	稈
趕	kɔn31	趕
幹	kɔn51	幹
割	kɔt022	割
葛	kɔt022	葛
看	kʰɔn51	看
刊	hɔn12	刊
看	kʰɔn51	看
渴	hɔt022	渴
岸	ŋɔn31	岸
鼾	hɔn12	鼾
罕	hɔn12	罕
漢	hɔn51	漢
喝	hɔt022	喝
寒	hɔn12	寒
韓	hɔn12	韓
旱	hɔn12	旱
汗	hɔn31	汗
銲	hɔn31	銲
翰	hɔn31	翰
安	ɔn45	安
鞍	ɔn45	鞍
按	ɔn51	按
案	ɔn51	案
扮	pʰan31	扮
八	pat022	八
盼	pʰan51	盼
辦	pʰan31	辦
拔	pat022	拔
盞	tsan31	盞
紮	tsat022	紮
鏟	tsʰan31	鏟
察	tsʰat022	察
山	san45	山
產	tsʰan31	產
殺	sat022	殺
艱	kan45	艱
間	kan45	間
簡	kan31	簡
揀	kan31	揀
間	kan51	間
間	kan51	間
眼	ŋan31	眼
閑	han12	閑
限	han31	限
莧	han31	莧
軋	tsat022	軋
班	pan45	班
斑	pan45	斑
頒	pan45	頒
扳	pan31	扳
板	pan31	板
版	pan31	版
攀	pʰan45	攀
襻	pʰan45	襻
蠻	man31	蠻
慢	man31	慢
棧	tsʰan31	棧
鍘	tsʰap055	鍘
刪	san45	刪
疝	san51	疝
奸	kan45	奸
顏	ŋan31	顏
雁	ŋan31	雁
轄	hat022	轄
晏	an51	晏
鞭	piɛn45	鞭
編	pʰiɛn45	編
編	pʰiɛn45	編
變	piɛn51	變
別	pʰiɛt055	别
鼈	piɛt022	鼈
篇	pʰiɛn45	篇
偏	pʰiɛn45	偏
騙	pʰiɛn51	騙
便	pʰiɛn31	便
辨	pʰiɛn31	辨
辯	pʰiɛn31	辯
便	pʰiɛn31	便
別	pʰiɛt055	別
綿	miɛn12	綿
棉	miɛn12	棉
免	miɛn45	免
勉	miɛn12	勉
娩	miɛn12	娩
面	miɛn51	面
滅	miɛt055	滅
碾	tsan31	碾
連	liɛn12	連
聯	liɛn12	聯
列	liɛt055	列
列	liɛt055	列
烈	liɛt055	烈
裂	liɛt055	裂
煎	tsiɛn45	煎
剪	tsiɛn31	剪
箭	tsiɛn51	箭
濺	tsʰiɛn31	濺
遷	tsʰiɛn45	遷
淺	tsʰiɛn31	淺
錢	tsʰiɛn12	錢
踐	tsʰiɛn31	踐
賤	tsʰiɛn31	賤
仙	siɛn45	仙
鮮	siɛn45	鮮
鮮	siɛn45	鮮
癬	siɛn31	癬
線	siɛn51	線
泄	siɛt022	泄
展	tsan31	展
哲	tsiɛt022	哲
徹	tsʰiɛt022	徹
撤	tsʰiɛt022	撤
纏	tsʰiɛn12	纏
氈	tsan45	氈
膝	tsʰiət022	膝
珍	tsiən45	珍
鎭	tsiən51	鎮
趁	tsʰiən51	趁
陳	tsʰiən12	陳
塵	tsʰiən12	塵
陣	tsʰiən31	陣
姪	tsʰiət055	姪
秩	tiɛt022	秩
臻	tsiən45	臻
襯	tsʰøn51	襯
蝨	sat022	蝨
眞	tsiən45	真
診	tsʰiən12	診
疹	tsʰiən12	疹
振	tsøn51	振
震	tsøn51	震
質	tsiɛt022	質
神	siən12	神
實	siət055	實
身	siən45	身
申	siən45	申
伸	siən45	伸
伸	siən45	伸
娠	søn12	娠
失	siət022	失
室	siət022	室
辰	siən12	辰
晨	siən12	晨
臣	søn12	臣
腎	søn12	腎
腎	søn12	腎
愼	søn12	慎
人	ȵiən12	人
仁	iən12	仁
忍	iən12	忍
刃	iən12	刃
認	iən31	認
靭	iən31	靭
靭	iən31	靭
日	ȵiɛt022	日
巾	kiən45	巾
緊	kiən31	緊
吉	kiət022	吉
僅	kən31	僅
銀	ŋɐn12	銀
釁	paŋ12	釁
因	iən45	因
姻	iən45	姻
印	iən51	印
乙	iɛt022	乙
一	iət022	一
寅	iən12	寅
引	iən31	引
逸	ȵiɛt033	逸
斤	kiən45	斤
筋	kiən45	筋
謹	kɐn12	謹
勁	ken31	勁
乞	hɐt022	乞
勤	kʰiən12	勤
芹	kʰiən12	芹
近	kʰɐn45	近
近	kʰɐn45	近
欣	iən45	欣
殷	iən45	殷
隱	iən31	隱
癮	iən31	瘾
奔	pən45	奔
本	pən31	本
不	pət022	不
噴	pʰən51	噴
盆	pʰən12	盆
笨	pən51	笨
笨	pən51	笨
勃	put022	勃
門	mən12	門
悶	mən51	悶
沒	mat034	沒
敦	tøn45	敦
墩	tøn31	墩
頓	tøn31	頓
褪	tʰøy51	褪
屯	tʰøn12	屯
豚	tʰɔn12	豚
盾	tʰøn31	盾
鈍	tʰøn31	鈍
凸	tøt055	凸
突	kʰet055	突
突	tʰøt055	突
嫩	nøn31	嫩
論	løn31	論
崙	løn12	崙
論	løn31	論
尊	tsøn45	尊
卒	tsøt055	卒
村	tsʰøn45	村
寸	tsʰøn51	寸
存	tsʰøn12	存
蹲	tøn45	蹲
蹲	tøn45	蹲
孫	søn45	孫
損	syɛn31	損
昆	kʰun45	昆
滾	kʰun31	滾
棍	kun51	棍
骨	kut022	骨
坤	kʰun45	坤
綑	kʰun31	綑
困	kʰun51	困
窟	fət022	窟
窟	fət022	窟
昏	fən45	昏
婚	fən45	婚
魂	uən31	魂
渾	uən31	渾
渾	uən12	渾
混	uən31	混
核	hat022	核
核	uət055	核
溫	uən45	溫
瘟	uən45	瘟
穩	uən31	穩
倫	løn12	倫
淪	løn12	淪
輪	løn12	輪
律	løt055	律
率	løt055	率
遵	tsøn45	遵
俊	tsøn51	俊
筍	øn31	筍
榫	søn31	榫
迅	søn51	迅
戌	søt022	戌
恤	søt055	恤
旬	tsʰøn12	旬
循	tsʰøn12	循
巡	tsʰøn12	巡
殉	søn45	殉
朮	søt055	朮
率	søt055	率
蟀	søt055	蟀
準	tsøn31	準
准	tsøn31	准
春	tsʰøn45	春
蠢	tsʰøn12	蠢
出	tsʰøt022	出
脣	søn12	脣
脣	søn12	脣
順	søn31	順
術	søt055	術
述	sat022	述
舜	sak022	舜
純	søn31	純
醇	søn31	醇
潤	iøn31	潤
閏	iøn31	閏
均	kʰun45	均
鈞	kʰun45	鈞
橘	kiɛt022	橘
菌	kʰun12	菌
勻	kʰun45	勻
允	un12	允
尹	uɐn12	尹
分	fən45	分
分	pən45	分
粉	fən31	粉
粉	fən31	粉
糞	pən51	糞
奮	fən31	奮
芬	fən45	芬
紛	fən45	紛
彿	fət022	彿
焚	fən31	焚
墳	fən12	墳
憤	fən12	愤
份	fən31	份
佛	fət022	佛
文	mən12	文
紋	mən12	紋
蚊	mən45	蚊
聞	mən12	聞
吻	mɐn12	吻
問	mən51	問
物	mət055	物
物	mət055	物
勿	mət055	勿
君	kun45	君
軍	kun45	軍
屈	uət022	屈
屈	uət022	屈
羣	kʰun12	群
裙	kʰun12	裙
郡	kun45	郡
掘	kʰut055	掘
倔	uət055	倔
勳	fən45	勳
薰	fən45	薰
訓	fən51	訓
熨	tɔŋ51	熨
云	yən12	云
雲	yən12	雲
韻	yən12	韻
運	yən31	運
暈	yən12	暈
幫	pɔŋ45	幫
榜	pɔŋ31	榜
謗	pɔŋ31	謗
博	pɔk022	博
滂	pʰɔŋ12	滂
泊	pɔk022	泊
旁	pʰɔŋ12	旁
螃	pʰɔŋ12	螃
傍	pʰɔŋ31	傍
薄	pʰɔk055	薄
泊	pʰak034	泊
忙	mɔŋ45	忙
芒	mɔŋ45	芒
茫	mɔŋ45	茫
莽	mɔŋ12	莽
蟒	mɔŋ12	蟒
莫	mɔk055	莫
膜	mɔk055	膜
幕	mɔk055	幕
寞	mɔk055	寞
摸	mou45	摸
摸	mou45	摸
當	tɔŋ45	當
襠	nɔŋ51	襠
襠	nɔŋ51	襠
黨	tɔŋ31	黨
擋	tɔŋ31	擋
當	tɔŋ51	當
檔	tɔŋ31	檔
湯	tʰɔŋ45	湯
倘	tʰɔŋ12	倘
躺	tʰɔŋ12	躺
燙	tʰɔŋ51	燙
趟	tʰɔŋ51	趟
託	tʰɔk022	託
托	tʰɔk022	托
堂	tʰɔŋ12	堂
棠	tʰɔŋ12	棠
螳	tʰɔŋ12	螳
唐	tʰɔŋ12	唐
糖	tʰɔŋ12	糖
塘	tʰɔŋ12	塘
蕩	tɔŋ31	蕩
盪	nɔŋ45	盪
度	tʰɔk055	度
囊	nɔŋ12	囊
諾	nɔk055	諾
郞	lɔŋ12	郎
廊	lɔŋ12	廊
狼	lɔŋ12	狼
螂	lɔŋ12	螂
朗	lɔŋ12	朗
浪	lɔŋ31	浪
落	lɔk055	落
烙	lɔk055	烙
駱	lɔk022	駱
放	fɔŋ51	放
芳	fɔŋ45	芳
妨	fɔŋ12	妨
紡	fɔŋ12	紡
仿	fɔŋ12	仿
彷	fɔŋ12	彷
訪	fɔŋ12	訪
房	fɔŋ12	房
房	fɔŋ12	房
防	fɔŋ12	防
亡	mɔŋ12	亡
芒	mɔŋ45	芒
芒	mɔŋ45	芒
網	mɔŋ31	網
忘	mɔŋ31	忘
忘	mɔŋ31	忘
忘	mɔŋ31	忘
妄	mɔŋ12	妄
望	mɔŋ31	望
縛	pɔk022	縛
匡	kʰɔŋ45	匡
筐	kʰɔŋ45	筐
筐	kʰɔŋ45	筐
眶	kʰɔŋ45	眶
狂	kʰɔŋ12	狂
況	kʰɔŋ51	況
枉	uɔŋ31	枉
王	uɔŋ12	王
往	uɔŋ45	往
旺	uɔŋ31	旺
邦	pɔŋ45	邦
綁	pɔŋ31	綁
剝	mɔk022	剝
駁	pɔk022	駁
胖	pʰan12	胖
樸	pʰɔk022	樸
龐	pʰɔŋ31	龐
棒	pʰɐn12	棒
蚌	pʰɔŋ12	蚌
蚌	pʰɔŋ31	蚌
雹	pʰɔk055	雹
樁	tsɔŋ45	樁
桌	tsʰɔk022	桌
卓	tsʰɔk022	卓
琢	tiɔk055	琢
啄	tiɔk055	啄
撞	tsʰɔŋ31	撞
濁	tsʰok055	濁
捉	tsɔk022	捉
窗	tsʰɔŋ45	窗
鐲	ak022	鐲
雙	sɔŋ45	雙
朔	sɔk022	朔
江	kɔŋ45	江
扛	kʰɔŋ45	扛
講	kɔŋ31	講
港	kɔŋ31	港
降	kɔŋ51	降
虹	hoŋ12	虹
覺	kɔk022	覺
角	kɔk022	角
餃	kau31	餃
腔	hɔŋ45	腔
確	kʰɔk022	確
殼	hɔk022	殼
嶽	ŋɔk055	嶽
岳	ŋɔk055	岳
樂	ŋɔk055	樂
降	hɔŋ12	降
項	hɔŋ31	項
巷	hɔŋ31	巷
學	hɔk055	學
握	ak022	握
崩	pən45	崩
北	pɐt022	北
朋	pʰɐn12	朋
墨	mɐt055	墨
默	mɐk022	默
登	tɐn45	登
燈	tɐn45	燈
等	tɐn31	等
凳	tɐn51	凳
得	tɐt022	得
德	tɐt022	德
騰	tʰɐn12	騰
藤	tʰɐn12	藤
疼	tʰɐŋ12	疼
鄧	tɐŋ31	鄧
特	tʰek055	特
能	nen12	能
勒	lak022	勒
曾	tsen45	曾
增	tsɐn45	增
憎	tsɐn45	憎
則	tsɐk022	則
曾	tsʰɐŋ12	曾
層	tsʰɐŋ12	層
贈	tsʰɐŋ31	贈
賊	tsʰet055	賊
僧	tsɐŋ45	僧
僧	tsɐŋ45	僧
塞	sɐt022	塞
肯	hɐŋ12	肯
肯	hɐŋ12	肯
刻	hɐk055	刻
刻	hɐk055	刻
克	hɐk055	克
黑	hak055	黑
恆	hɐn31	恒
冰	pen45	冰
憑	pʰɐŋ12	憑
憑	pʰɐŋ12	憑
匿	nek055	匿
陵	len31	陵
淩	len31	淩
菱	len12	菱
力	let055	力
卽	tset022	卽
鯽	tset022	鯽
息	set022	息
息	set022	息
熄	set022	熄
媳	set022	媳
徵	tsen45	徵
澄	kʰen12	澄
澄	kʰen12	澄
澄	kʰɐn12	澄
懲	tsʰen12	懲
橙	tsʰɐŋ12	橙
瞪	ten45	瞪
直	tsʰet055	直
値	tsʰet055	值
側	tsɛt022	側
測	tsʰɐk055	測
色	sɐt022	色
蒸	tsen45	蒸
拯	tsʰen12	拯
證	tsen51	證
症	tsen51	症
織	tset022	織
職	tset022	職
稱	tsʰen45	稱
稱	tsʰen45	稱
秤	tsʰen51	秤
乘	sɐŋ12	乘
乘	sen12	乘
繩	sen12	繩
剩	sen31	剩
食	set055	食
蝕	set055	蝕
升	sen45	升
勝	sen51	勝
勝	sen51	勝
識	set022	識
式	set022	式
飾	set022	飾
承	sen12	承
丞	sen12	丞
殖	tsʰet055	殖
植	tsʰet055	植
仍	ien12	仍
極	ket022	極
凝	iet022	凝
凝	iɐŋ12	凝
興	hen45	興
興	hen51	興
興	hen51	興
應	ien45	應
應	ien51	應
鷹	ien45	鷹
憶	iet055	憶
億	iet055	億
抑	iet055	抑
蠅	ien12	蠅
孕	iøn51	孕
翼	iet055	翼
國	kuɔk022	國
弘	hoŋ12	弘
或	uak055	或
惑	uet022	惑
域	uak055	域
百	pɐk022	百
柏	pʰɐk022	柏
伯	pɐk022	伯
迫	pet022	迫
烹	pɐŋ45	烹
拍	pʰɐk022	拍
珀	pʰɐk022	珀
魄	pʰɐk022	魄
彭	pʰɐŋ12	彭
膨	pʰɐŋ12	膨
白	pʰɐk055	白
盲	mɐŋ12	盲
虻	mɔŋ12	虻
猛	mɐŋ12	猛
孟	mɐŋ12	孟
?	pʰɐk022	?
陌	mɐk055	陌
打	ta31	打
冷	lɐŋ45	冷
撐	tsʰɐŋ45	撐
拆	tsʰɐk022	拆
澤	tsʰɐk055	澤
擇	tsʰɐk055	擇
擇	tsɐk022	擇
宅	tsʰɐk055	宅
窄	tsɐk022	窄
生	sɐŋ45	生
生	sɐŋ45	生
牲	sɐŋ45	牲
牲	sɐŋ45	牲
甥	sɐŋ45	甥
省	sɐŋ31	省
省	sɐŋ24	省
更	kɐŋ45	更
更	kɐŋ45	更
庚	kɐŋ45	庚
羹	kɐŋ45	羹
哽	kʰɐŋ31	哽
梗	kɐŋ31	梗
梗	kuaŋ31	梗
更	kɐŋ51	更
格	kak022	格
格	kak022	格
坑	hɐŋ45	坑
客	hɐk022	客
硬	ŋɐŋ31	硬
額	ŋɐk022	額
亨	hɐŋ45	亨
嚇	hɐk022	嚇
行	hɐŋ12	行
衡	hɐŋ12	衡
杏	hɐn31	杏
行	hɐŋ12	行
浜	pɔŋ45	浜
擘	mɐt022	擘
棚	pʰɐŋ12	棚
萌	mɐŋ12	萌
氓	men12	氓
麥	mɐk055	麥
脈	mɐk022	脈
摘	tsɐk022	摘
爭	tsɐŋ45	爭
爭	tsɐŋ45	爭
箏	tsɐŋ45	箏
睜	tsʰɐŋ51	睜
責	tsɐk022	責
策	tsʰɐk022	策
冊	tsʰɐk022	冊
耕	kɐŋ45	耕
耿	kɐŋ12	耿
革	kak022	革
隔	kɐk022	隔
莖	kiɛŋ51	莖
幸	hɐŋ12	幸
鶯	kiɛŋ45	鶯
鸚	iən45	鸚
櫻	iən45	櫻
扼	ɐk022	扼
軛	ɐk022	軛
兵	pen45	兵
丙	piɛŋ31	丙
秉	pen12	秉
柄	piɛŋ51	柄
碧	pet022	碧
平	pʰen12	平
平	pʰiɛŋ12	平
坪	pʰiɛŋ12	坪
評	pʰen12	評
病	pʰiɛŋ31	病
鳴	men31	鳴
明	men12	明
明	miɛŋ12	明
盟	mɐŋ12	盟
皿	men12	皿
命	men31	命
命	miɛŋ31	命
京	ken45	京
荊	ken45	荊
荊	ken45	荊
驚	kiɛŋ45	驚
境	ken51	境
景	ken31	景
警	ken31	警
敬	ken51	敬
竟	ken31	竟
鏡	kiɛŋ51	鏡
卿	hen45	卿
慶	hen51	慶
鯨	kʰen12	鯨
競	ken31	競
劇	kʰiɛk055	劇
屐	kʰiɛk055	屐
迎	iɛŋ12	迎
逆	iet022	逆
英	ien45	英
影	iɛŋ31	影
映	iɛŋ31	映
餠	piɛŋ31	餅
倂	pʰen51	併
璧	piɛk022	璧
聘	pʰen51	聘
僻	pʰet022	僻
闢	pʰek022	闢
名	miɛŋ12	名
領	liɛŋ45	領
嶺	liɛŋ45	嶺
嶺	liɛŋ45	嶺
令	len31	令
精	tsen45	精
晶	tsen45	晶
睛	tsen45	睛
井	tsiɛŋ31	井
積	tset022	積
跡	tset022	跡
跡	tsiɛk022	跡
脊	tsiɛk022	脊
淸	tsʰen45	清
淸	tsʰiɛŋ45	清
請	tsʰiɛŋ31	請
情	tsʰen12	情
情	tsʰen12	情
晴	tsʰiɛŋ12	晴
靜	tsʰen31	靜
靖	tsʰen45	靖
淨	tsʰiɛŋ31	淨
籍	tsʰet055	籍
藉	tsʰet055	藉
省	siɛŋ31	省
性	sen51	性
姓	siɛŋ51	姓
惜	set022	惜
惜	set022	惜
昔	sek055	昔
席	sek055	席
蓆	tsʰiɛk055	蓆
夕	tsek022	夕
貞	tsen45	貞
偵	tsen45	偵
洛	lɔk055	洛
絡	lɔk055	絡
樂	lɔk055	樂
贓	tsɔŋ45	贓
髒	tsɔŋ45	髒
葬	tsɔŋ51	葬
作	tsɔk022	作
倉	tsʰɔŋ45	倉
蒼	tsʰɔŋ45	蒼
錯	tsʰou51	錯
藏	tsʰɔŋ12	藏
藏	tsʰɔŋ31	藏
臟	tsʰɔŋ31	臟
鑿	tsʰɔk055	鑿
昨	tsɔk022	昨
桑	sɔŋ45	桑
喪	sɔŋ51	喪
嗓	sɔŋ45	嗓
喪	sɔŋ51	喪
索	sɔk022	索
岡	kɔŋ45	岡
崗	kɔŋ45	崗
剛	kɔŋ45	剛
綱	kɔŋ45	綱
鋼	kɔŋ51	鋼
缸	kɔŋ45	缸
杠	kɔŋ51	杠
各	kɔk022	各
閣	kɔk022	閣
擱	kɔk022	擱
康	hɔŋ45	康
糠	hɔŋ45	糠
慷	hɔŋ45	慷
抗	kʰɔŋ51	抗
昂	ŋɔŋ31	昂
鄂	ŋɔk055	鄂
鰐	ŋɔk055	鰐
行	hɔŋ12	行
航	hɔŋ12	航
杭	hɔŋ12	杭
鶴	hɔk055	鶴
惡	ɔk022	惡
娘	niɔŋ12	娘
釀	ȵiɔŋ31	釀
良	liɔŋ12	良
凉	liɔŋ12	凉
量	liɔŋ12	量
糧	liɔŋ12	糧
樑	liɔŋ12	樑
粱	liɔŋ12	粱
兩	liɔŋ31	兩
兩	liɔŋ45	兩
亮	liɔŋ12	亮
諒	liɔŋ12	諒
輛	liɔŋ12	輛
量	liɔŋ31	量
略	lɔk055	略
將	tsiɔŋ45	將
漿	tsiɔŋ45	漿
蔣	tsiɔŋ31	蔣
獎	tsiɔŋ31	獎
醬	tsiɔŋ51	醬
將	tsiɔŋ51	將
爵	tsiɔk022	爵
雀	tsiɔk022	雀
槍	tsʰiɔŋ45	槍
