#漢字	音標	解釋
悟	ŋ̍31	悟
呼	fu45	呼
虎	fu31	虎
虎	fu45	虎
滸	fu12	滸
戽	fu31	戽
胡	fu12	胡
湖	fu12	湖
狐	fu12	狐
壺	fu12	壺
乎	fu31	乎
鬍	fu12	鬍
蝴	fu12	蝴
糊	fu12	糊
戶	fu31	戶
互	wu31	互
護	fu21	護
烏	wu45	烏
污	wu45	汚
惡	ɔk02	惡
女	ȵy31	女
廬	lu12	廬
驢	lu12	驢
呂	løi12	呂
旅	ly12	旅
慮	løi31	慮
濾	løi31	濾
蛆	tsøi45	蛆
徐	tʃʰy12	徐
序	tʃøi31	序
緖	søi31	緖
豬	tʃy45	豬
著	tʃy51	著
除	tʃy12	除
儲	tʃy12	儲
苧	tʃy12	苧
阻	tsou31	阻
初	tsʰou45	初
楚	tsʰu31	楚
礎	tsʰu31	礎
鋤	tsʰou31	鋤
助	tsʰu31	助
梳	sou45	梳
疏	sou45	疏
疏	su45	疏
蔬	su45	蔬
所	sou31	所
疏	sou45	疏
諸	tʃy45	諸
煮	tʃy31	煮
處	tʃʰy31	處
處	tʃʰy51	處
書	ʃy45	書
舒	ʃy45	舒
暑	ʃy12	暑
鼠	tʃʰy31	鼠
恕	ʃy51	恕
署	tʃʰy12	署
薯	ʃy12	薯
如	ʔy31	如
居	ky45	居
車	ky45	車
舉	ky31	舉
據	ky51	據
鋸	ky51	鋸
墟	hy45	墟
去	hi51	去
渠	kʰy31	渠
佢	ki45	佢
巨	kʰy31	巨
拒	kʰy12	拒
距	kʰy12	距
魚	ȵy12	魚
漁	ȵy12	漁
語	ʔy12	語
御	ʔy21	御
禦	ʔy21	禦
虛	hy45	虛
噓	hy45	嘘
許	hy31	許
於	ʔy45	於
淤	ʔy31	淤
余	ʔy31	余
餘	ʔy12	餘
與	ʔy12	與
予	ʔy12	予
譽	ʔy51	譽
預	ʔy51	預
豫	ʔy12	豫
夫	fu45	夫
膚	fu45	膚
府	fu31	府
腑	fu31	腑
俯	fu31	俯
甫	pʰu51	甫
脯	pʰu31	脯
斧	pʰu31	斧
付	fu31	付
咐	fu51	咐
賦	fu51	賦
傅	fu31	傅
傅	fu31	傅
敷	fu45	敷
俘	fu45	俘
孵	pʰu31	孵
麩	kʰu45	麩
撫	fu31	撫
赴	fu31	赴
符	fu31	符
扶	fu12	扶
扶	fu12	扶
芙	fu31	芙
父	fu31	父
腐	fu31	腐
腐	fu31	腐
輔	fu31	輔
附	fu31	附
無	mou12	無
無	mou12	無
巫	mu51	巫
誣	ʔu45	誣
武	mu31	武
舞	mu31	舞
舞	mu31	舞
侮	mu12	侮
鵡	mou12	鵡
務	mu31	務
霧	mu51	霧
屢	løi12	屢
趨	tsʰɔi45	趨
取	tsʰɔi12	取
娶	tsʰɔi12	娶
趣	tsʰɔi51	趣
聚	tsɔi31	聚
須	sɔi45	須
鬚	su45	鬚
需	søi45	需
續	tsʰɔk05	續
誅	tʃy45	誅
蛛	tʃy45	蛛
株	tʃy45	株
駐	tʃy51	駐
註	tʃy51	註
廚	tʃʰy12	廚
櫥	tʃʰy12	橱
柱	tʃʰy45	柱
住	tʃʰy31	住
數	su51	數
數	su45	數
朱	tʃy45	朱
珠	tʃy45	珠
主	tʃy31	主
注	tʃy51	注
蛀	tʃy51	蛀
鑄	tʃy51	鑄
樞	su45	樞
輸	sy45	輸
戍	sy31	戍
輸	sy45	輸
殊	sy31	殊
豎	sy31	豎
樹	sy31	樹
儒	ʔy12	儒
乳	ȵøi12	乳
乳	nen51	乳
拘	kʰɛ51	拘
倶	kʰy31	俱
矩	ky31	矩
句	ky51	句
區	kʰy45	區
驅	kʰy45	驅
具	kʰy31	具
懼	kʰy31	懼
愚	ʔy31	愚
娛	ʔy31	娛
遇	ʔy31	遇
寓	ʔy31	寓
于	ʔy45	于
吁	hy45	吁
雨	ʔy12	雨
宇	ʔy12	宇
羽	ʔy12	羽
芋	ʔu51	芋
逾	ʔy31	逾
愉	ʔy31	愉
喩	ʔy31	喻
裕	ʔy21	裕
獃	tei45	獃
獃	ŋɔn31	獃
戴	tai51	戴
胎	tʰɔi45	胎
台	tʰɔi12	台
態	tʰai51	態
貸	tʰai51	貸
臺	tʰɔi12	臺
苔	tʰɔi12	苔
抬	tʰɔi12	抬
待	tʰɔi31	待
代	tʰɔi31	代
逮	tʰi31	逮
袋	tʰɔi31	袋
乃	nai12	乃
耐	nɔi31	耐
來	lɔi12	來
災	tsɔi45	災
栽	tsɔi45	栽
宰	tsɔi12	宰
載	tsʰɔi31	載
再	tsɔi51	再
載	tsɔi51	載
猜	tsʰai45	猜
彩	tsʰɔi31	彩
採	tsʰɔi12	採
睬	tsʰɔi12	睬
菜	tsʰɔi51	菜
才	tsʰɔi12	才
材	tsʰɔi12	材
財	tsʰɔi12	財
裁	tsʰɔi12	裁
纔	tsʰɔi12	纔
在	tsʰɔi45	在
在	tsʰɔi45	在
載	tsʰɔi51	載
腮	sɔi45	腮
鰓	sɔi45	鰓
賽	tsʰɔi51	賽
該	kɔi45	該
改	kɔi31	改
概	kʰɔi51	概
溉	kʰɔi51	溉
開	hɔi45	開
凱	ɔi12	凱
慨	kʰɔi51	慨
咳	kʰek03	咳
呆	tei12	呆
礙	ŋɔi31	礙
海	hɔi31	海
孩	hai12	孩
亥	hɔi31	亥
哀	ɔi45	哀
埃	ŋai31	埃
愛	ɔi51	愛
貝	pei51	貝
貝	pɔi51	貝
沛	pʰei51	沛
