#漢字	音標	解釋
海	hɔi35	海：大～
哀	ŋɔi51	哀：悲～
愛	ŋɔi33	爱：～情；要
帶	tai33	带：鞋～
大	tai22	大：大小
賴	lai22	赖：依～，无～；姓
艾	ŋai22	艾：艾草
害	hɔi22	害：～人
拜	pai33	拜：结～，礼～，～佛
排	pʰai42	排：～队
埋	mai42	埋：～伏
齋	ʦai51	斋：食～（吃斋）
階	kai51	阶：台～，～级
介	kai33	介：～绍，中～
擺	pai35	摆：摇～
派	pai33	派：正～，～出所
買	mai13	买：～卖
賣	mai22	卖：买～
柴	ʦʰai42	柴：姓；火～
街	kai51	街：～路
街	kai55	街：～路
解	kʰai35	解：～释，讲～[文]
解	kai35	解：～释，讲～[文]
鞋	hai42	鞋：布～
蟹	hai13	蟹：老～
矮	ŋɐi35	矮：高矮
敗	pai22	败：失～
幣	pɐi22	币：人民～
例	lɐi22	例：举～，～外
祭	ʦɐi33	祭：～祀
制	ʦɐi33	制：～度
世	sɐi33	世：～界
藝	ɐi22	艺：～术，文～晚会
藝	ŋɐi22	艺：～术，文～晚会
米	mɐi13	米：大米
低	tɐi51	低：高～
底	tɐi35	底：水～
梯	hai51	梯：楼～
梯	tʰɐi51	梯：楼～
體	hɐi35	体：～育，身～
體	tʰɐi35	体：～育，身～
題	hɐi42	题：～目，难～
題	tʰɐi42	题：～目，难～
蹄	hɐi42	蹄：马～
蹄	tʰɐi42	蹄：马～
弟	tɐi22	弟：兄～[文]
弟	tɐi22	弟：弟弟，老～[白]
泥	lɐi42	泥：水～，地～（地板）
犁	lɐi42	犁：耕田用具
禮	lɐi13	礼：～貌
齊	ʦʰɐi42	齐：整～，放～，来～[白]
西	sɐi51	西：东西南北
洗	sɐi35	洗：～菜，～衣机
細	sɐi33	细：粗细，大小
雞	kɐi51	鸡：～公（公鸡）
計	kɐi33	计：～算，会～
溪	kʰɐi51	溪：～水
啟	kʰɐi35	启：～发
係	hɐi22	系：是[白]
杯	pui55	杯：茶～
輩	pui33	辈：～分，长～
背	pui33	背：违～，后～
坯	pui55	坯：泥～，毛～房
配	pʰui33	配：分～，搭～
