#漢字	音標	解釋
累	li55	连～
嘴	tsei31	嘴巴[文]
嘴	tsɔi31	嘴巴[白，训]
髓	sei31	骨～
隨	sei21	～时，～便
吹	tsʰɔi33	～牛皮，～喇叭
垂	tsʰei21	下～，～头丧气
睡	sɔi55	睡觉
瑞	sei55	～金；董存～
規	kui33	～定，圆～
詭	kui31	～计多端
亏	kʰui33	食～（吃亏）
窺	kʰui33	偷～
跪	kʰui31	下～
危	ŋɔi21	～险，安～
毀	fei31	～灭
委	vei33	～托，常～
爲	vei21	作～，行～，～人
爲	vei55	～什么
垒	li21	堡～，～球
類	li55	分～
淚	li55	眼～
醉	tsei55	～酒
翠	tsʰɔi55	翡～
雖	sei33	～然
粹	tsʰei55	纯～
遂	sei33	杀人未～
隧	sei33	～道
穗	sei55	谷～
追	tsei33	～求[文]
槌	tsʰei21	木～[名]；[动]
錘	tsʰei21	铁～[名]；[动]
墜	tsei55	下～，玉～[文]
墜	tsʰei55	目～～[白]
衰	sɔi33	～弱，～老[文]
衰	sɔi33	运气不好[白]
摔	sɔi33	～跤
帥	sɔi55	元～
錐	tsei33	圆～
水	sei31	～果，～平
誰	sei21	疑问代词
龜	kuei33	乌～
軌	kuei31	铁～
癸	kuei21	天干
愧	kʰuei55	惭～
季	kuei55	四～，～节
逵	kʰuei21	人名用字，李～
葵	kʰuei21	向日～，～花籽
柜	kʰuei55	～台
位	vei55	座～，～置
維	vei21	～生素，～持，纤～
惟	vei21	～一
遺	ni21	～失，～憾
唯	vei21	～物主义
非	fei33	是～，～常
飛	fei33	～机；人名，张～[文]
飛	pi33	飞行[白]
匪	fei31	土～
痱	pi55	痱子，热～
妃	fei33	贵～
費	fei55	～用，浪～
肥	pʰi21	化～，～肉
翡	fi31	～翠
微	mi21	稍～
尾	mi33	尾巴
未	vei55	～来；地支
味	mi55	～道，～精
歸	kui33	回～，～类
鬼	kui31	鬼神
貴	kui55	～重
魏	vui55	～国；姓
揮	fei33	指～
輝	fei33	光～，～煌
徽	fei33	国～，～章
諱	vei55	忌～
威	vei33	～风，～胁
畏	vi55	不喜欢；怕，～热
慰	vi55	安～，～问
違	vei21	～背
圍	vei21	包～，～墙
偉	vei31	～大
葦	vei31	芦～
緯	vei31	经～
胃	vei55	肠～
謂	vei55	称～，所～
汇	fei55	词～
褒	pou33	～奖，～义词
保	pou31	～护
堡	pou31	碉～
寶	pou31	～贝
報	pou55	～告，日～
袍	pʰau21	长～，袄～
抱	pʰou55	拥抱
暴	pʰau55	～雨，残～
毛	mou33	～病，鸡～
冒	mou55	～充，感～
帽	mou55	草～
刀	tau33	菜～
禱	tou31	祈～，～告
島	tou31	海南～
倒	tou31	颠～
到	tou55	～站
倒	tou31	～水，～退
滔	tʰau33	～～不绝，波浪～天
討	tʰau31	～老婆，～厌
套	tʰou55	配～，～房
桃	tʰou21	杨～，～花
逃	tʰou21	～走
淘	tʰou21	～米，～沙
陶	tʰou21	～瓷；姓
萄	tʰou21	葡～
濤	tʰou33	波～
道	tʰau55	～理
稻	tʰou55	水～
盜	tʰou55	强～，～窃
導	tʰou21	领～，～师
腦	nou31	猪～，～屎（脑子）
惱	nou31	烦～[文]
惱	nau33	讨厌，不喜欢[白]
勞	lou21	～动
撈	lau33	打～局[文]
撈	lei21	～起来[白]
牢	lou21	～房，坐～
老	lou31	～爷，～实
澇	lau21	洪～，旱～
遭	tsei33	～遇，～殃
糟	tsei33	酒～，～糕
早	tsou31	还～
棗	tsou31	红～
蚤	tsou31	跳～
躁	tsʰau55	烦～，暴～
灶	tsou55	～头，～神
操	tsʰau33	做～，～作
草	tsʰou31	青～，～稿
糙	tsʰau55	～米，粗～
曹	tsʰou21	姓
槽	tsʰou21	猪～，水～
皂	tsʰau55	肥～
造	tsʰou55	创～
騷	sau33	风～，离～
臊	sou33	臭～
掃	sou55	～地[动]
嫂	sou31	大～
掃	sou55	～把[名]
髙	kou33	姓；～低
膏	kau33	牙～；狗皮～药
篙	kou33	竹～
羔	kau33	羊～
糕	kau33	蛋～，糟～
稿	kou31	草～，～纸
吿	kou55	报～，～状
考	kʰau31	～试，大～
烤	kʰau31	烧～
靠	kʰau55	依～，可～
傲	ŋau55	骄～
蒿	hau33	蓬～，青～，茼～
好	hou31	～人
好	hou55	爱～
耗	hou33	消～
豪	hou21	～华，～猪
壕	hou21	战～
毫	hou21	～米
浩	hau33	～～荡荡；人名用字
号	hou55	～码，口～[名]
襖	ou31	棉～，～袍
懊	ou55	～恼
奧	ou55	～妙，～运会
懊	ou55	～悔
澳	ou55	～门
包	pau33	钱～，～围
胞	pau33	同～
飽	pau31	食～（吃饱）
豹	pau55	动物，～虎
爆	pʰau55	～炸
泡	pʰau55	灯～；泡沫（多～）
泡	pʰiau55	起～[训，瘭]
拋	pʰau33	～弃
炮	pʰau55	枪～
泡	pʰau55	～茶
跑	pʰau33	～步
刨	pʰau21	～地，～花板
鮑	pʰau55	姓；～鱼
茅	mau21	～庐
貓	mie55	大～
卯	mau21	地支，子丑寅卯
貌	mau55	礼～
鬧	nau55	～热，～事
罩	tsei55	灯～，床～
抓	tsa33	～紧
爪	tsau31	鸡～
找	tsau31	～钱，查～
笊	tsau55	～捞（笊篱）
抄	tsʰau33	～书
鈔	tsʰei33	～票
炒	tsʰau31	～股，～菜
吵	tsʰau21	～人，争～
巢	sei21	雀～
梢	sei33	树～
捎	sei33	～带，～口信
稍	sei33	～等，～微，～息
哨	sau55	口～
交	kau33	～通，～钱[文]
交	kʰau33	交叉，～脚（翘二郎腿）[白]
郊	kau33	～区
胶	kau33	～水，橡～
敎	kau33	～书
絞	kau31	～刑，～被
狡	kau31	～猾
鉸	kau31	～剪
攪	kau31	搅拌
搞	kau31	～活动
敎	kau55	～育，～师
校	kau55	调校；～对
較	kau31	比～[文]；交换[白]
酵	kau55	发～，～母片
窖	kau55	地～，番薯～
覺	kau55	睡～
巧	kʰau31	～合
咬	ŋau33	～人
孝	hau55	～顺
哮	hau55	～喘
淆	ŋau21	混～
效	hau55	～果
校	kau31	学～，～长，上～
凹	au33	～面镜
坳	au55	山～，～背
標	piau33	～准，～志，招～
表	pie31	图～，～扬
表	pie33	手～
飄	pʰiau33	～扬
漂	pʰiau33	～流
漂	pʰiau55	～白，～亮
票	pʰiau55	车～
瓢	pʰiau21	勺子
嫖	pʰiau21	～娼
苗	mie21	鱼～，～族
描	mie21	～写
藐	mie31	～视
渺	mie21	～小，～茫
秒	mie31	～针
廟	mie55	和尚～
妙	mie55	～计
燎	liau21	星星之火，可以～原
療	liau21	治～，～养
焦	tsiau33	姓
蕉	tsiau33	米～；～岭（地名）
椒	tsie33	胡～
樵	tsʰei21	柴
消	sie33	～化
宵	sie33	元～，夜～
硝	sie33	～烟，～酸
銷	sie33	供～社，～售
小	sie31	～姐，～人
笑	sie55	～话，玩～
肖	sie33	姓
肖	sei55	生～
朝	tsei33	～晨，三～
超	tsʰei33	～过
朝	tsʰei21	～代
潮	tsʰei21	～湿，涨～
趙	tsʰei55	姓
兆	sei55	预～；人名用字
召	sei55	号～，～集
昭	tsei33	王～君
招	tsei33	～生
沼	sei55	～气
照	tsei55	～明，～顾
燒	sei33	～水，发～
少	sei31	～数，多～
少	sei55	～年，～爷
韶	sei21	～关（地名）
紹	sei55	介～；～兴（地名）
邵	sei55	姓
饒	ȵiei21	～命，求～
扰	jie31	打～，～乱
繞	ȵie31	围～，～线
驕	kei33	～傲
嬌	kei33	～气，做～（撒娇）
矯	kei31	～正
喬	kʰei21	姓
僑	kʰei21	华～
橋	kʰei21	大～
蕎	kʰei21	～麦
翹	kʰei21	银～片
翹	ʃie55	～起来
囂	ʃie33	～张
夭	jie33	～折
妖	jie33	～怪
邀	jie33	～请
腰	jie33	猪～
要	jie33	～求
要	jie55	重～
搖	jie21	动～，～篮
謠	jie21	歌～，民～
遙	jie21	逍～
窑	jie21	～洞，烧～
姚	jie21	姓，～明
舀	jie31	～水
耀	jie55	～眼，荣～
鷂	jie31	纸～（风筝）；～婆（老鹰）
刁	tiau33	～钻，嘴～
貂	tiau33	～婵，～皮
雕	tiau33	木～，～刻
鳥	ȵiau33	花～市场[文]
鳥	tiau33	～笼[白]
鳥	tiau31	骂人话，交合[白]
釣	tiau55	～鱼
吊	tiau55	上～，～车
挑	tʰiau33	～剔，～担
跳	tʰiau55	～高，起～
糶	tʰiau55	～米（卖米）
條	tʰiau21	～件，字～
調	tʰiau21	～和，～整
跳	tʰiau21	～走（阳平）
掉	tiau55	～头
調	tʰiau55	音～
調	tʰiau55	～动，～走
尿	niau55	屙～
聊	liau21	无～，～天
遼	liau21	～宁，～国
撩	liau33	～起来；～人
寥	liau21	～～无几
了	liau31	～结；明～，～解
瞭	liau55	～望台
料	liau55	肥～，材～
尥	liau33	（马）用后腿向后踢
蕭	sie33	姓；～山（地名）
簫	sie33	吹～
繳	kau31	～枪，上～
叫	kei55	大～；小孩哭
竅	kʰei55	～门
堯	ŋei21	～舜禹
曉	ʃie31	春～，～得
么	jiau33	～二三
吆	jie33	～喝
剖	pʰiau31	解～
某	mei33	～人
畝	mei33	一～田
牡	mei55	～丹
母	mu33	父～
拇	mu33	～指
戊	vu55	～戌变法
茂	mei55	～盛；～名（地名）
貿	mau31	外～，～易
兜	tei33	～风
斗	tei31	十升为一斗
抖	tei31	发～
陡	tei31	斜度大，～峭
斗	tei55	～争，批～
偸	tʰei33	小～
㪗	tʰei31	～气（呼吸）
透	tʰei55	～明
頭	tʰei21	开～
投	tʰei21	～降
豆	tʰei55	黄～
逗	tʰei55	～留，～号
痘	tʰei55	水～
樓	lei21	～下
摟	lei21	搂抱
漏	lei55	～水，～斗
陋	lei55	简～
走	tsei31	行走
奏	tsʰei55	节～
湊	tsʰei55	～数，～热闹
嗽	sei55	咳～
勾	kei33	～心斗角，～引
鉤	kei33	鱼～
沟	kei33	～通
狗	kei31	狗
苟	kei31	～且偷生
够	kei55	足～
垢	kei55	水～
構	kei55	结～，～造
購	kei55	采～，收～
勾	kei33	～当
摳	kʰei33	挖
口	kʰei31	～头，开～
叩	kʰei55	～头
扣	kʰei55	～钱，～压
寇	kʰei55	姓，～准；倭～
藕	ŋei31	～断丝连，莲～
偶	ŋei31	配～，～然
侯	hei21	姓；诸侯
喉	hei21	～咙
猴	hei21	猴子
后	hei55	～生，～来[文]
后	hei33	～日[白]
后	hei55	皇～
厚	hei55	忠～
候	hei55	～车室，等～
歐	ei33	～洲；姓
區	ei33	姓
甌	ei33	瓦器；建～（地名）
嘔	ŋei31	～吐
毆	ei33	～打
漚	ei55	久浸水中，～坏，～肥
慪	ei55	～气
否	fei31	是～，～定
富	fu55	丰～，～贵
副	fu55	正～
浮	fei21	轻～，～动；云～（地名）
浮	pʰie21	～起来[白]
負	fu55	～责，～担
婦	fu55	～女[文]
婦	kʰiu33	新～（儿媳）[白]
复	fuk031	反～
謀	mei21	计～，～财害命
矛	mau21	～盾
紐	ȵiu31	纽扣；～约（地名）
扭	ȵiu31	～面帕，～动
流	liu21	河～[文]
流	liu21	～汗[白]
劉	liu21	姓
留	liu21	～级，停～
榴	liu21	石～，～莲
硫	liu21	～磺
琉	liu21	～璃
柳	liu31	～树
溜	liu33	～走
溜	liu55	～滑梯
餾	liu55	蒸～水，～粄
廖	liau55	姓
酒	tsiu31	～精
秋	tsʰiu33	～天；～千
就	tsʰiu55	成～，～去
修	siu33	装～，～正
羞	siu33	～愧
秀	siu55	清～，～才
繡	siu55	～花
鏽	siu55	铁～
囚	kʰiu21	～犯
泅	kʰiu21	游水
袖	tsʰiu55	领～，衫～（衣袖）
晝	tsu55	上～，～夜
抽	tsʰu33	～出
丑	tsʰu31	地支，子丑寅卯
綢	tsʰu21	～缎，丝～
稠	tsʰu21	～密
籌	tsʰu21	～码，～备
宙	tsʰiu55	宇～
皺	tsiu55	～纹
縐	tsiu33	文～～
愁	sei21	～眉苦脸
驟	tsʰei31	步～
搜	sei33	～查
餿	sou33	饭馊了，臭～
搜	sei33	～集
瘦	sei55	肥瘦
周	tsu33	姓；～围，～年
舟	tsu33	～山
州	tsu33	广～
洲	tsu33	亚～
咒	tsu55	～人
丑	tsʰu31	出～[文]
丑	tsʰu31	长得丑[白]
臭	tsʰu55	～味
收	su33	丰～，～集
手	su31	～脚，～段
首	su31	～先
守	su31	看～所，保～
獸	su55	野～
仇	su21	～人，报～
酬	su21	应～，～谢
受	su55	接～
壽	su55	长～
授	su55	教～
售	su55	～货，出～
柔	jiu21	温～，～和
揉	jiu21	～烂[文]
鳩	tsiu33	斑～
鬮	kʰei33	拈～（抓阄）
九	kiu31	数字，～龙
久	kiu31	长～
韭	kiu31	～菜
救	kiu55	～命
究	kiu33	～竟，研～
丘	kʰiu33	一～田；姓
求	kʰiu21	要～
球	kʰiu21	足～
仇	kʰiu21	姓
臼	kʰiu33	石～，脱～
舅	kʰiu33	～公
舊	kʰiu55	新～
牛	ȵiu21	～牯
休	ʃiu33	～息，退～
嗅	ʃiu55	～觉
忧	jiu33	～虑，担～
优	jiu33	～秀
尤	jiu21	～其
邮	jiu21	～票，～电局
有	jiu33	～钱
友	jiu33	朋～，～谊
又	jiu55	～来
右	jiu55	左～
佑	jiu55	保～
由	jiu21	～于，理～
油	jiu21	麻～
游	jiu21	～泳，旅～
犹	jiu21	～豫
悠	jiu33	～闲，历史～久
誘	jiu55	～惑，引～
柚	jiu55	沙田～
釉	jiu55	上～，～彩
彪	pʰiau33	林～
謬	miu55	～论，荒～
丟	kiu33	～失
幽	jiu33	～默
幼	jiu55	细小，～稚
耽	tam33	～误
答	tap031	回～
搭	tap031	～车；衣服搭在肩上
貪	tʰam33	～心
探	tʰam55	试～
踏	tʰap05	脚～
潭	tʰam21	深～
譚	tʰam21	姓，～嗣同
南	nam21	东南西北
男	nam21	男女
納	nap05	归～
拉	la33	拖～
簪	tsan33	绾住发髻的条状物
参	tsʰam33	～军，～加
慘	tsʰam31	悲～
蚕	tsʰam21	～丝
雜	tsʰap05	复～
感	kam31	～谢，～动
蛤	kʰap031	～蚧
鴿	kap031	白～
坎	kʰam31	～坷
砍	kʰam31	～伤
勘	kʰam33	～误，～探
含	ham21	包～[文]
含	ham21	～糖[白]
函	ham21	～授，信～
撼	ham55	震～
憾	ham55	遗～
合	hap05	～作，～适[文]
合	kap031	～本，～伙[白]
盒	hap05	铁～
庵	am33	尼姑～
揞	em33	手覆，揞住
揞	jam31	把粉末撒在表面
暗	am55	不亮
担	tam33	～任，～水[动]
担	tam55	～竿[名]
胆	tam31	大～
担	tam33	挑～[名]；一～水[量]
毯	tʰan21	毛～
塔	tʰap031	宝～
塌	tʰap031	倒～
談	tʰam21	会～，～论
痰	tʰam21	吐～
淡	tʰam55	～水（地名）
淡	tʰam33	咸～；浓～
藍	lam21	～色；姓
籃	lam21	菜～
覽	lam31	展～，阅～室
攬	lam31	包～[文]
攬	lam31	抱[白]
欖	lam31	橄～，乌～
纜	lam31	～车
腊	lap05	～肉，～肠
蜡	lap05	～烛
暫	tsʰiam55	～时
三	sam33	～国
甘	kam33	甜；～心
柑	kam33	柑
敢	kam31	勇～
橄	kam31	～榄
磕	kʰɔk05	～头
憨	han33	～厚
喊	ham55	叫[文]
喊	hem33	叫[白]
站	tsʰam55	站立
賺	tsʰɔn55	～钱
站	tsʰam55	车～
斬	tsam31	白～鸡
蘸	tsiam31	～豉油
插	tsʰap031	～花
閘	tsʰap05	铁～，船～
炸	sap05	～番薯（水煮地瓜）
杉	tsʰam55	～树
尷	kam33	～尬
減	kam31	加～
鹼	tiam31	酸～，～性
鹼	tiam31	纯～
夾	kiap05	夹子；～心饼干
恰	kʰap031	～切，～当
咸	ham21	～丰皇帝
咸	ham21	～淡
陷	ham55	～害，～井
掐	kʰak05	～颈（掐脖子）
餡	ham55	～饼
狹	ʃiap05	～窄[文]
狹	hap05	空间小[白]
攙	tsʰam33	～扶，～腰
衫	sam33	衬～，～裤（衣服）
監	kam33	～狱，～视
鑑	kam55	～定
監	kam55	太～
甲	kap031	天干，甲乙丙丁
胛	kap031	肩～
巖	ŋam21	～石，石灰～
銜	ham21	军～；叼在嘴里
艦	kam55	军～
匣	ʃiap05	匣子
鴨	ap031	鸭子
押	ap031	抵～，～送
壓	ap031	～力
貶	pien31	～值
黏	niam21	～合剂，～起来
廉	lien21	清～，～洁
镰	liam21	镰刀，禾～
帘	liam21	窗～
斂	liam31	收～
猎	liap05	打～，～人
尖	tsiam33	～刀
接	tsiap031	迎～，～待
签	tsʰiam33	竹～，求～
签	tsʰiam33	～字，～名
潛	siam21	～力
漸	tsʰiam55	逐～
捷	tsʰiap05	～报，大～，敏～
沾	tsam33	～光；～亲带故
粘	ȵiam21	～贴
占	tsam55	～卜
占	tsam55	～领，～地方
折	tsap031	～被，～叠
褶	tsap031	衣裙或皮肤上的皱纹，打～
陝	sam31	～西
閃	sam31	～开
攝	ȵiap031	～影
蟾	tsʰam21	～蜍
涉	sap05	～及
染	ȵiam31	污～
染	ȵiam31	～色
檢	tiam31	～查，体～
臉	lian33	红～白～[文]
鉗	tʰiam21	～工，火～
儉	tiam31	勤～
驗	niam55	～收，试～
險	ʃiam31	危～，保～
淹	jian33	～没
閹	jiam33	～鸡，～猪
掩	jiam31	～护
厭	jiam55	讨～
炎	jiam21	消～，～热
鹽	jiam21	盐
閻	jiam21	～罗王；姓
檐	nam21	屋～下
豔	jiam55	鲜～，～丽
焰	jiam55	火～
叶	jiap05	树～；姓
頁	jiap05	～数
劍	tiam55	宝～
劫	kiap031	抢～
欠	tʰiam55	～钱，拖～
怯	tʰiap031	胆～
嚴	ȵiam21	～格；姓
釅	ȵiam21	～茶
業	ȵiap05	事～，～余
脅	ʃiap05	威～
腌	jiap031	腌制
掂	tiam55	～量
點	tiam31	～心，～头
店	tiam55	开～
跌	tiet031	～打
添	tʰiam33	～加，～丁
帖	tʰiap031	请～
貼	tʰiap031	补～
貼	tiap031	～纸，～对联[动]
甜	tʰiam21	甜
疊	tʰiap05	～起来，折～
碟	tʰiap05	盛具，碟子
牒	tʰiap05	通～，文～
蝶	tʰiap05	蝴～
諜	tʰiap05	间～
鮎	niam21	～鱼
拈	niam33	用指头捏取物，～起来
念	niam55	～经，怀～
兼	tiam33	～职
挾	tiap031	～菜
謙	tʰiam33	～虚
歉	tʰiap031	道～，～意
嫌	ʃiam21	～弃，～人
協	ʃiap05	～会，～作
俠	ʃiap05	武～
法	fak031	方～
泛	pʰam55	中空，～谷[白]；广～，～滥[文]
凡	fan21	平～
帆	fan33	～船
范	fan55	姓
范	fam55	模～，～围
犯	fam55	～法[文]；触犯[白]
乏	fat05	缺～
稟	pin31	～报
品	pʰin31	～德
林	lin21	树～；姓
淋	lin21	～湿，～菜
臨	lin21	～时，面～
立	lip05	～足
笠	let031	～嫲，斗～
粒	lep031	三～，颗～
浸	tsin55	～水
侵	tsʰin33	～略
集	sip5	～合，～体
輯	sip5	编～
心	sim33	～肝，内～
尋	tsʰim21	～人
習	sip5	学～，练～
襲	sip5	～击，偷～
沉	tsʰəm21	～底
蟄	tsʰɛt5	惊～
参	tsʰam33	～差不齐
岑	tsʰɛm21	姓，～参；～村
森	sɛm33	～林
参	sɛm33	人～
滲	tsʰam33	～水
澀	sɛp1	青～
澀	kiap1	柿子～[训]
针	tsəm33	～线，～对
斟	tsəm33	～酒，～酌
枕	tsəm31	～头[名]；～枕头[动]
執	tsəp1	～行，～法
汁	tsəp1	菜～，果～
深	tsʰəm33	～浅，～入
沈	səm31	姓；地名，～阳
審	səm31	～问
嬸	səm31	叔母，大～
溼	səp1	潮～
甚	səm55	～至
十	səp5	数字
拾	səp5	收～
壬	ŋim21	天干，庚辛壬癸
任	im55	姓；责～，～何
紉	im55	缝～
入	ŋip5	～门，进～
今	kim33	～日，～年，现～[文]
今	kin33	～日，～年[白]
金	kim33	～银
禁	kim55	不～
襟	kʰim33	衣的前幅、交领，连～
錦	kim31	～绣，～旗
禁	kim55	～止
急	kip1	心～
級	kʰip1	～别，年～
級	kʰip5	三年～
給	kip1	供～，～予
欽	kʰim33	～差，～佩
泣	kʰip1	～血，哭～
琴	kʰim21	弹～
禽	kʰim21	家～
擒	kʰim21	～拿
及	kʰip5	～时
吟	im21	～诗
吸	kʰip1	呼～，～引
音	im33	～乐，声～
陰	im33	～天
飮	im31	～酒[动]；米汤[名]
荫	im33	福～，树～
飮	im55	～马
揖	ip1	作～
淫	im21	～荡
丹	tan33	牡～，仙～
單	tan33	～独
旦	tan55	元～，花～
疸	tʰan31	黄～
灘	tʰan33	沙～
攤	tʰan33	分～，～开，摆～
癱	tʰan33	～痪
坦	tʰan31	～白，～克
炭	tʰan55	烧～
叹	tʰan55	～气
獺	tsʰat1	水～
檀	tʰan21	～香
坛	tʰan21	天～[文]
坛	tʰam21	文～[白]
彈	tʰan21	～琴
誕	tan55	圣～，～生
但	tan55	～係（但是），不～
彈	tʰan21	子～
蛋	tʰan55	皮～
达	tʰat5	发～，～到
難	nan21	困～
難	nan55	逃～，患～
捺	na55	撇～
蘭	lan21	～花
攔	lan21	～路
欄	lan21	～杆
懶	lan33	懒惰，～尸
爛	lan55	灿～，腐～
辣	lat5	～椒
瘌	lat1	结～（结痂），～痢（头屑）
赞	tsan55	称～，～助
餐	tsʰɔn33	～车，快～
燦	tsʰan55	～烂
擦	tsʰat1	～车
殘	tsʰan21	～废
珊	san33	～瑚
散	san31	松～，药～
散	san55	分～，解～
撒	sat1	～手，～种
薩	sat1	菩～
干	kɔn33	天～地支；～扰
干	kɔn33	烘～，饼～
肝	kɔn33	猪～
竿	kɔn33	竹～
杆	kɔn33	旗～，杠～
稈	kɔn31	禾～（稻秆）
赶	kɔn31	追～
干	kɔn55	～部，才～
割	kɔt1	～禾（割稻）
葛	kɔt1	诸～亮；生～，～薯
看	kʰɔn55	～守所
刊	kʰɔn33	报～
看	kʰɔn55	看见
渴	hɔt1	口渴；～望
岸	ŋan55	口～，两～
鼾	hɔn33	～睡
罕	hɔn31	稀～，～见
漢	hɔn55	～人
喝	hɔt1	吆～，～彩
寒	hɔn21	大～，～流
韓	hɔn21	～国；姓
旱	hɔn33	干旱
汗	hɔn55	出～，～马功劳
焊	hɔn55	电～，～接
翰	hɔn55	～林院；人名用字
安	ɔn33	公～，～全
鞍	ɔn33	马～，～山
按	ɔn55	～照
案	ɔn55	～件，档～
扮	pan55	打～
八	pat1	数字
盼	pʰan55	～望
瓣	pʰan55	花～
辦	pʰan55	～事
拔	pʰat5	～河，选～
綻	tsʰan55	破～[文]；长出，～笋，～芽[白]
盞	tsan31	灯～（灯）
扎	tsat1	～紧，驻～
铲	tsʰan31	～草
察	tsʰat1	观～
山	san33	山
產	san31	生～
殺	sat1	～人，自～
艱	kian33	～苦
間	kian33	房～，中～
簡	kian31	～单
揀	kian31	挑选
間	kian31	～断，离～[文]；隔开[白]
眼	ŋian31	双～皮
闲	han21	～事，空～
限	han55	期～，～制
莧	han55	～菜
軋	tsap1	～钢厂
班	pan33	上～
斑	pan33	～马
頒	pan33	～布，～奖
扳	pan33	～手，～开
板	pan31	黑～，石～
版	pan31	出～
攀	pʰan33	～登，高～
襻	pʰan55	扣住扣子的套，纽～
蠻	man21	不听话；野～
慢	man55	～车
棧	tsʰan55	客～；碗橱，碗～
鍘	tsɛt1	～刀
刪	san33	～除
疝	san33	～气（小肠气）
奸	kian33	～诈，～臣
鐧	kian31	杀手～
顏	ŋian21	姓；～色
雁	ŋian55	大～
瞎	hat1	～目
轄	hɔt5	管～，直～市
晏	ian55	晚、迟；～子使楚
鞭	piɛn33	皮～，～策
編	pʰiɛn33	～书，～辑[文]
編	piɛn33	毛～，～毛编[白]
變	piɛn55	～化，改～
別	pʰiɛt5	区～
鱉	piɛt1	甲鱼
篇	pʰiɛn33	一～文章
偏	pʰiɛn33	～～，～僻
騙	pʰiɛn55	欺～
便	pʰiɛn21	～宜
辨	pʰiɛn55	分～，～别
辯	pʰiɛn55	～论
汴	piɛn55	～京（北宋都城）
便	pʰiɛn55	方～
別	pʰiɛt5	离～，分～
綿	miɛn21	海～，～羊
棉	miɛn21	～花
免	mɛn33	难～，～除
勉	mɛn33	～强，～励
娩	van31	分～
緬	miɛn31	～怀；～甸（地名）
面	miɛn55	～子
滅	miɛt5	消～，～亡
碾	ŋan33	～米
連	liɛn21	～长；大～（地名）
聯	liɛn21	～系；对～
列	liɛt5	排～；～宁（人名）
列	lat5	两～（两排）[白，量]
烈	liɛt5	～士，热～
裂	liɛt5	～开，分～
煎	tsiɛn33	～药，～鱼
剪	tsiɛn31	～刀
箭	tsiɛn55	射～
濺	tsiɛn55	～一身水
迁	tsʰiɛn33	升～，～怒
淺	tsʰiɛn31	深～
錢	tsʰiɛn21	～财
踐	tsʰiɛn55	实～
賤	tsʰiɛn55	下～，～人
仙	siɛn33	神～
鮮	siɛn33	新～
鮮	siɛn33	朝～（国名）
癬	siɛn31	发～（生癣）
線	siɛn55	～索
薛	siɛt1	姓，～宝钗
泄	siɛt1	～漏，排～
羡	siɛn31	～慕
展	tsan31	开～，发～
哲	tsat1	～学
徹	tsʰat5	～底
撤	tsʰat5	～退
纏	tsʰan21	纠～，～线
轍	tsʰat5	南辕北～；苏～（人名）
毡	tsan33	羊毛～
戰	tsan55	～斗
顫	tsan33	～抖
折	tsat1	～断，打～
浙	tsat1	～江（地名）
舌	sat5	舌头
扇	san55	扇扇子，扇耳光[动]
扇	san55	扇子[名]
設	sat1	～计，建～
蟬	tsʰam21	蝉
禪	tsʰam21	～宗，～师
善	san55	～良，心～
膳	san55	～食，用～
單	tan33	姓
禪	sam21	～让，封～
折	sat5	～本（赔本）
然	ian21	～后，居～
燃	ian21	～烧
熱	ŋiat5	冷～，～情
遣	kʰian31	派～
乾	kʰian21	～坤，～隆
虔	kʰian21	～诚
件	kʰian55	事～
杰	kʰiat5	～出
諺	ŋian55	农～，～语
孽	ŋiap5	造～
延	ian21	～长，～安
演	ian33	～员，表～
建	kian55	～设
揭	iat1	～发，～露
揭	kiat1	～阳（地名）
鍵	kʰian55	关～，～盘
腱	kʰian55	肌～
言	ŋian21	语～
軒	hian33	人名用字
掀	hian33	～开[文]
掀	ian33	～被[白]
宪	hian31	～法
獻	hian55	贡～
歇	hiat1	休息，～一下，～夜
蝎	kiat1	蝎子，蛇～心肠
堰	ian33	坝，都江～
邊	piɛn33	～疆，旁～
蝙	piɛn33	～蝠
扁	piɛn31	圆扁
匾	piɛn31	牌～
遍	pʰiɛn33	三～，～地，普～
片	pʰiɛn31	一～，～面
撇	pʰiɛt1	～捺，～开
蹩	piɛt1	跛，～脚
眠	min21	～床（床），安～
面	miɛn55	～粉
蔑	mat1	～视
顚	tiɛn33	～倒，～簸
典	tiɛn31	～型，词～
天	tʰiɛn33	～才
腆	tiɛn31	腼～
鐵	tʰiɛt1	～皮
田	tʰiɛn21	种～
塡	tʰiɛn21	～空
電	tʰiɛn55	触～，～灯
殿	tʰiɛn55	宫～
奠	tiɛn55	～基
墊	tiɛn55	～钱，座～
年	ŋian21	过～
捻	ŋian31	以指捻碎
捏	nɛt1	以指尖捏取小面积
怜	liɛn21	可～[文]
怜	lin21	可～[白]
蓮	liɛn21	～花，睡～
練	liɛn55	～习，熟～
炼	liɛn55	～丹，锻～
链	liɛn55	项～，～条
楝	liɛn55	苦～树
箋	tsiɛn33	便～，信～
荐	tsiɛn55	推～
節	tsiɛt1	～约，竹～
千	tsʰiɛn33	～万
切	tsʰiɛt1	～菜
前	tsʰiɛn21	从～，～后
截	tsʰiɛt5	～断
先	siɛn33	祖～，～进，～生
屑	siɛt1	锯～[白，名]
屑	siɛt1	不～一顾[文，动]
楔	siat1	～入去（塞进去）[训]
肩	kin33	～头
堅	kian33	～强
茧	kian31	蚕～
見	kian55	～人，～识
結	kiat1	～婚，～疕[文，动]
