#漢字	音標	解釋
謝	ʦ'ia51	谢：多～；姓
爹	tia44	爹：～娘
遮	ʦa44	遮：遮挡[动]；伞[名]
者	ʦa31	者：记～，作～
蔗	ʦa51	蔗：甘蔗
車	ʦ'a44	车：火～
扯	ʦ'a31	扯：～开，～烂
蛇	sa24	蛇：毒～
射	sa51	射：发～，～箭
麝	sa44	麝：～香
奢	ʦ'a44	奢：～侈
賒	ʦ'a44	赊：～帐
捨	sa31	舍：～唔得（舍不得）
赦	sa51	赦：～免
舍	sa51	舍：宿～
社	sa44	社：～会，公～
惹	ȵia44	惹：～事
耶	jia31	耶：～稣
爺	jia24	爷：父亲；爷爷[文]
也	jia44	也：～知
野	jia44	野：～人
夜	jia51	夜：日～，～班
傻	sa24	傻：～瓜，～子
瓜	ka44	瓜：西～，～分
蝸	vɔ44	蜗：～牛
寡	ka31	寡：～妇，守～
剮	ka31	剐：千刀万～
誇	k'a44	夸：～大，～张
垮	k'a44	垮：～台
跨	k'a44	跨：～栏，～度
娃	va24	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa44	花：开～
化	fa51	化：变～
華	fa24	华：中～
劃	vak5	划：～船
華	fa51	华：～山；姓
蛙	va44	蛙：青～，～泳
補	pu31	补：～鞋，～充
譜	p'u31	谱：族～，歌～
布	pu51	布：红～，～料
佈	pu51	布：公～，～置
鋪	p'u44	铺：～路，床～
普	p'u44	普：～通，～遍
浦	p'u31	浦：黄～江
鋪	p'u51	铺：店～，当～
怖	pu51	怖：恐～
蒲	p'u31	蒲：（石）菖～
菩	p'u24	菩：～萨
脯	p'u31	脯：胸～
部	p'u51	部：～队，干～
簿	p'u44	簿：练习～，帐～
步	p'u51	步：跑～
捕	p'u31	捕：逮～，～快
埠	feu51	埠：开～
埠	pu51	埠：庵～，蚌～（地名）
模	mu24	模：～型，～范
摹	mu24	摹：～仿，描～
暮	mu51	暮：日暮
慕	mu51	慕：羡～，～名而来
墓	mu51	墓：坟～，～地
募	mu51	募：～捐
都	tu44	都：首～，～市
都	teu44	都：都是
堵	tu31	堵：～车，～塞
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
妬	tu51	妒：～忌
土	t'u31	土：～地
吐	t'u51	吐：～痰；呕～
兔	t'u51	兔：野～
徒	t'u24	徒：～弟
屠	t'u24	屠：～杀
