#漢字	音標	解釋
粗	tsʰɿ22	粗：～心
醋	tsʰɿ45	醋：陈～
措	tsʰɔu45	措：～施
錯	tsʰɔu45	错：～误
蘇	sɿ22	苏：～州；姓
酥	sɿ22	酥：脆，杏仁～
素	sɿ45	素：～菜，朴～
訴	sɿ45	诉：上～，倾～
塑	sɔk2	塑：雕～，～料
姑	ku22	姑：大～
孤	ku22	孤：～儿，～单
古	ku31	古：～代
估	ku31	估：～计
牯	ku31	牯：牛～
故	ku45	故：～事，～乡
固	ku45	固：～定
枯	kʰu22	枯：干～，～水
苦	kuʰ31	苦：辛～，食～（吃苦）
苦	kʰu31	苦：～味
庫	kʰu45	库：水～，仓～
吳	m̩41	吴：姓
蜈	ŋuŋ41	蜈：～蚣
五	m̩31	五：数字
伍	m̩31	伍：姓；队～
午	m̩31	午：中～，端～
誤	ŋu31	误：～会，错～
悟	m̩41	悟：觉～；孙～空
呼	fu22	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu22	虎：马～
戽	fu45	戽：～水（泼水），～斗
胡	fu41	胡：二～ ；姓
湖	fu41	湖：西～
乎	fu22	乎：在～
鬍	fu41	胡：～须
糊	fu41	糊：浆～，～涂
戶	fu31	户：～口
互	fu41	互：～相
護	fu31	护：保～，～士
瓠	pʰu41	瓠：瓠瓜（味似葫芦而长）
烏	vu22	乌：黑
污	vu22	污：～染
惡	vu45	恶：可～
女	ȵi31	女：女人
廬	lu41	庐：～山
呂	li22	吕：姓
旅	li22	旅：～游
慮	li31	虑：考～
徐	tsi41	徐：姓
序	si31	序：顺～
緖	si31	緖：情～；光～
豬	tʃu22	猪：～肉
著	ʧu45	著：～名，显～
除	tʃʰu41	除：～法
儲	ʃu41	储：～蓄
苧	tsʰɿ31	苎：～麻
阻	ʦɿ31	阻：～止，～力
初	tsʰɿ22	初：当～，～中
楚	tsʰɿ31	楚：清～
礎	tsʰɿ31	础：基～
鋤	tsʰɿ41	锄：～草，～禾日当午
助	tsʰɿ31	助：帮～
梳	sɿ22	梳：梳子[名]；梳头[动]
疏	sɿ22	疏：～远；稀疏
疏	sɿ22	疏：生～
蔬	sɿ22	蔬：～菜
所	sɔu31	所：～以；派出～
煮	tʃu31	煮：～饭
處	tʃʰu45	处：～理
