#漢字	音標	解釋
躍	jiɔk5	跃：跳～，大～进
光	kɔŋ44	光：阳～，～明
藥	jiɔk3	药：中～，～片
樣	niɔŋ44	样：～般
樣	jiɔŋ44	样：一～
癢	jiɔŋ31	痒：皮肤痒
養	jiɔŋ31	养：培～，～猪
瘍	jiɔŋ51	疡：溃～
揚	jiɔŋ51	扬：表～，发～
楊	jiɔŋ51	杨：姓；～树
陽	jiɔŋ51	阳：太～；揭～（地名）
羊	jiɔŋ51	羊
洋	jiɔŋ51	洋：太平～
約	jiɔk5	约：大～，～会
殃	jiɔŋ44	殃：遭～，～及
秧	jiɔŋ44	秧：插～，～苗
央	jiɔŋ44	央：中～台，党中～[文]
央	jiɔŋ44	央：中～（中间）[白]
向	hiɔŋ31	向：～东
響	hiɔŋ24	响：音～
享	hiɔŋ24	享：～受，分～
鄕	hiɔŋ44	乡：家～
香	hiɔŋ44	香：～味，烧～；～港（地名）
瘧	niɔk5	疟：～疾
虐	niɔk5	虐：～待
仰	ŋɔŋ31	仰：～视
卻	k'iɔk5	却：退～，～步
強	k'iɔŋ24	强：勉～
腳	kiɔk5	脚：赤～
強	k'iɔŋ51	强：～大，坚～
姜	kiɔŋ44	姜：姓，孟～女，～太公
繮	kiɔŋ44	缰：～绳
薑	kiɔŋ44	姜：～糖
僵	kiɔŋ44	僵：冻～，～硬
疆	kiɔŋ44	疆：新～（地名）
弱	niɔk3	弱：～点
若	niɔk3	若：～干，～无其事
讓	niɔŋ44	让：～位
壤	niɔŋ24	壤：土～
瓤	nɔŋ51	瓤：瓜～
芍	sɔk3	芍：～药；白～（中药）
勺	sɔk3	勺：饭～
上	sɔŋ44	上：桌～，床～
上	sɔŋ44	上：～背[方位]；～海（地名）
尙	sɔŋ44	尚：和～，高～
上	sɔŋ24	上：安上，～灯，～灯泡
上	sɔŋ31	上：～山[动]
償	sɔŋ51	偿：赔～
嘗	sɔŋ51	尝：～试，品～
常	sɔŋ51	常：经～，～识；姓
餉	hiɔŋ24	饷：军～
賞	sɔŋ24	赏：欣～，～金
傷	sɔŋ44	伤：受～
商	sɔŋ44	商：～量，经～
綽	tsɔk5	绰：～～有余，～号
倡	ts'ɔŋ24	倡：提～
唱	ts'ɔŋ31	唱：～歌
菖	ts'ɔŋ44	菖：～蒲
廠	ts'ɔŋ24	厂：～长
昌	ts'ɔŋ44	昌：～盛
酌	tsɔk5	酌：斟～，～情
嶂	tsɔŋ44	嶂：耸立如屏障的山峰
障	tsɔŋ31	障：保～
瘴	tsɔŋ44	瘴：～气
掌	tsɔŋ24	掌：巴～，～握
樟	tsɔŋ44	樟：～脑丸；～木头（地名）
章	tsɔŋ44	章：姓；文～
爽	sɔŋ24	爽：～快，直～
孀	sɔŋ44	孀：遗～
霜	sɔŋ44	霜：落～，～降
狀	ts'ɔŋ44	状：告～，～元，～态
牀	ts'ɔŋ51	床：眠～
創	ts'ɔŋ24	创：开～，～造
闖	ts'ɔŋ24	闯：～祸，李～王
壯	tsɔŋ31	壮：强～
瘡	ts'ɔŋ44	疮：痔～
妝	tsɔŋ44	妆：化～
裝	tsɔŋ44	装：假～
莊	tsɔŋ44	庄：～园；姓
杖	ts'ɔŋ44	杖：拐～
着	ts'ɔk5	着：～火
仗	tsɔŋ31	仗：打～；炮～（鞭炮）
