#漢字	音標	解釋
鼓	ku31	鼓
蠱	ku31	蠱
故	ku33	故
固	ku31	固
雇	ku33	雇
顧	ku33	顧
枯	kʰu45	枯
苦	kʰu31	苦
庫	kʰu33	庫
褲	kʰu33	褲
吳	ŋ̍213	吴
蜈	ŋ̍45	蜈
梧	ŋ̍31	梧
五	ŋ̍31	五
伍	ŋ̍31	伍
午	ŋ̍31	午
誤	ŋ̍33	誤
悟	ŋ̍45	悟
呼	fu45	呼
虎	fu31	虎
滸	su31	滸
戽	fu33	戽
胡	fu213	胡
湖	fu213	湖
狐	fu213	狐
壺	fu213	壺
乎	fu45	乎
鬍	fu213	鬍
葫	fu213	葫
糊	fu213	糊
蝴	fu213	蝴
戶	fu31	户
滬	lu31	滬
互	fu213	互
護	fu33	護
烏	vu45	烏
污	vu45	污
惡	vu33	惡
女	ni31	女
廬	lu213	廬
驢	lu213	驢
呂	li45	吕
旅	li31	旅
慮	li33	慮
濾	li33	濾
蛆	ʦi45	蛆
徐	ʦʰi213	徐
序	ʦʰi33	序
叙	ʦʰi33	叙
緖	sui33	緒
豬	ʦu45	豬
著	ʦu33	著
除	ʦʰu213	除
儲	ʦʰu213	儲
箸	ʦʰu33	箸
阻	ʦɔ31	阻
初	ʦʰɔ45	初
楚	ʦʰɔ31	楚
礎	ʦʰɔ31	礎
鋤	ʦʰu213	鋤
助	ʦʰi33	助
梳	sɔ45	梳
疏	sɔ45	疏
蔬	sɔ45	蔬
所	sɔ31	所
疏	sɔ45	疏
諸	ʦʮ45	諸
煮	ʦu31	煮
處	ʦʰu33	處
處	ʦʰu33	處
書	su45	書
舒	su45	舒
暑	su31	暑
鼠	su31	鼠
庶	su31	庶
恕	su33	恕
墅	sui33	墅
署	su31	署
薯	su213	薯
如	ȵi213	如
居	ki45	居
車	ki45	車
舉	ki31	舉
據	ki33	據
鋸	ki33	鋸
墟	su33	墟
去	kʰi33	去
渠	kʰi213	渠
佢	kei45	佢
巨	kʰei45	巨
拒	kʰei45	拒
距	kʰei45	距
魚	ŋ̍213	魚
漁	ŋ̍213	漁
語	ȵi31	語
御	ȵi31	御
禦	ȵi31	禦
虛	su45	虚
噓	su45	嘘
許	su31	許
於	i45	於
淤	i45	淤
余	ji213	余
餘	ji213	餘
與	ji31	與
譽	i33	譽
預	i33	預
豫	ȵi213	豫
夫	fu33	夫
膚	fu33	膚
府	fu31	府
腑	fu31	腑
俯	fu31	俯
甫	pʰu31	甫
脯	pʰu33	脯
斧	pʰu213	斧
付	fu33	付
賦	fu33	賦
傅	fu33	傅
咐	fu31	咐
敷	pʰu33	敷
俘	fu33	俘
孵	fu33	孵
麩	kʰu33	麩
撫	mu31	撫
赴	fu31	赴
符	fu213	符
扶	fu213	扶
芙	fu31	芙
父	fu33	父
腐	fu31	腐
輔	pʰu31	輔
附	fu31	附
無	mɔu213	無
巫	mu213	巫
誣	mu213	誣
武	vu31	武
舞	mu31	舞
侮	mu31	侮
鵡	vu31	鵡
務	mu31	務
霧	mu33	霧
屢	lui33	屢
趨	ʦʰui45	趨
取	ʦʰi31	取
娶	ʦʰi31	娶
趣	ʦʰi33	趣
聚	ʦʰi33	聚
須	sui45	須
鬚	su33	鬚
需	si45	需
續	ʦok031	續
誅	ʦu33	誅
蛛	ʦu45	蛛
株	ʦu33	株
駐	ʦʰu33	駐
註	ʦu33	註
廚	ʦʰu213	厨
柱	ʦʰu45	柱
住	ʦʰu33	住
數	su33	數
數	su33	數
朱	ʦu45	朱
硃	ʦu45	硃
珠	ʦu45	珠
主	ʦu31	主
注	ʦu33	注
蛀	ʦʮ33	蛀
鑄	ʦu33	鑄
樞	kʰi45	樞
輸	su45	輸
輸	su45	輸
殊	su31	殊
豎	su31	豎
樹	su33	樹
儒	ji213	儒
乳	ȵui31	乳
拘	kʰi45	拘
倶	kʰei33	俱
矩	ki31	矩
句	ki33	句
區	kʰi45	區
驅	kʰi45	驅
具	kʰi33	具
懼	kʰi33	懼
愚	ŋi31	愚
娛	ŋ̍45	娱
遇	ŋi31	遇
寓	ȵi31	寓
迂	i33	迂
于	i33	于
雨	ji31	雨
宇	ji31	宇
禹	ŋi31	禹
羽	ji31	羽
芋	vu33	芋
愉	i33	愉
愈	i33	愈
喩	i31	喻
裕	i33	裕
獃	ŋɔi45	獃
戴	tai33	戴
胎	tʰɔi45	胎
態	tʰai33	態
貸	tʰɔi33	貸
臺	tʰɔi213	臺
苔	tʰɔi213	苔
抬	tʰɔi213	抬
待	tʰɔi33	待
怠	tʰɔi31	怠
代	tʰɔi33	代
袋	tʰɔi33	袋
乃	nai45	乃
耐	nai33	耐
來	lɔi213	來
災	ʦai45	災
栽	ʦɔi45	栽
宰	ʦai31	宰
載	ʦɔi33	載
再	ʦai33	再
載	ʦɔi33	載
猜	ʦʰai45	猜
踩	ʦʰai31	踩
彩	ʦʰɔi31	彩
採	ʦʰɔi31	採
睬	ʦʰɔi31	睬
菜	ʦʰɔi33	菜
才	ʦʰɔi213	才
材	ʦʰɔi213	材
