#漢字	音標	解釋
趙	ʦʰau33	趙
兆	ʦʰau33	兆
召	ʦʰau33	召
昭	ʦʰau33	昭
招	ʦau33	招
沼	sau213	沼
照	ʦau33	照
燒	sau45	燒
少	sau31	少
少	sau33	少
韶	sau213	韶
紹	sau213	紹
邵	sau213	邵
饒	ȵiau213	饒
擾	kau31	擾
繞	ȵau213	繞
繞	ȵau213	繞
驕	kiau33	驕
嬌	kiau33	嬌
喬	kiau213	喬
僑	kiau213	僑
橋	kiau213	橋
轎	kiau33	轎
囂	hiau33	囂
妖	iau33	妖
邀	iau45	邀
腰	iau45	腰
要	iau213	要
要	iau33	要
搖	iau213	摇
謠	iau213	謡
窑	iau213	窑
姚	iau213	姚
舀	iau31	舀
耀	iau33	耀
鷂	iau33	鷂
刁	tiau45	刁
貂	tiau45	貂
雕	tiau45	雕
鳥	niau31	鳥
釣	tiau33	釣
吊	tiau33	吊
挑	tʰiau45	挑
跳	tʰiau33	跳
糶	tʰiau33	糶
條	tʰiau213	條
調	tʰiau213	調
掉	tiau33	掉
調	tʰiau33	調
調	tʰiau33	調
尿	ȵiau33	尿
聊	liau213	聊
遼	liau213	遼
撩	liau45	撩
寮	liau45	寮
了	liau31	了
瞭	liau213	瞭
料	liau33	料
蕭	siau45	蕭
簫	siau45	簫
澆	ȵau213	澆
繳	kiau31	繳
僥	hiau45	僥
叫	kiau33	叫
竅	kʰiau33	竅
堯	ȵiau213	堯
曉	hiau31	曉
剖	pʰau213	剖
某	mai33	某
畝	mɐi31	畝
牡	mei33	牡
母	mu33	母
拇	mu33	拇
戊	vu33	戊
茂	mei33	茂
貿	mɐi33	貿
兜	tɐi213	兜
斗	tɐi31	斗
抖	tɐi31	抖
鬥	tɐi33	鬥
偸	tʰɐi33	偷
㪗	tʰɐi31	敨
透	tʰɐi33	透
頭	tʰɐi213	頭
投	tʰɐi213	投
豆	tʰɐi33	豆
逗	tʰɐi33	逗
痘	tʰɐi33	痘
樓	lɐi213	樓
簍	lɐi213	簍
摟	lɐu213	摟
漏	lɐi33	漏
陋	lɐu33	陋
走	ʦɐi31	走
奏	ʦɐi33	奏
湊	ʦɐi33	凑
嗽	sɐu33	嗽
勾	kɐi45	勾
鉤	kɐi45	鉤
溝	kʰɐi45	溝
狗	kɐi31	狗
苟	kɐi31	苟
够	kɐi33	够
構	kɐi33	構
購	kɐi45	購
勾	kɐi45	勾
摳	ŋɐi45	摳
口	hɐi31	口
叩	kʰɐi33	叩
扣	kʰɐi33	扣
寇	kʰɐi33	寇
藕	ŋɐu31	藕
偶	ŋei31	偶
偶	ŋɐu31	偶
侯	hai213	侯
喉	hai213	喉
猴	hɐi213	猴
後	hɐi33	後
厚	hɐi213	厚
后	hɐi33	后
候	hɐi33	候
歐	ɐi45	歐
嘔	ɐi31	嘔
毆	ɐi45	毆
漚	ɐi33	漚
慪	ɐi33	慪
否	fɐi31	否
富	fu33	富
副	fu33	副
浮	fɐi213	浮
婦	fu31	婦
負	fu33	負
復	fok031	復
謀	mɐi213	謀
矛	mau213	矛
紐	nɐi31	紐
扭	niu31	扭
流	liu213	流
劉	liu213	劉
留	liu213	留
榴	liu213	榴
硫	liu213	硫
琉	liu213	琉
柳	liu31	柳
溜	liu45	溜
餾	liu213	餾
廖	liau33	廖
揪	ʦʰiu45	揪
酒	ʦiu31	酒
秋	ʦʰiu45	秋
秋	ʦʰiu45	秋
鰍	niu45	鰍
就	ʦʰiu33	就
修	liu45	修
羞	ʦʰiu31	羞
秀	liu33	秀
繡	siu33	繡
宿	sok031	宿
銹	siu33	銹
囚	ʦʰiu213	囚
袖	ʦʰiu33	袖
肘	ʦʰen33	肘
晝	ʦiu33	晝
抽	ʦʰiu45	抽
丑	ʦʰiu31	丑
綢	ʦʰiu213	綢
稠	ʦiu33	稠
籌	ʦʰiu213	籌
宙	ʦʰiu33	宙
鄒	ʦɐi45	鄒
皺	ȵiu33	皺
愁	sɐi213	愁
驟	ʦɐi33	驟
搜	sɐi213	搜
餿	sɐi213	餿
蒐	sɐi213	蒐
瘦	sɐi33	瘦
周	ʦiu213	周
舟	ʦɐi213	舟
州	ʦiu45	州
洲	ʦiu45	洲
咒	ʦiu33	咒
醜	ʦʰiu31	醜
臭	ʦʰiu33	臭
收	siu45	收
手	siu31	手
首	siu31	首
守	siu31	守
獸	ʦʰiu33	獸
仇	siu213	仇
酬	ʦʰiu213	酬
受	siu33	受
壽	siu33	壽
授	siu33	授
售	ʦʰiu213	售
柔	jiu213	柔
揉	iᵊu213	揉
鳩	kɐi33	鳩
鬮	kɐi45	鬮
糾	tɐu31	糾
九	kiu31	九
久	kiu31	久
韭	kiu31	韭
灸	kiu33	灸
救	liu33	救
究	liu33	究
丘	kʰiu45	丘
求	kʰiu213	求
球	kʰiu213	球
仇	ʦʰiu213	仇
舅	kʰiu45	舅
舊	kʰiu33	舊
牛	ŋɐi213	牛
休	iu45	休
朽	ɐi31	朽
嗅	ʦʰiu45	嗅
憂	iu45	憂
優	iu45	優
尤	iu213	尤
郵	iu213	郵
有	iu45	有
友	iu33	友
又	iu31	又
右	iu33	右
佑	iu33	佑
由	iu213	由
油	iu213	油
游	iu213	游
猶	iu213	猶
悠	iu45	悠
酉	iu45	酉
誘	iu33	誘
柚	iu45	柚
釉	iu45	釉
彪	piau45	彪
謬	mau31	謬
丟	tiau45	丢
糾	tɐu31	糾
幽	iu45	幽
幼	iu33	幼
耽	tam45	耽
答	tap031	答
搭	tap031	搭
籃	lam45	籃
覽	lam31	覽
攬	lam31	攬
欖	lam31	欖
濫	lam33	濫
纜	lam33	纜
臘	lap055	臘
蠟	lap055	蠟
慚	ʦʰam31	慚
暫	ʦʰam31	暫
三	sam45	三
甘	kam45	甘
柑	kam45	柑
敢	kam31	敢
橄	kam31	橄
喊	ham33	喊
站	ʦʰam33	站
劄	ʦap055	劄
賺	ʦʰam33	賺
站	ʦʰam33	站
斬	ʦam31	斬
眨	ʦam31	眨
插	ʦʰat031	插
讒	ʦʰen45	讒
閘	ʦʰat055	閘
煠	ʦa33	煠
杉	ʦʰa33	杉
尷	kam33	尷
減	kam31	减
鹼	kan31	鹼
夾	kʰɛp055	夾
恰	ʦap031	恰
掐	kʰɐi33	掐
咸	ham45	咸
鹹	ham45	鹹
陷	ham31	陷
狹	kʰɛp055	狹
峽	kʰɛp055	峽
洽	hap055	洽
衫	sam45	衫
監	kam45	監
鑒	kam33	鑒
監	kam33	監
淹	ian31	淹
閹	ian45	閹
掩	ian31	掩
厭	ian33	厭
炎	ian31	炎
鹽	ian213	鹽
閻	ȵam213	閻
檐	iam213	檐
艷	iam31	艷
焰	iam31	焰
鹽	iat031	鹽
葉	iat055	葉
頁	iap055	頁
劍	kiam33	劍
劫	kɛp031	劫
欠	kʰiam33	欠
嚴	ȵam213	嚴
業	ȵap055	業
脅	hap055	脅
腌	ȵap031	腌
點	tiam31	點
店	tiam33	店
踮	tiam45	踮
跌	tɛt031	跌
添	tʰiam45	添
舔	tʰiam31	舔
帖	tʰɛt031	帖
貼	tʰɛt031	貼
甜	tʰiam213	甜
疊	tʰɛp055	疊
碟	tʰɛp055	碟
牒	tʰɛp055	牒
蝶	tʰɛp055	蝶
諜	tʰɛp055	諜
拈	ʦam45	拈
念	ȵiam33	念
兼	kiam45	兼
挾	kʰɛp055	挾
謙	hiam45	謙
歉	kʰiam33	歉
嫌	sam45	嫌
協	hɛp055	協
俠	kʰɛp055	俠
法	fat031	法
吻	vok055	吻
刎	vok055	刎
問	mun33	問
物	vok055	物
勿	fɐt031	勿
君	ʦʰun45	君
軍	kiun45	軍
屈	kʰok031	屈
羣	kʰun213	群
裙	kʰun213	裙
郡	kʰun213	郡
掘	kʰok055	掘
倔	kʰok031	倔
勳	fun45	勳
葷	fen45	葷
訓	sun33	訓
雲	jun213	雲
耘	jun213	耘
運	jun33	運
暈	fun213	暈
幫	pɔn45	幫
榜	pɔn31	榜
謗	pɔn31	謗
博	pɔk031	博
滂	pɔŋ213	滂
泊	pʰak031	泊
旁	pʰɔŋ213	旁
螃	pʰɔŋ213	螃
傍	pʰɔŋ213	傍
傍	pʰɔn31	傍
薄	pʰɔk055	薄
泊	pʰak031	泊
忙	mɔŋ213	忙
芒	mɔŋ213	芒
茫	mɔn45	茫
莽	man31	莽
蟒	man31	蟒
莫	mɔk055	莫
膜	mɔk055	膜
幕	mɔk031	幕
寞	mɔk031	寞
摸	mɔ45	摸
當	tɔn45	當
黨	tɔŋ31	黨
擋	tɔŋ31	擋
當	tɔn33	當
檔	tɔn31	檔
湯	tʰɔn45	湯
躺	tʰɔn31	躺
燙	tʰɔn45	燙
趟	tʰɔn33	趟
託	tʰɔk031	託
托	tʰɔk031	托
堂	tʰɔn213	堂
棠	tʰɔn213	棠
螳	tʰɔn213	螳
唐	tʰɔn213	唐
糖	tʰɔn213	糖
塘	tʰɔn213	塘
蕩	tʰɔn31	蕩
踱	tʰu33	踱
囊	nɔn213	囊
諾	jɔk031	諾
郞	lɔŋ213	郎
廊	lɔŋ213	廊
狼	lɔŋ213	狼
朗	lɔŋ31	朗
浪	lɔŋ31	浪
晾	lœn213	晾
落	lɔk055	落
烙	lɔk031	烙
駱	lɔk031	駱
洛	lɔk031	洛
絡	lɔk031	絡
樂	lɔk055	樂
贓	ʦɔŋ45	贓
髒	ʦɔŋ33	髒
葬	ʦɔŋ33	葬
作	ʦɔk031	作
倉	ʦʰɔŋ45	倉
蒼	ʦʰɔŋ33	蒼
艙	ʦʰɔn45	艙
錯	ʦʰɔ33	錯
藏	ʦʰɔn213	藏
藏	ʦʰɔn213	藏
臟	ʦʰɔn213	臟
將	ʦiaŋ45	將
漿	ʦiaŋ45	漿
蔣	ʦiaŋ31	蔣
槳	ʦiaŋ31	槳
獎	ʦiaŋ31	獎
將	ʦiœŋ33	將
醬	ʦiœŋ33	醬
爵	ʦiɛt031	爵
雀	ʦiɛt031	雀
槍	ʦʰiœŋ45	槍
搶	ʦʰiœŋ31	搶
鵲	ʦʰiɛt031	鵲
牆	ʦʰiœŋ213	牆
匠	ʦʰœŋ33	匠
嚼	ʦiɛt031	嚼
相	sœŋ45	相
箱	sœŋ45	箱
廂	sœŋ45	厢
湘	sœŋ45	湘
襄	sœŋ45	襄
鑲	sœŋ45	鑲
想	sœŋ31	想
相	sœŋ33	相
削	sɛt031	削
詳	ʦʰœŋ213	詳
祥	ʦʰœŋ213	祥
象	sœŋ33	象
像	sœŋ33	像
橡	sœŋ33	橡
張	ʦɔŋ33	張
長	ʦʰɔŋ213	長
漲	ʦɔŋ33	漲
帳	ʦɔŋ33	帳
賬	ʦɔŋ33	賬
脹	ʦɔŋ33	脹
着	ʦʰɔk055	着
暢	ʦʰɔŋ33	暢
長	ʦɔŋ31	長
腸	ʦʰɔŋ213	腸
場	ʦʰɔŋ213	場
丈	ʦʰɔŋ33	丈
仗	ʦʰɔŋ33	仗
杖	ʦʰɔŋ33	杖
着	ʦʰɔk055	着
莊	ʦʰɔŋ33	莊
裝	ʦɔŋ45	裝
妝	ʦɔŋ45	妝
壯	ʦɔŋ33	壯
瘡	ʦʰɔŋ45	瘡
闖	ʦʰɔŋ31	闖
創	ʦʰɔŋ33	創
牀	ʦʰɔŋ213	牀
狀	ʦʰɔŋ33	狀
霜	sɔŋ45	霜
孀	sɔŋ45	孀
爽	sɔŋ31	爽
章	ʦɔŋ45	章
樟	ʦɔŋ45	樟
掌	ʦɔŋ31	掌
障	ʦɔŋ33	障
瘴	ʦɔŋ45	瘴
酌	ʦɔk031	酌
昌	ʦʰɔŋ45	昌
娼	ʦʰɔŋ45	娼
厰	ʦʰɔŋ31	厰
唱	ʦʰɔŋ33	唱
倡	ʦʰɔŋ45	倡
綽	ʦʰɔk031	綽
焯	ʦʰɔk031	焯
商	sɔŋ45	商
傷	sɔŋ45	傷
賞	sɔŋ31	賞
晌	sɔŋ31	晌
餉	sɔŋ31	餉
常	sɔŋ213	常
嘗	sɔŋ31	嘗
裳	sɔŋ213	裳
償	sɔŋ31	償
上	sɔŋ45	上
尙	sɔŋ45	尚
上	sɔŋ45	上
勺	sɔk055	勺
芍	ʦɔk031	芍
壤	ȵɔk031	壤
讓	ȵɔŋ33	讓
若	nɔk055	若
弱	ȵɔk055	弱
疆	kiœŋ45	疆
僵	kiœŋ45	僵
晃	fɔŋ31	晃
鑊	vɔk055	鑊
汪	vɔŋ45	汪
方	fɔŋ45	方
肪	fɔŋ45	肪
坊	fɔŋ45	坊
倣	fɔŋ33	倣
放	fɔŋ33	放
芳	fɔŋ45	芳
妨	fɔŋ213	妨
紡	fɔŋ31	紡
仿	fɔŋ31	仿
訪	fɔŋ31	訪
房	fɔŋ213	房
防	fɔŋ213	防
縛	fɔk031	縛
亡	mɔŋ213	亡
芒	mɔŋ45	芒
網	mɔŋ31	網
忘	mɔŋ213	忘
妄	mɔŋ213	妄
望	mɔŋ33	望
匡	kʰɔŋ45	匡
筐	kʰɔŋ45	筐
眶	kʰɔŋ45	眶
框	kʰueŋ45	框
狂	kʰɔŋ213	狂
况	kʰɔŋ33	况
枉	vɔŋ31	枉
王	vɔŋ213	王
往	vɔŋ31	往
旺	vɔŋ33	旺
邦	pɔŋ45	邦
綁	pɔŋ31	綁
剝	mɔk055	剥
駁	pɔk031	駁
胖	pʰɔŋ33	胖
樸	pʰɔk031	樸
龐	pʰɔŋ213	龐
棒	pok031	棒
蚌	foŋ45	蚌
雹	pʰau45	雹
樁	ʦɔŋ45	樁
桌	ʦʰɔk031	桌
卓	ʦʰɔk031	卓
貪	tʰam45	貪
探	tʰam33	探
踏	tʰap055	踏
潭	tʰam213	潭
譚	tʰam213	譚
沓	tap055	沓
南	nam213	南
男	nam213	男
納	nap055	納
拉	lai45	拉
參	ʦʰam45	參
慘	ʦʰam31	慘
蠶	ʦʰam213	蠶
雜	ʦʰap055	雜
感	kam31	感
合	hap055	合
蛤	kɐp031	蛤
鴿	kap031	鴿
堪	kʰɐm45	堪
龕	am45	龕
坎	kʰɐm33	坎
砍	kʰam31	砍
勘	kʰɐm33	勘
喝	hɔp031	喝
含	hɐm45	含
函	ham213	函
撼	kam31	撼
憾	kam31	憾
合	hap055	合
盒	hap055	盒
庵	am45	庵
揞	ap031	揞
暗	am33	暗
擔	tam45	擔
膽	tam31	膽
擔	tam45	擔
坍	tʰam45	坍
塔	tap031	塔
遢	tʰap031	遢
塌	tʰap031	塌
談	tʰam45	談
痰	tʰam45	痰
淡	tʰam31	淡
藍	lam45	藍
甲	kap031	甲
胛	kap031	胛
嵌	kʰam33	嵌
巖	ŋam213	巖
銜	ham213	銜
艦	lam33	艦
鴨	ap031	鴨
押	kap031	押
壓	ap031	壓
貶	pian31	貶
黏	nian45	黏
聶	niat031	聶
鑷	nian33	鑷
廉	liam45	廉
鐮	liam45	鐮
簾	liam45	簾
斂	kiam31	斂
殮	kiam31	殮
獵	liap055	獵
尖	ʦiam45	尖
殲	ʦʰiam45	殲
接	ʦʰɛt031	接
籤	ʦʰian45	籤
簽	ʦʰian45	簽
妾	ʦʰɛt031	妾
潛	ʦʰiam45	潛
漸	ʦʰiam33	漸
捷	tʰɛp055	捷
沾	ʦam45	沾
粘	ʦam45	粘
占	ʦam45	占
佔	ʦam33	佔
摺	ʦat031	摺
陝	sam31	陝
閃	sam31	閃
攝	ȵat031	攝
蟾	tʰen213	蟾
涉	sɐt055	涉
染	ȵiam33	染
檢	kʰiam31	檢
臉	liam31	臉
鉗	kʰiam213	鉗
儉	kʰiam33	儉
驗	ȵiam33	驗
險	san31	險
泛	fan33	泛
凡	fan213	凡
帆	fan213	帆
范	fan33	范
範	fan31	範
犯	fan33	犯
乏	fat055	乏
稟	pɛŋ31	禀
品	pʰɛŋ31	品
林	lɐm213	林
淋	lɐm213	淋
臨	lɐm213	臨
立	lap055	立
笠	lap055	笠
粒	nɐt055	粒
浸	ʦɛn33	浸
侵	ʦʰɛn45	侵
寢	ʦʰɛn31	寢
集	ʦʰɐt055	集
輯	ʦʰɐt055	輯
心	sɐm45	心
尋	ʦʰɛn45	尋
習	ʦʰɛt055	習
襲	ʦʰɛt055	襲
砧	ʦen45	砧
沉	ʦʰim213	沉
蟄	ʦʰit055	蟄
岑	kʰɐm213	岑
森	sen45	森
參	ʦʰan45	參
滲	sen33	滲
澀	ʦit031	澀
針	ʦim45	針
斟	ʦim45	斟
枕	ʦen31	枕
枕	ʦɐm31	枕
執	ʦɛp031	執
汁	ʦɛp031	汁
深	ʦʰɐm45	深
沈	sɐm31	沈
嬸	sɐm31	嬸
審	sɐm31	審
濕	set031	濕
甚	sɐm33	甚
十	sɛp055	十
拾	sɛp055	拾
壬	ȵen213	壬
任	ȵen33	任
任	ȵen33	任
紝	ȵun31	紝
入	ȵɛt055	入
今	kim45	今
金	kim45	金
禁	kim45	禁
襟	kʰim45	襟
錦	kim31	錦
禁	kim33	禁
急	kɛp031	急
級	kɛp031	級
給	kɛp031	給
欽	kʰim45	欽
泣	lɐp031	泣
禽	kʰim213	禽
擒	kʰim213	擒
妗	kʰim33	妗
及	kʰip055	及
吟	ȵɐm213	吟
吸	kʰip031	吸
音	im45	音
陰	im45	陰
飮	ȵim31	飲
飮	ȵim31	飲
蔭	im45	蔭
揖	ip031	揖
淫	fu45	淫
單	tam45	單
丹	tan45	丹
疸	tʰan31	疸
旦	tan33	旦
灘	tʰan45	灘
攤	tʰan45	攤
癱	tʰan45	癱
坦	tan31	坦
嘆	tʰan33	嘆
炭	tʰan33	炭
彈	tʰan213	彈
檀	tʰan213	檀
壇	tʰan213	壇
誕	tan33	誕
彈	tʰan33	彈
但	tʰan31	但
蛋	tʰan33	蛋
達	tʰat055	達
難	nan213	難
難	nan33	難
捺	nai33	捺
蘭	lan213	蘭
攔	lan213	攔
欄	lan213	欄
欄	lan45	欄
懶	lan45	懶
爛	lan33	爛
辣	la45	辣
贊	ʦan33	贊
灒	ʦʰɛ33	灒
餐	ʦʰan45	餐
燦	ʦʰan33	燦
擦	ʦʰat031	擦
殘	ʦʰan213	殘
珊	san45	珊
散	san33	散
傘	san31	傘
散	san31	散
撒	sat031	撒
薩	sat031	薩
干	kɔn213	干
乾	kɔn213	乾
竿	kɔn213	竿
肝	kɔn213	肝
桿	kɔn31	桿
稈	kɔn31	稈
趕	kɔn31	趕
幹	kɔn33	幹
割	kɔk031	割
葛	kɔk031	葛
看	hɔn33	看
刊	hɔn31	刊
看	hɔn33	看
渴	hɔk031	渴
岸	ŋɔn33	岸
鼾	hɔn31	鼾
罕	hɔn31	罕
漢	hɔn33	漢
喝	hɔk031	喝
寒	hɔn31	寒
韓	hɔn213	韓
旱	hɔn45	旱
焊	hɔn31	焊
汗	hɔn33	汗
翰	hɔn213	翰
安	ɔn45	安
鞍	ɔn45	鞍
按	ɔn33	按
案	ɔn33	案
扮	pʰan33	扮
八	pak031	八
盼	pʰan33	盼
辦	pʰan33	辦
瓣	pʰan33	瓣
拔	pʰak055	拔
抹	mak031	抹
盞	ʦat031	盞
紮	ʦat031	紮
鏟	ʦʰat031	鏟
察	ʦʰat031	察
山	san45	山
產	san31	産
殺	sat031	殺
煞	sat031	煞
艱	kan45	艱
間	kan45	間
簡	kan31	簡
柬	kan33	柬
揀	kan31	揀
間	kan45	間
眼	ŋan31	眼
閑	han213	閑
限	han31	限
莧	hian31	莧
軋	ʦat031	軋
班	pan45	班
斑	pan45	斑
頒	pan45	頒
扳	pan31	扳
板	pan31	板
版	pan31	版
攀	pʰan45	攀
蠻	nan213	蠻
慢	man33	慢
棧	ʦʰan33	棧
鍘	ʦʰat055	鍘
刪	san45	删
奸	kan45	奸
澗	kan33	澗
顏	ŋan213	顔
雁	ŋan33	雁
瞎	hɐt031	瞎
轄	hɐt055	轄
晏	an33	晏
鞭	pian45	鞭
編	pʰian45	編
變	pian33	變
別	pʰiɛt45	别
鱉	piɛt31	鱉
篇	pʰian45	篇
偏	pʰian45	偏
騙	pʰian33	騙
便	pʰian213	便
辨	pʰian31	辨
辯	pʰian33	辯
汴	pian45	汴
便	pʰian33	便
別	piɛt45	别
綿	mian213	綿
棉	mian213	棉
免	mian31	免
勉	mian31	勉
娩	man31	娩
緬	mian31	緬
面	mian33	面
滅	mat055	滅
碾	ŋan45	碾
連	lian213	連
聯	lian31	聯
列	liɛt055	列
裂	liɛt055	裂
烈	liᴇt055	烈
煎	ʦʰian45	煎
剪	ʦian31	剪
箭	ʦian33	箭
濺	ʦʰian31	濺
遷	ʦʰian45	遷
淺	ʦʰian31	淺
錢	ʦʰian213	錢
踐	ʦian33	踐
賤	ʦʰian33	賤
餞	ʦʰian213	餞
仙	sian45	仙
鮮	sian45	鮮
鮮	sian45	鮮
癬	sian31	癬
綫	sian33	綫
薛	sian31	薛
泄	siɛt031	泄
羨	sian213	羨
展	ʦan31	展
哲	ʦak031	哲
蜇	ʦak031	蜇
徹	ʦak031	徹
撤	ʦak031	撤
纏	ʦʰan213	纏
轍	ʦak031	轍
氈	ʦan213	氈
戰	ʦan33	戰
顫	tʰan213	顫
折	ʦak031	折
浙	ʦak031	浙
舌	sat055	舌
搧	san33	搧
扇	san33	扇
設	sak031	設
蟬	san213	蟬
禪	tʰan213	禪
善	san33	善
鱔	san45	鱔
單	tan45	單
膳	san33	膳
禪	san213	禪
折	ʦak031	折
然	jan213	然
燃	jan213	燃
熱	ȵit055	熱
遣	sian31	遣
乾	kʰian213	乾
件	kʰian33	件
傑	kʰit055	傑
諺	san213	諺
孽	ȵiɛt055	孽
延	jan213	延
筵	jian33	筵
演	jian213	演
建	kian31	建
揭	kʰiɛt031	揭
鍵	kʰian31	鍵
健	kʰian31	健
竭	hɔk031	竭
言	ŋian213	言
軒	sian45	軒
掀	hɔn45	掀
憲	sian31	憲
獻	hian33	獻
歇	hɔk031	歇
蝎	kʰiɛt031	蝎
邊	pian45	邊
蝙	pʰian45	蝙
扁	pian31	扁
匾	pian31	匾
遍	pʰian33	遍
遍	pian33	遍
憋	pi33	憋
片	pʰian33	片
撇	pʰiɛt031	撇
辮	pian45	辮
眠	min31	眠
麵	mian33	麵
篾	miɛt055	篾
顚	tian45	顛
癲	tian45	癲
典	tian31	典
天	tʰian45	天
鐵	tʰiɛt031	鐵
田	tʰian213	田
塡	tʰian213	填
電	tʰian31	電
殿	tʰian33	殿
墊	tian33	墊
年	ȵian213	年
撚	ȵian45	撚
憐	lɛn213	憐
蓮	lian213	蓮
練	lian33	練
楝	lian33	楝
鏈	lian33	鏈
薦	ʦʰun213	薦
節	ʦiɛt031	節
千	ʦʰian45	千
切	ʦʰiɛt031	切
前	ʦʰian213	前
截	ʦʰiɛt055	截
先	sian45	先
屑	siau45	屑
肩	kian45	肩
堅	kian45	堅
繭	kan31	繭
趼	kan31	趼
見	kan33	見
結	kiɛt031	結
潔	kit031	潔
牽	kʰian45	牽
硏	ȵan33	研
硯	ȵan33	硯
顯	san31	顯
賢	san213	賢
弦	san213	弦
現	san31	現
煙	jan45	煙
燕	jan33	燕
燕	jan33	燕
嚥	jan33	嚥
宴	an33	宴
般	pan45	般
搬	pan45	搬
半	pan33	半
絆	pʰan213	絆
缽	pun31	缽
撥	pak031	撥
潘	fan45	潘
拚	pɛn33	拚
判	pʰan33	判
潑	pʰat031	潑
盤	pʰan213	盤
伴	pʰan33	伴
拌	pʰan33	拌
叛	pan31	叛
瞞	man213	瞞
饅	man31	饅
鰻	man213	鰻
滿	man45	滿
漫	man31	漫
末	mat055	末
沫	mat055	沫
抹	mat031	抹
端	tɔn213	端
短	tɔn31	短
斷	tʰɔn213	斷
鍛	tʰɔn33	鍛
脫	tʰɔk031	脱
團	tʰɔn213	團
斷	tɔn33	斷
段	tʰɔn33	段
緞	tʰɔn33	緞
奪	tʰɔk055	奪
暖	nɔn33	暖
卵	lɔn31	卵
亂	lɔn33	亂
捋	lɔk055	捋
鑽	ʦɔn33	鑽
鑽	ʦɔn33	鑽
竄	ʦʰɔn33	竄
撮	ȵiɛt031	撮
酸	sɔn33	酸
算	sɔn33	算
蒜	sɔn33	蒜
官	kuɔn45	官
棺	kuɔn45	棺
觀	kuɔn45	觀
冠	kuɔn33	冠
管	kuɔn31	管
館	kuɔn31	館
貫	kuɔn33	貫
灌	kuɔn33	灌
罐	kuɔn33	罐
觀	kuɔn45	觀
冠	kuɔn45	冠
括	kuæk031	括
寬	kʰuɔn45	寛
款	fɔn31	款
闊	kʰat031	闊
玩	ŋan33	玩
歡	fɔn45	歡
喚	fɔn33	唤
煥	vɔn33	焕
完	jan213	完
丸	jan213	丸
緩	vɔn31	緩
皖	van31	皖
換	vɔn33	换
活	vat055	活
豌	vɔn31	豌
碗	vɔn31	碗
腕	van31	腕
頑	ŋan213	頑
幻	van33	幻
滑	vat055	滑
猾	vat055	猾
挖	vat031	挖
篡	san33	篡
閂	ʦʰɔn45	閂
拴	ʦʰɔn33	拴
刷	sat031	刷
關	kuan45	關
慣	kuan33	慣
刮	kuæk031	刮
還	van213	還
還	van213	還
環	van213	環
患	van33	患
彎	van45	彎
灣	van45	灣
戀	lian31	戀
劣	lɔk031	劣
全	ʦʰɔn213	全
泉	ʦʰan213	泉
絕	ʦʰiɛt055	絶
宣	sian45	宣
選	sian31	選
雪	siɛt031	雪
旋	sian213	旋
轉	ʦɔn31	轉
轉	ʦɔn33	轉
啜	ȵiɛt031	啜
傳	ʦʰɔn213	傳
傳	ʦʰɔn213	傳
專	ʦɔn45	專
磚	ʦɔn45	磚
川	ʦʰɔn45	川
穿	ʦʰɔn45	穿
喘	ʦʰɔn31	喘
串	ʦʰɔn33	串
船	sɔn213	船
說	sɔk031	説
軟	ȵɔn213	軟
捲	kian31	捲
眷	kian31	眷
卷	kian31	卷
絹	kian45	絹
圈	kʰian45	圈
拳	kʰian213	拳
權	kʰian213	權
圈	kʰian45	圈
倦	kian31	倦
圓	jan213	圓
員	jian213	員
院	jan33	院
緣	jan213	緣
沿	jan213	沿
鉛	jan213	鉛
捐	kian45	捐
悅	jɐt055	悦
閱	jɐt055	閲
藩	fan45	藩
反	fan31	反
販	fan33	販
髮	fat031	髮
發	fat031	發
翻	fan45	翻
番	fan45	番
煩	fan213	煩
礬	fan213	礬
繁	fan213	繁
飯	fan33	飯
伐	fat055	伐
筏	fat055	筏
罰	fat055	罰
晚	man31	晚
挽	van31	挽
萬	man33	萬
蔓	man31	蔓
襪	mat031	襪
勸	kʰian33	勸
券	kʰian33	券
掘	kʰok055	掘
元	jan213	元
原	ȵan213	原
源	ȵan213	源
阮	ȵɔn33	阮
願	ȵan33	願
月	ȵiɛt055	月
喧	sian45	喧
冤	jan45	冤
怨	jan33	怨
袁	jan213	袁
轅	jan213	轅
園	jan213	園
援	van31	援
遠	jan31	遠
越	jɐt055	越
曰	jɐt055	曰
粵	jɐt055	粵
决	kʰiɛt031	决
訣	kʰiɛt031	訣
犬	kʰian33	犬
缺	kʰiɛt031	缺
血	sat031	血
玄	san213	玄
懸	jan213	懸
縣	jan33	縣
眩	jan213	眩
穴	sɐt055	穴
淵	jan33	淵
吞	tʰun45	吞
跟	ken45	跟
根	kin45	根
懇	kʰen31	懇
墾	kʰen31	墾
啃	kʰen31	啃
痕	hen213	痕
很	kʰen31	很
恨	hen33	恨
恩	en45	恩
彬	pɛn45	彬
賓	pɛn33	賓
檳	pɛn33	檳
殯	pɛn33	殯
鬢	pɛn33	鬢
筆	pɛt031	筆
畢	pɛt031	畢
必	pɛt031	必
匹	pʰɛt031	匹
蘋	pʰɛn213	蘋
頻	pʰɛn213	頻
貧	pʰɛn213	貧
弼	pat031	弼
閩	mian31	閩
民	mian213	民
憫	lan213	憫
敏	men31	敏
抿	mɛn213	抿
密	mɛt055	密
蜜	mɛt055	蜜
鄰	lɛn213	鄰
鱗	lɛn33	鱗
磷	lɛn213	磷
津	ʦɛn45	津
