#漢字	音標	解釋
謝	ɬɛ21	谢：多～；姓
爹	tɛ454	爹：～娘
遮	ʧɛ454	遮：遮挡[动]；伞[名]
者	ʧɛ35	者：记～，作～
蔗	ʧɛ51	蔗：甘蔗
車	ʧʰɛ454	车：火～
扯	ʧʰɛ35	扯：～开，～烂
蛇	ʃɛ131	蛇：毒～
射	ʃɛ21	射：发～，～箭
麝	ʃɛ21	麝：～香
奢	ʧʰɛ454	奢：～侈
賒	ʃɛ454	赊：～帐
捨	ʃɛ35	舍：～唔得（舍不得）
赦	ɬɛ51	赦：～免
舍	ʃɛ51	舍：宿～
社	ʃɛ131	社：～会，公～
惹	ȵɛ131	惹：～事
耶	jɛ21	耶：～稣
爺	jɛ21	爷：父亲；爷爷[文]
也	jɛ131	也：～知
野	jɛ131	野：～人
夜	jɛ21	夜：日～，～班
傻	ʃɔ21	傻：～瓜，～子
瓜	kʷa454	瓜：西～，～分
蝸	vɔ454	蜗：～牛
寡	kʷa35	寡：～妇，守～
剮	kʷa35	剐：千刀万～
誇	kʷʰa454	夸：～大，～张
垮	kʷʰa454	垮：～台
跨	kʷʰa454	跨：～栏，～度
娃	va454	娃：洋～～
瓦	ŋa131	瓦：～片
花	va454	花：开～
化	fa51	化：变～
華	va131	华：中～
劃	va454	划：～船
華	va21	华：～山；姓
蛙	va454	蛙：青～，～泳
補	pu35	补：～鞋，～充
譜	pʰu35	谱：族～，歌～
布	pu51	布：红～，～料
佈	pu51	布：公～，～置
鋪	pʰu454	铺：～路，床～
普	pʰu35	普：～通，～遍
浦	pʰu35	浦：黄～江
鋪	pʰu51	铺：店～，当～
怖	pu51	怖：恐～
蒲	pʰu35	蒲：（石）菖～
菩	pʰɔ21	菩：～萨
脯	pʰu131	脯：胸～
部	pu21	部：～队，干～
簿	pu21	簿：练习～，帐～
步	pu21	步：跑～
捕	pu21	捕：逮～，～快
埠	fu131	埠：开～
埠	fɐu131	埠：庵～，蚌～（地名）
模	mu454	模：～型，～范
摹	mu454	摹：～仿，描～
暮	mu21	暮：日暮
慕	mu21	慕：羡～，～名而来
墓	mu21	墓：坟～，～地
募	mu21	募：～捐
都	tu454	都：首～，～市
都	tu454	都：都是
堵	tu35	堵：～车，～塞
賭	tu35	赌：～博
肚	tʰu131	肚：猪～，鱼～
妬	tu21	妒：～忌
土	tʰu131	土：～地
吐	tʰu131	吐：～痰；呕～
兔	tʰu131	兔：野～
徒	tʰu131	徒：～弟
屠	tʰu131	屠：～杀
途	tʰu131	途：前～
塗	tʰu131	涂：糊～，～改
圖	tʰu131	图：画～，地～
杜	tu21	杜：姓；杜仲（中药）
肚	tʰu35	肚：肚子
度	tu21	度：～数，长～
渡	tu21	渡：偷～，摆～
鍍	tu21	镀：电～
奴	nu21	奴：～隶
努	nu35	努：～力
怒	nu21	怒：愤～，～气
盧	lu131	卢：姓
爐	lu131	炉：火～
蘆	lu131	芦：～苇
鸕	lu21	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu35	鲁：～国，～迅
虜	lu35	虏：俘～
滷	lu35	卤：盐～，～水
路	lu21	路：大～
賂	lu21	赂：贿～
露	lu21	露：～水，白～，打～
鷺	lu21	鹭：白～
租	tu454	租：～金，出～
祖	tu35	祖：～宗，～国
組	tu35	组：～织，小～
做	tu51	做：～好事
粗	tʰu454	粗：～心
醋	tʰu51	醋：陈～
措	tʰu51	措：～施
錯	tʰɔ51	错：～误
蘇	ɬu454	苏：～州；姓
酥	ɬu454	酥：脆，杏仁～
素	ɬu51	素：～菜，朴～
訴	ɬu51	诉：上～，倾～
塑	ɬɔk033	塑：雕～，～料
姑	ku454	姑：大～
孤	ku454	孤：～儿，～单
箍	kʰu454	箍：紧～咒[文]
箍	kʰu454	箍：围束，～桶[白]
古	ku35	古：～代
估	ku454	估：～计
牯	ku35	牯：牛～
股	ku35	股：～票
鼓	ku35	鼓：锣～，～励
故	ku51	故：～事，～乡
蠱	ku35	蛊：养～，～惑
固	ku51	固：～定
錮	ku51	锢：禁～
雇	ku51	雇：～人，～主
顧	ku51	顾：照～
枯	ku454	枯：干～，～水
苦	fu35	苦：辛～，食～（吃苦）
苦	fu35	苦：～味
庫	fu51	库：水～，仓～
褲	fu51	裤：裤子
吳	ŋ̍21	吴：姓
蜈	ŋ̍21	蜈：～蚣
梧	ŋ̍21	梧：～桐
五	ŋ̍131	五：数字
伍	ŋ̍35	伍：姓；队～
午	ŋ̍35	午：中～，端～
誤	ŋ̍21	误：～会，错～
悟	ŋ̍21	悟：觉～；孙～空
呼	fu454	呼：称～，～吸，招～
虎	fu35	虎：老～
虎	fu454	虎：马～
滸	fu35	浒：水～
戽	u454	戽：～水（泼水），～斗
胡	fu131	胡：二～ ；姓
湖	fu131	湖：西～
狐	u131	狐：～狸
壺	u131	壶：水～
乎	fu131	乎：在～
瓠	fu21	瓠：瓠卢，同葫芦
鬍	fu21	胡：～须
蝴	fu21	蝴：～蝶
糊	u131	糊：浆～，～涂
戶	fu35	户：～口
滬	fu131	沪：上海简称
互	fu21	互：～相
護	u21	护：保～，～士
瓠	fu21	瓠：瓠瓜（味似葫芦而长）
烏	u454	乌：黑
污	u454	污：～染
塢	u454	坞：船～
惡	u454	恶：可～
女	ni131	女：女人
廬	nu131	庐：～山
驢	lu131	驴：毛驴
呂	li131	吕：姓
旅	li131	旅：～游
慮	li21	虑：考～
濾	li21	滤：过～
蛆	tʰei454	蛆：蛆虫，生～
絮	ɬi131	絮：棉～
徐	ʧʰy131	徐：姓
序	ʧi21	序：顺～
敍	ɬi21	叙：倒～
緖	ɬi35	緖：情～；光～
豬	ʧy454	猪：～肉
著	ʧy51	著：～名，显～
除	ʧʰy131	除：～法
儲	ʧʰy131	储：～蓄
苧	ʧʰy21	苎：～麻
箸	ʧy51	箸：筷子
阻	ʧɔ35	阻：～止，～力
初	ʧʰɔ454	初：当～，～中
楚	ʧʰɔ35	楚：清～
礎	ʧʰɔ35	础：基～
鋤	ʧʰɛ131	锄：～草，～禾日当午
助	ʧʰɔ21	助：帮～
梳	ʃɔ454	梳：梳子[名]；梳头[动]
疏	ʃɔ454	疏：～远；稀疏
疏	ʃɔ454	疏：生～
蔬	ʃɔ454	蔬：～菜
所	ʃɔ35	所：～以；派出～
疏	ʃɔ454	疏：注～
諸	ʧy454	诸：姓；～如此类
煮	ʧy35	煮：～饭
處	ʧʰy35	处：～理
處	ʧʰy35	处：～所
書	ʃy454	书：读～
舒	ʃy454	舒：～服
暑	ʃy35	暑：～假
鼠	ʃy35	鼠：老～
庶	ʃy51	庶：～民
恕	ʃy51	恕：宽～
署	ʃy35	署：～名
薯	ʃy131	薯：番～
如	y21	如：～果，假～
居	kui454	居：～民
車	kui454	车：象棋，～马炮
舉	kui35	举：～报，～重
據	kui51	据：收～
鋸	kui51	锯：电～
墟	hui454	墟：～日
去	hui51	去：来～，过～
渠	kʰui131	渠：水～，～道
佢	kʰui131	佢：他，第三人称
巨	kʰui131	巨：～大
拒	kʰui131	拒：～绝
距	kʰui131	距：～离
魚	y131	鱼：金～
漁	y131	渔：～业，～夫
語	ȵy131	语：～文
御	ȵy21	御：～用文人
禦	ȵy21	御：防～
虛	hui454	虚：～心
噓	hui454	嘘：吹～
許	hui454	许：允～；姓
於	y454	于：在～
淤	y454	淤：～泥
余	y131	余：姓
餘	y131	余：多～
與	y131	与：参～，给～，～众不同
予	y131	予：给～
譽	y21	誉：荣～
預	y21	预：～报，～备
豫	y131	豫：犹～
夫	fu454	夫：～妻，车～
膚	fu454	肤：皮～
府	fu131	府：政～
腑	fu35	腑：五脏六～
俯	fu35	俯：～卧撑，～视
甫	pʰu35	甫：杜～
斧	fu35	斧：～头
付	fu21	付：应～
咐	fu21	咐：吩～
賦	fu51	赋：天～
傅	fu21	傅：师～[文]
傅	fu21	傅：姓[白]
敷	fu454	敷：～衍，～药
俘	fu454	俘：～虏
孵	fu454	孵：孵小鸡
麩	kʰu454	麸：麦～
撫	mu131	抚：～养，安～
赴	fu21	赴：奔～，～汤蹈火
訃	pok045	讣：～告
符	fu21	符：～合，鬼画～
扶	fu131	扶：～贫，～手[文]
扶	fu131	扶：搀扶，～起来[白]
芙	fu21	芙：～蓉
父	fu21	父：～亲
釜	fu35	釜：破～沉舟
腐	fu21	腐：～败
腐	fu21	腐：豆～
輔	pʰu21	辅：～导，～助
附	fu21	附：～近，～带
無	mu131	无：没有，～中生有[文]
無	mɛu131	无：没有，～事[白]
巫	mu454	巫：姓；～婆
誣	mu454	诬：～陷，～告
武	mu131	武：～器，～术
舞	vu131	舞：跳～
舞	mu131	舞：拨弄，摆弄[白，动]
侮	mu131	侮：～辱
鵡	mu131	鹉：鹦～
務	mu21	务：任～，～农
霧	mu21	雾：大～
縷	lɐu131	缕：千丝万～
屢	lui131	屡：～次，～教不改
趨	tʰy454	趋：～势
取	ʧʰy35	取：～钱
娶	ʧʰy35	娶：嫁～
趣	ʧʰy51	趣：兴～
聚	ɬœ131	聚：～会
聚	ɬœ131	聚：捡～（收拢）[白]
須	ɬœ454	须：必～
鬚	ɬu454	须：胡～
需	ɬui454	需：～要
續	ɬok013	续：连～，继～
誅	ʧy454	诛：天～地灭
蛛	ʧy454	蛛：蜘～
株	ʧy454	株：守～待兔
駐	ʧy21	驻：～扎
註	ʧy51	注：～释
廚	ʧʰy21	厨：～房
櫥	ʧʰy131	橱：碗～
柱	ʧʰy131	柱：柱子
住	ʧy21	住：～宿
雛	ʧʰy454	雏：～形
數	ʃu35	数：～落，～星星[动]
數	ʃu51	数：～字，～学
朱	ʧʰy51	朱：姓
珠	ʧy454	珠：珍～
主	ʧy35	主：～人，地～
注	ʧy51	注：～意
蛀	ʧy21	蛀：～虫
鑄	ʧy21	铸：～铁，～钢
樞	kʰui454	枢：中～，～纽
輸	ʃy454	输：～赢
戍	ʃy21	戍：～边
輸	ʃy454	输：运～
殊	ʃy131	殊：特～
豎	ʃy21	竖：横～
樹	ʃy21	树：～立，种～
儒	y21	儒：～家思想
乳	ȵui35	乳：哺～，母～[文]
乳	niɛn454	乳：食～（吃奶）[训]
拘	kʰui454	拘：～留
倶	kui21	俱：～备，～乐部
矩	kui35	矩：规～，～形
句	kui51	句：～号
區	kʰui454	区：地～，～别
驅	kʰui454	驱：先～，～动
具	kui21	具：～体
懼	kui21	惧：恐～
愚	ȵy21	愚：～蠢，～公移山
虞	ȵy21	虞：姓，～姬
娛	ȵy21	娱：～乐
遇	ȵy21	遇：遭～，相～，～到
寓	ȵy21	寓：～言；公～
迂	y454	迂：～回，～腐
于	y454	于：姓；等～
吁	y131	吁：气喘～～，长～短叹
雨	y131	雨：落～，谷～，～水
宇	y131	宇：～宙
禹	y21	禹：大～治水
羽	y131	羽：～毛球
芋	vu21	芋：芋头
逾	ji21	逾：超过，～期
愉	jy21	愉：～快
愈	jy21	愈：病～
喩	jy21	喻：比～
獃	tai35	呆：书～子，发～[文]
獃	ŋɔŋ454	呆：发～[白]
戴	tai51	戴：姓；～帽
胎	tʰɔi454	胎：双胞～，～盘
台	tʰɔi131	台：天台
態	tʰai51	态：～度，心～
貸	tʰai51	贷：～款
臺	tʰɔi131	台：～湾
苔	tʰɔi131	苔：青～，舌～
抬	tʰɔi131	抬：两个人抬
待	tɔi21	待：等～，～人接物
怠	tʰɔi131	怠：～慢，～工
殆	tʰɔi131	殆：百战不～
代	tɔi21	代：～替，～表
逮	tɐi21	逮：～捕
袋	tɔi21	袋：袋子
乃	nai131	乃：安～近；人名用字
耐	nɔi21	耐：～力，～心，忍～
來	lɔi131	来：过～，～去
災	tɔi35	灾：水～
栽	tɔi454	栽：种，～培
宰	tɔi35	宰：～相
載	tɔi51	载：一年半～
再	tɔi51	再：～来
載	tɔi51	载：～重
猜	ʧʰai454	猜：～谜
彩	tʰɔi35	彩：～色
採	tʰɔi35	采：～集
睬	tʰɔi35	睬：理睬
菜	tʰɔi454	菜：煮～，青～
才	ɬɔi131	才：人～，～气，秀～
材	ɬɔi131	材，药～，～料
財	ɬɔi131	财，发～
裁	ɬɔi131	裁，～纸，剪～
纔	ɬɔi131	才：刚～
在	ɬɔi35	在：实～，现～[文]
在	ɬɔi35	在：存在，还～[白]
載	tɔi51	载：满～而归
腮	ɬɔi454	腮：～腺炎，～红
鰓	ɬɔi454	鳃：鱼鳃
賽	ɬɔi51	赛：比～
該	kɔi454	该：应～
改	kɔi35	改：修～，～正
概	kʰɔi51	概：大～，～括
溉	kɔi51	溉：灌～
開	hɔi35	开：公～，～门
凱	ʔɔi35	凯：～旋
慨	kʰɔi51	慨：慷～，感～
咳	kʰɐk045	咳：～嗽，止～糖浆
呆	ŋɔi131	呆：～板
礙	ŋɔi21	碍：妨～
海	hui35	海：大～
孩	hai131	孩：～童
亥	hɔi35	亥：辛～革命
哀	ɔi454	哀：悲～
埃	ɔi454	埃：尘～，～及
愛	ʔɔi51	爱：～情；要
貝	pui21	贝：宝～
貝	pui21	贝：川～，～壳
沛	pʰui51	沛：充～
帶	tai51	带：鞋～
太	tʰai51	太：老～婆
泰	tʰai51	泰：～山
大	tai21	大：大小
奈	nɔi21	奈：无～，～何
賴	lai21	赖：依～，无～；姓
癩	lai21	癞：～蛤蟆[文]
癩	lai51	癞：～哥（癞疮）[白]
蔡	tʰɔi51	蔡：姓
蓋	kɔi51	盖：～被[动]；盖子[名]
丐	kʰɔi51	丐：～帮
艾	ai21	艾：姓；～滋病
艾	ŋɔi21	艾：艾草
害	hɔi21	害：～人
藹	ɔi35	蔼：和～，宋～龄
拜	pai51	拜：结～，礼～，～佛
排	pʰai131	排：～队
埋	mai131	埋：～伏
齋	ʧai454	斋：食～（吃斋）
豺	ʧʰai131	豺：～狼
皆	kai454	皆：～大欢喜
階	kai454	阶：台～，～级
介	kai51	介：～绍，中～
界	kai51	界：世～
芥	kai51	芥：～菜
尬	kai51	尬：尴～
疥	kai51	疥：～疮
屆	kai51	届：第一～
戒	kai51	戒：～烟，猪八～
楷	kai454	楷：～书，～模
諧	hai131	谐：和～
駭	hɔi35	骇：惊～，～人听闻
械	hai131	械：机～
挨	ʔai454	挨：～打，～近
擺	pai35	摆：摇～
派	pʰai35	派：正～，～出所
牌	pʰai131	牌：～坊，～匾[文]
牌	pʰai131	牌：打～[白，训]
㵺	pʰai131	排：竹排
罷	pa21	罢：～工
稗	pʰai21	稗：～草
買	mai131	买：～卖
賣	mai21	卖：买～
奶	nai131	奶：二～，～牛
債	ʧai51	债：欠～
釵	ʧʰa454	钗：宝～
差	ʧʰa454	差：出～
柴	ʃai131	柴：姓；火～
篩	ʃɐi454	筛：～选，～米
灑	ʃa35	洒：潇～，～水
佳	kai454	佳：～人，～节
街	kai454	街：～路
解	kai35	解：～释，讲～[文]
解	kai35	解：～开[白]
懈	hai131	懈：松～，坚持不～
涯	ŋai131	涯：天～
崖	ŋai131	崖：悬～
捱	ŋai131	捱：难～，～苦
鞋	hai131	鞋：布～
解	kai35	解：懂了，理～，了～
蟹	hai131	蟹：老～
矮	ai35	矮：高矮
敗	pai21	败：失～
邁	mai21	迈：豪～，～步
寨	ʧai21	寨：山～，大～
蔽	pɐi21	蔽：隐～
弊	pɐi21	弊：作～
幣	pɐi21	币：人民～
斃	pɐi21	毙：枪～
例	lɐi21	例：举～，～外
厲	lɐi21	厉：严～，～害
勵	lɐi21	励：鼓～
祭	tɐi51	祭：～祀
際	ʧɐi51	际：国～
滯	ʧɐi21	滞：停～，湿～（中医）
制	ʧɐi51	制：～度
製	ʧɐi51	制：～造
世	ʃɐi51	世：～界
世	ʃɐi51	世：出～
勢	ʃɐi51	势：～力，有权有～
誓	ʃɐi21	誓：发～
逝	ʃɐi21	逝：～世
藝	ŋɐi21	艺：～术，文～晚会
蓖	pi51	蓖：～麻
閉	pɐi51	闭：关～
批	pʰɐi454	批：～评，大～
批	pʰɐi454	批：螺丝～
陛	pɐi21	陛：～下
迷	mɐi131	迷：入～，～路
米	mɐi131	米：大米
謎	mɐi131	谜：～语，猜～
低	tɐi454	低：高～
堤	tʰɐi131	堤：河～，～坝
底	tɐi35	底：水～
抵	tɐi35	抵：～押
抵	tɐi35	抵：用手抵挡
帝	tɐi51	帝：皇～
梯	tʰɐi454	梯：楼～
蒂	tɐi51	蒂：花～，并～莲
體	tʰɐi35	体：～育，身～
替	tʰɐi454	替：代～，～身
涕	tʰɐi51	涕：～泪纵横
剃	tʰɐi51	剃：～头
屜	ɬip033	屉：抽～
題	tʰɐi131	题：～目，难～
提	tʰɐi131	提：～问，～醒
蹄	tʰɐi131	蹄：马～
啼	tʰɐi131	啼：哭哭～～[文]
啼	tʰɐi131	啼：鸡～[白]
弟	tɐi21	弟：兄～[文]
弟	tɐi21	弟：弟弟，老～[白]
第	tɐi21	第：～一，门～
遞	tɐi21	递：传～，邮～员
泥	nɐi131	泥：水～，地～（地板）
犁	lɐi131	犁：耕田用具
黎	lɐi131	黎：～民，～明；姓
禮	lɐi131	礼：～貌
麗	lɐi21	丽：秀～
隸	tɐi21	隶：奴～，～属
擠	ʧɐi454	挤：拥～，～时间
濟	tɐi51	济：～公，经～
妻	tʰɐi454	妻：夫～
砌	tʰɐi131	砌：～墙
齊	ɬɐi131	齐：～国[文]
齊	ɬɐi131	齐：整～，放～，来～[白]
臍	ɬɐi131	脐：肚～，～带
劑	tʰɐi454	剂：一～药，药～
西	ɬɐi454	西：东西南北
棲	ʧʰɐi454	栖：两～动物
犀	ɬɐi454	犀：～牛
洗	ɬɐi35	洗：～菜，～衣机
細	ɬɐi51	细：粗细，大小
婿	ɬɐi51	婿：女～
雞	kɐi454	鸡：～公（公鸡）
稽	kʰɐi454	稽：～查，滑～
計	kɐi21	计：～算，会～
繼	kɐi21	继：～续，～承
繫	kɐi21	系：～皮带
髻	kɐi21	髻：发髻；鸡～（鸡冠）
溪	kʰɐi454	溪：～水
啟	kʰɐi35	启：～发
契	kʰɐi51	契：房～，～约
倪	ŋɐi21	倪：姓，～萍
奚	kʰɐi454	奚：～落
兮	jɐi131	兮：神经～～
系	hɐi21	系：中文～，～统
繫	hɐi21	系：联～
係	hɐi21	系：关～[文]
係	hɐi21	系：是[白]
杯	pui454	杯：茶～
輩	pui51	辈：～分，长～
背	pui51	背：违～，后～
胚	pʰei454	胚：～胎
坯	pʰui454	坯：泥～，毛～房
配	pʰui454	配：分～，搭～
培	pʰui131	培：～训
陪	pʰui131	陪：～同
賠	pʰui131	赔：～钱
裴	pʰui131	裴：姓
倍	pʰui131	倍：～数
佩	pʰui131	佩：～服
背	pui21	背：～书
焙	pʰui131	焙：～火
梅	mui131	梅：～花
枚	mui131	枚：两～
媒	mui131	媒：～人
煤	mui131	煤：烧～，～矿
玫	mui131	玫：～瑰
每	mui131	每：～只，～日
莓	mui131	莓：草～
妹	mui21	妹：妹妹，姊～，老～
昧	mui21	昧：愚～，拾金不～
堆	tui454	堆：一～[量]，～放[动]
對	tui21	对：～错；成双成～
碓	tui21	碓：舂米工具，踏～
推	tʰui454	推：～荐，～动
腿	tʰui35	腿：～部，火～
退	tʰui131	退：后～，～步[文]
退	tʰɐk021	退：向后退[白]
隊	tui21	队：～伍，排～
內	nɔi21	内：～行，～外
雷	lui131	雷：打～，～公；姓
累	lui131	累：劳～
催	tʰui454	催：～促，～眠
崔	ʧʰui454	崔：姓，～莺莺
摧	tʰui454	摧：～残
罪	ʧʰui21	罪：得～，犯～[文]
罪	ʧʰui21	罪：～过（可怜、难受）[白]
碎	ɬui51	碎：～布，破～
盔	kʰɐi454	盔：头～，～甲
魁	fu454	魁：～梧，花～
恢	vu454	恢：～复
塊	vai51	块：一～钱，～头
桅	ŋɐi21	桅：～杆
灰	vui454	灰：石～，～色
賄	fui35	贿：受～，～赂
悔	vu35	悔：后～
晦	fu35	晦：～气
回	vui131	回：～想[文]
回	vui131	回：～礼[白]
茴	vui21	茴：～香
匯	vui131	汇：～报，～款
潰	kʰui51	溃：～疡，胃～疡
煨	vui454	煨：～番薯
蛻	tui131	蜕：～变，～皮，～壳
兌	tui21	兑：～水，～换
最	tui51	最：～好
會	hui21	会：～计
劊	kʰui51	刽：～子手
檜	kʰui51	桧：人名，秦～
外	ŋɔi21	外：～面
會	vui21	会：开～
會	vui131	会：～睡，～来
繪	kʰui51	绘：～图，测～
乖	kʷai454	乖：小孩听话
怪	kʷai51	怪：奇～
懷	vai131	怀：～疑
槐	vai21	槐：～树
淮	vai131	淮：～河，～北
壞	vai21	坏：～人
拐	kʷʰai35	拐：～卖，铁～李
拐	kʷʰai35	拐：～脚（瘸腿）
掛	kʷa51	挂：～起来，牵～，～钩
卦	kʷa51	卦：八～
歪	vai454	歪：～风邪气
畫	va21	画：～图，图～
快	vai51	快：～车
筷	vai51	筷：公～
話	va21	话：笑～，讲～[文，名]
話	va21	话：讲～[白，名]
話	va21	话：说[白，动]
脆	tʰui131	脆：干～[文]
脆	tʰui131	脆：易断[白]
歲	ɬui131	岁：万～，～月[文]
歲	ɬui131	岁：十～，～数[白]
綴	ʧyt033	缀：点～
贅	ʧy21	赘：累～，入～
稅	ʃui51	税：交～，～收
衛	vɐi21	卫：～生
銳	jui21	锐：尖～，～角
廢	fei51	废：～品，作～
肺	fei51	肺：猪～
吠	fei21	吠：狗～
穢	vɐi51	秽：淫～，污～
圭	kʷɐi454	圭：人名用字；乌拉～
閨	kʷɐi454	闺：～房
桂	kʷɐi51	桂：～花
奎	kʷʰɐi131	奎：人名用字；～宁（药名）
攜	kʷɐi131	携：～带，提～
