#漢字	音標	解釋
稻	t'au54	稻：水～
導	t'au24	导：领～，～师
惱	nau24	恼：烦～[文]
惱	nau212	恼：讨厌，不喜欢[白]
勞	lau31	劳：～动
老	lau24	老：～爷，～实
糟	tsau33	糟：酒～，～糕
早	tsau24	早：还～
竈	tsau212	灶：～头，～神
草	ts'au24	草：青～，～稿
造	ts'au54	造：创～
臊	sau33	臊：臭～
掃	sau212	扫：～地[动]
嫂	sau24	嫂：大～
髙	kau33	高：姓；～低
稿	kau24	稿：草～，～纸
吿	kau212	告：报～，～状
考	k'au24	考：～试，大～
靠	k'au212	靠：依～，可～
熬	ŋau31	熬：～汤，～夜
好	hau24	好：～人
號	hau54	号：～码，口～[名]
襖	au24	袄：棉～，～袍
包	pau33	包：钱～，～围
飽	pau24	饱：食～（吃饱）
爆	p'au54	爆：～炸
炮	p'au212	炮：枪～
跑	p'au24	跑：～步
茅	mau31	茅：～庐
貓	miau31	猫：大～
貌	mau54	貌：礼～
鬧	nau212	闹：～热，～事
罩	tsau212	罩：灯～，床～
爪	tsau24	爪：鸡～
抄	ts'au33	抄：～书
炒	ts'au24	炒：～股，～菜
交	kau33	交：～通，～钱[文]
咬	ŋau24	咬：～人
孝	hau212	孝：～顺
效	hau54	效：～果
標	piau33	标：～准，～志，招～
表	piau24	表：图～，～扬
票	p'iau212	票：车～
苗	miau31	苗：鱼～，～族
秒	miau24	秒：～针
廟	miau54	庙：和尚～
療	liau31	疗：治～，～养
椒	tsiau33	椒：胡～
消	siau33	消：～化
小	siau24	小：～姐，～人
笑	siau212	笑：～话，玩～
朝	tsiau33	朝：～晨，三～
超	ts'iau33	超：～过
朝	ts'iau31	朝：～代
趙	ts'iau54	赵：姓
招	tsiau33	招：～生
照	tsiau212	照：～明，～顾
燒	siau33	烧：～水，发～
少	siau24	少：～数，多～
少	siau212	少：～年，～爷
饒	ȵiau31	饶：～命，求～
繞	ȵiau31	绕：围～，～线
嬌	kiau33	娇：～气，做～（撒娇）
橋	k'iau31	桥：大～
轎	k'iau54	轿：坐～，扛～
要	jiau212	要：～求
要	jiau212	要：重～
搖	jiau31	摇：动～，～篮
舀	jiau24	舀：～水
耀	jiau54	耀：～眼，荣～
鳥	ȵiau24	鸟：花～市场[文]
鳥	tsiɔk5	鸟：～笼[白]
鳥	ȵiau24	鸟：骂人话，交合[白]
吊	tiau212	吊：上～，～车
挑	t'iau33	挑：～剔，～担
跳	t'iau212	跳：～高，起～
條	t'iau31	条：～件，字～
調	t'iau54	调：音～
