#漢字	音標	解釋
靭	nin54	韧：不易断，坚～[文]
日	nit5	日：十～，～期
緊	kin24	紧：～张
吉	kit5	吉：～利
銀	ŋan31	银：金～，～行
因	ʔin33	因：原～
印	ʔin212	印：手～
乙	yɔt5	乙：天干，甲乙丙丁
一	ʔt5	一：数字
引	jin24	引：吸～
斤	kin33	斤：～两
謹	kin24	谨：～慎，严～
勤	k'in31	勤：～劳
近	kin54	近：最～，～来[文]
近	kin212	近：远近[白]
欣	hin33	欣：～赏
隱	yn24	隐：～形，～身
本	pɔn24	本：～来，书～
不	put5	不：～过
盆	p'ɔn31	盆：面～（脸盆），～地
笨	pun54	笨：～蛋[文]
門	mɔn31	门：关～
墩	tun24	墩：桥～
頓	tun212	顿：停～，～脚
盾	t'un24	盾：矛～
突	t'ut5	突：～然
嫩	nun54	嫩：不老
論	lun54	论：议～，～文
尊	tsun33	尊：～重
村	ts'ɔn33	村：～长
寸	ts'ɔn212	寸：尺～
存	ts'un31	存：～在，～折，储～
孫	sɔn33	孙：姓；子～
損	sɔn24	损：～坏
滾	k'un24	滚：～动；水开
棍	kun212	棍：长～
骨	kut5	骨：～头
坤	k'un33	坤：乾～
困	k'un212	困：～难
婚	hun33	婚：结～
忽	hut5	忽：～然
溫	ʔun33	温：～度，～和
穩	ʔun24	稳：～定，求～
輪	lun31	轮：车～，～流
律	lut3	律：法～，～师
俊	tsun212	俊：英～
迅	sin212	迅：～速
罰	fat3	罚：～款，惩～
晚	man212	晚：～会
萬	man54	万：～一
襪	mat3	袜：鞋～
勸	hyɔn212	劝：规～
原	nyɔn31	原：～来，平～
願	nyɔn54	愿：～望
怨	yɔn212	怨：～人，埋～
遠	yɔn212	远：永～
粵	yɔt3	粤：～东
決	kyɔt5	决：～定
犬	k'yɔn24	犬：狂～病
血	hyɛt5	血：流～
縣	yɔn54	县：～长
穴	hyɛt3	穴：～位
吞	t'un33	吞：～口水
跟	kan33	跟：～从
恩	an33	恩：～人
賓	pin33	宾：贵～
筆	pit5	笔：毛～，～记
匹	p'it5	匹：～配
貧	p'in31	贫：扶～
民	min31	民：人～，～族
敏	min212	敏：灵～
密	mit3	密：秘～，～封
鄰	lin31	邻：～居
藤	t'an31	藤：～椅
鄧	t'an54	邓：姓，～小平
特	t'at3	特：～别
能	nan31	能：才～，～够
曾	tsan33	曾：姓
則	tsat5	则：否～，规～
層	ts'an31	层：～次
贈	ts'an54	赠：～送
塞	sat5	塞：堵～，～车
肯	han24	肯：～定，中～[文]
肯	han24	肯：愿意，～去[白]
克	k'at5	克：～服，攻～
黑	hat5	黑：～白
冰	pin33	冰：结～，～箱
力	lit3	力：大～，～量
息	sit5	息：休～[文]
直	ts'it3	直：～接
色	sat5	色：颜～，～彩
蒸	tsin33	蒸：清～，～发
證	tsin212	证：～明
織	tsit5	织：纺～，～布
秤	ts'in212	秤：用以称物，～砣
食	sit3	食：粮～；吃
升	sin33	升：～级
勝	sin212	胜：～利，战～
識	sit5	识：相～，～字
極	k'it3	极：南～
興	hin33	兴：～旺；绍～（地名）
興	hin212	兴：高～，～趣[文]
興	hin24	兴：高兴[白]
蠅	jin31	蝇：乌～（苍蝇）
翼	jit3	翼：鸡～，机～
國	kat5	国：～家，中～
弘	fan31	弘：～扬
或	fat3	或：～者
百	pak5	百：～姓
拍	p'ak5	拍：～片，～球
彭	p'aŋ31	彭：姓，～德怀
白	p'ak3	白：～色
猛	maŋ212	猛：～烈，凶～
打	ta24	打：～针
冷	laŋ31	冷：～热，～清
撐	ts'aŋ212	撑：支～，～开
擇	ts'ak3	择：选～[文]
擇	t'ɔk3	择：～菜[白]
生	saŋ33	生：学～，～活[文]
生	saŋ33	生：与“死”相对[白]
更	kan212	更：～加
坑	haŋ33	坑：水～，～沟
客	hak5	客：请～
硬	ŋaŋ54	硬：软～
額	niak5	额：名～
嚇	hak5	吓：～一跳
行	haŋ31	行：～为；行走
棚	p'aŋ31	棚：楼～，瓜～
麥	mak3	麦：小～，～芽糖
摘	tsak5	摘：～菜
爭	tsaŋ33	争：～取，斗～[文]
爭	tsaŋ33	争：相～，～唔多（差不多）[白]
責	tsak5	责：～任，负～
冊	ts'ak5	册：两～，～封
耕	kaŋ33	耕：～田
耿	kaŋ24	耿：忠心～～；姓，～精忠
革	kak5	革：～命，改～
隔	kak5	隔：～壁
幸	han54	幸：荣～，～福
扼	ak5	扼：～杀，～制
兵	pin33	兵：当～
丙	pin24	丙：天干，甲乙丙丁
柄	piaŋ212	柄：刀～，把～
平	p'in31	平：和～，～时[文]
平	p'in31	平：～头，～地[白]
病	p'iaŋ54	病：～人
命	min54	命：～令[文]
命	miaŋ54	命：～运，算～[白]
驚	kiaŋ33	惊：害怕；～蛰
景	kin24	景：～色，风～
敬	kin212	敬：尊～，～酒
鏡	kiaŋ212	镜：镜子
慶	k'in212	庆：～祝
屐	k'iak3	屐：木～
迎	niaŋ31	迎：～接，欢～
逆	niak3	逆：～风
英	ʔin33	英：～雄；～国（国名）
影	iaŋ24	影：电～
名	miaŋ31	名：姓～
領	liaŋ31	领：～导，衫～（衣领）
令	lin54	令：命～，口～
精	tsin33	精：～神
井	tsiaŋ24	井：～水，～～有条
跡	tsiak5	迹：～象，痕～[文]
跡	tsiak5	迹：脚～，油～[白]
晴	ts'iaŋ31	晴：天～
淨	ts'iaŋ54	净：干～
姓	siaŋ212	姓：～名
惜	ts'iɛt5	惜：疼爱[白]
席	ts'it3	席：酒～，主～
蓆	ts'iak3	席：草～
鄭	ts'aŋ54	郑：～重；姓
正	ts'iaŋ33	正：～月
正	tsin212	正：立～，～直[文]
正	tsaŋ212	正：～好，～来[白]
隻	tsiak5	只：两～
赤	ts'ak5	赤：～色，～脚
聲	saŋ33	声：～音，笑～
城	saŋ31	城：～市，县～
石	sak3	石：～头，～榴
頸	kiaŋ24	颈：脖子
贏	jiaŋ31	赢：～输
易	jit3	易：交～，贸～
壁	piak5	壁：墙～
劈	p'iak5	劈：～开，用刀～，雷～
釘	tiaŋ33	钉：铁～[名]
頂	tiaŋ24	顶：山～[白]
頂	tin24	顶：～唔得（顶不住）[文]
滴	tit5	滴：～水，两～
聽	t'iaŋ212	听：～话
踢	t'iak5	踢：～球
停	t'in31	停：～止
定	t'in54	定：稳～；永～（地名）
笛	t'iak3	笛：笛子
敵	t'it3	敌：～人
靈	lin31	灵：～活
另	liaŋ54	另：～外
循	sun31	循：遵～，～环
準	ʦun24	准：瞄～，～则
春	ts'un33	春：立～
蠢	ts'un24	蠢：～才
出	ts'ut5	出：～入，～发
術	sut3	术：技～
純	sun31	纯：单～，～粹
潤	yn54	润：利～，～色
均	k'un33	均：平～，～匀
菌	k'un212	菌：细～
允	yn31	允：～许
分	hun33	分：～数，区～[文]
分	pa24	分：给[白]
粉	hun24	粉：～笔，面～[文]
糞	hun212	粪：粪便
墳	hun31	坟：～墓，上～
份	hun54	份：～量
佛	hut3	佛：拜～
文	mɔn31	文：～章，论～
蚊	mun33	蚊：～香
問	mun54	问：～题
物	mɔt3	物：～理[文]
軍	kun33	军：～队，参～
屈	k'ut5	屈：委～，～服[文]
屈	k'ut5	屈：委屈，～气[白]
裙	k'un31	裙：裙子
熏	hun33	熏：～陶，烟～人[文]
訓	hun212	训：教～，～人
雲	vun31	云：乌～
運	vun54	运：～气，好～
幫	pɔŋ33	帮：～忙
博	pɔk5	博：～士，广～
旁	p'ɔŋ31	旁：～边
薄	p'ɔk3	薄：不厚，～弱
忙	mɔŋ31	忙：农～，～碌
莫	mɔk3	莫：不要，～非
膜	mɔk5	膜：薄～
摸	mɔ33	摸：偷偷～～[文]
摸	mɔ24	摸：～来～去[白]
當	tɔŋ33	当：～时，应～，～官
擋	tɔŋ24	挡：阻～，～风
當	tɔŋ212	当：～铺，恰～；唔～（不如）
湯	t'ɔŋ33	汤：煮～；姓
托	t'ɔt5	托：手承物，～盘
塘	t'ɔŋ31	塘：鱼～
諾	niɔk3	诺：承～，～言
郞	lɔŋ31	郎：新～；姓，～平
浪	lɔŋ54	浪：风～，～费
落	lɔk3	落：下落
葬	tsɔŋ212	葬：埋～，落～
作	tsɔk5	作：工～，种～
倉	ts'ɔŋ33	仓：～库
鑿	ts'ɔk3	凿：用凿子凿
桑	sɔŋ33	桑：～叶
索	sɔk5	索：绳子，线～
鋼	kɔŋ212	钢：炼～，～笔
缸	kɔŋ33	缸：水～
各	kɔk5	各：～人
康	k'ɔŋ33	康：健～
糠	hɔŋ33	糠：谷～
抗	k'ɔŋ212	抗：反～，～战
昂	ŋɔŋ212	昂：～首挺胸，气～～
行	hɔŋ31	行：银～
惡	ɔk5	恶：善～，～霸
娘	niɔŋ31	娘：姑～
凉	liɔŋ31	凉：天～
兩	liɔŋ24	两：～个
兩	liɔŋ31	两：半斤八～
量	liɔŋ54	量：数～
略	liɔk3	略：省～
漿	tsiɔŋ33	浆：豆～，～糊
獎	tsiɔŋ24	奖：～金，得～
醬	tsiɔŋ212	酱：沙茶～，辣椒～
雀	tsiɔk5	雀：麻～，～斑
槍	ts'iɔŋ33	枪：手～
搶	ts'iɔŋ24	抢：～劫
牆	ts'iɔŋ31	墙：～壁
箱	siɔŋ33	箱：皮～
想	siɔŋ24	想：～法，思～
削	siɔk5	削：～皮，剥～
詳	ʦ'iɔŋ31	详：～细
象	ts'iɔŋ54	象：气～
象	ts'iɔŋ54	象：大～
像	ts'iɔŋ212	像：好～，相～
張	tsɔŋ33	张：紧～；姓；装东西
長	tsɔŋ24	长：生～，省～
脹	tsɔŋ212	胀：～肚，膨～
着	tsɔk5	着：～衫（穿衣服）
長	ts'ɔŋ31	长：～期，～短
丈	ʦ'ɔŋ54	丈：三丈
着	ts'ɔk3	着：～火
裝	tsɔŋ33	装：假～
壯	tsɔŋ212	壮：强～
牀	ts'ɔŋ31	床：眠～
狀	ts'ɔŋ54	状：告～，～元，～态
霜	sɔŋ33	霜：落～，～降
爽	sɔŋ24	爽：～快，直～
章	tsɔŋ33	章：姓；文～
掌	tsɔŋ24	掌：巴～，～握
廠	tsɔŋ24	厂：～长
唱	ts'ɔŋ212	唱：～歌
傷	sɔŋ33	伤：受～
賞	sɔŋ24	赏：欣～，～金
常	sɔŋ31	常：经～，～识；姓
上	sɔŋ212	上：～山[动]
上	sɔŋ54	上：～背[方位]；～海（地名）
勺	sɔk3	勺：饭～
瓤	nɔŋ31	瓤：瓜～
讓	niɔŋ54	让：～位
弱	niɔk3	弱：～点
薑	kiɔŋ33	姜：～糖
腳	kiɔk5	脚：赤～
強	k'iɔŋ31	强：～大，坚～
卻	k'iɔk5	却：退～，～步
仰	ŋɔŋ212	仰：～视
香	hiɔŋ33	香：～味，烧～；～港（地名）
響	hiɔŋ24	响：音～
向	hiɔŋ212	向：～东
秧	jiɔŋ33	秧：插～，～苗
約	jiɔk5	约：大～，～会
羊	jiɔŋ31	羊
養	jiɔŋ212	养：培～，～猪
樣	jiɔŋ54	样：一～
藥	jiɔk3	药：中～，～片
躍	jiɔk5	跃：跳～，大～进
光	kɔŋ33	光：阳～，～明
廣	kɔŋ24	广：推～；～东（地名）
郭	kɔk5	郭：姓，～靖
擴	k'ɔŋ212	扩：～充，～大
荒	fɔŋ33	荒：开～，～唐
霍	k'ɔk5	霍：姓；～乱
黃	vɔn31	黄：姓；～色
方	fɔŋ33	方：地～，大～
放	fɔŋ212	放：解～，～心[文]
紡	fɔŋ24	纺：～织
房	fɔŋ31	房：～间
防	fɔŋ31	防：～止，国～
亡	mɔŋ31	亡：死～
網	mɔŋ24	网：鱼～，～络
望	mɔŋ54	望：失～
狂	k'ɔŋ31	狂：发～
枉	vɔŋ24	枉：冤～
王	vɔŋ31	王：姓；大～
往	vɔŋ212	往：来～，～日
旺	vɔŋ54	旺：兴～
綁	pɔŋ24	绑：捆～
剝	pɔk5	剥：～削，～皮
桌	tsɔk5	桌：书～
琢	tsɔk5	琢：～磨，雕～
啄	tiɔk5	啄：～木鸟，鸡～米
濁	ts'uk3	浊：浑～
窗	ts'uŋ33	窗：门～，～帘
雙	suŋ33	双：一～鞋
江	kɔŋ33	江：长～，～湖
講	kɔŋ24	讲：～话
港	kɔŋ24	港：～口；香～（地名）
降	kɔŋ212	降：下～，～低
角	kɔk5	角：牛～，～色
餃	kau24	饺：饺子，水～
腔	k'iɔŋ33	腔：口～
確	k'ɔk5	确：～定，的～
殼	hɔk5	壳：贝～
樂	ŋɔk3	乐：音～
巷	hɔŋ54	巷：巷子，两条～
學	hɔk3	学：数～，～习
握	ak5	握：～手，把～
北	pat5	北：东南西北
朋	p'an31	朋：～友
墨	mat3	墨：～水
燈	tan33	灯：～光
等	tan24	等：～人，高～
凳	tan212	凳：凳子
得	tat5	得：获～，～意
曆	liak3	历：日～，～书
靑	ts'iaŋ33	青：～色，～年
醒	siaŋ24	醒：清～，～过来
激	kit5	激：～动
形	hin31	形：～状，地～
礦	k'ɔŋ212	矿：煤～，～工
橫	vaŋ31	横：～直
兄	hin33	兄：～弟
榮	jin31	荣：光～，～誉
永	vin212	永：～远
傾	k'in24	倾：～向，左～
卜	p'at3	卜：萝～
篷	p'uŋ31	篷：帐～
蒙	muŋ31	蒙：～蔽，天～～，～古（地名）
木	muk3	木：～工
東	tuŋ33	东：东南西北
凍	tuŋ212	冻：冰～，～伤
通	t'uŋ33	通：～过，～风，打～
桶	t'uŋ24	桶：水～
痛	t'uŋ212	痛：～苦
同	t'uŋ31	同：相～，～学
洞	t'uŋ54	洞：山～，～察
讀	t'uk3	读：～书，阅～
聾	luŋ33	聋：耳～
鹿	luk3	鹿：～角，梅花～
總	tsuŋ24	总：～共，汇～
糉	tsuŋ212	粽：粽子
蔥	ts'uŋ33	葱
族	ts'uk3	族：～长，民～
送	suŋ212	送：～人
速	suk5	速：～度
公	kuŋ33	公：～安，办～
貢	kuŋ212	贡：～献
穀	kuk5	谷：五～
空	huŋ33	空：～虚，天～
控	k'uŋ212	控：～制
紅	huŋ31	红：～色
翁	ʔuŋ33	翁：白头～；姓
屋	ʔuk5	屋：老～
農	nuŋ31	农：～村
宗	ʦuŋ33	宗：祖～，～教
鬆	suŋ33	松：轻～，放～
風	huŋ33	风：大～，～气
福	huk5	福：～气，享～
鳳	huŋ54	凤：～凰
服	huk3	服：～务
夢	muŋ54	梦：发～
六	luk3	六：数字
宿	suk5	宿：～舍，住～
竹	ʦuk5	竹：～叶
蟲	ts'uŋ31	虫：害～
軸	ts'uk3	轴：压～，～承
縮	suk5	缩：压～，～小
終	tsuŋ33	终：～于，始～
祝	tsuk5	祝：～贺，庆～
充	ts'uŋ33	充：～分，冒～
叔	suk5	叔：二～，～～
熟	suk3	熟：煮～，～悉
肉	niuk3	肉：猪～
弓	kuŋ33	弓：～箭
菊	kuk5	菊：～花
窮	k'uŋ31	穷：～人，无～
蓄	ts'uk5	蓄：储～，～水
熊	jiuŋ31	熊：～猫
雄	huŋ31	雄：英～
育	jiuk5	育：教～
濃	niuŋ3	浓：～淡；稠密[白]
濃	́1	浓：～淡；稠密[白]
龍	luŋ31	龙：～头
綠	luk3	绿：～色
蹤	tsuŋ33	踪：失～，～影
足	tsuk5	足：～球，满～
從	ts'uŋ31	从：跟～，～来
粟	suk5	粟：包～，～米，～子粄
松	ts'uŋ31	松：～树
頌	ts'uŋ54	颂：歌～
俗	ts'uk3	俗：风～
鐘	tsuŋ33	钟：两点～，闹～
種	tsuŋ24	种：～类，树～[名，量]
種	tsuŋ212	种：～田[动]
觸	ts'uk5	触：接～，～犯
束	ts'uk5	束：结～
屬	suk3	属：～于，家～
鞏	kuŋ24	巩：～固
共	k'uŋ54	共：一～，～同
局	k'uk3	局：～部，公安～
玉	ŋuk3	玉：白～
容	jiuŋ31	容：～易，宽～
勇	jiuŋ24	勇：～敢
用	jiuŋ54	用：～处
慾	jiuk3	欲：～望，贪～
健	kyɔn54	健：～康
