#漢字	音標	解釋
搖	jiau21	摇：动～，～篮
舀	jiau41	舀：～水
耀	jiau55	耀：～眼，荣～
鳥	liau41	鸟：花～市场[文]
鳥	tiau34	鸟：～笼[白]
鳥	tiau41	鸟：骂人话，交合[白]
吊	tiau55	吊：上～，～车
挑	tʰiau34	挑：～剔，～担
跳	tʰiau55	跳：～高，起～
條	tʰiau21	条：～件，字～
調	tiau55	调：音～
尿	ŋiau55	尿：屙～
了	liau41	了：～结；明～，～解
料	liau55	料：肥～，材～
繳	kiau41	缴：～枪，～费
僥	hiau34	侥：～幸
叫	kiau55	叫：大～；小孩哭
竅	kʰiau55	窍：～门
曉	hiau41	晓：春～，～得
剖	fiu41	剖：解～
畝	miu34	亩：一～田
母	mu41	母：父～
貿	miu55	贸：外～，～易
兜	tiu34	兜：～风
斗	tiu41	斗：十升为一斗
鬥	tiu55	斗：～争，批～
偸	tʰiu34	偷：小～
透	tʰiu55	透：～明
頭	tʰiu21	头：开～
豆	tʰiu55	豆：黄～
樓	liu21	楼：～下
漏	liu55	漏：～水，～斗
走	tsiu41	走：行走
奏	ʦʰiu55	奏：节～
湊	tsʰiu55	凑：～数，～热闹
鉤	ŋiu34	钩：鱼～
狗	kiu41	狗
夠	kiu55	够：足～
口	hiu41	口：～头，开～
口	hui41	口：一～饭
扣	kʰiu55	扣：～钱，～压
藕	ŋiu34	藕：～断丝连，莲～
喉	hiu21	喉：～咙
後	hiu41	后：～生，～来[文]
後	hiu41	后：～日[白]
歐	ŋiu34	欧：～洲；姓
嘔	ˀiu41	呕：～吐
漚	jiu55	沤：久浸水中，～坏，～肥
否	fiu41	否：是～，～定
富	fu55	富：丰～，～贵
謀	miu21	谋：计～，～财害命
紐	ŋiu41	纽：纽扣；～约（地名）
劉	liu21	刘：姓
柳	liu41	柳：～树
酒	tsiu41	酒：～精
秋	ʦʰiu34	秋：～天；～千
就	tsiu55	就：成～，～去
修	siu34	修：装～，～正
秀	siu55	秀：清～，～才
袖	siu55	袖：领～，衫～（衣袖）
晝	tsiu55	昼：上～，～夜
抽	tsʰiu34	抽：～出
綢	ʦʰiu21	绸：～缎，丝～
宙	tsiu55	宙：宇～
鄒	tsiu34	邹：姓，～家华
皺	tsiu55	皱：～纹
愁	siu21	愁：～眉苦脸
搜	siu34	搜：～查
瘦	siu55	瘦：肥瘦
周	tsiu34	周：姓；～围，～年
醜	tsʰiu41	丑：不好看，出～
臭	tsʰiu55	臭：～味
收	siu34	收：丰～，～集
手	siu41	手：～脚，～段
獸	siu55	兽：野～
仇	siu21	仇：～人，报～
壽	siu55	寿：长～
九	kiu41	九：数字，～龙
救	kiu55	救：～命
求	kʰiu21	求：要～
舅	kʰiu34	舅：～公
舊	kʰiu55	旧：新～
牛	ŋiu21	牛：～牯
休	jiao34	休：～息，退～
有	jiu34	有：～钱
右	jiu55	右：左～
油	jiu21	油：麻～
丟	tiau34	丢：～失
答	tap21	答：回～
貪	tʰam34	贪：～心
探	tʰam55	探：试～
南	lam21	南：东南西北
納	lap55	纳：归～
參	ʦʰam34	参：～军，～加
慘	tsʰam41	惨：悲～
蠶	tsʰam21	蚕：～丝
雜	tsʰap55	杂：复～
鴿	kap21	鸽：白～
砍	kʰam41	砍：～伤
含	ham21	含：包～[文]
含	ham21	含：～糖[白]
合	hap55	合：～作，～适[文]
合	kap21	合：～本，～伙[白]
庵	ˀam34	庵：尼姑～
揞	ɐm34	揞：手覆，揞住
暗	am55	暗：不亮
擔	tam34	担：～任[动]
擔	tam55	担：～竿[名]
膽	tam41	胆：大～
塔	tʰap21	塔：宝～
痰	tʰam21	痰：吐～
淡	tʰam34	淡：～水（地名）
淡	tʰam34	淡：咸～；浓～
籃	lam21	篮：菜～
欖	lam41	榄：橄～，乌～
臘	lap55	腊：～肉，～肠
暫	tsam55	暂：～时
甘	kam34	甘：甜；～心
敢	kam41	敢：勇～
斬	tsam41	斩：白～鸡
蘸	tiam41	蘸：～豉油
插	ʦʰap21	插：～花
杉	tsʰam55	杉：～树
夾	kap55	夹：夹子；～心饼干
恰	hap55	恰：～切，～当
鹹	ham21	咸：～淡
陷	ham55	陷：～害，～井
衫	sam34	衫：衬～，～裤（衣服）
鑑	kam55	鉴：～定
甲	kap21	甲：天干，甲乙丙丁
巖	ŋam21	岩：～石，石灰～
鴨	ˀap21	鸭：鸭子
壓	ˀat21	压：～力
鐮	liam21	镰：镰刀，禾～
獵	liap55	猎：打～，～人
尖	tsiam34	尖：～刀
接	tsiap21	接：迎～，～待
籤	ʦʰam34	签：竹～，求～
潛	ʦʰam21	潜：～力
漸	tsam55	渐：逐～
捷	tsiap21	捷：～报，大～，敏～
沾	ʦam34	沾：～光
佔	tsiam55	占：～领，～地方
摺	tsiap21	折：～被，～叠
閃	siam41	闪：～开
攝	siap21	摄：～影
涉	siap21	涉：～及
染	jiam41	染：污～
檢	kiam41	检：～查，体～
鉗	kʰiam21	钳：～工，火～
儉	kiam55	俭：勤～
險	hiam41	险：危～，保～
掩	jiam41	掩：～护
厭	jiam55	厌：讨～
鹽	jiam21	盐
葉	jiap55	叶：树～；姓
劍	kiam55	剑：宝～
劫	kiap21	劫：抢～
欠	hiam55	欠：～钱，拖～
嚴	ŋiam21	严：～格；姓
業	jiap55	业：事～，～余
醃	jiap21	腌：腌制
點	tiam41	点：～心，～头
店	tiam55	店：开～
跌	tiɐp21	跌：～打
添	tʰiam34	添：～加，～丁
貼	tʰiap21	贴：补～
貼	tʰiap21	贴：～纸，～对联[动]
甜	tʰiam21	甜
碟	tʰiap55	碟：盛具，碟子
念	liam55	念：～经，怀～
兼	kiam34	兼：～职
謙	hiam34	谦：～虚
嫌	hiam21	嫌：～弃，～人
協	hiap55	协：～会，～作
法	fat21	法：方～
凡	fan21	凡：平～
犯	fan55	犯：～法[文]
品	pʰun41	品：～德
林	lim21	林：树～；姓
立	lip55	立：～足
粒	liap21	粒：三～，颗～
浸	tsim55	浸：～水
集	tsɐp55	集：～合，～体
心	sim34	心：～肝，内～
尋	tsʰim21	寻：～人
沉	ʦʰim21	沉：～底
參	sim34	参：人～
針	ʦim34	针：～线，～对
枕	tsim41	枕：～头[名]；～枕头[动]
汁	tsip21	汁：菜～，果～
深	tsʰim34	深：～浅，～入
沈	sim41	沈：姓；地名，～阳
濕	sip21	湿：潮～
十	sip55	十：数字
任	ŋim55	任：姓；责～，～何
入	ŋip55	入：～门，进～
金	kim34	金：～银
錦	kim41	锦：～绣，～旗
禁	kʰim55	禁：～止
急	kip21	急：心～
級	kʰip21	级：～别，年～
欽	jim34	钦：～差，～佩
琴	kʰim21	琴：弹～
及	kip21	及：～时
吸	kʰip21	吸：呼～，～引
陰	jim34	阴：～天
飮	jim41	饮：～料
單	tan34	单：～独
旦	tan55	旦：元～，花～
攤	tʰan34	摊：分～，～开，摆～
炭	tʰan55	炭：烧～
彈	tʰan21	弹：～琴
達	tʰat55	达：发～，～到
難	lan21	难：困～
捺	lat55	捺：撇～
蘭	lan21	兰：～花
懶	lan34	懒：懒惰，～尸
爛	lan41	烂：灿～，腐～
辣	lat55	辣：～椒
贊	tsan55	赞：称～，～助
餐	tsʰan34	餐：～车，快～
殘	tsʰan21	残：～废
散	san41	散：药～
散	san55	散：分～，解～
亁	kon34	干：烘～，饼～
趕	kon41	赶：追～
幹	kon55	干：～部，才～
割	kot21	割：～禾（割稻）
看	hon55	看：看见
渴	hot21	渴：口渴；～望
岸	on55	岸：口～，两～
寒	hon21	寒：大～，～流
汗	hon55	汗：出～，～马功劳
安	on34	安：公～，～全
案	on55	案：～件，档～
扮	pan55	扮：打～
八	pat21	八：数字
辦	pan55	办：～事
拔	pat55	拔：～河，选～
盞	tsan41	盏：灯～（灯）
紮	tsat21	扎：～紧，驻～
鏟	tsʰan41	铲：～草
察	tsʰat21	察：观～
山	san34	山
產	ʦʰan41	产：生～
殺	sat21	杀：～人，自～
間	kan34	间：房～，中～
揀	kan41	拣：挑选
眼	ŋan41	眼：双～皮
閑	han21	闲：～事，空～
限	han55	限：期～，～制
班	pan34	班：上～
板	pan41	板：黑～，石～
蠻	man21	蛮：不听话；野～
慢	man55	慢：～车
顏	ŋan21	颜：姓；～色
雁	ŋan55	雁：大～
變	pien55	变：～化，改～
篇	pʰien34	篇：一～文章
便	pʰien41	便：～宜
辨	pien55	辨：分～，～别
便	pʰien55	便：方～
別	piet21	别：离～，分～
棉	mien21	棉：～花
免	mien41	免：难～，～除
面	mien55	面：～子
滅	miet55	灭：消～，～亡
聯	lien21	联：～系；对～
烈	liet55	烈：～士，热～
煎	tsien34	煎：～药，～鱼
剪	tsien41	剪：～刀
箭	tsien55	箭：射～
淺	tsʰien41	浅：深～
錢	ʦʰien21	钱：～财
賤	ʦien55	贱：下～，～人
仙	sien34	仙：神～
癬	sien41	癣：发～（生癣）
線	sien55	线：～索
展	tsien41	展：开～，发～
撤	ʦʰiet21	撤：～退
纏	tsʰien21	缠：纠～，～线
