#漢字	音標	解釋
例	lɐi55	例：举～，～外
祭	tsɐi55	祭：～祀
制	tsɐi55	制：～度
世	sɐi55	世：～界
藝	gɐi55	艺：～术，文～晚会
米	bi21	米：大米
低	tai34	低：高～
梯	tʰɔi34	梯：楼～
體	tʰɐi41	体：～育，身～
題	tʰɐi21	题：～目，难～
蹄	tʰɐi21	蹄：马～
弟	tʰi55	弟：兄～[文]
弟	tʰai34	弟：弟弟，老～[白]
泥	lai21	泥：水～，地～（地板）
犁	lai21	犁：耕田用具
禮	li41	礼：～貌
齊	tsʰɐi21	齐：整～，放～，来～[白]
西	sɐi34	西：东西南北
洗	sɐi41	洗：～菜，～衣机
細	sɐi55	细：粗细，大小
雞	kɐi34	鸡：～公（公鸡）
計	kɐi55	计：～算，会～
溪	kʰɐi34	溪：～水
啟	kʰɐi21	启：～发
係	hɐi55	系：是[白]
杯	pui34	杯：茶～
輩	pɔi55	辈：～分，长～
背	pɔi55	背：违～，后～
坯	pʰi34	坯：泥～，毛～房
配	pʰui55	配：分～，搭～
賠	phɔi21	赔：～钱
背	pɔi55	背：～书
梅	bɔi21	梅：～花
妹	bɔi55	妹：妹妹，姊～，老～
堆	tɔi34	堆：一～[量]，～放[动]
對	tui55	对：～错；成双成～
推	tʰui34	推：～荐，～动
退	tʰui55	退：后～，～步[文]
內	lɔi55	内：～行，～外
雷	løi21	雷：打～，～公；姓
催	tsʰøi34	催：～促，～眠
罪	tsøi55	罪：得～，犯～[文]
碎	søi55	碎：～布，破～
塊	kʰuai55	块：一～钱，～头
灰	fɔi34	灰：石～，～色
回	wui21	回：～想[文]
最	tsøi55	最：～好
外	ɡɔi55	外：～面
會	fui55	会：开～
會	vɔi41	会：～睡，～来
乖	kai34	乖：小孩听话
怪	kuai55	怪：奇～
懷	wai21	怀：～疑
壞	fai55	坏：～人
拐	kuai41	拐：～卖，铁～李
掛	ka55	挂：～起来，牵～，～钩
歪	wai34	歪：～风邪气
話	wa55	话：笑～，讲～[文，名]
話	wa55	话：说[白，动]
稅	sɔi55	税：交～，～收
銳	jui55	锐：尖～，～角
肺	fui55	肺：猪～
皮	pʰi21	皮：调～，～肤
此	tsʰi41	此：到～为止
知	tsi34	知：通～，～道，无～[文]
知	ti34	知：知道，唔～[白]
池	tsʰi21	池：水～
紙	tsi41	纸：白～
兒	i21	儿：～童
騎	kʰi21	骑：～马
徛	kʰi41	徛：站立；（山）斜度高
儀	i21	仪：礼～，～式
蟻	gɐi41	蚁：蚂蚁，白～
義	i55	义：情～，～气
