#漢字	音標	解釋
度	tʰu31	度：～数，长～
奴	nu41	奴：～隶
努	nu31	努：～力
怒	nu31	怒：愤～，～气
盧	lu41	卢：姓
魯	lu11	鲁：～国，～迅
虜	lu11	虏：俘～
滷	lu11	卤：盐～，～水
路	lu31	路：大～
賂	lu45	赂：贿～
露	lu45	露：～水，白～，打～
租	ʦɿ11	租：～金，出～
祖	ʦɿ31	祖：～宗，～国
組	ʦɿ31	组：～织，小～
做	ʦɔu45	做：～好事
粗	ʦʰɿ11	粗：～心
醋	ʦʰɿ45	醋：陈～
措	ʦʰɔu45	措：～施
錯	ʦʰɔu45	错：～误
蘇	sɿ11	苏：～州；姓
酥	su11	酥：脆，杏仁～
素	su45	素：～菜，朴～
訴	su45	诉：上～，倾～
塑	sɔk031	塑：雕～，～料
姑	ku11	姑：大～
孤	ku11	孤：～儿，～单
箍	kʰu11	箍：紧～咒[文]
箍	kʰu11	箍：围束，～桶[白]
古	ku31	古：～代
估	ku31	估：～计
牯	ku31	牯：牛～
故	ku45	故：～事，～乡
固	ku45	固：～定
枯	kʰu11	枯：干～，～水
苦	kʰu31	苦：辛～，食～（吃苦）
苦	kʰu31	苦：～味
庫	kʰu45	库：水～，仓～
吳	m̩41	吴：姓
蜈	nuŋ41	蜈：～蚣
梧	m̩41	梧：～桐
五	m̩31	五：数字
伍	m̩31	伍：姓；队～
午	m̩31	午：中～，端～
誤	ŋu31	误：～会，错～
悟	ŋu31	悟：觉～
呼	fu11	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu11	虎：马～
滸	sy31	浒：水～
戽	fu45	戽：～水（泼水），～斗
胡	fu41	胡：二～ ；姓
湖	fu41	湖：西～
乎	fu11	乎：在～
鬍	fu41	胡：～须
糊	fu41	糊：浆～，～涂
戶	fu31	户：～口
互	fu41	互：～相
護	fu31	护：保～，～士
瓠	pʰu41	瓠：瓠瓜（味似葫芦而长）
烏	vu11	乌：黑
污	vu11	污：～染
惡	ɔk031	恶：可～
女	ɲy31	女：女人
廬	lu41	庐：～山
呂	li11	吕：姓
旅	li11	旅：～游
慮	li31	虑：考～
絮	su45	絮：棉～
徐	ʦʰy41	徐：姓
序	sy31	序：顺～
敍	sy31	叙：倒～
緖	sy31	緖：情～；光～
豬	ʧu11	猪：～肉
著	ʧu45	著：～名，显～
除	ʦʰy41	除：～法
儲	sy41	储：～蓄
苧	ʦʰy11	苎：～麻
阻	ʦy31	阻：～止，～力
初	ʦʰɿ11	初：当～，～中
楚	ʦʰɿ31	楚：清～
礎	ʦʰɿ31	础：基～
鋤	ʦʰɿ41	锄：～草，～禾日当午
助	ʦʰɿ31	助：帮～
梳	sɿ11	梳：梳子[名]；梳头[动]
疏	sɿ11	疏：～远；稀疏
疏	sɿ11	疏：生～
蔬	sɿ11	蔬：～菜
所	sɔu31	所：～以；派出～
疏	sɿ11	疏：注～
麩	kʰu11	麸：麦～
撫	fu31	抚：～养，安～
赴	fu45	赴：奔～，～汤蹈火
符	fu41	符：～合，鬼画～
扶	fu41	扶：～贫，～手[文]
扶	pʰu41	扶：搀扶，～起来[白]
芙	fu41	芙：～蓉
父	fu31	父：～亲
腐	fu31	腐：～败
腐	fu31	腐：豆～
輔	pʰu31	辅：～导，～助
附	fu31	附：～近，～带
無	vu41	无：没有，～中生有[文]
無	mɔu41	无：没有，～事[白]
巫	mu41	巫：姓；～婆
武	vu31	武：～器，～术
舞	vu31	舞：跳～
舞	vu31	舞：拨弄，摆弄[白，动]
侮	vu11	侮：～辱
鵡	vu31	鹉：鹦～
務	vu31	务：任～，～农
霧	vu31	雾：大～
縷	lɛu31	缕：千丝万～
屢	lui11	屡：～次，～教不改
趨	ʦʰi11	趋：～势
取	ʦʰi31	取：～钱
娶	ʦʰi31	娶：嫁～
趣	ʦʰi45	趣：兴～
聚	ʦʰi11	聚：～会
聚	ʦʰiu11	聚：捡～（收拢）[白]
須	si41	须：必～
鬚	si11	须：胡～
需	si41	需：～要
續	ʃuk045	续：连～，继～
誅	ʦu11	诛：天～地灭
蛛	ʦu11	蛛：蜘～
株	ʦu11	株：守～待兔
駐	ʦu45	驻：～扎
註	ʦu45	注：～释
廚	ʦʰy41	厨：～房
櫥	ʦʰy41	橱：碗～
柱	ʦʰy11	柱：柱子
住	ʦʰy31	住：～宿
雛	ʦʰy41	雏：～形
數	sɿ45	数：～落，～星星[动]
數	sɿ45	数：～字，～学
朱	ʦu11	朱：姓
珠	ʧu11	珠：珍～
主	ʦy31	主：～人，地～
注	ʦy45	注：～意
蛀	ʧu45	蛀：～虫
鑄	ʧu45	铸：～铁，～钢
樞	sy11	枢：中～，～纽
輸	sy11	输：～赢
戍	ʃut031	戍：～边
輸	sy11	输：运～
殊	sy41	殊：特～
豎	sy31	竖：横～
樹	sy31	树：～立，种～
儒	i41	儒：～家思想
乳	iui31	乳：哺～，母～[文]
乳	nɛn45	乳：食～（吃奶），麦～精[训]
拘	ki11	拘：～留
倶	kʰi31	俱：～备，～乐部
矩	ki31	矩：规～，～形
句	ki45	句：～号
區	kʰi11	区：地～，～别
驅	kʰi11	驱：先～，～动
具	kʰi31	具：～体
懼	kʰi31	惧：恐～
愚	ɲy41	愚：～蠢，～公移山
虞	y41	虞：姓，～姬
娛	ŋu31	娱：～乐
遇	y31	遇：遭～，相～，～到
寓	i31	寓：～言；公～
迂	i31	迂：～回，～腐
于	i41	于：姓；等～
吁	i41	吁：气喘～～，长～短叹
雨	i31	雨：落～，谷～，～水
宇	i41	宇：～宙
禹	i31	禹：大～治水
羽	i31	羽：～毛球
芋	i45	芋：芋头
逾	i31	逾：超过，～期
愉	i31	愉：～快
愈	i31	愈：病～
喩	i31	喻：比～
裕	i31	裕：富～
獃	tai11	呆：书～子，发～[文]
獃	ŋɔi045	呆：发～[白]
戴	tai45	戴：姓；～帽
胎	tʰɔi11	胎：双胞～，～盘
台	tʰɔi41	台：天台
態	tʰai45	态：～度，心～
貸	tʰɔi31	贷：～款
臺	tʰɔi45	台：～湾
苔	tʰɔi11	苔：青～，舌～
抬	tɔi41	抬：两个人抬
待	tʰɔi31	待：等～，～人接物
怠	tai45	怠：～慢，～工
殆	tai45	殆：百战不～
代	tʰɔi31	代：～替，～表
逮	tʰi45	逮：～捕
袋	tʰɔi31	袋：袋子
乃	nai11	乃：安～近；人名用字
耐	nai31	耐：～力，～心，忍～
來	lɔi41	来：过～，～去
災	ʦai11	灾：水～
栽	ʦɔi45	栽：种，～培
宰	ʦai31	宰：～相
載	ʦɔi45	载：一年半～
再	ʦai45	再：～来
載	ʦɔi45	载：～重
猜	ʦʰai11	猜：～谜
採	ʦʰai31	采：～集
睬	ʦʰai31	睬：理睬
菜	ʦʰɔi45	菜：煮～，青～
才	ʦʰɔi41	才：人～，～气，秀～
裁	ʦʰɔi41	裁，～纸，剪～
纔	ʦʰɔi41	才：刚～
在	ʦʰai31	在：实～，现～[文]
在	ʦʰɔi11	在：存在，还～[白]
載	ʦɔi45	载：满～而归
腮	sɔi11	腮：～腺炎，～红
鰓	sɔi11	鳃：鱼鳃
賽	sɔi45	赛：比～
該	kɔi11	该：应～
改	kɔi31	改：修～，～正
概	kʰai31	概：大～，～括
溉	kʰai31	溉：灌～
開	kʰɔi11	开：公～，～门
凱	kʰai31	凯：～旋
慨	kʰai31	慨：慷～，感～
咳	kʰɛt045	咳：～嗽，止～糖浆
呆	tai11	呆：～板
礙	ŋɔi31	碍：妨～
海	hɔi31	海：大～
孩	hai41	孩：～童
亥	hat045	亥：辛～革命
哀	ɔi11	哀：悲～
埃	ai11	埃：尘～，～及
愛	ɔi45	爱：～情；要
貝	pui45	贝：宝～
沛	pʰui45	沛：充～
帶	tai45	带：鞋～
太	tʰai45	太：老～婆
泰	tʰai45	泰：～山
大	tʰai31	大：大小
奈	nai31	奈：无～，～何
賴	lai31	赖：依～，无～；姓
癩	lat031	癞：～蛤蟆[文]
癩	lat031	癞：～哥（癞疮）[白]
蔡	ʦʰai45	蔡：姓
蓋	kɔi45	盖：～被[动]；盖子[名]
丐	kɔi45	丐：～帮
艾	ai45	艾：姓；～滋病
艾	ŋɛi45	艾：艾草
害	hɔi31	害：～人
藹	ɔt031	蔼：和～，宋～龄
拜	pai45	拜：结～，礼～，～佛
排	pʰai41	排：～队
埋	mai41	埋：～伏
齋	ʦai11	斋：食～（吃斋）
豺	sai41	豺：～狼
皆	kai11	皆：～大欢喜
階	kai11	阶：台～，～级
介	kai45	介：～绍，中～
戒	kai45	戒：～烟，猪八～
楷	kai11	楷：～书，～模
諧	hai41	谐：和～
駭	hɔi31	骇：惊～，～人听闻
械	kʰai31	械：机～
挨	ai11	挨：～打，～近
擺	pai31	摆：摇～
派	pʰai45	派：正～，～出所
牌	pʰai41	牌：～坊，～匾[文]
牌	pʰai41	牌：打～[白，训]
㵺	pʰai41	排：竹排
罷	pʰa31	罢：～工
稗	pʰa31	稗：～草
買	mai11	买：～卖
賣	mai31	卖：买～
奶	nai11	奶：二～，～牛
債	ʦai45	债：欠～
差	ʦʰai11	差：出～
柴	ʦʰai41	柴：姓；火～
篩	ʦʰɛi11	筛：～选，～米
灑	sa31	洒：潇～，～水
佳	ka11	佳：～人，～节
街	kai11	街：～路
解	kai31	解：～释，讲～[文]
解	kɛi31	解：～开[白]
懈	hai31	懈：松～，坚持不～
涯	ŋai41	涯：天～
崖	ŋai41	崖：悬～
捱	ŋai41	捱：难～，～苦
鞋	hai41	鞋：布～
解	kai31	解：懂了，理～，了～
蟹	hai31	蟹：老～
矮	ɛi31	矮：高矮
敗	pʰai31	败：失～
邁	mai31	迈：豪～，～步
寨	ʦʰai45	寨：山～，大～
蔽	pi45	蔽：隐～
弊	pi45	弊：作～
幣	pʰi31	币：人民～
斃	pi45	毙：枪～
例	lɛi31	例：举～，～外
厲	li31	厉：严～，～害
勵	li31	励：鼓～
祭	ʦi45	祭：～祀
際	ʦi45	际：国～
滯	ʦʰɛi31	滞：停～，湿～（中医）
制	ʦɿ45	制：～度
世	sɿ45	世：～界
世	sɿ45	世：出～
勢	sɿ45	势：～力，有权有～
誓	sɿ31	誓：发～
逝	sɿ45	逝：～世
藝	ŋɛi31	艺：～术，文～晚会
蓖	pi11	蓖：～麻
閉	pi45	闭：关～
批	pʰɛi11	批：～评，大～
批	pɛi11	批：螺丝～
陛	pi31	陛：～下
迷	mi41	迷：入～，～路
米	mi31	米：大米
謎	mi41	谜：～语，猜～
低	tɛi11	低：高～
堤	tʰi41	堤：河～，～坝
底	tɛi31	底：水～
抵	tɛi31	抵：～押
抵	tɛi31	抵：用手抵挡
帝	ti45	帝：皇～
梯	tʰɔi11	梯：楼～
體	tʰi31	体：～育，身～
替	tʰɛi45	替：代～，～身
剃	tʰɛi45	剃：～头
題	tʰi41	题：～目，难～
提	tʰi41	提：～问，～醒
蹄	tʰɛi41	蹄：马～
啼	tʰɛi41	啼：哭哭～～[文]
啼	tʰɛi41	啼：鸡～[白]
弟	tʰi31	弟：兄～[文]
弟	tʰɛi11	弟：弟弟，老～[白]
第	tʰi31	第：～一，门～
遞	tʰi31	递：传～，邮～员
泥	nɛi41	泥：水～，地～（地板）
犁	lɛi41	犁：耕田用具
黎	lɛi41	黎：～民，～明；姓
禮	li11	礼：～貌
麗	li31	丽：秀～
隸	li31	隶：奴～，～属
擠	ʦi45	挤：拥～，～时间
濟	ʦi45	济：～公，经～
妻	ʦʰi11	妻：夫～
齊	ʦʰɛi41	齐：整～，放～，来～[白]
臍	ʦʰi41	脐：肚～，～带
劑	ʦi45	剂：一～药，药～
西	si11	西：东西南北
犀	sɛi11	犀：～牛
洗	sɛi31	洗：～菜，～衣机
細	sɛi45	细：粗细，大小
婿	sɛi45	婿：女～
雞	kɛi11	鸡：～公（公鸡）
計	kɛi45	计：～算，会～
繼	ki45	继：～续，～承
繫	kɛi11	系：～皮带
髻	ki45	髻：发髻；鸡～（鸡冠）
溪	kʰɛi11	溪：～水
啟	kʰi31	启：～发
契	kʰɛi45	契：房～，～约
倪	i41	倪：姓，～萍
奚	kʰɛi11	奚：～落
系	hɛi45	系：中文～，～统；关～[文]
係	hɛi45	系：是[白]
杯	pui11	杯：茶～
輩	pui45	辈：～分，长～
背	pɔi45	背：违～，后～
配	pʰui45	配：分～，搭～
培	pʰui41	培：～训
陪	pʰui41	陪：～同
賠	pʰɔi41	赔：～钱
倍	pʰui31	倍：～数
佩	pʰui45	佩：～服
背	pʰɔi31	背：～书
梅	mɔi41	梅：～花
枚	mui41	枚：两～
媒	mɔi41	媒：～人
煤	mɔi41	煤：烧～，～矿
玫	mɔi41	玫：～瑰
每	mui11	每：～只，～日
莓	mɔi41	莓：草～
妹	mɔi45	妹：妹妹，姊～，老～
堆	tui11	堆：一～[量]，～放[动]
對	tui45	对：～错；成双成～
碓	tɔi45	碓：舂米工具，踏～
推	tʰui11	推：～荐，～动
腿	tʰui31	腿：～部，火～
退	tʰui45	退：后～，～步[文]
退	tʰui45	退：向后退[白]
隊	tui45	队：～伍，排～
內	nui31	内：～行，～外
雷	lui41	雷：打～，～公；姓
累	lui45	累：劳～
催	ʧʰui11	催：～促，～眠
崔	ʧʰui11	崔：姓，～莺莺
摧	ʧʰui11	摧：～残
罪	ʧʰui31	罪：得～，犯～[文]
罪	ʧʰui31	罪：～过（可怜、难受）[白]
碎	ʃui45	碎：～布，破～
盔	kui11	盔：头～，～甲
魁	kʰui11	魁：～梧，花～
恢	fɔi11	恢：～复
拚	pɔt031	拼：～命（训读）
塊	kʰai45	块：一～钱，～头
桅	vui41	桅：～杆
灰	fɔi11	灰：石～，～色
賄	fui45	贿：受～，～赂
悔	fui45	悔：后～
晦	fui45	晦：～气
回	fui41	回：～想[文]；～礼[白]
匯	fui31	汇：～报，～款
潰	kʰui45	溃：～疡，胃～疡
煨	vɔi11	煨：～番薯
蛻	tʰui31	蜕：～变，～皮，～壳
兌	tʰui31	兑：～水，～换
最	ʧui45	最：～好
會	kʰai45	会：～计
劊	kʰai45	刽：～子手
外	ŋɔi31	外：～面
會	fui31	会：开～
會	vɔi31	会：～睡，～来
乖	kai11	乖：小孩听话
怪	kai45	怪：奇～
懷	fai41	怀：～疑
淮	fai41	淮：～河，～北
壞	fai31	坏：～人
拐	kai31	拐：～卖，铁～李
掛	ka45	挂：～起来，牵～，～钩
卦	ka45	卦：八～
歪	vai11	歪：～风邪气
畫	fa31	画：～图，图～
快	kʰai45	快：～车
筷	kʰai45	筷：公～
話	va31	话：笑～，讲～[文，名]
話	va31	话：讲～[白，名]
話	va31	话：说[白，动]
脆	ʧʰui45	脆：干～[文]
脆	ʧʰui45	脆：易断[白]
歲	ʃui45	岁：万～，～月[文]
歲	sɛi45	岁：十～，～数[白]
綴	tɔt031	缀：点～
贅	ʧui45	赘：累～，入～
稅	sɔi45	税：交～，～收
衛	vui31	卫：～生
銳	iui45	锐：尖～，～角
廢	fui45	废：～品，作～
肺	fui45	肺：猪～
吠	pʰɔi31	吠：狗～
閨	kui11	闺：～房
桂	kui45	桂：～花
惠	fui31	惠：～州，优～
碑	pi11	碑：石～，～文
卑	pi11	卑：自～，～鄙
彼	pʰi31	彼：～此
臂	pi31	臂：手～，～力
披	pʰi11	披：～肩，～露
皮	pʰi41	皮：调～，～肤
疲	pʰi41	疲：～劳
脾	pʰi41	脾：～胃，～气
被	pʰi11	被：被子，毛巾～
婢	pi11	婢：奴～，～女
被	pʰi11	被：～动，～迫
避	pʰit031	避：逃～
彌	ȵi41	弥：～补，阿～陀佛
離	li41	离：～別，～开
荔	li31	荔：～枝
紫	ʦɿ31	紫：～色
雌	ʦʰɿ11	雌：～雄
此	ʦʰɿ31	此：到～为止
刺	ʦʰɿ45	刺：～激，穿～
斯	sɿ11	斯：～大林
撕	sɿ11	撕：～烂
徙	tʰu41	徙：移居，～屋，迁～
賜	ʦʰɿ41	赐：赏～
知	ʦɿ11	知：通～，～道，无～[文]
知	ʦɿ45	知：～识[文]
知	ti11	知：知道，唔～[白]
蜘	ʦɿ11	蜘：～蛛
智	ʦɿ45	智：～慧
池	ʦʰɿ41	池：水～
馳	ʦʰɿ41	驰：奔～
差	ʦʰa11	差：参～不齐
篩	ʦʰɛi11	筛：谷～，米～
支	kan31	支：两～笔[白，量]
支	ʦɿ11	支：～持，天干地～[文]
肢	ʦɿ11	肢：四～，～体
梔	ki11	栀：黄～（水横枝、黄果）
紙	ʦɿ31	纸：白～
只	ʦit031	只：～有
侈	ʦʰɿ11	侈：奢～
舐	sɛi11	舐：舔
施	sɿ11	施：措～；姓
翅	ʦʰɿ45	翅：鱼～
匙	sɿ41	匙：锁～，汤～
是	sɿ31	是：～否，～非
氏	sɿ31	氏：姓～
豉	sɿ31	豉：豆～
兒	lu41	儿：～童
爾	ȵi22	尔：～虞我诈；保～（人名）
寄	ki45	寄：～信，～托
企	kʰi11	企：～业，～鹅
奇	kʰi41	奇：～怪
騎	kʰi41	骑：～马
騎	kʰi41	骑：～楼
岐	kʰi41	岐：～山
徛	kʰi11	徛：站立；（山）斜度高
技	kʰi11	技：～术[文]
技	kʰi11	技：杂～[白]
脂	ʦɿ31	脂：～肪，胭～
旨	ʦɿ31	旨：圣～
指	ʦɿ31	指：手～，～甲
至	ʦɿ45	至：～少
示	sɿ45	示：表～
屍	sɿ11	尸：～体，死～
諸	ʦu31	诸：姓；～如此类
煮	ʦy31	煮：～饭
處	ʦʰu45	处：～理
處	ʦʰu45	处：～所
書	sy11	书：读～
舒	sy11	舒：～服
暑	sy31	暑：～假
鼠	ʦʰy31	鼠：老～
庶	sy45	庶：～民
恕	su45	恕：宽～
署	sy41	署：～名
薯	sy41	薯：番～
如	i41	如：～果，假～
居	ki11	居：～民
車	ki11	车：象棋，～马炮
舉	ki31	举：～报，～重
