#漢字	音標	解釋
脆	tsʰoi33	脆：干脆，食物松脆（如苹果、饼干）
歲	soi33	岁：几岁，万岁
贅	tsoi22	赘：累赘，入赘
稅	soi33	税：税收，偷税
芮	joi22	芮：姓
鱖	kʰyt033	鳜：鳜鱼
衛	wɐi22	卫：保卫、卫生
銳	joi22	锐：尖锐
廢	fei33	废：废品、作废
肺	fei33	肺：猪肺
吠	fei22	吠：狗叫
穢	wɐi33	秽：污秽
圭	fui53	圭：人名用字
閨	kuɐi53	闺：闺房、闺女
桂	kuɐi33	桂：桂圆，肉桂，桂花灯，桂花糖
奎	fui53	奎：人名用字
攜	kʰuɐi21	携：携带
惠	wɐi22	惠：实惠，优惠
慧	wɐi22	慧：小孩乖、能干，人名用字
碑	pei53	碑：石碑，碑文
卑	pei53	卑：卑职，卑鄙
彼	pʰei35	彼：彼此
俾	pei35	俾：俾使，俾益
臂	pei33	臂：手臂，臂力
披	pʰei53	披：披衣服
譬	pei35	譬：譬喻
皮	pʰei21	皮：苹果皮
疲	pʰei21	疲：疲劳
脾	pʰei21	脾：脾气，脾胃
被	pʰei13	被：棉被，被絮
婢	pʰei35	婢：婢女
被	pei22	被：被迫
避	pei22	避：避开，躲避
糜	mei21	糜：粥，糜烂
彌	lei21	弥：阿弥勒佛，弥补，弥漫
離	lei21	离：离别
籬	lei21	篱：篱笆
璃	lei21	璃：玻璃
荔	lei22	荔：荔枝
離	lei21	离：分离
紫	tsi35	紫：紫色
雌	tsʰi53	雌：雌雄
此	tsʰi35	此：此地，到此
刺	tsʰi33	刺：刺刀，鱼刺，植物的刺
斯	si53	斯：斯大林
廝	si53	厮：厮打，互相
撕	si53	撕：撕破
璽	sai35	玺：玉玺
徙	sai35	徙：迁徙，移动
賜	tsʰiy̯33	赐：赏赐，恩赐
知	tsi53	知：知道，知识
蜘	tsi53	蜘：蜘蛛（土话）
智	tsi33	智：智慧
池	tsʰiy̯21	池：池塘，水池
馳	tsʰiy̯21	驰：奔驰，驰骋
篩	sai53	筛：谷筛，米筛，筛谷
支	tsi53	支：地支，支持
枝	tsi53	枝：荔枝，树枝
肢	tsi53	肢：四肢、肢体
紙	tsi35	纸：白纸、纸头
只	tsi35	只：只有
侈	tsʰi35	侈：奢侈
舐	sai35	舐：舔
施	si53	施：施肥，姓
翅	tsʰi33	翅：鱼翅，翅膀
施	si53	施：布施
匙	si21	匙：钥匙，羹匙
是	si22	是：是不是，的确，代词强调式
氏	si22	氏：姓氏，氏族
豉	si22	豉：豆豉
兒	ji21	儿：儿童节，小儿子
爾	ji13	尔：尔虞我诈
寄	ki33	寄：邮寄，寄信
羈	ki33	羁：不羁，羁押
企	kʰi13	企：企业，企求
奇	kʰei21	奇：好奇，奇怪
騎	kʰɛ21	骑：骑马
岐	kʰi21	岐：岐山
徛	kʰi13	徛：站立
技	ki22	技：技术，杂技
妓	ki22	妓：嫖妓，妓女
宜	ji21	宜：宜昌，便宜
儀	ji21	仪：礼仪，仪式
蟻	ŋai13	蚁：蚂蚁，白蚁
誼	ji21	谊：友谊
義	ji22	义：情义，义气
議	ji33	议：议论，会议
犧	hi53	牺：牺牲
戲	hi33	戏：唱戏，戏班
椅	ji35	椅：交椅，椅子
倚	ji53	倚：倚靠，不偏不倚
移	ji21	移：迁移，移动
易	ji22	易：容易，易如反掌
悲	pei53	悲：可悲，悲伤
鄙	pʰei35	鄙：卑鄙，鄙人
比	pei35	比：对比，比较
秕	pei33	秕：秕谷（不饱满的稻谷）
秘	pei33	秘：秘书，秘密
泌	pei33	泌：分泌
庇	pei33	庇：包庇
痹	pei33	痹：麻痹
丕	pʰei53	丕：曹丕
屁	pʰei33	屁：放屁，狗屁
琵	pʰei21	琵：琵琶
枇	pʰei21	枇：枇杷
備	pei22	备：准备，备用，刘备
鼻	pei22	鼻：鼻子，鼻涕
篦	pei33	篦：篦子（可抓虱子的很密的梳子）
眉	mei21	眉：画眉，眉毛
楣	mei21	楣：门楣，倒楣
黴	mui21	霉：发霉
美	mei13	美：英美，美化
媚	mei21	媚：抛媚眼，武媚娘，妩媚
地	tei22	地：土地，地上
尼	lei21	尼：尼姑，《僧尼会》（婺剧）
膩	lei33	腻：油腻，吃腻
梨	lei21	梨：雪梨，梨园
履	lei22	履：履行
利	lei22	利：有利，利钱
痢	lei22	痢：癞痢，痢疾
資	tsy53	资：资本
姿	tsy53	姿：姿势
咨	tsy53	咨：咨询
姊	tsɛ35	姊：姊妹，姐姐
次	tsʰy33	次：名次，两次，次品
瓷	tsʰy21	瓷：陶瓷，瓷砖
餈	tsʰɐi21	糍：麻糍，糍粑
自	tsy22	自：自顾自，自己，自私
私	sy53	私：自私，私心
死	sei35	死：死了，死亡
四	sei33	四：数字
肆	sy33	肆：放肆，肆无忌惮
致	tsi33	致：导致，致敬
遲	tsʰi21	迟：迟到，推迟
稚	tsi22	稚：幼稚，稚嫩
師	sy53	师：老师，师父
脂	tsi53	脂：猪脂油，胭脂，脂肪
指	tsi35	指：手指，指挥
旨	tsi35	旨：奉旨，旨意
至	tsi33	至：至少
示	si33	示：启示，示意图
屍	si53	尸：死尸，分尸
屎	si35	屎：粪便
矢	tsʰi35	矢：无的放矢
視	si33	视：近视，视察
嗜	si33	嗜：嗜好
二	ji22	二：数字
貳	ji22	贰：
飢	ki53	饥：饥饿，饿
肌	ki53	肌：肌肉
几	ki53	几：茶几
器	hi33	器：武器，大器
棄	hi33	弃：放弃
伊	ji53	伊：姓，伊犁
夷	ji21	夷：化险为夷，夷蛮
你	nei13	你：第二人称
釐	lei21	厘：厘米，分厘
李	lei13	李：姓，一种水果
里	lei13	里：一里路，里弄，地名
理	lei13	理：道理，理由
裏	loi13	里：里面，里外
鯉	lei13	鲤：鲤鱼跳龙门
吏	lei22	吏：官吏，吏治
兹	tsy53	兹：公文用语
滋	tsy53	滋：滋味，滋润
子	tsy35	子：孔子，子孙，儿子，老子
梓	tsi35	梓：桑梓
慈	tsʰy21	慈：慈悲，慈禧
磁	tsʰy21	磁：磁铁，磁场
字	tsy22	字：文字，字画
思	sy53	思：思想，思念
絲	si53	丝：蛛丝，丝绸
司	sy53	司：司令，公司
伺	sy22	伺：伺侯，伺机
思	sy53	思：意思
辭	tsʰy21	辞：告辞，辞职
祠	tsʰy21	祠：祠堂，宗祠
詞	tsʰy21	词：歌词，词牌
似	tsʰy13	似：相似，似乎
巳	tsy22	巳：地支第六
祀	ki35	祀：祭祀
寺	tsy22	寺：金山寺，寺庙
飼	tsʰy21	饲：饲养，饲料
嗣	tsy22	嗣：谭嗣同，后嗣
置	tsi33	置：布置，安置，置办
癡	tsʰi53	痴：痴呆，发痴
恥	tsʰi35	耻：国耻，耻辱
持	tsʰi21	持：坚持，持久
痔	tsi22	痔：痔疮
治	tsi22	治：统治，治安
輜	tsi53	辎：辎重
淄	tsi53	淄：淄博
滓	tsoi35	滓：渣滓洞
廁	tsʰy33	厕：男厕，厕所
士	sy22	士：士兵
仕	sy22	仕：仕途
柿	tsʰy21	柿：柿子
事	sy22	事：大事，事情
史	sy35	史：历史
使	sy35	使：假使，大使，用
駛	sai35	驶：驾驶员，车驶来
之	tsi53	之：之乎者也
芝	tsi53	芝：灵芝，芝麻
止	tsi35	止：停止，止血
址	tsi35	址：地址，旧址
趾	tsi35	趾：脚趾（甲）
志	tsi33	志：志气，志愿
痣	tsi33	痣：与胎记不同
誌	tsi33	志：地方志
齒	tsʰi35	齿：牙齿
詩	si53	诗：唐诗，诗人
始	tsʰi35	始：开始，始终
試	si33	试：考试，试一试
時	si21	时：时间，当时
市	si13	市：集市，市场
恃	tsʰi13	恃：自恃，恃才傲物
侍	sy22	侍：服侍，侍卫
而	ji21	而：然而，而且
耳	ji13	耳：耳朵，中耳炎
餌	lei22	饵：钓饵
基	ki53	基：基本，地基
箕	ki53	箕：粪箕，篦箕（梳头用）
姬	ki53	姬：虞姬
己	ki35	己：自己，舍己为人
紀	ki35	纪：纪律，年纪
記	ki33	记：记号，笔记
欺	hi53	欺：欺负
起	hi35	起：起床，升起
杞	ki35	杞：枸杞，杞人忧天
棋	kʰi21	棋：下棋，棋子
旗	kʰi21	旗：红旗
其	kʰi21	其：尤其，其他
期	kʰi21	期：到期，日期
忌	ki22	忌：忌讳，禁忌，忌日
疑	ji21	疑：怀疑，疑心
擬	ji13	拟：草拟，拟人
煕	hi53	熙：康熙
喜	hi35	喜：大喜，喜欢
醫	ji53	医：医生，医病
意	ji33	意：意思，大意
怡	ji21	怡：心旷神怡
貽	ji21	贻：贻笑大方
以	ji33	以：可以，以毒攻毒
已	ji33	已：已经
異	ji22	异：各异，异同
機	ki53	机：机器，趁机
譏	ki53	讥：讥笑
饑	ki53	饥：饥荒
幾	ki53	几：几乎
幾	ki35	几：几个
既	ki33	既：既然
豈	hi35	岂：岂有此理
氣	hi33	气：空气，气人
汽	hi33	汽：水汽，汽车
祈	kʰi21	祈：祈祷
毅	ŋai22	毅：毅力
希	hi53	希：希望
稀	hi53	稀：稀有，稀饭
衣	ji53	衣：大衣，衣裳
依	ji53	依：依靠，依旧
累	loi22	累：积累，累计
嘴	tsoi35	嘴：嘴巴
髓	soi13	髓：骨髓，脑髓
隨	tsʰoi21	随：随便，跟随
吹	tsʰoi53	吹：吹牛，吹喇叭，吹口哨
炊	tsʰoi53	炊：炊事员，炊饭
垂	soi21	垂：下垂，垂头丧气
睡	soi22	睡：午睡，睡眠
瑞	soi22	瑞：瑞安，瑞金，瑞雪
蕊	joi13	蕊：花心或花苞
規	kʰuɐi53	规：圆规，规矩
詭	kuɐi35	诡：诡计
虧	kʰuɐi53	亏：幸亏，多亏，亏得，吃亏
窺	kʰuɐi53	窥：偷窥，窥视
跪	kuɐi22	跪：下跪，跪下
危	ŋɐi21	危：安危，危险
僞	ŋai22	伪：伪造，虚伪
毀	wɐi35	毁：毁灭，毁牙（小孩换牙）
萎	wɐi35	萎：枯萎，萎靡
委	wɐi35	委：委托，常委
爲	wɐi21	为：行为，为人
爲	wɐi22	为：为人民服务
壘	løi13	垒：堡垒
類	loi22	类：分类，种类
淚	loi22	泪：眼泪，泪水
醉	tsoi33	醉：喝醉酒
翠	tsʰoi33	翠：翡翠，翠绿
雖	soi53	虽：虽然
粹	soi33	粹：纯粹
遂	soi22	遂：未遂，遂昌
隧	soi22	隧：隧道
穗	soi22	穗：谷穗
追	tsoi53	追：
錘	tsʰoi21	锤：铁锤，抡大锤
槌	tsʰoi21	槌：槌棒（洗衣服用）
墜	tsoi22	坠：虫子吐丝下坠，耳垂
衰	soi53	衰：衰老，衰落
摔	sɐt053	摔：
帥	soi33	帅：元帅
錐	tsoi53	锥：角锥，圆锥
水	sui35	水：喝水，水果，水平
誰	soi21	谁：
龜	kuɐi53	龟：乌龟
癸	kuɐi33	癸：天干第十
軌	kuɐi35	轨：铁轨，轨道
愧	kʰuɐi13	愧：惭愧
季	kuɐi33	季：四季
逵	kʰuɐi21	逵：李逵
葵	kʰuɐi21	葵：向日葵，葵花籽
櫃	kuɐi22	柜：门在顶上，柜台
位	wɐi22	位：地位，位子
維	wɐi21	维：维生素，纤维
遺	wɐi21	遗：遗失
惟	wɐi21	惟：惟一
唯	wɐi21	唯：唯物主义
飛	fei53	飞：飞机，鸟飞
非	fei53	非：是非，非常
匪	fei35	匪：土匪
疿	pui22	痱：痱子
沸	fɐt053	沸：水沸，沸腾
妃	fei53	妃：贵妃
費	fei33	费：浪费，费用
肥	fei21	肥：肥料，化肥，肥肉
翡	fei35	翡：翡翠
微	mei21	微：细微，微小
尾	mei13	尾：末尾，尾巴
未	mei22	未：未来（将来，还没有来）
味	mei22	味：味道，味精
歸	kuɐi53	归：归来，回归，九九归一
鬼	kuɐi35	鬼：鬼神
貴	kuɐi33	贵：东西贵，贵客，宝贵
魏	ŋai22	魏：姓，魏国
揮	fɐi53	挥：指挥，挥手
輝	fɐi53	辉：光辉，日头辉，辉煌
徽	fɐi53	徽：国徽，徽章
諱	wɐi13	讳：忌讳
威	wɐi53	威：威风，发威
畏	wɐi33	畏：畏罪，畏惧
慰	wɐi33	慰：安慰，慰问
圍	wɐi21	围：围裙，包围，围墙，围巾
違	wɐi21	违：违背
偉	wɐi13	伟：伟大，雄伟
葦	wɐi13	苇：芦苇
緯	wɐi13	纬：经纬，纬线
胃	wɐi22	胃：肠胃，胃病
謂	wɐi22	谓：所谓
蝟	wɐi33	猬：刺猬
彙	wui22	汇：汇总，汇报，词汇
褒	po53	褒：褒义，褒奖
保	po35	保：保护，担保
寶	po35	宝：宝贝，珍宝
堡	po35	堡：碉堡，堡垒，地名有无特殊说法
報	po33	报：报告，日报
袍	pʰo21	袍：长袍，袍子
抱	pʰo13	抱：拥抱，抱孩子
暴	pɐu22	暴：暴露，残暴
菢	pɐu22	菢：菢小鸡（孵）
毛	mo21	毛：毛笔，鸭毛
冒	mɐu22	冒：冒充
帽	mo35	帽：草帽
刀	to53	刀：一把刀
倒	to33	倒：打倒，倒掉
島	tɐu35	岛：
禱	tʰɐu35	祷：祈祷，祷告
搗	tɐu35	捣：捣乱
倒	to35	倒：倒着走，倒车
到	to33	到：到那里去
滔	tʰɐu53	滔：滔滔不绝，滔天
討	tʰɐu35	讨：讨饭，讨老婆，讨名字
套	tʰo33	套：配套，套子
桃	tʰo21	桃：一种水果
逃	tʰo21	逃：逃难，逃命
淘	tʰo21	淘：淘米，淘气
陶	tʰo21	陶：陶瓷，姓
萄	tʰo21	萄：葡萄
濤	tʰo21	涛：波涛
稻	tɐu22	稻：水稻
道	tɐu22	道：道理，大道
導	to22	导：领导，导演
腦	lo13	脑：大脑，电脑
惱	lo13	恼：恼火，懊恼
勞	lɐu21	劳：劳动
撈	lau21	捞：海底捞月
牢	lɐu21	牢：坐牢，牢房
老	lo13	老：年龄大，菜很老，老爷，老实
澇	lɐu21	涝：洪涝
糟	tso53	糟：糟糕，酒糟
遭	tso53	遭：遭殃
早	tso35	早：早上
棗	tso35	枣：红枣
蚤	tsau35	蚤：跳蚤
澡	tsʰo33	澡：洗澡，澡盆
竈	tso33	灶：大灶，灶神
躁	tsʰo33	躁：脾气躁，暴躁
操	tso53	操：做操，曹操
草	tso35	草：
糙	tso33	糙：粗糙
曹	tso21	曹：姓，阴曹
槽	tso21	槽：一条槽，猪槽
造	tsou22	造：制造，创造
皂	tsou22	皂：肥皂，皂角
騷	sɐu53	骚：风骚
臊	so53	臊：羊臊气
嫂	so35	嫂：大嫂，嫂嫂
掃	so33	扫：扫地，打扫
燥	tso33	燥：干燥，口干舌燥
掃	so33	扫：扫帚
髙	ko55	高：高低，跳高
膏	ko55	膏：牙膏，膏药
篙	ko55	篙：竹篙
糕	ko55	糕：米糕，蛋糕
羔	ko55	羔：羊羔
稿	ko35	稿：草稿，稿子，稻草
吿	ko33	告：告状，报告
考	hau35	考：考试，大考
烤	hau53	烤：烧烤
靠	kʰau33	靠：可靠
銬	kʰau33	铐：手铐
熬	ŋau21	熬：难熬，熬药，忍住
傲	ŋo22	傲：骄傲，傲气
蒿	ŋo53	蒿：蓬蒿，蒿菜
好	ho35	好：好坏
好	ho33	好：爱好
耗	ho33	耗：消耗
毫	ho21	毫：毫厘
豪	ho21	豪：豪华，土豪
壕	ho21	壕：壕沟，战壕
號	ho22	号：号叫，号啕大哭
浩	ho22	浩：浩浩荡荡，人名用字
號	ho22	号：口号，号码
襖	o33	袄：棉袄
懊	o33	懊：懊恼
奧	o33	奥：奥妙
澳	o33	澳：澳门
懊	o33	懊：懊悔
包	pau53	包：钱包，包裹
胞	pau53	胞：同胞，胞衣
飽	pau35	饱：吃饱
豹	pʰau33	豹：一种动物
爆	pau33	爆：爆炸，爆芽
泡	pʰau33	泡：水泡，泡泡
拋	pʰau53	抛：抛弃
泡	pʰau33	泡：泡茶
炮	pʰau33	炮：枪炮
跑	pʰau35	跑：跑步
刨	pʰau21	刨：挖掘，刨地
鮑	pau53	鲍：姓，鲍鱼
鉋	pʰau21	刨：刨子，瓜刨
貓	mau53	猫：一种动物，大猫（老虎）
茅	mau21	茅：茅草
錨	mau21	锚：抛锚
卯	mau13	卯：子丑寅卯
貌	mau22	貌：相貌，礼貌
閙	lau22	闹：热闹，闹事
罩	tsau33	罩：灯罩，床罩
抓	tsa53	抓：抓革命，抓牌
爪	tsau35	爪：脚爪
找	tsau35	找：找东西，找钱（退回多余的钱）
抄	tsʰau53	抄：抄书，抄袭
鈔	tsʰau53	钞：钞票
炒	tsʰau35	炒：小炒，炒股
吵	tsʰau35	吵：吵架
巢	tsʰau21	巢：雀巢，黄巢
梢	sau53	梢：树梢
稍	sau35	稍：稍息，稍等
潲	sɛu33	潲：猪食
哨	sau31	哨：口哨，放哨
交	kau53	交：交通，交白卷
膠	kau53	胶：胶水，橡胶
郊	kau53	郊：郊区
敎	kau33	教：教书
茭	kau53	茭：茭白
絞	kau35	绞：绞毛巾
狡	kau35	狡：狡猾
鉸	kau33	铰：铰剪
搞	kau35	搞：玩，搞革命
攪	kau35	搅：打搅，搅拌
敎	kau33	教：教育，教师
較	kau33	较：较劲，比较
酵	hau53	酵：发酵，酵母
校	kau33	校：校对，校手表
覺	kau33	觉：睏（一）觉
窖	kau33	窖：地窖，番薯窖
敲	hau53	敲：敲门，敲锣
巧	kʰiu35	巧：碰巧
咬	ŋau13	咬：狗咬吕洞宾
哮	hau53	哮：哮喘
孝	hau33	孝：带孝，孝顺
淆	ŋau21	淆：混淆
肴	ŋau21	肴：佳肴，菜肴
校	hau22	校：学校，校长
校	hau22	校：上校
效	hau22	效：效果，成效
坳	au33	坳：山坳
臕	piu53	膘：肥膘
標	piu53	标：标志
表	piu35	表：表面，表扬
錶	piu53	表：手表
飄	pʰiu53	飘：飘扬
漂	pʰiu33	漂：漂白
票	pʰiu33	票：饭票，车票
漂	pʰiu33	漂：漂亮
嫖	pʰiu21	嫖：嫖妓女
鰾	piu55	鳔：鱼鳔（鱼泡）
貓	mau53	猫：花猫
苗	miu21	苗：秧苗，火苗，苗族
描	miu21	描：描写，描红
秒	miu13	秒：一分一秒
渺	miu13	渺：渺茫，渺小
藐	mau22	藐：藐视
廟	miu22	庙：庙会
妙	miu22	妙：妙计，巧妙
燎	liu21	燎：燎原
燎	liu21	燎：火燎眉毛
療	liu21	疗：治疗，疗养
焦	tsiu53	焦：焦作，姓，烧焦了
蕉	tsiu53	蕉：香蕉
椒	tsiu53	椒：辣椒，花椒，胡椒
剿	tsiu35	剿：围剿
醮	tsiu33	醮：打醮，再醮
鍬	tsʰau53	锹：铁锹，锹煤
悄	tsiu33	悄：静悄悄
俏	tsiu33	俏：商品紧俏
樵	tsiu21	樵：渔樵耕读，柴草
消	siu53	消：消化，抵消
宵	siu53	宵：良宵
霄	siu53	霄：云霄
硝	siu53	硝：硝烟，硝酸
銷	siu53	销：供销社
小	siu35	小：大小（物体大小，年龄大小，排行大小）
笑	siu33	笑：动作，笑话
肖	tsʰiu33	肖：姓，生肖
朝	tsiu53	朝：早上，明朝，三朝
超	tsʰiu53	超：超过
潮	tsʰiu21	潮：潮水，涨潮
朝	tsʰiu21	朝：动词，朝代
趙	tsiu22	赵：姓，赵匡胤
兆	siu22	兆：人名用字
召	tsiu22	召：号召，召集
昭	tsʰiu53	昭：王昭君
招	tsiu53	招：招手
沼	tsiu35	沼：沼气，沼泽
照	tsiu33	照：用手电照
燒	siu53	烧：发烧，烧水
少	siu35	少：多少
少	siu33	少：少爷，少年
韶	siu21	韶：韶山，韶关
紹	siu22	绍：绍兴，介绍
邵	siu22	邵：姓
饒	jiu21	饶：求饶，饶他
擾	jiu35	扰：打扰，扰乱
繞	jiu35	绕：围绕
繞	jiu35	绕：绕线
驕	kiu53	骄：骄傲
嬌	kiu53	娇：撒娇，娇滴滴
矯	kʰiu35	矫：矫枉过正
蕎	kʰiu21	荞：荞麦
僑	kʰiu21	侨：华侨
橋	kʰiu21	桥：一座桥
喬	kʰiu21	乔：姓
翹	kʰiu21	翘：翘尾巴
轎	kiu35	轿：轿子，抬轿
囂	hiu53	嚣：嚣张
妖	jiu35	妖：妖怪
邀	jiu53	邀：邀请
腰	jiu53	腰：身体部位
要	jiu53	要：要求
要	jiu33	要：重要
搖	jiu21	摇：摇来摇去，摇摆，摇篮
謠	jiu21	谣：民谣，童谣
姚	jiu21	姚：姓，姚文元
窑	jiu21	窑：官窑，烧窑
舀	jiu35	舀：舀水
耀	jiu33	耀：耀眼，照耀
鷂	jiu21	鹞：鹞鹰，纸鹞
刁	tiu53	刁：刁钻，嘴刁
雕	tiu53	雕：根雕，雕刻
貂	tiu53	貂：水貂，一种动物，皮毛名贵，貂皮
鳥	liu13	鸟：有无避讳
釣	tiu33	钓：上钓，钓鱼
挑	tʰiu53	挑：挑刺，挑选，挑担
跳	tʰiu33	跳：跳高，跳起
糶	tʰiu33	粜：卖米
條	tʰiu21	条：条件，字条
調	tʰiu21	调：调和，调整
調	tiu22	调：调动，调查
調	tiu22	调：音调
尿	liu22	尿：小便，尿素
遼	liu21	辽：辽宁
聊	liu21	聊：聊天，无聊
撩	liu21	撩：撩起来
了	liu13	了：了结
瞭	liu21	了：明了，了解
僚	liu21	僚：官僚
料	liu22	料：肥料，材料
蕭	siu53	萧：姓
簫	siu53	箫：乐器，吹箫
澆	jiu35	浇：浇花
繳	kiu35	缴：缴枪，上缴
僥	hiu53	侥：侥幸
叫	kiu33	叫：小孩哭，大喊大叫
竅	kʰiu33	窍：诀窍，窍门
堯	jiu21	尧：尧舜禹
曉	hiu35	晓：天光晓（启明星），黄昏晓（长庚星），晓得
杳	miu13	杳：杳无音信
剖	fau35	剖：解剖
某	mau13	某：某人
畝	mau13	亩：一亩田
牡	mau13	牡：牡丹
母	mɐu13	母：亲家母
拇	mɐu13	拇：拇指
戊	mɐu22	戊：戊戌变法
茂	mau22	茂：茂盛
貿	mau22	贸：贸易，外贸
兜	tau53	兜：兜风
斗	tau35	斗：十升为斗
抖	tau35	抖：发抖
陡	tau35	陡：山很陡
鬥	tau33	斗：斗争，批斗
偸	tʰau53	偷：偷东西
㪗	tʰau35	㪗：展开，㪗气，把纸团㪗开
透	tʰau33	透：透明，看透
頭	tʰau21	头：脑袋，开头，头发，纸头
投	tʰau21	投：投降
豆	tau22	豆：黄豆，豆芽
痘	tau22	痘：出痘，水痘
逗	tau22	逗：逗号，引逗
樓	lau21	楼：上楼，楼房
簍	lɔ53	篓：竹篓，鱼篓
摟	lam35	搂：搂抱
漏	lau22	漏：漏雨
陋	lau22	陋：简陋
走	tsau35	走：走路，行走
奏	tsau33	奏：节奏
湊	tsʰau33	凑：凑数
叟	sau35	叟：童叟无欺
嗽	sau33	嗽：咳嗽
勾	ŋɐu53	勾：勾引，勾芡，勾心斗角
鈎	ŋɐu53	钩：鱼钩，打钩
溝	kʰau53	沟：阴沟，畎沟，沟通
狗	kau35	狗：动物
苟	kau35	苟：苟且偷生
够	kau33	够：足够，够了
構	kʰau33	构：结构，构造
購	kʰau33	购：购买，采购
勾	ŋau53	勾：勾当
口	hau35	口：嘴，门口，口头，开口
叩	kʰau33	叩：叩头
扣	kʰau33	扣：扣子，纽扣，扣钱
寇	kʰau33	寇：姓，倭寇
藕	ŋau13	藕：植物
偶	ŋɐu13	偶：配偶
偶	ŋau13	偶：偶然
侯	hau21	侯：诸侯，姓
喉	hau21	喉：喉咙
猴	hau21	猴：动物，属相
后	hau22	后：皇后
厚	hau35	厚：厚薄，忠厚
後	hau22	后：前后，后来
候	hau22	候：等候，候车
歐	au53	欧：姓，欧洲
甌	au53	瓯：瓯江
嘔	au35	呕：呕吐
毆	au53	殴：殴打
漚	au33	沤：久浸水中
慪	au33	怄：怄气
否	fau35	否：否定
富	fu33	富：有钱，富贵
副	fu33	副：正副
浮	fau21	浮：浮动，轻浮
負	fu22	负：负担，负责
婦	fu13	妇：妇女、媳妇
復	fok053	复：复兴，唧唧复唧唧
謀	mau21	谋：阴谋，谋财
矛	mau21	矛：矛盾，长矛
紐	lau35	纽：纽扣，纽带
扭	lɐu35	扭：扭动，用两个手指掐
流	lɐu21	流：水流，流动
留	lɐu21	留：留下，停留
劉	lɐu21	刘：姓，刘备
榴	lɐu21	榴：石榴
琉	lɐu21	琉：琉璃
硫	lɐu21	硫：硫磺
柳	lɐu13	柳：柳树，姓
溜	liu53	溜：溜走，滑
餾	lɐu22	馏：蒸馏水
廖	liu22	廖：姓
酒	tsɐu35	酒：喝酒，酒精
秋	tsʰɐu53	秋：秋天，春秋
秋	tsʰɐu53	秋：秋千
鰍	tsʰɐu53	鳅：泥鳅
就	tsɐu22	就：成就，就去
修	sɐu53	修：修理，装修
羞	tsʰɐu35	羞：害羞，羞愧
秀	sɐu33	秀：清秀，秀才
繡	sɐu33	绣：绣花，刺绣
銹	sɐu33	锈：生锈
宿	sok053	宿：星宿
囚	tsʰɐu21	囚：囚笼，囚犯
袖	tsɐu22	袖：袖子，领袖
肘	tsɐu22	肘：手肘，肘子（蹄膀）
晝	tsɐu33	昼：白天，昼夜中午，日昼
抽	tsʰau53	抽：抽出，抽屉
丑	tsʰau35	丑：地支名
綢	tsʰau21	绸：绸缎，丝绸
稠	tsʰau21	稠：稠密
籌	tsʰau21	筹：筹码，筹备
宙	tsɐu22	宙：宇宙
鄒	tsɐu53	邹：姓
皺	tsau33	皱：老人皮肤皱，皱纹
愁	sau21	愁：发愁，愁眉苦脸
驟	tsɐu22	骤：步骤，暴风骤雨
搜	sau35	搜：搜查，搜身
餿	sok053	馊：饭馊了
蒐	sau35	搜：搜集
瘦	sɐu33	瘦：人瘦了
漱	so33	漱：漱口
周	tsɐu53	周：姓
舟	tsɐu53	舟：舟山
州	tsɐu53	州：杭州
洲	tsɐu53	洲：亚洲
帚	tsau35	帚：扫帚
咒	tsɐu33	咒：咒人
醜	tsʰau35	丑：难看，丑恶
臭	tsʰɐu33	臭：香臭
收	sɐu53	收：秋收，收集
手	sɐu35	手：身体部位，手艺，手段
首	sɐu35	首：首都
守	sɐu35	守：看守（养牛，看东西），保守，守卫
獸	sɐu33	兽：野兽，兽性
酬	sau21	酬：报酬，酬谢
仇	sau21	仇：报仇
受	sau22	受：接受，受苦，受记（把仇恨等记在心里）
壽	sau22	寿：做寿，寿星
授	sau22	授：教授
售	tsʰɐu21	售：出售，售货
柔	jɐu21	柔：温柔，柔软
揉	jɐu21	揉：揉痛的地方，揉眼睛。揉面团
鳩	kʰau53	鸠：斑鸠
鬮	tsʰau21	阄：抓阄
糾	tau35	纠：纠缠
九	kau35	九：数字
久	kau35	久：长久，久仰
韭	kau35	韭：韭菜
灸	kau33	灸：针灸
救	kɐu33	救：救命，求救
究	kɐu33	究：研究，究竟
丘	jɐu53	丘：一丘田，姓
求	kʰɐu21	求：要求，求雨
球	kʰɐu21	球：汽球，地球
仇	sɐu21	仇：姓
臼	kau33	臼：石臼，脱臼
舅	kʰɐu13	舅：舅舅，舅妈
舊	kau22	旧：新旧，旧货
柩	kau33	柩：已装尸的棺材
牛	ŋau21	牛：吹牛，一头牛
休	jɐu53	休：休息，退休
朽	lau35	朽：朽木，腐朽，永垂不朽
優	jɐu53	优：优秀
憂	jɐu53	忧：担忧，忧伤
尤	jɐu21	尤：尤其
郵	jɐu21	邮：邮票，邮电
有	jɐu13	有：有无，拥有
友	jɐu13	友：朋友，友谊
又	jɐu22	又：又来了，又红又专
右	jɐu22	右：右面，左右
祐	jɐu22	佑：保佑
由	jɐu21	由：理由，由来
油	jɐu21	油：菜油，油滑
游	jɐu21	游：游泳，旅游
猶	jɐu21	犹：犹豫
悠	jɐu21	悠：悠闲
酉	jɐu13	酉：地支第十
誘	jau33	诱：引诱，诱惑
柚	jɐu35	柚：一种水果
釉	jɐu35	釉：釉彩，上釉
彪	piu53	彪：林彪
謬	mɐu22	谬：谬论
丟	tiu53	丢：扔，丢失
