#漢字	音標	解釋
卸	sɛ33	卸：装卸，卸货
邪	tsʰɛ21	邪：邪气，邪门歪道
斜	tsʰɛ21	斜：不正
謝	tsɛ22	谢：谢谢，姓
爹	tɛ53	爹：父亲
遮	tsɛ53	遮：遮住，遮挡
者	tsɛ35	者：记者，作者，之乎者也。
蔗	tsɛ33	蔗：甘蔗，蔗糖
車	tsʰɛ53	车：火车
扯	tsʰɛ35	扯：拉扯，扯钻
蛇	sɛ21	蛇：一条蛇
射	sɛ22	射：发射，射箭
麝	sɛ22	麝：麝香
賒	tsʰɛ53	赊：赊帐
奢	tsʰɛ53	奢：奢侈
捨	sɛ35	舍：舍不得，割舍
赦	sɛ33	赦：大赦，十恶不赦，赦免
舍	sɛ33	舍：宿舍
佘	sɛ21	佘：姓，佘太君
社	sɛ13	社：公社，社会
惹	jɛ35	惹：招惹，小孩惹事，传染
耶	jɛ21	耶：耶酥
爺	jɛ21	爷：爷爷，父亲
椰	jɛ21	椰：椰子
也	ja13	也：之乎者也，也是
野	jɛ13	野：野兔
夜	jɛ22	夜：走夜路，夜班，夜晚
傻	sɔ21	傻：傻瓜
耍	sa35	耍：玩耍，耍人
瓜	kua53	瓜：黄瓜，西瓜
蝸	vɔ53	蜗：蜗牛
寡	kua35	寡：寡妇，守寡
剮	kua35	剐：千刀万剐
誇	kʰua53	夸：夸奖，夸张
垮	kʰua53	垮：垮台
跨	kʰua53	跨：跨过障碍物，跨步，跨度
瓦	ŋa13	瓦：名词，瓦片
花	fa53	花：一朵花，开花
化	fa33	化：变化
華	va21	华：中华
划	va53	划：划船
華	va21	华：华山，姓
蛙	va53	蛙：青蛙，蛙跳，蛙泳
窪	va53	洼：洼地，低洼
補	pou35	补：补衣服
譜	pʰou35	谱：族谱，宗谱，歌谱
布	pou33	布：一块布，布料
佈	po33	布：宣布，公布
鋪	pʰou53	铺：铺开，铺设，铺张
普	pʰou35	普：普通
浦	pou33	浦：浦江
鋪	pʰou33	铺：店铺，当铺
怖	po33	怖：恐怖
蒲	pʰou21	蒲：菖蒲，蒲团
菩	pʰo21	菩：菩萨
葡	pʰou21	葡：葡萄
部	pou22	部：部队，干部
簿	pou22	簿：帐簿，练习簿
步	pou22	步：一步，脚步，步行
捕	pou33	捕：逮捕，捕快
埠	fau22	埠：埠头，蚌埠
模	mɐu21	模：模型
模	mɐu21	模：模范
摹	mɐu22	摹：摹仿，描摹
暮	mɐu22	暮：日暮
慕	mɐu22	慕：羡慕
墓	mɐu22	墓：坟墓，墓地
募	mɐu22	募：募捐，招募
