#漢字	音標	解釋
振	tsɐn33	振：～动
質	tsɐt055	质：～量，品～
神	sɐn11	神：～仙，精～
實	sɐt022	实：老～，～在
身	sɐn55	身：～体，上～
失	sɐt055	失：～去，丧～
晨	sɐn11	晨：朝～
人	jɐn11	人：老～，～民
仁	jɐn11	仁：～义
忍	jɐn24	忍：～耐，～受
認	jeŋ22	认：承～，～真
靭	ɡᵑɐn55	韧：不易断，坚～[文]
日	jɐt022	日：十～，～期
緊	kɐn35	紧：～张
吉	kɐt055	吉：～利
銀	ɡᵑɐn11	银：金～，～行
因	jɐn55	因：原～
印	jɐn33	印：手～
乙	jek055	乙：天干，甲乙丙丁
一	jɐt055	一：数字
引	jɐn33	引：吸～
斤	kɐn55	斤：～两
勤	kʰɐn11	勤：～劳
近	kɐn22	近：最～，～来[文]
近	kɐn22	近：远近[白]
欣	jɐn55	欣：～赏
隱	vuɐn24	隐：～形，～身
本	pun35	本：～来，书～
不	pɐt055	不：～过
盆	pʰun11	盆：面～（脸盆），～地
笨	pɐn22	笨：～蛋[文]
門	bᵐun11	门：关～
盾	tʰøn35	盾：矛～
突	tɐt022	突：～然
嫩	lyn22	嫩：不老
論	løn22	论：议～，～文
尊	tsøn55	尊：～重
村	tsʰyn55	村：～长
寸	tsʰyn33	寸：尺～
存	tsʰøn11	存：～在，～折，储～
孫	syn55	孙：姓；子～
損	syn35	损：～坏
滾	kuɐn35	滚：～动；水开
棍	kuɐn33	棍：长～
骨	kuɐt055	骨：～头
坤	kʰuɐn55	坤：乾～
困	kuɐn33	困：～难
婚	fɐn55	婚：结～
溫	vuɐn55	温：～度，～和
穩	vuɐn35	稳：～定，求～
輪	løn11	轮：车～，～流
律	løt022	律：法～，～师
俊	tsøn33	俊：英～
迅	søn33	迅：～速
準	tsøn35	准：瞄～，～则
春	tsʰøn55	春：立～
蠢	tsʰøn35	蠢：～才
出	tsʰyt055	出：～入，～发
術	søt022	术：技～
純	søn11	纯：单～，～粹
潤	jɐn22	润：利～，～色
均	kuɐn55	均：平～，～匀
菌	kʰuɐn33	菌：细～
允	vuɐn24	允：～许
分	fɐn55	分：～数，区～[文]
粉	fɐn35	粉：～笔，面～[文]
糞	fɐn33	粪：粪便
墳	fɐn11	坟：～墓，上～
份	fɐn33	份：～量
佛	fɐt022	佛：拜～
文	bᵐɐn11	文：～章，论～
蚊	bᵐɐn55	蚊：～香
問	bᵐɐn22	问：～题
物	bᵐɐt022	物：～理[文]
軍	kuɐn55	军：～队，参～
屈	vuɐt055	屈：委～，～服[文]
屈	vuɐt055	屈：委屈，～气[白]
裙	kʰuɐn11	裙：裙子
訓	fɐn33	训：教～，～人
雲	vuɐn11	云：乌～
運	vuɐn22	运：～气，好～
幫	pᵘɔŋ55	帮：～忙
博	pᵘɔk033	博：～士，广～
旁	pʰᵘɔŋ	旁：～边
薄	pᵘɔk022	薄：不厚，～弱
忙	bᵐᵘɔŋ11	忙：农～，～碌
莫	bᵐᵘɔk022	莫：不要，～非
膜	bᵐᵘɔk022	膜：薄～
摸	bᵐᵘɔ55	摸：偷偷～～[文]
當	tɔŋ55	当：～时，应～，～官
擋	tɔŋ33	挡：阻～，～风
當	tᵘɔŋ55	当：～铺，恰～；唔～（不如）
湯	tʰᵘɔŋ55	汤：煮～；姓
托	tʰᵘɔk033	托：手承物，～盘
塘	tʰᵘɔŋ11	塘：鱼～
諾	jiɔk033	诺：承～，～言
郞	lᵘɔŋ11	郎：新～；姓，～平
浪	lᵘɔŋ22	浪：风～，～费
落	lᵘɔk033	落：下落
葬	tsɔŋ33	葬：埋～，落～
作	tsᵘɔk033	作：工～，种～
倉	tsʰᵘɔŋ55	仓：～库
鑿	tsɔk032	凿：用凿子凿
桑	sᵘɔŋ55	桑：～叶
索	sᵘɔk032	索：绳子，线～
鋼	kᵘɔŋ33	钢：炼～，～笔
缸	kᵘɔŋ55	缸：水～
各	kᵘɔk033	各：～人
康	hᵘɔŋ55	康：健～
糠	hᵘɔŋ55	糠：谷～
抗	kʰɔŋ33	抗：反～，～战
行	hᵘɔŋ11	行：银～
惡	ᵘɔk033	恶：善～，～霸
娘	løŋ11	娘：姑～
凉	løŋ11	凉：天～
兩	løŋ24	两：～个
兩	løŋ24	两：半斤八～
量	løŋ22	量：数～
漿	tsøŋ55	浆：豆～，～糊
獎	tsøŋ35	奖：～金，得～
醬	tsøŋ33	酱：沙茶～，辣椒～
雀	tsʰøk033	雀：麻～，～斑
槍	tsʰøŋ55	枪：手～
搶	tsʰøŋ35	抢：～劫
牆	tsʰøŋ11	墙：～壁
箱	søŋ55	箱：皮～
想	søŋ35	想：～法，思～
削	søk033	削：～皮，剥～
詳	ʦʰøŋ11	详：～细
象	ʦøŋ22	象：气～
象	ʦøŋ22	象：大～
像	søŋ22	像：好～，相～
張	ʦøŋ55	张：紧～；姓；装东西
長	ʦøŋ35	长：生～，省～
脹	ʦøŋ33	胀：～肚，膨～
着	ʦøk022	着：～衫（穿衣服）
長	ʦʰøŋ11	长：～期，～短
丈	ʦøŋ22	丈：三丈
着	ʦøk033	着：～火
裝	tsɔŋ55	装：假～
壯	tsɔŋ33	壮：强～
牀	tsʰɔŋ11	床：眠～
狀	tsɔŋ22	状：告～，～元，～态
霜	søŋ55	霜：落～，～降
爽	sɔŋ35	爽：～快，直～
章	tsøŋ55	章：姓；文～
掌	tsøŋ35	掌：巴～，～握
廠	tsʰɔŋ35	厂：～长
唱	tsʰøŋ33	唱：～歌
傷	søŋ55	伤：受～
賞	søŋ35	赏：欣～，～金
常	søŋ11	常：经～，～识；姓
上	søŋ22	上：～山[动]
上	søŋ22	上：～背[方位]；～海（地名）
勺	søk033	勺：饭～
瓤	lɔŋ11	瓤：瓜～
讓	jøŋ22	让：～位
弱	jøk022	弱：～点
薑	køŋ55	姜：～糖
腳	køk033	脚：赤～
強	kʰøŋ11	强：～大，坚～
香	høŋ55	香：～味，烧～；～港（地名）
響	høŋ35	响：音～
向	høŋ33	向：～东
秧	jøŋ55	秧：插～，～苗
約	jøk032	约：大～，～会
羊	jøŋ11	羊
養	jøŋ33	养：培～，～猪
樣	jøŋ22	样：一～
藥	jøk022	药：中～，～片
躍	jøk033	跃：跳～，大～进
光	kuɔŋ55	光：阳～，～明
廣	kɔŋ35	广：推～；～东（地名）
郭	kuɔk033	郭：姓，～靖
擴	kʰuɔk033	扩：～充，～大
荒	fᵘɔŋ55	荒：开～，～唐
霍	fᵘɔk055	霍：姓；～乱
黃	vuɔŋ11	黄：姓；～色
方	fᵘɔŋ55	方：地～，大～
放	fᵘɔŋ33	放：解～，～心[文]
紡	fᵘɔŋ35	纺：～织
房	fᵘɔŋ11	房：～间
防	fᵘɔŋ11	防：～止，国～
亡	vuɔŋ11	亡：死～
網	bᵐɔŋ24	网：鱼～，～络
望	bᵐɔŋ22	望：失～
狂	kᵘɔŋ11	狂：发～
枉	vuɔŋ35	枉：冤～
王	vuɔŋ11	王：姓；大～
往	vuɔŋ35	往：来～，～日
旺	vuɔŋ33	旺：兴～
綁	pɔŋ35	绑：捆～
剝	bᵐɔk033	剥：～削，～皮
窗	tsʰɔŋ55	窗：门～，～帘
雙	soŋ33	双：一～鞋
江	kᵘɔŋ55	江：长～，～湖
講	kᵘɔŋ35	讲：～话
港	kᵘɔŋ35	港：～口；香～（地名）
降	kᵘɔŋ33	降：下～，～低
角	kᵘɔk032	角：牛～，～色
餃	kau35	饺：饺子，水～
腔	hɔŋ55	腔：口～
確	kʰᵘɔk033	确：～定，的～
殼	kʰᵘɔk033	壳：贝～
樂	lᵘɔk022	乐：音～
巷	hᵘɔŋ35	巷：巷子，两条～
學	hᵘɔk022	学：数～，～习
握	ŋaʔ055	握：～手，把～
北	pɐk055	北：东南西北
朋	pʰɐŋ11	朋：～友
墨	bᵐɐʔ022	墨：～水
燈	tɐŋ55	灯：～光
等	tɐŋ35	等：～人，高～
凳	tɐŋ33	凳：凳子
得	tɐk055	得：获～，～意
藤	tʰɐŋ11	藤：～椅
鄧	tɐŋ22	邓：姓，～小平
特	tɐk022	特：～别
能	lɐŋ11	能：才～，～够
曾	tsɐŋ55	曾：姓
則	tsɐk055	则：否～，规～
層	tsʰɐŋ11	层：～次
贈	tsɐŋ22	赠：～送
塞	sɐk055	塞：堵～，～车
肯	hɐŋ35	肯：～定，中～[文]
肯	hɐŋ35	肯：愿意，～去[白]
克	hɐk055	克：～服，攻～
黑	hɐk055	黑：～白
冰	peŋ55	冰：结～，～箱
力	lek022	力：大～，～量
息	sek055	息：休～[文]
直	tsek022	直：～接
色	sɐt055	色：颜～，～彩
蒸	ʦeŋ55	蒸：清～，～发
證	tseŋ33	证：～明
織	tsek055	织：纺～，～布
秤	tsʰeŋ33	秤：用以称物，～砣
食	sek022	食：粮～；吃
升	seŋ55	升：～级
勝	seŋ33	胜：～利，战～
識	sek055	识：相～，～字
極	kek022	极：南～
興	heŋ55	兴：～旺；绍～（地名）
興	heŋ33	兴：高～，～趣[文]
興	heŋ33	兴：高兴[白]
蠅	jin55	蝇：乌～（苍蝇）
翼	jek022	翼：鸡～，机～
國	kᵘɔk032	国：～家，中～
或	vuak022	或：～者
百	pak032	百：～姓
拍	pʰak032	拍：～片，～球
彭	pʰaŋ11	彭：姓，～德怀
白	pak022	白：～色
猛	maŋ24	猛：～烈，凶～
打	ta35	打：～针
冷	laŋ24	冷：～热，～清
撐	tsʰaŋ55	撑：支～，～开
擇	tsaʔ022	择：选～[文]
擇	tsaʔ022	择：～菜[白]
生	saŋ55	生：学～，～活[文]
生	saŋ55	生：与“死”相对[白]
更	kɐŋ33	更：～加
坑	haŋ55	坑：水～，～沟
客	haʔ032	客：请～
硬	ɡᵑaŋ22	硬：软～
額	ɡᵑaʔ022	额：名～
嚇	haʔ032	吓：～一跳
行	haŋ11	行：～为；行走
棚	pʰaŋ11	棚：楼～，瓜～
麥	bᵐɐk022	麦：小～，～芽糖
摘	tsak022	摘：～菜
爭	tsɐŋ55	争：～取，斗～[文]
爭	tsɐŋ55	争：相～，～唔多（差不多）[白]
責	ʦaʔ022	责：～任，负～
冊	tsʰaʔ032	册：两～，～封
耕	kaŋ55	耕：～田
耿	kɐn35	耿：忠心～～；姓，～精忠
革	kat032	革：～命，改～
隔	kaʔ032	隔：～壁
幸	hɐŋ22	幸：荣～，～福
兵	peŋ55	兵：当～
丙	peŋ35	丙：天干，甲乙丙丁
柄	pᵉɛŋ35	柄：刀～，把～
平	pʰeŋ11	平：和～，～时[文]
平	pʰeŋ11	平：～头，～地[白]
病	pᵉɛŋ22	病：～人
命	meŋ22	命：～令[文]
命	meŋ22	命：～运，算～[白]
驚	kᵉɛŋ55	惊：害怕；～蛰
景	keŋ35	景：～色，风～
敬	keŋ33	敬：尊～，～酒
鏡	kᵉɛŋ33	镜：镜子
慶	heŋ33	庆：～祝
迎	jeŋ11	迎：～接，欢～
逆	jek022	逆：～风
英	jeŋ55	英：～雄；～国（国名）
影	jeŋ35	影：电～
名	meŋ11	名：姓～
領	lᵉɛŋ24	领：～导，衫～（衣领）
令	leŋ22	令：命～，口～
精	tseŋ55	精：～神
井	ʦᵉɛŋ35	井：～水，～～有条
跡	tsek055	迹：～象，痕～[文]
跡	tsek055	迹：脚～，油～[白]
晴	tsʰeŋ11	晴：天～
淨	tseŋ22	净：干～
姓	seŋ33	姓：～名
惜	sek055	惜：疼爱[白]
席	tsek022	席：酒～，主～
蓆	tsek022	席：草～
鄭	ʦᵉɛŋ22	郑：～重；姓
正	tseŋ33	正：～月
正	tseŋ33	正：立～，～直[文]
隻	ʦᵉɛk033	只：两～
赤	ʦʰᵉɛk033	赤：～色，～脚
聲	seŋ55	声：～音，笑～
城	seŋ11	城：～市，县～
石	sᵉɛk022	石：～头，～榴
頸	kᵉɛŋ35	颈：脖子
贏	jᵉɛŋ11	赢：～输
易	jek022	易：交～，贸～
壁	pᵉɛk033	壁：墙～
劈	pʰᵉɛk033	劈：～开，用刀～，雷～
釘	teŋ55	钉：铁～[名]
頂	teŋ35	顶：山～[白]
頂	teŋ35	顶：～唔得（顶不住）[文]
滴	tek022	滴：～水，两～
聽	tʰᵉɛŋ55	听：～话
踢	tʰᵉɛk033	踢：～球
停	tʰeŋ11	停：～止
定	teŋ22	定：稳～；永～（地名）
笛	tᵉɛk032	笛：笛子
敵	tek022	敌：～人
靈	leŋ11	灵：～活
另	leŋ22	另：～外
曆	lek022	历：日～，～书
靑	tsʰeŋ55	青：～色，～年
醒	seŋ35	醒：清～，～过来
激	kek055	激：～动
形	jeŋ11	形：～状，地～
礦	kʰɔŋ33	矿：煤～，～工
橫	wuaŋ11	横：～直
兄	heŋ55	兄：～弟
榮	veŋ11	荣：光～，～誉
永	veŋ35	永：～远
篷	foŋ11	篷：帐～
蒙	moŋ11	蒙：～蔽，天～～，～古（地名）
木	mok022	木：～工
東	toŋ55	东：东南西北
凍	toŋ33	冻：冰～，～伤
通	tʰoŋ55	通：～过，～风，打～
桶	tʰoŋ35	桶：水～
痛	tʰoŋ33	痛：～苦
同	tʰoŋ11	同：相～，～学
洞	toŋ22	洞：山～，～察
讀	tok022	读：～书，阅～
聾	loŋ11	聋：耳～
鹿	lok022	鹿：～角，梅花～
總	ʦoŋ35	总：～共，汇～
糉	tsoŋ35	粽：粽子
蔥	tsʰoŋ55	葱
族	tsok022	族：～长，民～
送	soŋ33	送：～人
速	tsʰok055	速：～度
公	koŋ55	公：～安，办～
貢	koŋ33	贡：～献
穀	kok055	谷：五～
空	hoŋ55	空：～虚，天～
控	hoŋ33	控：～制
紅	hoŋ11	红：～色
翁	joŋ55	翁：白头～；姓
屋	ok055	屋：老～
農	loŋ11	农：～村
宗	tsoŋ55	宗：祖～，～教
鬆	soŋ55	松：轻～，放～
風	foŋ55	风：大～，～气
福	fok055	福：～气，享～
鳳	foŋ22	凤：～凰
服	fok022	服：～务
夢	moŋ22	梦：发～
六	lok022	六：数字
宿	sək055	宿：～舍，住～
竹	ʦok055	竹：～叶
蟲	ʧʰoŋ11	虫：害～
軸	ʧʰok055	轴：压～，～承
縮	sok055	缩：压～，～小
終	ʧoŋ55	终：～于，始～
祝	tʃok055	祝：～贺，庆～
充	tʃʰoŋ55	充：～分，冒～
叔	ʃok055	叔：二～，～～
熟	ʃok022	熟：煮～，～悉
肉	jok022	肉：猪～
弓	koŋ55	弓：～箭
菊	kok055	菊：～花
窮	kʰoŋ11	穷：～人，无～
蓄	tʃʰok055	蓄：储～，～水
熊	joŋ11	熊：～猫
雄	hoŋ11	雄：英～
育	jok022	育：教～
濃	joŋ11	浓：～淡；稠密[白]
龍	loŋ11	龙：～头
綠	lok022	绿：～色
蹤	ʧoŋ55	踪：失～，～影
足	ʧok055	足：～球，满～
從	tʃʰoŋ11	从：跟～，～来
粟	ʃok055	粟：包～，～米，～子粄
松	ʧʰoŋ11	松：～树
頌	ʧoŋ22	颂：歌～
俗	tʃok022	俗：风～
鐘	ʧoŋ55	钟：两点～，闹～
種	ʧoŋ35	种：～类，树～[名，量]
種	tʃoŋ33	种：～田[动]
觸	ʧʰok055	触：接～，～犯
束	ʧʰok055	束：结～
屬	ʃok022	属：～于，家～
鞏	koŋ35	巩：～固
共	koŋ22	共：一～，～同
局	kok022	局：～部，公安～
玉	jok022	玉：白～
容	joŋ11	容：～易，宽～
勇	joŋ24	勇：～敢
用	joŋ22	用：～处
慾	jok032	欲：～望，贪～
健	kin33	健：～康
