#漢字	音標	解釋
題	tʰɐi11	题：～目，难～
蹄	tʰɐi11	蹄：马～
弟	tɐi22	弟：兄～[文]
弟	tɐi22	弟：弟弟，老～[白]
泥	lɐi11	泥：水～，地～（地板）
犁	lɐi11	犁：耕田用具
禮	lɐi13	礼：～貌
齊	tsʰɐi11	齐：整～，放～，来～[白]
西	sɐi55	西：东西南北
洗	sɐi35	洗：～菜，～衣机
細	sɐi33	细：粗细，大小
雞	kɐi55	鸡：～公（公鸡）
計	kɐi33	计：～算，会～
溪	kʰɐi55	溪：～水
啟	kʰɐi35	启：～发
係	hɐi22	系：是[白]
杯	pui55	杯：茶～
輩	pui33	辈：～分，长～
背	pui33	背：违～，后～
配	pʰui33	配：分～，搭～
賠	pʰui11	赔：～钱
背	pui33	背：～书
梅	bᵐui11	梅：～花
妹	bᵐui22	妹：妹妹，姊～，老～
妹	-35	妹：妹妹，姊～，老～
堆	tøʏ55	堆：一～[量]，～放[动]
對	tøʏ33	对：～错；成双成～
推	tʰøʏ55	推：～荐，～动
退	tʰøʏ33	退：后～，～步[文]
內	løʏ22	内：～行，～外
雷	løʏ11	雷：打～，～公；姓
催	ʧʰøʏ55	催：～促，～眠
罪	ʧøʏ22	罪：得～，犯～[文]
碎	ʃøʏ33	碎：～布，破～
塊	fai33	块：一～钱，～头
灰	fui55	灰：石～，～色
回	vui11	回：～想[文]
最	tʃøʏ33	最：～好
外	ɡᵑɔi22	外：～面
會	vui35	会：开～
會	vui35	会：～睡，～来
乖	kuai55	乖：小孩听话
怪	kuai33	怪：奇～
懷	vai11	怀：～疑
壞	vai22	坏：～人
拐	kuai35	拐：～卖，铁～李
掛	kua33	挂：～起来，牵～，～钩
歪	vuai55	歪：～风邪气
話	vua35	话：笑～，讲～[文，名]
話	vua35	话：说[白，动]
稅	søʏ33	税：交～，～收
銳	jøʏ22	锐：尖～，～角
肺	fei33	肺：猪～
皮	pʰei11	皮：调～，～肤
此	tsʰi35	此：到～为止
知	tsi55	知：通～，～道，无～[文]
知	tsi55	知：知道，唔～[白]
池	tsʰi11	池：水～
紙	tsi35	纸：白～
兒	ji11	儿：～童
騎	kʰe11	骑：～马
徛	kʰei24	徛：站立；（山）斜度高
儀	ji33	仪：礼～，～式
蟻	ɡᵑɐi24	蚁：蚂蚁，白～
義	ji33	义：情～，～气
戲	hei33	戏：做～
椅	ji35	椅：椅子，藤～
易	ji22	易：容～
鄙	pʰei24	鄙：差劲[白]
比	pei35	比：～较，对～
屁	pʰei33	屁：放～
鼻	pei22	鼻：鼻子；鼻涕
眉	bᵐei22	眉：眉毛，画～
美	bᵐei24	美：～丽，～化
地	tei22	地：土～
資	tsi55	资：～本
姊	tsi35	姊：～妹
次	tsʰi33	次：名～，～品
自	tsi33	自：～私
四	sei33	四：数字
師	sy55	师：老～，～父
指	tsi35	指：手～，～甲
屎	si35	屎：狗～
二	ji22	二：数字
姨	ji11	姨：大～，～丈
李	lei24	李：姓；水果
理	lei24	理：道～，～由
子	tsi35	子：～孙；孔～
字	ʦi22	字：～典，文～
絲	si55	丝：～绸
詞	tsʰi11	词：歌～
寺	tsʏ22	寺：～庙，灵光～
柿	ʦi11	柿：柿子，～饼
痣	tsi33	痣：乌～
齒	tsʰi35	齿：牙～
詩	si55	诗：～人
時	si11	时：～间，当～
耳	ji24	耳：耳朵，中～炎
基	kei55	基：～本，地～
記	kei33	记：笔～，～号
起	hei35	起
喜	hei35	喜：～欢
醫	ji55	医：～生
意	ji33	意：～思
以	ji22	以：可～，～为
幾	kei35	几：～只
氣	hei33	气：～人，空～
希	hei55	希：～望
隨	ʧʰøʏ11	随：～时，～便
吹	ʧʰøʏ55	吹：～牛皮，～喇叭
跪	kuɐi22	跪：下～
危	ɡᵑɐi11	危：～险，安～
委	vuɐi24	委：～托，常～
類	løʏ33	类：分～
追	tʃøʏ55	追：～求[文]
衰	ʃøʏ55	衰：～弱，～老[文]
水	ʃøʏ24	水：～果，～平
龜	kuɐi55	龟：乌～
葵	kʰuɐi11	葵：向日～，～花籽
櫃	køʏ22	柜：～台
位	vuɐi24	位：座～，～置
