#漢字	音標	解釋
荔	li22	荔：～枝
紫	tsi51	紫：～色
雌	tsʰɯ33	雌：～雄
此	tsʰɯ51	此：到～为止
刺	tsʰɯ13	刺：～激，穿～
疵	pi51	疵：瑕～，吹毛求～
斯	sɯ33	斯：～大林
撕	sɯ33	撕：～烂
璽	ʒɯ51	玺：玉～
徙	sua51	徙：移居，～屋，迁～
賜	sɯ13	赐：赏～
知	tsai33	知：通～，～道，无～[文]
知	ti13	知：～识[文]
知	tsai33	知：知道，唔～[白]
蜘	ti33	蜘：～蛛
智	ti13	智：～慧
池	ti55	池：水～
馳	tsʰi33	驰：奔～
差	tsʰa33	差：参～不齐
篩	tʰai33	筛：谷～，米～
支	tsi33	支：两～笔[白，量]
支	tsĩ33	支：～持，天干地～[文]
枝	ki33	枝：树～
肢	tsĩ33	肢：四～，～体
紙	tsua51	纸：白～
只	tsi51	只：～有
侈	tsʰi51	侈：奢～
舐	tsi25	舐：舔
施	si33	施：措～；姓
翅	kʰi13	翅：鱼～
匙	si55	匙：锁～，汤～
是	si25	是：～否，～非
氏	si25	氏：姓～
豉	si22	豉：豆～
兒	ʒi55	儿：～童
爾	ʒi51	尔：～虞我诈；保～（人名）
寄	kia13	寄：～信，～托
企	kʰia55	企：～业，～鹅
奇	kʰi55	奇：～怪
騎	kʰia55	骑：～马
騎	kʰia55	骑：～楼
岐	ki33	岐：～山
徛	kʰia25	徛：站立；（山）斜度高
技	ki25	技：～术[文]
技	ki25	技：杂～[白]
妓	ki25	妓：～女
宜	ŋi55	宜：适～，～昌
儀	ŋi55	仪：礼～，～式
蟻	hia25	蚁：蚂蚁，白～
誼	ŋi13	谊：友～
義	ŋi25	义：情～，～气
議	ŋi51	议：～论，会～
犧	hi51	牺：～牲
戲	hi13	戏：做～
倚	i33	倚：～靠，～老卖老
椅	ĩ51	椅：椅子，藤～
移	i55	移：～动
易	koi22	易：容～
悲	pui33	悲：～伤
鄙	pʰi51	鄙：卑～，～视[文]
比	pi51	比：～较，对～
祕	pi13	秘：～书，～密
泌	pi13	泌：分～；滤出汤汁
庇	pi13	庇：包～，～护
痹	pi13	痹：麻～
丕	pʰi51	丕：人名用字，曹～
屁	pʰoi13	屁：放～
琵	pi55	琵：～琶
枇	bi33	枇：～杷
備	pi25	备：准～，～用
鼻	pʰĩ22	鼻：鼻子；鼻涕
眉	bai55	眉：眉毛，画～
楣	bai55	楣：门～
黴	buɛ55	霉：发～，倒～
美	mui51	美：～丽，～化
媚	bai55	媚：～眼，妩～；人名用字
寐	muɛ̃25	寐：梦～以求，假～
地	ti22	地：土～
尼	ni55	尼：～姑
膩	zɯ25	腻：油～，细～
梨	lai55	梨
履	li51	履：～行，～历
利	li25	利：～润，有～
痢	li25	痢：～疾
痢	li25	痢：癞～（头屑）
資	tsɯ33	资：～本
姿	tsɯ33	姿：～势
咨	tsɯ33	咨：～询
姊	tsɛ51	姊：～妹
次	tsʰɯ13	次：名～，～品
瓷	tsʰɯ55	瓷：～砖，陶～
餈	tsʰɯ55	糍：糍粑，糯米～
自	tsɯ25	自：～私
私	sɯ33	私：自～
死	si51	死：～人
四	si13	四：数字
肆	sɯ13	肆：放～
致	ti13	致：导～
遲	tsʰi55	迟：～到，推～
稚	tsi51	稚：幼～
師	sɯ33	师：老～，～父
獅	sai33	狮：狮子
脂	tsi51	脂：～肪，胭～
旨	tsi51	旨：圣～
指	tsi51	指：手～，～甲
至	tsi13	至：～少
示	si22	示：表～
屍	si33	尸：～体，死～
矢	si51	矢：有的放～
屎	sai51	屎：狗～
視	si22	视：近～
嗜	tsʰi33	嗜：～好
二	ʒi25	二：数字
貳	ʒi25	贰：～心
飢	ki33	饥：～饿
肌	ki33	肌：～肉
几	ki51	几：茶～
冀	ki25	冀：河北简称，晋察～
器	kʰi13	器：武～，机～，～重
棄	kʰi13	弃：放～，抛～
祁	kʰi55	祁：～连山
伊	i33	伊：～犁；姓
懿	i25	懿：人名用字，司马～
夷	i55	夷：化险为～，蛮～
姨	i55	姨：大～，～丈
肄	tsiŋ33	肄：～业
你	lɯ51	你：～们，第二人称[文]
你	lɯ51	你：第二人称[白]
釐	li55	厘：～米
狸	li55	狸：狐～
李	li51	李：姓；水果
里	li51	里：公～
裏	li51	里：～外，～背（里面）
理	li51	理：道～，～由
鯉	li51	鲤：～鱼
吏	li22	吏：官～
滋	tsɯ33	滋：～味
子	tsɯ51	子：～孙；孔～
梓	tsɯ51	梓：桑～；曾宪～
慈	tsʰɯ55	慈：～悲，～禧太后
磁	tsʰɯ55	磁：～铁，～场
字	ʒi22	字：～典，文～
司	si33	司：公～，～令
絲	si33	丝：～绸
思	sɯ33	思：～想
伺	sɯ55	伺：～候，～机而动
思	sɯ13	思：意～
辭	si55	辞：～职，告～
詞	sɯ55	词：歌～
祠	sɯ55	祠：～堂
似	sɯ25	似：相～，～乎[文]
似	sɯ25	似：好～（好像）[白]
祀	sɯ25	祀：祭～
巳	tsi25	巳：地支，～时
寺	tsi22	寺：～庙，灵光～
嗣	sɯ25	嗣：后～；谭～同
飼	tsʰi22	饲：～料，～养[文]
飼	tsʰi22	饲：喂饭[白]
置	ti13	置：布～
癡	tsʰi33	痴：白～，～呆
恥	tsʰi51	耻：～辱
持	tʰi55	持：支～
痔	tʰi25	痔：～疮
治	ti22	治：～安，统～[文]
治	ti22	治：～鸡，～猪[白]
廁	tsʰɛ13	厕：～所，公～
士	sɯ25	士：～兵
仕	sɯ25	仕：～途
柿	sai25	柿：柿子，～饼
事	sɯ22	事：～实，～情[文]
事	sɯ22	事：做～[白]
使	sai51	使：～用，假～，大～馆
史	sɯ51	史：历～
駛	sai51	驶：驾～
之	tsɯ33	之：～前
芝	tsɯ33	芝：灵～，～麻
止	tsi51	止：停～，～血
趾	tsi51	趾：脚～
址	tsi51	址：地～
志	tsi13	志：～气，～愿
誌	tsi13	志：县～，标～
痣	ki13	痣：乌～
齒	kʰi51	齿：牙～
詩	si33	诗：～人
始	si51	始：开～，～终
試	tsʰi13	试：考～[文]
試	tsʰi13	试：试试[白]
時	si55	时：～间，当～
巿	tsʰi25	巿：～场，城～
恃	si25	恃：～才傲物，有～无恐
侍	sɯ25	侍：服～，～卫
而	ʒɯ55	而：～且，反～
耳	ʒɯ51	耳：耳朵，中～炎
基	ki33	基：～本，地～
箕	ki33	箕：畚～
己	ki51	己：自～
紀	ki51	纪：～律
記	ki13	记：笔～，～号
欺	kʰi33	欺：～负
起	kʰi51	起
杞	ki51	杞：枸～
其	kʰi55	其：～他，～实
棋	ki55	棋：围～，捉～（下棋）
期	kʰi55	期：日～
旗	kʰi55	旗：红～
忌	ki25	忌：禁～，～讳，～日[文]
忌	ki25	忌：做～（做法事）[白]
疑	ɡi55	疑：怀～
擬	ɡi55	拟：模～，～人
嬉	hi33	嬉：玩，～戏
煕	hi33	熙：康～
喜	hi51	喜：～欢
嘻	hi33	嘻：～皮笑脸
醫	ui33	医：～生
意	i13	意：～思
怡	i55	怡：心旷神～；人名用字
已	ĩ51	已：～经
以	ĩ51	以：可～，～为
異	i25	异：～同
幾	ki33	几：～乎
機	ki33	机：～会，飞～
譏	ki33	讥：～笑
饑	ki33	饥：～荒
幾	ki51	几：～只
幾	ki33	几：～何
旣	ki51	既：～然
豈	kʰa51	岂：～有此理
氣	kʰi13	气：～人，空～
汽	kʰi13	汽：～水，～车
祈	kʰi55	祈：～祷
毅	ŋi55	毅：～力
希	hi3	希：～望
稀	hi33	稀：～少
衣	i33	衣：外～；花生皮
依	i33	依：～靠
累	lui51	累：积～
累	lui22	累：连～
嘴	tsʰui13	嘴：嘴巴[文]
嘴	tsʰui13	嘴：嘴巴[白，训]
髓	tsʰuɛ51	髓：骨～
隨	sui55	随：～时，～便
吹	tsʰuɛ33	吹：～牛皮，～喇叭
炊	tsʰuɛ33	炊：野～
垂	sui55	垂：下～，～头丧气
睡	sui25	睡：睡觉
瑞	sui25	瑞：～金；董存～
蕊	lui51	蕊：花～
規	kui33	规：～定，圆～
詭	ŋui55	诡：～计多端
虧	kʰui33	亏：食～（吃亏）
窺	kui33	窥：偷～
跪	kui25	跪：下～
危	ŋui55	危：～险，安～
僞	ŋui25	伪：虚～
毀	hui51	毁：～灭
萎	ui51	萎：枯～
委	ui51	委：～托，常～
爲	ui55	为：作～，行～，～人
爲	ui55	为：～什么
壘	lui51	垒：堡～，～球
類	lui22	类：分～
淚	lui25	泪：眼～
醉	tsui13	醉：～酒
翠	tsʰui13	翠：翡～
悴	tsui25	悴：憔～
雖	sui33	虽：～然
粹	tsui25	粹：纯～
遂	sui55	遂：杀人未～
隧	sui55	隧：～道
穗	sui22	穗：谷～
追	tui33	追：～求[文]
追	tui33	追：追赶，赶走[白]
槌	tʰui55	槌：木～[名]；[动]
錘	tʰui55	锤：铁～[名]；[动]
墜	tui25	坠：下～，玉～[文]
墜	tui25	坠：目～～[白]
衰	suɛ33	衰：～弱，～老[文]
衰	suɛ33	衰：运气不好[白]
摔	suai33	摔：～跤
帥	suɛ13	帅：元～
錐	tsui33	锥：圆～
水	tsui51	水：～果，～平
誰	sui55	谁：疑问代词
龜	ku33	龟：乌～
軌	kʰui51	轨：铁～
癸	kui13	癸：天干
愧	kʰui25	愧：惭～
季	kʰui13	季：四～，～节
逵	kʰui55	逵：人名用字，李～
葵	kʰui55	葵：向日～，～花籽
櫃	kui22	柜：～台
位	ui22	位：座～，～置
維	ʒui55	维：～生素，～持，纤～
惟	ʒui55	惟：～一
遺	ʒui55	遗：～失，～憾
唯	ʒui55	唯：～物主义
非	hui33	非：是～，～常
飛	hui33	飞：～机；人名，张～[文]
飛	puɛ33	飞：飞行[白]
匪	hui51	匪：土～
痱	pui25	痱：痱子，热～
妃	hui33	妃：贵～
費	hui13	费：～用，浪～
肥	pui55	肥：化～，～肉
翡	hui33	翡：～翠
微	mui55	微：稍～
尾	buɛ51	尾：尾巴
未	buɛ22	未：～来
味	bi22	味：～道，～精
歸	kui33	归：回～，～类
鬼	kui51	鬼：鬼神
貴	kui13	贵：～重
魏	ɡui22	魏：～国；姓
揮	hui33	挥：指～
輝	hui33	辉：光～，～煌
徽	hui33	徽：国～，～章
諱	ui51	讳：忌～
威	ui33	威：～风，～胁
畏	ui13	畏：不喜欢；怕，～热
慰	uɛ13	慰：安～，～问
違	ui51	违：～反
圍	ui55	围：包～，～墙
偉	ui51	伟：～大
葦	ui51	苇：芦～
緯	ui51	纬：经～
胃	ui22	胃：肠～
謂	ui22	谓：称～，所～
彙	uɛ25	汇：词～
褒	pʰau33	褒：～奖，～义词
保	po51	保：～护
堡	pau51	堡：碉～
寶	po51	宝：～贝
報	po13	报：～告，日～
袍	pʰau55	袍：长～，袄～
抱	pʰo25	抱：拥抱
暴	pau25	暴：～雨，残～
毛	mo55	毛：～病，鸡～
冒	mau25	冒：～充，感～
帽	bo22	帽：草～
刀	to33	刀：菜～
叨	tau33	叨：唠～
禱	tau51	祷：祈～，～告
島	tau51	岛：海南～
倒	to51	倒：颠～
到	kau13	到：～站
倒	to13	倒：～水，～退
滔	tʰau33	滔：～～不绝，波浪～天
討	tʰo51	讨：～老婆，～厌
套	tʰau13	套：配～，～房
桃	tʰo55	桃：杨～，～花
逃	to55	逃：～走
淘	tʰau55	淘：～米，～沙
陶	tʰau55	陶：～瓷；姓
萄	tʰo55	萄：葡～
濤	tʰiu55	涛：波～
道	tau25	道：～理
稻	tiu25	稻：水～
盜	tau25	盗：强～，～窃
導	tau25	导：领～，～师
腦	naũ51	脑：猪～，～屎（脑子）
惱	naũ51	恼：烦～[文]
惱	naũ51	恼：讨厌，不喜欢[白]
勞	lau55	劳：～动
撈	lau55	捞：打～局[文]
撈	liau55	捞：～起来[白]
牢	lo55	牢：～房，坐～
嘮	lau55	唠：～叨
老	lau25	老：～爷，～实
澇	lau55	涝：洪～，旱～
遭	tsau51	遭：～遇，～殃
糟	tsau33	糟：酒～，～糕
早	tsa51	早：还～
棗	tso51	枣：红～
蚤	tsau51	蚤：跳～
躁	tsʰau13	躁：烦～，暴～
竈	tsau13	灶：～头，～神
操	tsʰau33	操：做～，～作
草	tsʰau51	草：青～，～稿
糙	tsʰo13	糙：～米，粗～
曹	tsʰau55	曹：姓
槽	tso55	槽：猪～，水～
皂	tsau25	皂：肥～
造	tsau25	造：创～
騷	sau33	骚：风～，离～
臊	tsʰo33	臊：臭～
掃	sau13	扫：～地[动]
嫂	so51	嫂：大～
掃	sau13	扫：～把[名]
髙	kau33	高：姓；～低
膏	ko33	膏：牙～；狗皮～药
篙	ko33	篙：竹～
羔	ko33	羔：羊～
糕	ko33	糕：蛋～，糟～
稿	ko51	稿：草～，～纸
吿	kau13	告：报～，～状
考	kʰau51	考：～试，大～
烤	kʰau51	烤：烧～
靠	kou25	靠：依～，可～
熬	ŋaũ55	熬：～汤，～夜
傲	ŋaũ25	傲：骄～
蒿	o33	蒿：蓬～，青～，茼～
好	ho51	好：～人
好	haũ13	好：爱～
耗	ho22	耗：消～
豪	hau55	豪：～华，～猪
壕	hau55	壕：战～
毫	hau55	毫：～米
號	ho22	号：～叫，呼～[动]
浩	hau22	浩：～～荡荡；人名用字
號	ho22	号：～码，口～[名]
襖	o51	袄：棉～，～袍
懊	o13	懊：～恼
奧	o13	奥：～妙，～运会
懊	o13	懊：～悔
澳	o13	澳：～门
包	pau33	包：钱～，～围
胞	pau33	胞：同～
飽	pa51	饱：食～（吃饱）
豹	pa13	豹：动物，～虎
爆	pau25	爆：～炸
泡	pʰa25	泡：灯～；泡沫（多～）
泡	pʰa25	泡：起～[训，瘭]
拋	pʰau33	抛：～弃
炮	pʰau13	炮：枪～
泡	pʰau13	泡：～茶
跑	pʰau51	跑：～步
刨	pʰau55	刨：～地，～花板
鮑	pau25	鲍：姓；～鱼
茅	mau55	茅：～庐
貓	ŋiaũ33	猫：大～
錨	miau33	锚：抛～
卯	bau51	卯：地支，子丑寅卯
貌	maũ25	貌：礼～
鬧	naũ22	闹：～热，～事
罩	tsau25	罩：灯～，床～
抓	tsuã33	抓：～紧
爪	tsiau51	爪：鸡～
找	tau51	找：～钱，查～
抄	tsʰau33	抄：～书
鈔	tsʰau33	钞：～票
炒	tsʰa51	炒：～股，～菜
吵	tsʰau22	吵：～人，争～
巢	tsʰau55	巢：雀～
梢	siau33	梢：树～
捎	siau33	捎：～带，～口信
稍	siau33	稍：～等；～息
哨	sau13	哨：口～
交	kau33	交：～通，～钱[文]
交	kau33	交：交叉，～脚（翘二郎腿）[白]
郊	kau33	郊：～区
膠	ka33	胶：～水，橡～
敎	ka13	教：～书
絞	ka51	绞：～刑，～肉机
狡	kau51	狡：～猾
鉸	ka33	铰：～剪
攪	kiau51	搅：搅拌
搞	kau51	搞：～活动
敎	ka13	教：～育，～师
校	ka13	校：～对
校	ka13	校：调校
較	ka13	较：比～[文]
較	ka13	较：交换[白]
酵	kã13	酵：发～，～母片
窖	ka13	窖：地～，番薯～
覺	kak021	觉：睡～
敲	kʰiau33	敲：～锣打鼓
巧	kʰa51	巧：～合
咬	ka25	咬：～人
孝	hau13	孝：～顺
哮	hau22	哮：～喘
肴	ŋaũ25	肴：美味佳～
淆	ŋaũ55	淆：混～
效	hau22	效：～果
校	hau25	校：学～，～长，上～
凹	au33	凹：～面镜
坳	a13	坳：山～，～背
臕	piɛ33	膘：肥～
標	pʰiau33	标：～准，～志，招～
表	piau51	表：图～，～扬
錶	piɛ33	表：手～
飄	pʰiau33	飘：～扬
漂	pʰiau33	漂：～流
漂	piɛ13	漂：～白，～亮
票	pʰiɛ13	票：车～
瓢	pʰiau33	瓢：勺子
嫖	pʰiau55	嫖：～娼
鰾	pʰiɛ25	鳔：鱼～
苗	miaũ55	苗：鱼～，～族
描	miaũ55	描：～写
藐	miaũ51	藐：～视
渺	miaũ51	渺：～小，～茫
秒	miaũ51	秒：～针
廟	biɛ22	庙：和尚～
妙	miaũ25	妙：～计
燎	liau55	燎：星星之火，可以～原
療	liau55	疗：治～，～养
焦	tsiau33	焦：姓
蕉	tsiau33	蕉：米～；～岭（地名）
椒	tsiɛ33	椒：胡～
剿	tsʰau33	剿：围～，～匪
悄	tsʰiau51	悄：静～～
俏	tsʰiau51	俏：俊～
樵	tsʰa55	樵：柴
消	siau33	消：～化
宵	siau33	宵：元～，夜～
硝	siau33	硝：～烟，～酸
銷	siau33	销：供～社，～售
小	siau51	小：～姐，～人
笑	siɛ13	笑：～话，玩～
肖	siau33	肖：姓
肖	siɛ13	肖：生～
鞘	siau33	鞘：刀～
朝	tsiau33	朝：～晨，三～
超	tʰiau33	超：～过
朝	tsʰiau55	朝：～代
潮	tiɛ55	潮：～湿，涨～
趙	tiɛ25	赵：姓
兆	tiau25	兆：预～；人名用字
召	tiau25	召：号～，～集
昭	tsiau33	昭：王～君
招	tsiɛ33	招：～生
沼	siau25	沼：～气
照	tsiɛ13	照：～明，～顾
詔	tsiau13	诏：～书；～安（地名）
少	tsiɛ51	少：～数，多～
少	siau13	少：～年，～爷
韶	siau25	韶：～关（地名）
紹	siau25	绍：介～；～兴（地名）
邵	siau25	邵：姓
饒	ʒiau13	饶：～命，求～
擾	ʒiau51	扰：打～，～乱
繞	ŋiau13	绕：围～，～线
驕	kiau33	骄：～傲
嬌	kiau33	娇：～气，做～（撒娇）
矯	kiau33	矫：～正
喬	kʰiau55	乔：姓
僑	kʰiau55	侨：华～
橋	kiɛ55	桥：大～
轎	kiɛ22	轿：坐～，扛～
翹	kʰiau55	翘：银～片
翹	kʰiau13	翘：～起来
囂	ŋau33	嚣：～张
夭	iau33	夭：～折
妖	iau33	妖：～怪
邀	iau33	邀：～请
腰	iɛ33	腰：猪～
要	iau13	要：～求
要	iau13	要：重～
搖	iau55	摇：动～，～篮
謠	iau55	谣：歌～，民～
遙	iau55	遥：逍～
窯	iɛ55	窑：～洞，烧～
姚	iɛ55	姚：姓，～明
舀	iɛ51	舀：～水
耀	iau25	耀：～眼，荣～
刁	tiau33	刁：～钻，嘴～
貂	tiau33	貂：～婵，～皮
雕	tiau33	雕：木～，～刻
鳥	tsiau51	鸟：花～市场[文]
鳥	tsiau51	鸟：～笼[白]
釣	tiɛ̃13	钓：～鱼
吊	tiau13	吊：上～，～车
挑	tʰiau33	挑：～剔，～担
跳	tʰiau13	跳：～高，起～
糶	tʰiɛ13	粜：～米（卖米）
條	tiau55	条：～件，字～
調	tiau55	调：～和，～整
跳	tʰiau13	跳：～上跌落（阳平）
掉	tiau22	掉：～头，～队
調	tiau22	调：音～
調	tʰiau55	调：～动，～走
尿	ziɛ22	尿：屙～
聊	liau55	聊：无～，～天
遼	liau55	辽：～宁，～国
撩	liau55	撩：～起来
撩	liau55	撩：～人
寥	liau55	寥：～～无几
了	liau51	了：～结；明～，～解
瞭	liau55	瞭：～望台
料	liau22	料：肥～，材～
蕭	siau33	萧：姓；～山（地名）
簫	siau33	箫：吹～
澆	ak021	浇：～水
繳	kiau51	缴：～枪，～费
僥	hiau33	侥：～幸
叫	kiɛ13	叫：大～；小孩哭
竅	kʰiau13	窍：～门
堯	ŋiaũ55	尧：～舜禹
曉	hiau51	晓：春～，～得
么	iau33	么：～二三
吆	iau33	吆：～喝
杳	miaũ51	杳：～无音讯
剖	pʰou51	剖：解～
某	moũ51	某：～人
畝	bou51	亩：一～田
牡	bou51	牡：～丹
母	bo51	母：父～
拇	m̍51	拇：～指
戊	bou55	戊：～戌变法
茂	moŋ25	茂：～盛；～名（地名）
貿	moŋ13	贸：外～，～易
兜	tau33	兜：～风
斗	tau51	斗：十升为一斗
抖	tau51	抖：发～
陡	tau51	陡：斜度大，～峭
鬥	tou13	斗：～争，批～
偸	tʰau33	偷：小～
㪗	tʰau51	敨：～气（呼吸）
透	tʰau13	透：～明
頭	tʰau55	头：开～
投	tau55	投：～降
豆	tau22	豆：黄～
逗	tau22	逗：～留，～号
逗	tau22	痘：水～
樓	lou55	楼：～下
摟	lu51	搂：搂抱
漏	lau22	漏：～水，～斗
陋	lou25	陋：简～
走	tsau51	走：行走
奏	tsau13	奏：节～
湊	tsʰou13	凑：～数，～热闹
嗽	sau13	嗽：咳～
勾	kau33	勾：～心斗角，～引
鉤	kau33	钩：鱼～
溝	kau33	沟：～通
狗	kau51	狗
苟	kou33	苟：～且偷生
夠	kou13	够：足～
垢	kou13	垢：水～
構	kou13	构：结～，～造
購	kou13	购：采～，收～
勾	kau33	勾：～当
摳	kʰau33	抠：挖
口	kʰau51	口：～头，开～
口	kʰau51	口：一～饭
叩	kʰau13	叩：～头
扣	kʰa13	扣：～钱，～压
寇	kʰou13	寇：姓，～准；倭～
藕	ŋoũ51	藕：～断丝连，莲～
偶	ŋoũ51	偶：配～，～然
侯	hou55	侯：姓；诸侯
喉	au55	喉：～咙
猴	kau55	猴：猴子
後	au25	后：～生，～来[文]
後	au25	后：～日[白]
后	hou25	后：皇～
厚	kau25	厚：忠～
候	hau22	候：～车室，等～
歐	au33	欧：～洲；姓
區	kʰu33	区：姓
甌	au33	瓯：瓦器；建～（地名）
嘔	au51	呕：～吐
毆	au33	殴：～打
漚	au13	沤：久浸水中，～坏，～肥
慪	au13	怄：～气
否	hoũ51	否：是～，～定
富	pu13	富：丰～，～贵
副	hu13	副：正～
浮	pʰu55	浮：轻～，～力；云～（地名）
浮	hu55	浮：～起来[白]
負	hu13	负：～责，～担
婦	hu25	妇：～女[文]
婦	pu25	妇：新～（儿媳）[白]
復	hok055	复：反～
謀	moũ55	谋：计～，～财害命
矛	maũ55	矛：～盾
紐	niu51	纽：纽扣；～约（地名）
扭	niu51	扭：～面帕，～动
流	liu55	流：河～[文]
流	lau55	流：～汗[白]
劉	lau55	刘：姓
留	liu55	留：～级，停～
榴	liu55	榴：石～，～莲
硫	liu55	硫：～磺
琉	liu55	琉：～璃
柳	liu51	柳：～树
溜	liu33	溜：～走
溜	liu13	溜：～滑梯
餾	liu13	馏：蒸～水，～粄
廖	liau22	廖：姓
揫	kʰiu51	揪：揪头发
酒	tsiu51	酒：～精
秋	tsʰiu33	秋：～天；～千
就	tsiu25	就：成～，～去
修	siu33	修：装～，～正
羞	siu33	羞：～愧
秀	siu13	秀：清～，～才
繡	siu13	绣：～花
宿	suaʔ033	宿：星～
銹	siu13	锈：铁～
囚	tsʰiu55	囚：～犯
泅	siu55	泅：游水
袖	siu13	袖：领～，衫～（衣袖）
肘	tiu25	肘：手～
晝	tiu25	昼：上～，～夜
抽	tʰiu33	抽：～出
丑	tʰiu51	丑：地支，子丑寅卯
綢	tiu55	绸：～缎，丝～
稠	tsiu33	稠：～密
籌	tʰiu55	筹：～码，～备
紂	tiu25	纣：商～王
宙	tiu25	宙：宇～
鄒	tsou33	邹：姓，～家华
皺	niau13	皱：～纹
縐	niau13	绉：文～～
愁	tsʰou55	愁：～眉苦脸
驟	tsou25	骤：步～
搜	siau33	搜：～查
餿	səŋ33	馊：饭馊了，臭～
蒐	sou33	搜：～集
瘦	san51	瘦：肥瘦
周	tsiu33	周：姓；～围，～年
舟	tsiu33	舟：～山
州	tsiu33	州：广～
洲	tsiu33	洲：亚～
帚	siu51	帚：扫～
咒	tsiu13	咒：～人
醜	tʰiu51	丑：出～[文]
醜	tʰiu51	丑：长得丑[白]
臭	tsʰau13	臭：～味
收	siu33	收：丰～，～集
手	tsʰiu51	手：～脚，～段
首	siu51	首：～先
守	siu51	守：看～所，保～
獸	siu13	兽：野～
仇	tsʰiu55	仇：～人，报～
酬	tsʰiu55	酬：应～，～谢
受	siu25	受：接～
壽	siu22	寿：长～
授	siu25	授：教～
售	tsʰiu55	售：～货，出～
柔	ziu55	柔：温～，～和
揉	ziu55	揉：～烂
鳩	kiu51	鸠：斑～
鬮	kʰau33	阄：拈～（抓阄）
糾	kiu33	纠：～缠
九	kiu51	九：数字，～龙
久	ku51	久：长～
韭	ku51	韭：～菜
灸	ku13	灸：针～
救	kiu13	救：～命
究	kiu13	究：～竟，研～
丘	kʰiu33	丘：一～田
丘	kʰu33	丘：姓
求	kʰiu55	求：要～
球	kiu55	球：足～
仇	tsʰiu55	仇：姓
臼	kʰu25	臼：石～，脱～
舅	ku25	舅：～公
舊	ku22	旧：新～
柩	kiu25	柩：灵～
牛	ɡu55	牛：～牯
休	hiu33	休：～息，退～
朽	hiũ51	朽：腐～，永垂不～
嗅	hiũ13	嗅：～觉
憂	iu33	忧：～虑，担～
優	iu33	优：～秀
尤	iu33	尤：～其
郵	iu55	邮：～票，～电局
有	u25	有：～钱
友	iu51	友：朋～，～谊
又	iu25	又：～来
右	iu25	右：左～
祐	iu25	佑：保～
由	iu55	由：～于，理～
油	iu55	油：麻～
遊	iu55	游：～泳，旅～
猶	iu55	犹：～豫
悠	hiu33	悠：～闲，历史～久
酉	iu51	酉：地支，申酉戌亥
誘	iu51	诱：～惑，引～
柚	iu22	柚：沙田～
釉	iu55	釉：上～，～彩
彪	piu33	彪：林～
謬	niũ51	谬：～论，荒～
丟	tiu33	丢：～失
糾	kiu33	纠：～正
幽	hiũ33	幽：～默
幼	iũ13	幼：细小，～稚
耽	tam33	耽：～误
答	tap021	答：回～
搭	taʔ021	搭：～车；衣服搭在肩上
貪	tʰam33	贪：～心
探	tʰam13	探：试～
踏	taʔ055	踏：脚～
潭	tʰam55	潭：深～
譚	tʰam55	谭：姓，～嗣同
沓	tʰaʔ055	沓：一～纸
南	lam55	南：东南西北
男	lam55	男：男女
納	nap055	纳：归～
拉	la33	拉：拖～
簪	tsam33	簪：绾住发髻的条状物
參	tsʰam33	参：～军，～加
慘	tsʰam51	惨：悲～
蠶	tsʰoĩ55	蚕：～丝
雜	tsap055	杂：复～
感	kam51	感：～谢，～动
蛤	kʰap021	蛤：花～；～蚧
鴿	kʰap021	鸽：白～
堪	kʰam33	堪：难～，不～
龕	kʰam33	龛：神～
坎	kʰam33	坎：～坷
砍	kʰam51	砍：～伤
勘	kʰam33	勘：～误，～探
含	ham55	含：包～[文]
含	kam55	含：～糖[白]
函	ham55	函：～授，信～
撼	ham25	撼：震～
憾	ham25	憾：遗～
合	haʔ055	合：～作，～适[文]
合	haʔ055	合：～本，～伙[白]
盒	ap055	盒：铁～
庵	am33	庵：尼姑～
揞	ã33	揞：手覆，揞住
暗	am13	暗：不亮
擔	tã33	担：～任[动]
擔	tã33	担：～竿[名]
膽	tã51	胆：大～
擔	tã13	担：挑～[名]；一～水[量]
坍	tan33	坍：～塌
毯	tʰaŋ51	毯：毛～
塔	tʰaʔ033	塔：宝～
塌	tʰap055	塌：倒～
談	tʰam55	谈：会～，～论
痰	tʰam55	痰：吐～
淡	tã25	淡：～水（地名）
淡	tã25	淡：咸～；浓～
藍	lam55	蓝：～色；姓
籃	nã55	篮：菜～
覽	lam13	览：展～，阅～室
攬	lam13	揽：包～[文]
攬	lam51	揽：抱[白]
欖	nã51	榄：橄～
濫	lam13	滥：泛～
纜	lam13	缆：～车
臘	laʔ055	腊：～肉，～肠
蠟	laʔ055	蜡：～烛
慚	tsʰam55	惭：～愧
暫	tsiam25	暂：～时
三	sam33	三：～国
甘	kam33	甘：甜；～心
柑	kã33	柑
敢	kã51	敢：勇～
橄	kã51	橄：～榄
磕	kʰap055	磕：～头
蚶	ham33	蚶：软体动物，血～
憨	ham33	憨：～厚
喊	ham13	喊：叫[文]
喊	ham13	喊：叫[白]
站	tsam25	站：站立
賺	tʰan13	赚：～钱
站	tsam13	站：车～
斬	tsam51	斩：白～鸡
蘸	un13	蘸：～豉油
插	tsʰaʔ021	插：～花
閘	tsaʔ055	闸：铁～，跳～
煠	saʔ055	炸：～番薯（水煮地瓜）
杉	sam33	杉：～树
尷	kam13	尴：～尬
減	kiam51	减：加～
鹻	kiam51	碱：酸～，～性
鹻	kiam51	碱：纯～
夾	kiap055	夹：夹子；～心饼干
裌	kiap055	夹：～袄，～衣
