#漢字	音標	解釋
車	tsʰia33	车：火～
扯	tsʰi51	扯：～开，～烂
蛇	tsua55	蛇：毒～
射	sia22	射：发～，～箭
麝	sia22	麝：～香
奢	tsʰia33	奢：～侈
賒	tsʰia33	赊：～帐
捨	sia13	舍：～唔得（舍不得）
赦	sia13	赦：～免
舍	sia13	舍：宿～
社	sia25	社：～会，公～
惹	ʒia51	惹：～事
耶	ia22	耶：～稣
爺	ia55	爷：父亲；爷爷[文]
也	ia22	也：～知
野	ia51	野：～人
夜	mɛ55	夜：日～，～班
傻	sa25	傻：～瓜，～子
瓜	kuɛ33	瓜：西～，～分
蝸	o33	蜗：～牛
寡	kua51	寡：～妇，守～
剮	kua51	剐：千刀万～
誇	kʰua33	夸：～大，～张
垮	kʰua33	垮：～台
跨	kʰua33	跨：～栏，～度
娃	ua33	娃：洋～～
瓦	hia25	瓦：～片
花	huɛ33	花：开～
化	hue13	化：变～
華	hua55	华：中～
劃	ueʔ055	划：～船
華	hua55	华：～山；姓
蛙	ua33	蛙：青～，～泳
補	pou51	补：～鞋，～充
譜	pʰou51	谱：族～，歌～
布	pou13	布：红～，～料
鋪	pʰou33	铺：～路，床～
普	pʰou51	普：～通，～遍
浦	pʰou51	浦：黄～江
鋪	pʰou13	铺：店～，当～
怖	pu13	怖：恐～
蒲	pʰu55	蒲：（石）菖～
菩	pʰu55	菩：～萨
脯	pʰou51	脯：胸～
部	pou25	部：～队，干～
簿	pʰou25	簿：练习～，帐～
步	pou22	步：跑～
捕	pu25	捕：逮～，～快
埠	pou33	埠：开～
埠	pou33	埠：庵～，蚌～（地名）
模	mɔ33	模：～型，～范
摹	mɔ33	摹：～仿，描～
暮	mɔ25	暮：日暮
慕	mɔ25	慕：羡～，～名而来
墓	mɔ25	墓：坟～，～地
募	mɔ25	募：～捐
都	tou33	都：首～，～市
都	tou33	都：都是
堵	tu51	堵：～车，～塞
賭	tu51	赌：～博
肚	tou51	肚：猪～，鱼～
妬	kou13	妒：～忌
土	tʰou51	土：～地
吐	tʰou13	吐：～痰；呕～
兔	tʰou13	兔：野～
徒	tʰu55	徒：～弟
屠	tou55	屠：～杀
途	tʰu55	途：前～
塗	tʰu55	涂：糊～，～改
圖	tou55	图：画～，地～
杜	tou25	杜：姓；杜仲（中药）
肚	tou51	肚：肚子
度	tou22	度：～数，长～
渡	tou22	渡：偷～，摆～
鍍	tou22	镀：电～
奴	nou55	奴：～隶
努	nɔ13	努：～力
怒	nɔ13	怒：愤～，～气
盧	lou55	卢：姓
爐	lou55	炉：火～
蘆	lou55	芦：～苇
鸕	lou55	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu51	鲁：～国，～迅
虜	lu51	虏：俘～
滷	lou51	卤：盐～，～水
路	lou22	路：大～
賂	lɔk055	赂：贿～
露	lou22	露：～水，白～，打～
鷺	lou22	鹭：白～
租	tsou33	租：～金，出～
祖	tsou51	祖：～宗，～国
組	tsu33	组：～织，小～
做	tsɔ13	做：～好事
粗	tsʰou33	粗：～心
醋	tsʰou13	醋：陈～
措	tsʰu13	措：～施
錯	tsʰɔ13	错：～误
蘇	sou33	苏：～州；姓
酥	sou33	酥：脆，杏仁～
素	su13	素：～菜，朴～
訴	su13	诉：上～，倾～
塑	suak021	塑：雕～，～料
姑	kou33	姑：大～
孤	kou33	孤：～儿，～单
箍	kʰou33	箍：紧～咒[文]
箍	kʰou33	箍：围束，～桶[白]
古	kou51	古：～代
估	kou51	估：～计
牯	kou51	牯：牛～
股	kou51	股：～票
鼓	kou51	鼓：锣～，～励
故	ku13	故：～事，～乡
固	ku13	固：～定
錮	ku13	锢：禁～
雇	kou13	雇：～人，～主
顧	ku13	顾：照～
枯	kou33	枯：干～，～水
苦	kʰou51	苦：辛～，食～（吃苦）
苦	kʰou51	苦：～味
庫	kʰou13	库：水～，仓～
褲	kʰou13	裤：裤子
吳	ɡou55	吴：姓
蜈	ɡou55	蜈：～蚣
梧	ŋɔ55	梧：～桐
五	ŋou25	五：数字
伍	ŋou51	伍：姓；队～
午	ŋou51	午：中～，端～
誤	ɡou22	误：～会，错～
悟	ŋɔ24	悟：觉～；孙～空
呼	hu33	呼：称～，～吸，招～
虎	hoũ51	虎：老～
虎	hu33	虎：马～
滸	hou51	浒：水～
戽	hou13	戽：～水（泼水），～斗
胡	hu55	胡：二～ ；姓
湖	ou55	湖：西～
狐	hu55	狐：～狸
