#漢字	音標	解釋
砂	sa33	砂：朱砂，铁砂，砂纸
灑	pʰaiʔ031	洒：洒水
廈	ha52	厦：高楼大厦，商厦
家	ka33	家：成家，家教，老家
加	ka33	加：加法，加工，加油
痂	ka33	痂：结痂，痂皮
嘉	ka33	嘉：嘉宾，嘉兴，嘉峪关
傢	ka33	傢：傢伙，傢什（工匠用的），傢具
假	ka31	假：真假
賈	ka31	贾：姓，贾宝玉
假	ka31	假：放假，假期
架	ka52	架：衣架，脚手架，摆架子
駕	ka52	驾：驾驶，大驾光临
嫁	ka52	嫁：出嫁，嫁女儿
稼	ka52	稼：庄稼，邓稼先
價	ka52	价：价钱，价值
揢	tsoʔ031	揢：捕鱼，抓人，拿在手里
牙	ŋa13	牙：牙齿，刷牙
芽	ŋa13	芽：豆芽
衙	ŋa13	衙：衙门
伢	ŋa13	伢：伢儿，伢郎（小孩子）
蚜	ŋa22	蚜：蚜虫（木虱,生在豆类、棉花、稻等幼苗上）
雅	ŋa13	雅：文雅，雅座
砑	ŋa13	砑：弹好棉花后，用厚实的木圆盘砑砑平
蝦	ha13	虾：鱼虾，虾公
?	haʔ031	?：虾腰，背虾起
嚇	haʔ031	吓：吓一跳
霞	ha13	霞：朝霞，晚霞，人名用字
瑕	ha22	瑕：瑕疵
遐	ha22	遐：遐想，闻名遐迩
蝦	ha22	虾：虾蟆（青蛙、蛙类、蝌蚪）
下	ha52	下：下面，乡下，上下
夏	ha52	厦：厦门
廈	ha52	夏：姓
下	ha52	下：下降，下去，下流
夏	ha52	夏：春夏，立夏
暇	ha22	暇：闲暇
鴉	a44	鸦：老鸦，乌鸦
丫	tsʰa44	丫：丫头
椏	va44	桠：桠杈
啞	a31	哑：哑巴，聋哑
亞	a44	亚：亚洲，亚军，东亚
姐	tsi31	姐：姐姐，小姐
借	tsia52	借：借钱
且	tsʰia31	且：而且，况且
褯	tsʰiaʔ055	褯：褯子（小儿尿布，或包裹婴儿的衣被）
些	sia44	些：一些
寫	sia31	写：写字，写信
瀉	sia52	泻：腹泻，泻肚子
卸	ha44	卸：装卸，卸货
邪	sia13	邪：邪气，邪门歪道
斜	sia13	斜：不正
謝	tsʰia52	谢：谢谢，姓
爹	tia44	爹：父亲
遮	tʂa33	遮：遮住，遮挡
者	tʂa31	者：记者，作者，之乎者也。
蔗	tʂa52	蔗：甘蔗，蔗糖
車	tʂʰa33	车：火车
扯	tʂʰa31	扯：拉扯，扯钻
蛇	ʂa22	蛇：一条蛇
射	ʂa52	射：发射，射箭
麝	ʂa52	麝：麝香
賒	tʂʰa33	赊：赊帐
奢	tʂʰa33	奢：奢侈
捨	ʂa31	舍：舍不得，割舍
赦	ʂa31	赦：大赦，十恶不赦，赦免
舍	ʂa52	舍：宿舍
佘	ʂa33	佘：姓，佘太君
畲	ʂa33	畲：畲族，畲客
社	ʂa33	社：公社，社会
惹	nia33	惹：招惹，小孩惹事，传染
耶	ʐa22	耶：耶酥
爺	ʐa22	爷：爷爷，父亲
椰	ʐa22	椰：椰子
也	ʐa45	也：之乎者也，也是
野	ʐa45	野：野兔
夜	ʐa52	夜：走夜路，夜班，夜晚
傻	sɔ22	傻：傻瓜
耍	sa31	耍：玩耍，耍人
瓜	ka33	瓜：黄瓜，西瓜
蝸	vɔ45	蜗：蜗牛
寡	ka31	寡：寡妇，守寡
剮	kɔiʔ031	剐：千刀万剐
誇	kʰa33	夸：夸奖，夸张
侉	kʰa44	夸：夸大
垮	kʰa44	垮：垮台
跨	kʰa44	跨：跨过障碍物，跨步，跨度
娃	va44	娃：娃娃，洋娃娃
瓦	ŋa31	瓦：名词，瓦片
瓦	ŋa31	瓦：动词，瓦砖
花	fa33	花：一朵花，开花
化	fa52	化：变化
華	fa22	华：中华
鏵	fa33	铧：铧犁（犁上用来破土的铁片）
划	fa33	划：划船
華	fa33	华：华山，姓
樺	fa22	桦：桦树
蛙	va44	蛙：青蛙，蛙跳，蛙泳
窪	va44	洼：洼地，低洼
補	pu31	补：补衣服
譜	pʰu45	谱：族谱，宗谱，歌谱
布	pu52	布：一块布，布料
佈	pu52	布：宣布，公布
鋪	pʰu45	铺：铺开，铺设，铺张
普	pʰu45	普：普通
浦	pʰu31	浦：浦江
鋪	pʰu33	铺：店铺，当铺
怖	pu52	怖：恐怖
蒲	pʰu45	蒲：菖蒲，蒲团
菩	pʰu22	菩：菩萨
脯	pʰu31	脯：胸脯
葡	pʰu22	葡：葡萄
部	pʰu52	部：部队，干部
簿	pʰɔʔ055	簿：帐簿，练习簿
步	pʰu52	步：一步，脚步，步行
捕	pʰu31	捕：逮捕，捕快
埠	pʰu52	埠：埠头，蚌埠
模	mɔ45	模：模型
模	mɔ22	模：模范
摹	mɔ45	摹：摹仿，描摹
暮	mu52	暮：
慕	mu52	慕：羡慕
墓	mu52	墓：坟墓，墓地
募	mu52	募：募捐，招募
都	tɔ44	都：都市，首都
都	tɔ44	都：都是
堵	tu31	堵：堵车，堵塞
賭	tu31	赌：打赌，赌博
肚	tu31	肚：猪肚（胃）
妒	tu52	妒：妒忌
土	tʰu31	土：
吐	tʰui52	吐：吐痰
吐	tʰu52	吐：呕吐
兔	tʰu52	兔：兔子，野兔
途	tʰu22	途：前途
屠	tʰu13	屠：屠杀，屠夫
徒	tʰu22	徒：徒弟，学徒
塗	tʰu22	涂：泥涂
圖	tʰu22	图：画图，地图
杜	tʰu52	杜：姓，杜仲
肚	tu31	肚：肚子，肚脐
度	tʰu52	度：度量
渡	tʰu52	渡：摆渡，渡船，偷渡
鍍	tʰu52	镀：电镀
奴	nu22	奴：奴隶
努	nu31	努：努力
怒	nu52	怒：发怒
盧	lu13	卢：姓
爐	lu13	炉：炉子，风炉
蘆	lu13	芦：芦苇
鸕	lu13	鸬：鸬鹚，一种鸟，黑色，有点象鸭子，捕鱼用
魯	lu13	鲁：鲁国，鲁迅
櫓	lu13	橹：摇船的工具
虜	lu31	虏：俘虏
滷	lu13	卤：盐卤，菜中的汤汁
路	lu52	路：一条路，大路，走路
賂	lu52	赂：贿赂
露	lu52	露：露水，白露
鷺	lu52	鹭：白鹭，鹭鸶（一种鸟，腿很长）
租	tsʮ33	租：租房子，田租
祖	tsʮ31	祖：祖宗，祖国
組	tsʮ33	组：组长，小组，组织
做	tsɔ52	做：做事情
粗	tsʰʮ33	粗：粗细，粗心
醋	tsʰʮ52	醋：一种调味料，味酸。吃醋
措	tsʰʮ52	措：措施，举措
錯	tsʰɔ52	错：做错，错误，过错
蘇	sʮ45	苏：苏州，苏联，姓
酥	sʮ45	酥：杏仁酥，酥糖，酥油
素	sʮ52	素：吃素，朴素，素质
訴	sʮ52	诉：告诉，上诉，诉讼
塑	sɔʔ031	塑：塑料，塑像
嗉	sʮ52	嗉：鸟嗉子，嗉囊
姑	ku33	姑：姑妈，姑娘
孤	ku33	孤：孤儿，孤独
箍	kʰu45	箍：箍桶，一个箍，紧箍咒
辜	kʰu45	辜：无辜，辜负
古	ku31	古：古老，古代
估	kʰu45	估：估计，毛估估
牯	ku31	牯：公牛，公狗
股	ku31	股：一股线，股票
鼓	ku31	鼓：锣鼓
蠱	ku31	蛊：蛊惑
賈	ku31	贾：商贾
故	ku52	故：故事，事故
固	ku52	固：固定
錮	ku52	锢：禁锢
雇	ku52	雇：雇主
顧	ku52	顾：照顾，顾忌
枯	kʰu33	枯：树枯了，水枯了
苦	kʰu31	苦：甜的苦的，吃苦
庫	kʰu52	库：水库，库存
褲	fu52	裤：裤子
吳	ŋ̍13	吴：姓
蜈	ŋ̍13	蜈：蜈蚣
吾	ŋ̍13	吾：
梧	ŋ̍35	梧：梧桐
五	ŋ̍31	五：数字
伍	ŋ̍31	伍：队伍，姓
午	ŋ̍31	午：端午，中午
誤	vu52	误：误会，错误，耽误
悟	mu52	悟：孙悟空，觉悟
呼	fu33	呼：呼吸，呼鸡
虎	fu31	虎：老虎
滸	fu33	浒：水浒传
戽	fu52	戽：戽水（把水泼出去）戽斗（汲水灌田的老式农具）
胡	fu22	胡：姓，二胡
湖	fu22	湖：
