#漢字	音標	解釋
刈	kɔiʔ031	刈：割
蓖	pʰi45	蓖：蓖麻
閉	pi52	闭：闭眼，关闭
箅	pi52	箅：蒸笼中的竹屉
批	pʰi44	批：一批，批评
陛	pi52	陛：陛下
鐾	pɔŋ45	鐾：蹭，在皮布上擦刀使锋利，鐾笔
迷	mi13	迷：迷路
米	mi31	米：大米
謎	mi13	谜：谜语，猜谜
低	tai44	低：
堤	tʰi13	堤：
底	tai31	底：底气，水底
抵	ti31	抵：抵押
帝	tʰi52	帝：皇帝，帝国
渧	tʰi52	渧：液体滴下
蒂	tʰi52	蒂：瓜蒂
梯	tʰuɔi33	梯：楼梯，梯子
體	tʰi31	体：体育，身体
替	tʰi52	替：代替，替身
涕	tʰi52	涕：鼻涕
剃	tʰai44	剃：剃头
屜	tʰi52	屉：抽屉
題	tʰi22	题：题目，难题
提	tʰi22	提：提问，提醒
蹄	tʰai13	蹄：猪蹄
啼	tʰai13	啼：啼笑皆非，鸡啼
弟	tʰi52	弟：兄弟，弟弟
第	tʰi52	第：门第，第一
遞	tʰi52	递：传递
泥	nai13	泥：烂泥，水泥
犂	lai13	犁：耕田用具
黎	li22	黎：黎明
禮	li45	礼：送礼，礼貌
麗	li52	丽：人名用字
隷	li52	隶：奴隶，隶属
莉	li52	莉：茉莉
擠	tsi44	挤：拥挤，挤上去，挤牙膏
濟	tsi52	济：接济，经济，济公
妻	tsʰi45	妻：老婆
淒	tsʰi45	淒：
凄	tsʰi45	凄：凄凉
悽	tsʰi45	悽：悽惨
砌	kʰi52	砌：砌墙，砌茶
齊	tsʰi22	齐：整齐，齐了
臍	tsʰi22	脐：肚脐，脐带
薺	kai52	荠：荠菜，茡荠
劑	tsi52	剂：药剂
西	si44	西：东西南北
棲	ʂʅ33	栖：
犀	ʂʅ45	犀：犀牛，羚羊犀角
洗	siɛ31	洗：洗衣服，洗衣粉
細	siɛ52	细：粗细，大细，比…少。
婿	siɛ52	婿：女婿
鷄	kai33	鸡：公鸡、小鸡
稽	ki44	稽：会稽，稽查
計	ki52	计：会计，计算
繼	ki52	继：继承，继续
繫	tʰaʔ031	系：系鞋带，把鸡的两只脚捆起来便于携带
髻	ki52	髻：发髻
溪	hai44	溪：大溪
啓	kʰi31	启：启发
契	kʰiɛ52	契：契约，地契
倪	ni52	倪：姓
詣	ni52	诣：造诣
奚	sʮ31	奚：奚落
兮	ʂʅ45	兮：
系	ʂʅ52	系：中文系，系统
繫	ʂʅ52	系：连系
係	ʂʅ52	係：关系
縊	ʐʅ52	缢：缢死，自缢
杯	pi44	杯：茶杯
輩	pi52	辈：辈分，长辈
背	puɔi52	背：后背
胚	pʰi44	胚：胚子
坯	pʰi44	坯：粗坯，毛坯
配	pʰi52	配：分配、搭配
培	pʰi22	培：培训
陪	pʰi22	陪：陪你去
賠	pʰuɔi22	赔：赔钱
裴	pʰuɔi22	裴：姓、裴元庆
徘	pʰai22	徘：徘徊
倍	pʰi52	倍：几倍
佩	pʰi52	佩：佩服
背	pʰuɔi52	背：背书、背诵
梅	muɔi22	梅：梅花、腊梅
枚	muɔi22	枚：一枚别针
媒	muɔi22	媒：做媒、媒人
煤	muɔi22	煤：烧煤、煤矿
玫	muɔi22	玫：玫瑰花
莓	muɔi22	莓：一种果子，红色、小而圆。草苺，蛇莓
每	mi44	每：每个人、每天
妹	muɔi52	妹：妹妹、姊妹
昧	mi52	昧：拾金不昧、昧着良心
堆	tuɔi33	堆：堆起来，一堆东西
對	tʂʰɔʔ055	对：对错
碓	tuɔi52	碓：舂米工具
推	tʰui33	推：
腿	kiɔʔ031	腿：
退	tʰui52	退：
頹	tʰui33	颓：颓废．男阴
隊	tui52	队：队伍，排队
餒	nui31	馁：气馁
內	nui52	内：内外、内行、内部
雷	lui13	雷：姓，打雷，雷公
儡	lui31	儡：傀儡、傀儡戏
累	kʰuɔi52	累：极困
擂	lui13	擂：擂台，擂鼓
催	tsʰui44	催：催他快去、催眠
崔	tsʰui44	崔：姓
摧	tsʰui44	摧：摧残
罪	tsʰui52	罪：罪过，犯罪
碎	sui52	碎：东西碎了
瑰	kʰui52	瑰：玫瑰
盔	kʰui44	盔：头盔
魁	kʰui44	魁：魁悟、五经魁首
恢	fuɔi33	恢：恢复
詼	fuɔi33	诙：诙谐
傀	kʰui33	傀：傀儡
塊	kʰai52	块：一块布
桅	vui22	桅：桅杆
灰	fuɔi33	灰：草木灰、灰色
賄	fi52	贿：贿赂、受贿
悔	fi52	悔：后悔、懊悔
晦	fi52	晦：晦气
回	tʂɔin31	回：回去、回东西（转卖）
迴	fi22	迴：迂迴
茴	fi22	茴：茴香
徊	fai22	徊：徘徊
匯	fi52	汇：汇报
潰	kʰui52	溃：溃脓，崩溃，胃溃疡
煨	vuɔi45	煨：煨番薯（把食物直接放在火中）
蛻	tʰuɔi31	蜕：蝉蜕、蛇蜕、蜕变
兌	tui52	兑：兑钱，兑水，兑换，以物易物（兑糖）
最	tsui52	最：最好
會	kʰai52	会：会计，财会
劊	kʰai52	刽：刽子手
檜	kʰai52	桧：秦桧
外	ŋuɔi52	外：外面，外婆
會	fi52	会：开会
會	ʂau31	会：会不会
繪	fi52	绘：测绘，绘画
乖	kai33	乖：小孩听话，精乖（精明，贬义）
怪	kai52	怪：这是怪他，奇怪
塊	kʰai52	块：一块布
懷	fai22	怀：胸怀，怀敞开、抱在怀里，抱（孩子）
槐	fai22	槐：槐树
淮	fai22	淮：淮河、淮北
壞	fai52	坏：不好
柺	kai31	柺：拐杖，瘸腿
掛	ka52	挂：挂篮子
卦	ka52	卦：卜卦，八卦
褂	ka52	褂：大褂，褂子
歪	ŋau33	歪：不正，歪嘴、歪戴帽子
畫	fa52	画：画图、图画
蛙	kai31	蛙：青蛙，蛙跳
快	kʰai52	快：快点，快车
筷	kʰai52	筷：吃饭用
話	va52	话：说话、笑话
脆	tsʰuɔi52	脆：干脆，食物松脆（如苹果、饼干）
歲	suɔi52	岁：几岁，万岁
綴	tʂui52	缀：点缀
贅	tʂui52	赘：累赘，入赘
稅	ʂuɔi52	税：税收，偷税
芮	ʐui52	芮：姓
衛	vi52	卫：保卫、卫生
銳	ʐui52	锐：尖锐
廢	fi52	废：废品、作废
肺	pʰi52	肺：猪肺
杮	sʮ52	杮：削下的木片、木皮
吠	pʰuɔi52	吠：狗叫
穢	miɛ52	秽：污秽
圭	kui45	圭：人名用字
閨	kui52	闺：闺房、闺女
桂	kui52	桂：桂圆，肉桂，桂花灯，桂花糖
奎	kʰui22	奎：人名用字
畦	kʰi22	畦：菜畦
惠	fi52	惠：实惠，优惠
慧	fi52	慧：小孩乖、能干，人名用字
碑	pi44	碑：石碑，碑文
卑	pʰi31	卑：卑职，卑鄙
彼	pi31	彼：彼此
俾	pʰi52	俾：俾使，俾益
臂	pi31	臂：手臂，臂力
披	ka44	披：披衣服
譬	pʰi52	譬：譬喻
皮	pʰi13	皮：苹果皮
疲	pʰi13	疲：疲劳
脾	pʰi31	脾：脾气，脾胃
被	pʰi13	被：棉被，被絮
婢	pi52	婢：婢女
被	pʰi13	被：被迫
避	pʰiʔ031	避：避开，躲避
糜	mi13	糜：粥，糜烂
彌	mi45	弥：阿弥勒佛，弥补，弥漫
靡	mi22	靡：风靡，靡靡之音
離	li22	离：离别
籬	li22	篱：篱笆
璃	li22	璃：玻璃
荔	li52	荔：荔枝
離	li22	离：分离
紫	tsʮ31	紫：紫色
雌	tsʰʮ33	雌：雌雄
此	tsʰʮ31	此：此地，到此
刺	tsʰiuʔ031	刺：刺刀，鱼刺，植物的刺
疵	tsʰʮ44	疵：瑕疵，吹毛求疵
斯	sʮ44	斯：斯大林
廝	sʮ44	厮：厮打，互相
撕	sʮ44	撕：撕破
璽	ʂʅ31	玺：玉玺
徙	ʂʅ31	徙：迁徙，移动
賜	tsʰʮ52	赐：赏赐，恩赐
知	tʂʅ44	知：知道，知识
蜘	tʂʅ45	蜘：蜘蛛（土话）
智	tʂʅ52	智：智慧
池	tʂʰʅ22	池：池塘，水池
馳	tʂʰʅ22	驰：奔驰，驰骋
差	tsʰa44	差：参差
篩	si44	筛：谷筛，米筛，筛谷
支	tʂʅ45	支：地支，支持
枝	tʂʅ45	枝：荔枝，树枝
肢	tʂʅ45	肢：四肢、肢体
梔	tʂʅ45	栀：栀子花
紙	tʂʅ31	纸：白纸、纸头
只	tʂʅʔ031	只：只有
眵	ʂʅ31	眵：眼眵（眼泪，眼屎）
侈	ʂʅ31	侈：奢侈
舐	ʂiɛ33	舐：舔
施	ʂʅ45	施：施肥，姓
翅	tʂʰʅ52	翅：鱼翅，翅膀
施	ʂʅ44	施：布施
匙	tʂʰʅ31	匙：钥匙，羹匙
是	ʂʅ52	是：是不是，的确，代词强调式
氏	ʂʅ52	氏：姓氏，氏族
豉	ʂʅ52	豉：豆豉
兒	ʐʅ13	儿：儿童节，小儿子
爾	ni45	尔：尔虞我诈
寄	ki52	寄：邮寄，寄信
羈	ki44	羁：不羁，羁押
企	kʰi44	企：企业，企求
奇	kʰi22	奇：好奇，奇怪
騎	kʰi22	骑：骑马
岐	kʰi22	岐：岐山
徛	kʰi44	徛：站立
技	kʰi44	技：技术，杂技
妓	ki52	妓：嫖妓，妓女
奇	kʰi22	奇：奇数
宜	ni13	宜：宜昌，便宜
儀	ni13	仪：礼仪，仪式
蟻	ni45	蚁：蚂蚁，白蚁
誼	ni22	谊：友谊
義	ni52	义：情义，义气
議	ni52	议：议论，会议
犧	ʂʅ33	牺：牺牲
戲	ʂʅ52	戏：唱戏，戏班
椅	ʐʅ31	椅：交椅，椅子
倚	ʐʅ31	倚：倚靠，不偏不倚
移	ʐʅ22	移：迁移，移动
易	ʐʅ52	易：容易，易如反掌
悲	pi33	悲：可悲，悲伤
鄙	pʰi31	鄙：卑鄙，鄙人
屄	pʰi44	屄：女阴
比	pi31	比：对比，比较
秕	pʰi44	秕：秕谷（不饱满的稻谷）
秘	pi52	秘：秘书，秘密
泌	pi52	泌：分泌
庇	pʰi45	庇：包庇
痹	pi52	痹：麻痹
丕	pʰi44	丕：曹丕
屁	pʰi52	屁：放屁，狗屁
琵	pʰi22	琵：琵琶
枇	pʰi22	枇：枇杷
備	pʰi52	备：准备，备用，刘备
鼻	pʰi52	鼻：鼻子，鼻涕
篦	pi52	篦：篦子（可抓虱子的很密的梳子）
痞	pʰi31	痞：地痞流氓
眉	mi22	眉：画眉，眉毛
楣	mi22	楣：门楣，倒楣
黴	muɔi22	霉：发霉
美	mi45	美：英美，美化
媚	mi52	媚：抛媚眼，武媚娘，妩媚
寐	mi52	寐：梦寐以求
地	tʰi52	地：土地，地上
尼	ni22	尼：尼姑，《僧尼会》（婺剧）
呢	ni22	呢：呢大衣
膩	ni52	腻：油腻，吃腻
梨	li22	梨：雪梨，梨园
履	li52	履：履行
利	li52	利：有利，利钱
痢	li52	痢：癞痢，痢疾
資	tsʮ45	资：资本
姿	tsʮ45	姿：姿势
咨	tsʮ45	咨：咨询
姊	tsia31	姊：姊妹，姐姐
次	tsʰɿ52	次：名次，两次，次品
瓷	tsʰʮ22	瓷：陶瓷，瓷砖
餈	tsʰʮ22	糍：麻糍，糍粑
自	tsʰʮ52	自：自顾自，自己，自私
私	sʮ44	私：自私，私心
死	si31	死：死了，死亡
四	si52	四：数字
肆	si52	肆：放肆，肆无忌惮
致	tʂʅ52	致：导致，致敬
遲	tʂʰʅ22	迟：迟到，推迟
雉	tʂʅ52	雉：野鸡，演戏中的翎子
緻	tʂʅ52	致：细致
稚	tʂʅ52	稚：幼稚，稚嫩
師	sʮ44	师：老师，师父
獅	sʮ44	狮：狮子
螄	sʮ44	蛳：螺蛳
脂	tʂʅ45	脂：猪脂油，胭脂，脂肪
指	tʂʅ31	指：手指，指挥
旨	tʂʅ31	旨：奉旨，旨意
至	tʂʅ52	至：至少
示	ʂʅ52	示：启示，示意图
尸	ʂʅ33	尸：尸陈
屍	ʂʅ44	尸：死尸，分尸
屎	ʂʅ31	屎：粪便
矢	ʂʅ52	矢：无的放矢
視	ʂʅ52	视：近视，视察
嗜	ʂʅ52	嗜：嗜好
二	ni52	二：数字
貳	ni52	贰：
飢	ki33	饥：饥饿，饿
肌	ki33	肌：肌肉
几	ki33	几：茶几
冀	ʐʅ52	冀：河北简称
器	ʂʅ52	器：武器，大器
棄	ʂʅ52	弃：放弃
伊	ʐʅ44	伊：姓，伊犁
懿	ʐʅ52	懿：司马懿
姨	ʐʅ22	姨：阿姨
夷	ʐʅ22	夷：化险为夷，夷蛮
肄	si52	肄：肄业
你	ni22	你：第二人称
釐	li22	厘：厘米，分厘
貍	li22	狸：貍猫换太子，狐狸
李	li31	李：姓，一种水果
里	li35	里：一里路，里弄，地名
理	li35	理：道理，理由
裏	li22	里：里面，里外
鯉	li35	鲤：鲤鱼跳龙门
吏	li52	吏：官吏，吏治
兹	tsʰʮ22	兹：公文用语
滋	tsʮ45	滋：滋味，滋润
子	tsʮ31	子：孔子，子孙，儿子，老子
梓	tsʮ31	梓：桑梓
慈	tsʰʮ22	慈：慈悲，慈禧
磁	tsʰʮ22	磁：磁铁，磁场
字	sʮ52	字：文字，字画
思	sʮ45	思：思想，思念
絲	sʮ33	丝：蛛丝，丝绸
司	sʮ33	司：司令，公司
伺	sʮ52	伺：伺侯，伺机
思	sʮ45	思：意思
辭	tsʰʮ22	辞：告辞，辞职
祠	tsʰʮ22	祠：祠堂，宗祠
詞	tsʰʮ22	词：歌词，词牌
似	sʮ52	似：相似，似乎
巳	sʮ52	巳：地支第六
祀	sʮ52	祀：祭祀
寺	sʮ52	寺：金山寺，寺庙
飼	sʮ33	饲：饲养，饲料
嗣	sʮ52	嗣：谭嗣同，后嗣
置	tʂʅ52	置：布置，安置，置办
癡	tʂʰʅ35	痴：痴呆，发痴
恥	tʂʰʅ31	耻：国耻，耻辱
持	tʂʰʅ22	持：坚持，持久
峙	tʂʅ52	峙：对峙
痔	ʂʅ52	痔：痔疮
治	tʂʰʅ52	治：统治，治安
輜	tsʮ45	辎：辎重
淄	tsʮ45	淄：淄博
滓	tsʮ31	滓：渣滓洞
廁	tsʰa31	厕：男厕，厕所
士	sʮ52	士：士兵
仕	sʮ52	仕：仕途
柿	sʮ52	柿：柿子
俟	sʮ52	俟：一俟
事	sʮ52	事：大事，事情
史	sʮ31	史：历史
使	sʮ31	使：假使，大使，用
駛	sʮ31	驶：驾驶员，车驶来
之	tʂʅ33	之：之乎者也
芝	tʂʅ33	芝：灵芝，芝麻
止	tʂʅ31	止：停止，止血
址	tʂʅ31	址：地址，旧址
趾	tʂʅ31	趾：脚趾（甲）
志	tʂʅ52	志：志气，志愿
痣	tʂʅ52	痣：与胎记不同
誌	tʂʅ52	志：地方志
嗤	tʂʰʅ45	嗤：嗤笑
齒	tʂʰʅ31	齿：牙齿
詩	ʂʅ44	诗：唐诗，诗人
始	tʂʰʅ31	始：开始，始终
試	ʂʅ52	试：考试，试一试
時	ʂʅ22	时：时间，当时
鰣	ʂʅ22	鲥：鲥鱼
市	ʂʅ52	市：集市，市场
恃	ʂʅ52	恃：自恃，恃才傲物
侍	sɿ52	侍：服侍，侍卫
而	ʐʅ22	而：然而，而且
耳	ni52	耳：耳朵，中耳炎
餌	ni31	饵：钓饵
基	ki45	基：基本，地基
萁	ki45	萁：莨萁（可作柴烧）
箕	ki45	箕：粪箕，篦箕（梳头用）
姬	ki45	姬：虞姬
己	ki31	己：自己，舍己为人
紀	ki31	纪：纪律，年纪
記	ki52	记：记号，笔记
欺	kʰi33	欺：欺负
起	kʰi31	起：起床，升起
杞	ki31	杞：枸杞，杞人忧天
棋	kʰi22	棋：下棋，棋子
旗	kʰi22	旗：红旗
其	kʰi22	其：尤其，其他
期	kʰi22	期：到期，日期
忌	ki52	忌：忌讳，禁忌，忌日
疑	ni22	疑：怀疑，疑心
擬	ni31	拟：草拟，拟人
嬉	si52	嬉：玩
煕	ʂʅ33	熙：康熙
嘻	ʂʅ31	嘻：嘻皮笑脸
禧	ʂʅ31	禧：慈禧
喜	ʂʅ31	喜：大喜，喜欢
蟢	ʂʅ31	蟢：生活在壁上的小蜘蛛
醫	ʐʅ45	医：医生，医病
意	ʐʅ52	意：意思，大意
矣	ʐʅ31	矣：
飴	ʐʅ22	饴：饴糖
怡	ʐʅ22	怡：心旷神怡
貽	ʐʅ22	贻：贻笑大方
以	ʐʅ35	以：可以，以毒攻毒
已	ʐʅ31	已：已经
異	ʐʅ52	异：各异，异同
機	ki33	机：机器，趁机
譏	ki45	讥：讥笑
饑	ki33	饥：饥荒
幾	ki33	几：几乎
幾	ki31	几：几个
蟣	ki45	虮：虱的卵
既	ki52	既：既然
豈	kʰi31	岂：岂有此理
氣	ʂʅ52	气：空气，气人
汽	ʂʅ52	汽：水汽，汽车
祈	tsʰi31	祈：祈祷
沂	kʰi22	沂：沂蒙山
毅	ni52	毅：毅力
希	ʂʅ33	希：希望
稀	ʂʅ33	稀：稀有，稀饭
衣	ʐʅ45	衣：大衣，衣裳
依	ʐʅ31	依：依靠，依旧
累	lui13	累：积累，累计
累	lui52	累：连累，拖累
嘴	tʂuɔi52	嘴：嘴巴
髓	tsʰui22	髓：骨髓，脑髓
隨	tsʰui22	随：随便，跟随
吹	tʂʰui45	吹：吹牛，吹喇叭，吹口哨
炊	tʂʰui45	炊：炊事员，炊饭
垂	ʂui22	垂：下垂，垂头丧气
睡	ʂuɔi52	睡：午睡，睡眠
瑞	ʐui44	瑞：瑞安，瑞金，瑞雪
蕊	ʐui52	蕊：花心或花苞
規	kui33	规：圆规，规矩
詭	kui31	诡：诡计
虧	kʰui44	亏：幸亏，多亏，亏得，吃亏
窺	kʰui45	窥：偷窥，窥视
跪	kʰui31	跪：下跪，跪下
危	vui22	危：安危，危险
僞	ŋui31	伪：伪造，虚伪
麾	fui44	麾：麾下
毀	fi31	毁：毁灭，毁牙（小孩换牙）
萎	vui35	萎：枯萎，萎靡
委	vi45	委：委托，常委
餵	vi52	喂：喂饭，喂养
爲	vi13	为：行为，为人
爲	vi52	为：为人民服务
壘	lui31	垒：堡垒
類	lui52	类：分类，种类
淚	lui52	泪：眼泪，泪水
醉	tsui52	醉：喝醉酒
翠	tsʰui52	翠：翡翠，翠绿
悴	tsʰui52	悴：憔悴
雖	sui45	虽：虽然
綏	tsʰui52	绥：绥靖，绥远
粹	tsʰui52	粹：纯粹
遂	sui52	遂：未遂，遂昌
隧	sui52	隧：隧道
穗	sui52	穗：谷穗
追	kiuʔ055	追：
錘	tʂʰui22	锤：铁锤，抡大锤
槌	tʂʰui13	槌：槌棒（洗衣服用）
墜	tʂui52	坠：虫子吐丝下坠，耳垂
衰	suɔi33	衰：衰老，衰落
摔	pʰain45	摔：
帥	sai52	帅：元帅
錐	tʂui45	锥：角锥，圆锥
水	ʂui31	水：喝水，水果，水平
誰	main31	谁：
誰	nin13	谁：
龜	kui45	龟：乌龟
癸	kʰui44	癸：天干第十
軌	kui31	轨：铁轨，轨道
愧	kʰui31	愧：惭愧
季	kui52	季：四季
逵	kʰui22	逵：李逵
葵	kʰui22	葵：向日葵，葵花籽
櫃	kʰui52	柜：门在顶上，柜台
位	vi52	位：地位，位子
帷	vi22	帷：运筹帷幄
維	vi13	维：维生素，纤维
遺	vi13	遗：遗失
惟	vi13	惟：惟一
唯	vi13	唯：唯物主义
飛	fi44	飞：飞机，鸟飞
非	fi44	非：是非，非常
匪	fi44	匪：土匪
榧	fi44	榧：草榧，香榧
疿	mi52	痱：痱子
沸	pi52	沸：水沸，沸腾
妃	fi33	妃：贵妃
菲	fi33	菲：菲薄
費	fi52	费：浪费，费用
肥	pʰi22	肥：肥料，化肥，肥肉
翡	fi45	翡：翡翠
微	mi22	微：细微，微小
薇	vi45	薇：紫薇，蔷薇
尾	mi45	尾：末尾，尾巴
未	vi52	未：未来（将来，还没有来）
味	mi52	味：味道，味精
歸	kui44	归：归来，回归，九九归一
鬼	kui31	鬼：
貴	kui52	贵：东西贵，贵客，宝贵
巍	vi22	巍：巍巍高山
魏	ŋui52	魏：姓，魏国
揮	fi45	挥：指挥，挥手
輝	fi45	辉：光辉，日头辉，辉煌
徽	vi45	徽：国徽，徽章
諱	fi52	讳：忌讳
卉	fi52	卉：花卉
威	vi44	威：威风，发威
畏	vi52	畏：畏罪，畏惧
慰	vi31	慰：安慰，慰问
圍	vi22	围：围裙，包围，围墙，围巾
違	vi22	违：违背
偉	vi31	伟：伟大，雄伟
葦	vi31	苇：芦苇
緯	vi31	纬：经纬，纬线
胃	vi52	胃：肠胃，胃病
謂	vi52	谓：所谓
蝟	vi52	猬：刺猬
彙	fi52	汇：汇总，汇报，词汇
褒	pau44	褒：褒义，褒奖
保	pau31	保：保护，担保
寶	pau31	宝：宝贝，珍宝
堡	pau31	堡：碉堡，堡垒，地名有无特殊说法
報	pau52	报：报告，日报
袍	pʰau22	袍：长袍，袍子
抱	pau52	抱：拥抱，抱孩子
暴	pʰau52	暴：暴露，残暴
菢	pʰu52	菢：菢小鸡（孵）
毛	mau22	毛：毛笔，鸭毛
冒	mau52	冒：冒充
帽	mau52	帽：草帽
刀	tau44	刀：一把刀
叨	tau33	叨：唠叨，叨光（沾光）
倒	tau31	倒：打倒，倒掉
島	tau31	岛：
禱	tau31	祷：祈祷，祷告
搗	tau31	捣：捣乱
倒	tau31	倒：倒着走，倒车
到	tau52	到：到那里去
滔	tʰau22	滔：滔滔不绝，滔天
掏	tʰau22	掏：掏出来
討	tʰau31	讨：讨饭，讨老婆，讨名字
套	tʰau52	套：配套，套子
桃	tʰau22	桃：一种水果
逃	tʰau22	逃：逃难，逃命
淘	tʰau22	淘：淘米，淘气
陶	tʰau22	陶：陶瓷，姓
萄	tʰau22	萄：葡萄
濤	tʰau45	涛：波涛
稻	tʰau33	稻：水稻
道	tʰau52	道：道理，大道
導	tʰau33	导：领导，导演
盜	tʰau52	盗：强盗，盗窃
蹈	tʰau45	蹈：舞蹈
腦	nau31	脑：大脑，电脑
惱	nau31	恼：恼火，懊恼
勞	lau22	劳：劳动
撈	lau45	捞：海底捞月
牢	lau22	牢：坐牢，牢房
嘮	lau45	唠：唠叨
癆	lau13	痨：肺痨
老	lau31	老：年龄大，菜很老，老爷，老实
姥	lau31	姥：刘姥姥
澇	lau44	涝：洪涝
糟	tsau33	糟：糟糕，酒糟
遭	tsau33	遭：遭殃
早	tsau31	早：早上
棗	tsau31	枣：红枣
蚤	tsau31	蚤：跳蚤
澡	tsau31	澡：洗澡，澡盆
竈	tsau52	灶：大灶，灶神
躁	tsʰau52	躁：脾气躁，暴躁
操	tsʰau33	操：做操，曹操
草	tsʰau31	草：
騲	tsʰau31	騲：草鸡（母鸡）
糙	tsʰau52	糙：粗糙
曹	tsʰau22	曹：姓，阴曹
槽	tsʰau22	槽：一条槽，猪槽
造	tsʰau52	造：制造，创造
皂	tsʰau52	皂：肥皂，皂角
騷	sau33	骚：风骚
臊	sau52	臊：羊臊气
嫂	sau31	嫂：大嫂，嫂嫂
掃	sau52	扫：扫地，打扫
燥	tsau33	燥：干燥，口干舌燥
掃	sau52	扫：扫帚
髙	kau45	高：高低，跳高
膏	kau33	膏：牙膏，膏药
篙	kau45	篙：竹篙
糕	kau33	糕：米糕，蛋糕
羔	kau33	羔：羊羔
稿	kau31	稿：草稿，稿子，稻草
吿	kau52	告：告状，报告
膏	kau33	膏：膏油，膏车
考	kʰau31	考：考试，大考
烤	kʰau31	烤：
拷	kʰau31	拷：拷打
靠	kʰau52	靠：可靠
犒	kʰau52	犒：犒劳
銬	kʰau52	铐：手铐
熬	ŋau22	熬：难熬，熬药，忍住
傲	ŋau52	傲：骄傲，傲气
鏊	ŋau22	鏊：烙饼用具，鏊盘
蒿	kau45	蒿：蓬蒿，蒿菜
好	hau31	好：好坏
好	hau52	好：爱好
耗	hau44	耗：消耗
毫	hau22	毫：毫厘
豪	hau22	豪：豪华，土豪
壕	hau22	壕：壕沟，战壕
號	hau22	号：号叫，号啕大哭
浩	hau44	浩：浩浩荡荡，人名用字
號	hau52	号：口号，号码
襖	au31	袄：棉袄
懊	au52	懊：懊恼
奧	au52	奥：奥妙
澳	au52	澳：澳门
懊	au52	懊：懊悔
包	pau33	包：钱包，包裹
胞	pau33	胞：同胞，胞衣
飽	pau31	饱：吃饱
豹	pau52	豹：一种动物
爆	pʰau52	爆：爆炸，爆芽
泡	pʰau52	泡：水泡，泡泡
拋	pʰau44	抛：抛弃
脬	pʰau52	脬：膀胱，阴囊
泡	pʰau52	泡：泡茶
炮	pʰau52	炮：枪炮
跑	pʰau44	跑：跑步
刨	pʰau22	刨：挖掘，刨地
鮑	pʰau52	鲍：姓，鲍鱼
鉋	pʰau22	刨：刨子，瓜刨
貓	miɑu52	猫：一种动物，大猫（老虎）
茅	mau22	茅：茅草
錨	mau22	锚：抛锚
卯	mau45	卯：子丑寅卯
貌	mau52	貌：相貌，礼貌
鐃	niɑu31	铙：
撓	niɑu22	挠：不屈不挠
閙	nau52	闹：热闹，闹事
罩	tsʰau52	罩：灯罩，床罩
抓	tsoʔ055	抓：抓革命，抓牌
爪	tsau31	爪：脚爪
找	tsau31	找：找东西，找钱（退回多余的钱）
抄	tsʰau33	抄：抄书，抄袭
鈔	tsʰau33	钞：钞票
炒	tsʰau31	炒：小炒，炒股
吵	tsʰau22	吵：吵架
巢	tsʰau22	巢：雀巢，黄巢
梢	sau44	梢：树梢
筲	sau44	筲：筲箕，洗米的竹器
捎	sau44	捎：捎口信
稍	ʂau31	稍：稍息，稍等
潲	siu45	潲：猪食
潲	siu45	潲：潲雨
哨	sau52	哨：口哨，放哨
交	kau33	交：交通，交白卷
膠	kau33	胶：胶水，橡胶
郊	kau33	郊：郊区
敎	kau33	教：教书
茭	kau33	茭：茭白
絞	kiɑu31	绞：绞毛巾
狡	kau31	狡：狡猾
鉸	kau31	铰：铰剪
搞	kau31	搞：玩，搞革命
攪	kau31	搅：打搅，搅拌
敎	kau52	教：教育，教师
較	kau31	较：较劲，比较
酵	hau52	酵：发酵，酵母
校	kau31	校：校对，校手表
覺	kau52	觉：睏（一）觉
窖	kau52	窖：地窖，番薯窖
敲	kʰau33	敲：敲门，敲锣
骹	kiɔʔ031	骹：脚
巧	kʰau31	巧：碰巧
咬	ŋaiʔ031	咬：狗咬吕洞宾
哮	hau44	哮：哮喘
孝	hau52	孝：带孝，孝顺
淆	ʐau22	淆：混淆
肴	ʐau22	肴：佳肴，菜肴
校	kau31	校：学校，校长
校	kau31	校：上校
效	hau52	效：效果，成效
凹	au44	凹：凹凸镜，凹下去
坳	au52	坳：山坳
拗	au31	拗：折断
臕	piɑu44	膘：肥膘
標	pʰiɑu44	标：标志
表	piɑu31	表：表面，表扬
錶	piɑu44	表：手表
婊	piɑu31	婊：婊子
飄	pʰiɑu33	飘：
漂	pʰiɑu52	漂：漂白
票	pʰiɑu52	票：饭票，车票
漂	pʰiau52	漂：漂亮
瓢	pʰiɑu22	瓢：勺子，瓢泼大雨
嫖	pʰiɑu22	嫖：嫖妓女
薸	pʰiɑu22	薸：浮萍，可作猪食
鰾	pʰiɑu52	鳔：鱼鳔（鱼泡）
貓	miɑu52	猫：花猫
苗	miɑu22	苗：秧苗，火苗，苗族
描	miɑu22	描：描写，描红
秒	miɑu31	秒：一分一秒
渺	miɑu31	渺：渺茫，渺小
藐	miɑu31	藐：藐视
廟	miɑu52	庙：庙会
妙	miɑu31	妙：妙计，巧妙
燎	liɑu22	燎：燎原
燎	liɑu22	燎：火燎眉毛
療	liɑu22	疗：治疗，疗养
焦	tsiɑu44	焦：焦作，姓，烧焦了
蕉	tsiɑu44	蕉：香蕉
椒	tsiɑu33	椒：辣椒，花椒，胡椒
剿	tsiɔʔ031	剿：围剿
鍬	tsʰain31	锹：铁锹，锹煤
