#漢字	音標	解釋
爹	tia213	爹：～娘
遮	ʦa213	遮：遮挡[动]；伞[名]
者	ʦa51	者：记～，作～
蔗	ʦa45	蔗：甘蔗
車	ʦʰa213	车：火～
扯	ʦʰa51	扯：～开，～烂
蛇	sa21	蛇：毒～
射	sa45	射：发～，～箭
麝	sa45	麝：～香
奢	ʦʰa213	奢：～侈
賒	ʦʰa213	赊：～帐
捨	sa51	舍：～唔得（舍不得）
赦	sa45	赦：～免
舍	sa45	舍：宿～
社	sa213	社：～会，公～
惹	ȵia213	惹：～事
耶	jiai21	耶：～稣
爺	jia21	爷：父亲；爷爷[文]
也	jia21	也：～知
野	jia213	野：～人
夜	jia45	夜：日～，～班
傻	sɔ21	傻：～瓜，～子
瓜	kua213	瓜：西～，～分
蝸	vɔ213	蜗：～牛
寡	kua51	寡：～妇，守～
剮	kua51	剐：千刀万～
誇	kʰua213	夸：～大，～张
垮	kʰua213	垮：～台
跨	kʰua213	跨：～栏，～度
娃	wa21	娃：洋～～
瓦	ŋa51	瓦：～片
花	fa213	花：开～
化	fa45	化：变～
華	fa21	华：中～
劃	vak045	划：～船
華	fa21	华：～山；姓
蛙	wa213	蛙：青～，～泳
補	pu51	补：～鞋，～充
譜	pʰu21	谱：族～，歌～
布	pu45	布：红～，～料
佈	pu45	布：公～，～置
鋪	pʰu213	铺：～路，床～
普	pʰu213	普：～通，～遍
浦	pʰu213	浦：黄～江
鋪	pʰu213	铺：店～，当～
怖	pu45	怖：恐～
蒲	pʰu213	蒲：（石）菖～
菩	pʰu21	菩：～萨
脯	pʰu21	脯：胸～
部	pʰu45	部：～队，干～
簿	pʰu21	簿：练习～，帐～
步	pʰu45	步：跑～
捕	pʰu51	捕：逮～，～快
埠	fu451	埠：庵～，蚌～（地名）
模	mu21	模：～型，～范
摹	mu21	摹：～仿，描～
暮	mu451	暮：日暮
慕	mu451	慕：羡～，～名而来
墓	mu45	墓：坟～，～地
募	mu45	募：～捐
都	tu213	都：首～，～市
都	tu213	都：都是
堵	tu51	堵：～车，～塞
賭	tu51	赌：～博
肚	tu51	肚：猪～，鱼～
妬	tu45	妒：～忌
土	tʰu51	土：～地
吐	tʰu45	吐：～痰；呕～
兔	tʰu45	兔：野～
徒	tʰu21	徒：～弟
屠	tʰu21	屠：～杀
途	tʰu21	途：前～
塗	tʰu21	涂：糊～，～改
圖	tʰu21	图：画～，地～
杜	tʰu45	杜：姓；杜仲（中药）
肚	tu51	肚：肚子
度	tʰu45	度：～数，长～
渡	tʰu45	渡：偷～，摆～
鍍	tʰu45	镀：电～
奴	nu21	奴：～隶
努	nu51	努：～力
怒	nu45	怒：愤～，～气
盧	lu21	卢：姓
爐	lu21	炉：火～
蘆	lu21	芦：～苇
鸕	lu21	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu21	鲁：～国，～迅
虜	luŋ51	虏：俘～
滷	lu21	卤：盐～，～水
路	lu45	路：大～
賂	lu45	赂：贿～
露	lu45	露：～水，白～，打～
鷺	lu45	鹭：白～
租	ʦu213	租：～金，出～
祖	ʦu51	祖：～宗，～国
組	ʦu213	组：～织，小～
做	ʦɔ45	做：～好事
粗	ʦʰu213	粗：～心
醋	ʦʰu45	醋：陈～
措	ʦʰɔk031	措：～施
錯	ʦʰɔ45	错：～误
蘇	su213	苏：～州；姓
酥	su213	酥：脆，杏仁～
素	su45	素：～菜，朴～
訴	su45	诉：上～，倾～
塑	sɔk031	塑：雕～，～料
姑	ku213	姑：大～
孤	ku213	孤：～儿，～单
箍	ʦap031	箍：紧～咒[文]
箍	vi21	箍：围束，～桶[白]
古	ku51	古：～代
估	kʰu213	估：～计
牯	ku51	牯：牛～
股	ku51	股：～票
鼓	ku51	鼓：锣～，～励
故	ku45	故：～事，～乡
固	ku45	固：～定
錮	ku45	锢：禁～
雇	ku45	雇：～人，～主
顧	ku45	顾：照～
枯	kʰu213	枯：干～，～水
苦	kʰu51	苦：辛～，食～（吃苦）
苦	kʰu51	苦：～味
庫	kʰu45	库：水～，仓～
褲	kʰu45	裤：裤子
吳	m̩21	吴：姓
蜈	m̩21	蜈：～蚣
梧	m̩21	梧：～桐
五	m̩51	五：数字
伍	m̩51	伍：姓；队～
午	m̩51	午：中～，端～
誤	ŋu45	误：～会，错～
悟	ŋu45	悟：觉～；孙～空
呼	fu213	呼：称～，～吸，招～
虎	fu51	虎：老～
虎	fu51	虎：马～
滸	fu51	浒：水～
戽	fu45	戽：～水（泼水），～斗
胡	fu21	胡：二～ ；姓
湖	fu21	湖：西～
狐	fu21	狐：～狸
壺	fu21	壶：水～
乎	fu21	乎：在～
瓠	pʰu21	瓠：瓠卢，同葫芦
鬍	fu21	胡：～须
蝴	fu21	蝴：～蝶
糊	fu21	糊：浆～，～涂
戶	fu45	户：～口
滬	fu45	沪：上海简称
互	fu21	互：～相
護	fu45	护：保～，～士
瓠	pʰu21	瓠：瓠瓜（味似葫芦而长）
烏	vu213	乌：黑
污	vu213	污：～染
塢	vu213	坞：船～
惡	ɔk031	恶：可～
女	m̩51	女：女人
廬	lu21	庐：～山
驢	lu21	驴：毛驴
呂	li213	吕：姓
旅	li51	旅：～游
慮	li45	虑：考～
濾	li45	滤：过～
蛆	ʦu45	蛆：蛆虫，生～
絮	si45	絮：棉～
徐	ʦʰi21	徐：姓
序	si45	序：顺～
敍	si45	叙：倒～
緖	si45	緖：情～；光～
豬	ʦu213	猪：～肉
著	ʦu45	著：～名，显～
除	ʦʰu21	除：～法
儲	su21	储：～蓄
苧	ʦʰu21	苎：～麻
阻	ʦu51	阻：～止，～力
初	ʦʰu213	初：当～，～中
楚	ʦʰu51	楚：清～
礎	ʦʰu51	础：基～
鋤	ʦʰu21	锄：～草，～禾日当午
助	ʦʰu45	助：帮～
梳	sɿ213	梳：梳子[名]；梳头[动]
疏	su213	疏：～远；稀疏
疏	su213	疏：生～
蔬	su213	蔬：～菜
所	sɔ51	所：～以；派出～
疏	su213	疏：注～
諸	ʦu213	诸：姓；～如此类
煮	ʦu51	煮：～饭
處	ʦʰu51	处：～理
處	ʦʰu51	处：～所
書	su213	书：读～
舒	su213	舒：～服
暑	su51	暑：～假
鼠	ʦʰu51	鼠：老～
庶	ʦa45	庶：～民
恕	su45	恕：宽～
署	su21	署：～名
薯	su21	薯：番～
如	lu21	如：～果，假～
居	ki213	居：～民
車	kei213	车：象棋，～马炮
舉	ki51	举：～报，～重
據	ki51	据：收～
鋸	ki45	锯：电～
墟	si213	墟：～日
去	si451	去：来～，过～
渠	kʰi213	渠：水～，～道
佢	ki21	佢：他，第三人称
巨	kʰi213	巨：～大
拒	kʰi213	拒：～绝
距	ki213	距：～离
魚	m̩21	鱼：金～
漁	m̩21	渔：～业，～夫
語	ȵi213	语：～文
御	i45	御：～用文人
禦	ji451	御：防～
虛	si213	虚：～心
噓	si213	嘘：吹～
許	si51	许：允～；姓
於	ji213	于：在～
淤	ji213	淤：～泥
余	ji21	余：姓
餘	ji21	余：多～
與	ji213	与：参～，给～，～众不同
予	i213	予：给～
譽	ji45	誉：荣～
預	ji45	预：～报，～备
豫	ji45	豫：犹～
夫	fu213	夫：～妻，车～
膚	fu213	肤：皮～
府	fu51	府：政～
腑	fu51	腑：五脏六～
俯	fu51	俯：～卧撑，～视
