#漢字	音標	解釋
粵	jit31	粤：～东
決	kʰit5	决：～定
犬	hin45	犬：狂～病
血	hit34	血：流～
縣	jin31	县：～长
穴	jit31	穴：～位
吞	hɐn34	吞：～口水
跟	kɐn34	跟：～从
恩	jɐn34	恩：～人
賓	pɐn34	宾：贵～
筆	pɐt5	笔：毛～，～记
匹	pʰɐt5	匹：～配
貧	pʰɐn22	贫：扶～
民	ᵐbɐn22	民：人～，～族
敏	ᵐbɐn21	敏：灵～
密	ᵐbɐt31	密：秘～，～封
鄰	lɐn22	邻：～居
鱗	lɐn22	鳞：鱼～
栗	lɐt31	栗：～子
進	tsɐn34	进：～步，前～
親	ʈʰɐn34	亲：～生，父～
七	ʈʰɐt5	七：数字
秦	ʈʰɐn22	秦：姓；～国
盡	tsɐn31	尽：～量，～力，～头
疾	tsɐt31	疾：残～
新	sɐn34	新：～旧
信	sɐn34	信：相～
膝	sɐp5	膝：～头（膝盖）
珍	tsɐn34	珍：～珠
鎭	tsɐn34	镇：～长，～压
陳	ʈʰɐn22	陈：姓；～列，～皮
陣	tsɐn31	阵：～雨
姪	tsɐt31	侄：～子
蝨	sɐt5	虱：虱子，～嫲
眞	tsɐn34	真：认～，～假
振	tsɐn45	振：～动
質	tsɐt5	质：～量，品～
神	sɐn22	神：～仙，精～
實	sɐt31	实：老～，～在
身	sɐn34	身：～体，上～
失	sɐt5	失：～去，丧～
晨	sɐn22	晨：朝～
腎	sɐn21	肾：～病
人	jɐn22	人：老～，～民
仁	jɐn22	仁：～义
忍	ᵑɡɐn21	忍：～耐，～受
認	ᵑɡɐn31	认：承～，～真
靭	jɐn31	韧：不易断，坚～[文]
日	ᵑɡɐt31	日：十～，～期
緊	kɐn45	紧：～张
吉	kɐt5	吉：～利
銀	ᵑɡɐn22	银：金～，～行
因	jɐn34	因：原～
印	jɐn31	印：手～
乙	jit5	乙：天干，甲乙丙丁
一	jɐt5	一：数字
引	jɐn21	引：吸～
斤	kɐn34	斤：～两
謹	kɐn45	谨：～慎，严～
勤	kʰɐn22	勤：～劳
近	kɐn31	近：最～，～来[文]
近	kʰɐn21	近：远近[白]
欣	jɐn34	欣：～赏
隱	jɐn21	隐：～形，～身
本	pun45	本：～来，书～
不	pɐt5	不：～过
盆	pʰɐn21	盆：面～（），～
笨	pɐn31	笨：～蛋[文]
門	ᵐbun22	门：关～
墩	tɐn34	墩：桥～
頓	tɐn31	顿：停～，
盾	tɐn31	盾：矛～
突	tɐt21	突：～然
嫩	ⁿdɐn31	嫩：不老
論	lɐn31	论：议～，～文
尊	tsin34	尊：～重
村	ʈʰun34	村：～长
寸	ʈʰun34	寸：尺～
存	ʈʰɐn22	存：～在，～折，储～
孫	sun34	孙：姓；子～
損	sin45	损：～坏
滾	kuɐn45	滚：水
棍	kuɐn21	棍：长～
骨	kuɐt5	骨：～头
坤	kʰuɐn34	坤：乾～
困	kʰuɐn34	困：～难
婚	fɐn34	婚：结～
忽	fɐt5	忽：～然
溫	vɐn34	温：～度，～和
穩	vɐn45	稳：～定，求～
輪	lɐn22	轮：车～，～流
律	lɐt31	律：法～，～师
俊	tsɐn34	俊：英～
迅	sɐn34	迅：～速
循	ʈʰɐn22	循：遵～，～环
準	tsɐn45	准：瞄～，～则
春	ʈʰɐn34	春：立～
蠢	ʈʰɐn45	蠢：～才
出	ʈʰɐt45	出：～入，～发
術	sɐt21	术：技～
純	sɐn22	纯：单～，～粹
潤	ᵑɡɐn31	润：利～，～色
均	kuɐn34	均：平～，～匀
菌	kʰuɐn45	菌：细～
允	vɐn21	允：～许
分	fɐn34	分：～数，区～[文]
分	fɐn34	分：给[白]
粉	fɐn45	粉：～笔，面～[文]
糞	fɐn21	粪：粪便
墳	fɐn22	坟：～墓，上～
份	fɐn31	份：～量
佛	fɐt31	佛：拜～
文	ᵐbɐn22	文：～章，论～
蚊	ᵐbɐn34	蚊：～香
問	ᵐbɐn31	问：～题
物	ᵐbɐt31	物：～理[文]
軍	kuɐn34	军：～队，参～
屈	vɐt5	屈：委～，～服[文]
屈	vɐt45	屈：委屈，～气[白]
裙	kʰuɐn22	裙：裙子
熏	fɐn34	熏：～陶，烟～人[文]
訓	fɐn34	训：教～，～人
雲	vɐn22	云：乌～
運	vɐn31	运：～气，好～
幫	pɔŋ34	帮：～忙
博	pɔk5	博：～士，广～
旁	pʰɔŋ22	旁：～边
薄	pɔk31	薄：不厚，～弱
忙	ᵐbɔŋ22	忙：农～，～碌
莫	ᵐbɔk31	莫：不要，～非
膜	ᵐbɔk21	膜：薄～
摸	ᵐbuɐ34	摸：偷偷～～[文]
摸	ᵐbuɐ34	摸：～来～去[白]
當	tɔŋ34	当：～时，应～，～官
擋	tɔŋ45	挡：阻～，～风
當	tɔŋ34	当：～铺，恰～；唔～（不如）
湯	hɔŋ34	汤：煮～；姓
托	hɔk34	托：手承物，～盘
塘	hɔŋ22	塘：鱼～
諾	ⁿdɔk31	诺：承～，～言
郞	lɔŋ22	郎：新～；姓，～平
浪	ⁿdɔŋ31	浪：风～，～费
落	lɔk31	落：下落
葬	tsɔŋ34	葬：埋～，落～
作	tsɔk5	作：工～，种～
倉	ʈʰɔŋ34	仓：～库
鑿	tsɔk31	凿：用凿子凿
桑	sɔŋ21	桑：～叶
索	sɔk21	索：绳子，线～
鋼	kɔŋ21	钢：炼～，～笔
缸	kɔŋ21	缸：水～
各	kɔk5	各：～人
康	hɔŋ34	康：健～
糠	hɔŋ34	糠：谷～
抗	kʰɔŋ34	抗：反～，～战
昂	ᵑɡɔŋ22	昂：～首挺胸，气～～
行	hɔŋ22	行：银～
惡	ɔk5	恶：善～，～霸
娘	ⁿdiɔŋ22	娘：姑～
凉	liɔŋ22	凉：天～
兩	liɔŋ45	两：～个
兩	liɔŋ45	两：半斤八～
量	liɔŋ31	量：数～
略	liɔk31	略：省～
漿	tsiɔŋ34	浆：～糊
獎	tsiɔŋ45	奖：～金，得～
醬	tsiɔŋ34	酱：沙茶～，辣椒～
雀	tsiɔk21	雀：麻～，～斑
槍	ʈʰiɔŋ34	枪：手～
搶	ʈʰiɔŋ45	抢：～劫
牆	ʈʰiɔŋ22	墙：～壁
箱	siɔŋ21	箱：皮～
想	siɔŋ45	想：～法，思～
削	siɔk34	削：～皮，剥～
詳	ʈʰiɔŋ22	详：～细
象	tsiɔŋ31	象：气～
象	tsiɔŋ31	象：大～
像	su21	像：好～，相～
張	tsiɔŋ34	张：紧～；姓；装东西
長	tsiɔŋ45	长：生～，省～
脹	tsiɔŋ34	胀：～肚，膨～
着	tsiɔk34	着：～衫（穿衣服）
長	ʈʰiɔŋ22	长：～期，～短
丈	tsiɔŋ31	丈：三丈
着	tsiɔk31	着：～火
裝	tsɔŋ34	装：假～
壯	tsɔŋ34	壮：强～
牀	ʈʰɔŋ22	床：眠～
狀	tsɔŋ31	状：告～，～元，～态
霜	siɔŋ34	霜：落～，～降
爽	sɔŋ45	爽：～快，直～
章	tsiɔŋ34	章：姓；文～
掌	tsiɔŋ45	掌：巴～，～握
廠	ʈʰɔŋ45	厂：～长
唱	ʈʰiɔŋ34	唱：～歌
傷	siɔŋ34	伤：受～
賞	siɔŋ45	赏：欣～，～金
常	siɔŋ22	常：经～，～识；姓
上	siɔŋ21	上：～山[动]
上	siɔŋ31	上：～背[方位]；～海（地名）
勺	siɔk5	芍：芍药
瓤	ⁿdɔŋ22	瓤：瓜～
讓	ᵑɡiɔŋ31	让：～位
弱	ᵑɡiɔk31	弱：～点
薑	kiɔŋ34	姜：～糖
腳	kiɔk34	脚
強	kʰiɔŋ22	强：～大，坚～
卻	kʰiɔk34	却：退～，～步
仰	ᵑɡiɔŋ21	仰：～视
香	hiɔŋ34	香：～味，烧～；～港（地名）
響	hiɔŋ45	响：音～
向	hiɔŋ34	向：～东
秧	jiɔŋ34	秧：插～，～苗
約	jɔk45	约：大～，～会
羊	jɔŋ22	羊
養	jɔŋ21	养：培～，～猪
樣	jɔŋ31	样：一～
藥	jɔk21	药：中～，～片
躍	jɔk31	跃：跳～，大～进
光	kɔŋ34	光：阳～，～明
廣	kɔŋ45	广：推～；～东（地名）
郭	kʰɔk45	郭：姓，～靖
擴	kʰɔŋ34	扩：～充，～大
荒	fɔŋ34	荒：开～，～唐
霍	kʰɔk5	霍：姓；～乱
黃	vɔŋ22	黄：姓；～色
方	fɔŋ34	方：地～，大～
放	fɔŋ34	放：解～，～心[文]
紡	fɔŋ45	纺：～织
房	fɔŋ22	房：～间
防	fɔŋ22	防：～止，国～
亡	ᵐbɔŋ22	亡：死～
網	ᵐbɔŋ45	网：鱼～，～络
望	ᵐbɔŋ31	望：失～
狂	kʰɔŋ22	狂：发～
枉	vɔŋ45	枉：冤～
王	vɔŋ22	王：姓；大～
往	vɔŋ21	往：来～，～日
旺	vɔŋ31	旺：兴～
綁	pɔŋ45	绑：捆～
剝	ᵐbɔk5	剥：～削，～皮
桌	tsiɔk34	桌：书～
琢	tiɔk34	琢：～磨，雕～
啄	tiɔk34	啄：～木鸟，鸡～米
濁	tsok31	浊：浑～
窗	ʈʰɔŋ34	窗：门～，～帘
雙	sɔŋ34	双：一～鞋
江	kɔŋ34	江：长～，～湖
講	kɔŋ45	讲：～话
港	kʰɔŋ45	港：～口；香～（地名）
降	kɔŋ34	降：下～，～低
角	kɔk34	角：牛～
餃	kau45	饺：饺子，水～
腔	hɔŋ34	腔：口～
確	kʰɔk5	确：～定，的～
殼	hɔk21	壳：贝～
樂	ᵑɡɔk31	乐：音～
巷	hɔŋ31	巷：巷子，两条～
學	hɔk31	学：数～，～习
握	ak34	握：～手，把～
北	pak5	北：东南西北
朋	pʰaŋ22	朋：～友
墨	ᵐbak31	墨：～水
燈	taŋ34	灯：～光
等	taŋ45	等：～人，高～
凳	taŋ21	凳：凳子
得	tak5	得：获～，～意
藤	haŋ22	藤：～椅
鄧	taŋ31	邓：姓，～小平
特	tak31	特：～别
能	ⁿdaŋ22	能：才～，～够
曾	tsaŋ34	曾：姓
則	tsak5	则：否～，规～
層	ʈʰaŋ22	层：～次
贈	tsaŋ31	赠：～送
塞	sak5	塞：堵～，～车
肯	haŋ45	肯：～定，中～[文]
肯	haŋ45	肯：愿意，～去[白]
克	hak5	克：～服，攻～
黑	hak5	黑：～白
冰	pəŋ34	冰：结～，～箱
力	lək31	力：大～，～量
息	sek45	息：休～[文]
直	tsek31	直：～接
色	sek5	色：颜～，～彩
蒸	tseŋ34	蒸：清～，～发
證	tseŋ34	证：～明
織	tsek5	织：纺～，～布
秤	ʈʰeŋ34	秤：称东西
食	sək31	食：粮～；吃
升	səŋ34	升：～级
勝	səŋ34	胜：～利，战～
識	sek5	识：相～，～字
極	kek31	极：南～
興	həŋ34	兴：～旺；绍～（地名）
興	həŋ34	兴：高～，～趣[文]
興	həŋ34	兴：高兴[白]
蠅	jəŋ34	蝇：乌～（苍蝇）
翼	jek31	翼：鸡～，机～
國	kɔk5	国：～家，中～
弘	faŋ22	弘：～扬
或	vak31	或：～者
百	pak5	百：～姓
拍	pʰak34	拍：～片，～球
彭	pʰaŋ22	彭：姓，～德怀
白	pak31	白：～色
猛	ᵐbaŋ21	猛：～烈，凶～
打	tɒ45	打：～针
冷	laŋ21	冷：～热，～清
撐	ʈʰaŋ34	撑：支～，～开
擇	tsak31	择：选～[文]
擇	tsak31	择：～菜[白]
生	saŋ34	生：学～，～活[文]
生	saŋ34	生：与“死”相对[白]
更	kaŋ34	更：～加
坑	haŋ34	坑：水～，～沟
客	hak34	客：请～
硬	ᵑɡaŋ31	硬：软～
額	ᵑɡak31	额：名～
嚇	hak34	吓：～一跳
行	haŋ22	行：～为；行走
棚	pʰaŋ22	棚：楼～，瓜～
麥	ᵐbak31	麦：小～，～芽糖
摘	tsak31	摘：～菜
爭	tsaŋ34	争：～取，斗～[文]
爭	tsaŋ34	争：相～，～唔多（差不多）[白]
責	tsak5	责：～任，负～
冊	ʈʰak5	册：两～，～封
耕	kaŋ34	耕：～田
耿	kaŋ45	耿：忠心～～；姓，～精忠
革	kak5	革：～命，改～
隔	kak34	隔：～壁
幸	haŋ31	幸：荣～，～福
扼	ak5	扼：～杀，～制
兵	pəŋ34	兵：当～
丙	pəŋ45	丙：天干，甲乙丙丁
柄	pʰiaŋ21	柄：刀～，把～
平	pʰəŋ22	平：和～，～时[文]
平	pʰəŋ22	平：～头，～地[白]
病	piaŋ31	病：～人
命	ᵐbəŋ31	命：～令[文]
命	ᵐbəŋ31	命：～运，算～[白]
驚	kəŋ34	惊：害怕；～蛰
景	kəŋ45	景：～色，风～
敬	kəŋ34	敬：尊～，～酒
鏡	kiaŋ34	镜：镜子
慶	həŋ34	庆：～祝
屐	kʰiak21	屐：木～
迎	ᵑɡəŋ22	迎：～接，欢～
逆	ᵑɡak31	逆：～风
英	jəŋ34	英：～雄；～国（国名）
影	jəŋ45	影：电～
名	ᵐbəŋ22	名：姓～
領	ləŋ21	领：～导，衫～（衣领）
令	ləŋ31	令：命～，口～
精	tsəŋ34	精：～神
井	tsiaŋ45	井：～水
跡	tsek5	迹：～象，痕～[文]
跡	tsiak21	迹：脚～，油～[白]
晴	ʈʰəŋ22	晴：天～
淨	tsiaŋ31	净：干～
姓	səŋ34	姓：～名
惜	ʈʰiak34	惜：疼爱[白]
席	tsek31	席：酒～，主～
蓆	tsiak31	席：草～
鄭	tsiaŋ31	郑：～重；姓
正	tsəŋ34	正：～月
正	tsəŋ34	正：立～，～直[文]
正	tsəŋ34	正：～好，～来[白]
隻	tsiak34	只：两～
赤	ʈʰek45	赤：～色，～脚
聲	səŋ34	声：～音，笑～
城	səŋ22	城：～市，县～
石	siak21	石：～头，～榴
頸	kiaŋ45	颈：脖子
贏	jɔŋ22	赢：～输
易	jek31	易：交～，贸～
壁	pək5	壁：墙～
劈	pʰiak34	劈：～开，用刀～，雷～
釘	tiaŋ34	钉：铁～[名]
頂	tiaŋ45	顶：山～[白]
頂	təŋ45	顶：～唔得（顶不住）[文]
滴	tek5	滴：～水
聽	hiaŋ34	听：～话
踢	pʰiak34	踢：～球
停	həŋ22	停：～止
定	təŋ31	定：稳～；永～（地名）
笛	tiak31	笛：笛子
敵	tek31	敌：～人
靈	ləŋ22	灵：～活
另	ləŋ31	另：～外
曆	lək31	历：日～，～书
靑	ʈʰəŋ22	青：～色，～年
醒	səŋ45	醒：清～，～过来
激	kek5	激：～动
形	jeŋ22	形：～状，地～
礦	kʰɔŋ34	矿：煤～，～工
橫	vaŋ22	横：～直
兄	həŋ34	兄：～弟
榮	vəŋ22	荣：光～，～誉
永	vəŋ21	永：～远
傾	kʰəŋ34	倾：～向，左～
卜	pak31	卜：萝～
篷	pʰoŋ22	篷：帐～
蒙	ᵐboŋ22	蒙：～蔽，～古（地名）
木	ᵐbok31	木：～工
東	toŋ34	东：东南西北
凍	toŋ34	冻：冰～，～伤
通	hoŋ34	通：～过，～风，打～
桶	hoŋ45	桶：水～
痛	hoŋ34	痛：～苦
同	hoŋ22	同：相～，～学
洞	toŋ31	洞：山～，～察
讀	tok31	读：～书，阅～
聾	loŋ22	聋：耳～
鹿	lok21	鹿：～角，梅花～
總	tsoŋ45	总：～共，汇～
糉	tsoŋ34	粽：粽子
蔥	ʈʰoŋ34	葱
族	tsok31	族：～长，民～
送	soŋ34	送：～人
速	ʈʰok5	速：～度
公	koŋ34	公：～安，办～
貢	koŋ34	贡：～献
穀	kok5	谷：五～
空	hoŋ34	空：～虚，天～
控	hoŋ34	控：～制
紅	hoŋ22	红：～色
翁	joŋ34	翁：白头～；姓
屋	ok45	屋：老～
農	ⁿdoŋ22	农：～村
宗	tsoŋ34	宗：祖～，～教
鬆	soŋ34	松：轻～，放～
風	foŋ34	风：大～，～气
福	fok5	福：～气，享～
鳳	foŋ31	凤：～凰
服	fok31	服：～务
夢	ᵐboŋ31	梦：发～
六	lok31	六：数字
宿	sok5	宿：～舍，住～
竹	tsok5	竹：～叶
蟲	ʈʰoŋ22	虫：害～
軸	tsok31	轴：压～，～承
縮	sok5	缩：压～，～小
終	tsoŋ34	终：～于，始～
祝	tsok5	祝：～贺，庆～
充	ʈʰoŋ34	充：～分，冒～
叔	sok5	叔：二～，～～
熟	sok31	熟：煮～，～悉
肉	ᵑɡok31	肉：猪～
弓	koŋ34	弓：～箭
菊	kok5	菊：～花
窮	kʰoŋ22	穷：～人，无～
蓄	ʈʰok5	蓄：储～，～水
熊	hoŋ22	熊：～猫
雄	hoŋ22	雄：英～
育	jok31	育：教～
濃	ᵑɡoŋ22	浓：～淡；稠密[白]
龍	loŋ22	龙：～头
綠	lok31	绿：～色
蹤	tsoŋ34	踪：失～，～影
足	tsok5	足：～球，满～
從	ʈʰoŋ22	从：跟～，～来
粟	sok5	粟：包～，～米，～子粄
松	ʈʰoŋ22	松：～树
頌	tsoŋ31	颂：歌～
俗	tsok31	俗：风～
鐘	tsoŋ34	钟：两点～，闹～
種	tsoŋ45	种：～类，树～[名，量]
種	tsoŋ34	种：～田[动]
觸	ʈʰok5	触：接～，～犯
束	ʈʰok5	束：结～
屬	sok31	属：～于，家～
鞏	koŋ45	巩：～固
共	koŋ31	共：一～，～同
局	kok31	局：～部，公安～
玉	ᵑɡok31	玉：白～
容	joŋ22	容：～易，宽～
勇	joŋ21	勇：～敢
用	joŋ31	用：～处
慾	jok31	欲：～望，贪～
健	kin31	健：～康
派出去	pʰɒi45	派出去
第二	ᵑɡi34	第二
時	si34	几时
几	kei31	几时
討	hou34	讨论
糟	tsou21	酒糟
臊	sou21	臭臊
休	jau34	退休
求	ʈʰim34	求签
干涉	sip34	干涉
林	lɐm31	树林
浸	tsɐm45	浸水死了
溼	sɐp5	潮湿，文
干	kun34	干燥
扎	tsɒt21	一扎
扎	tsɒt34	扎紧
便	pʰei22	便宜（又）
節	tsit21	竹节
半	pun34	半日
潑	pʰut34	泼水，纯粹平常的动作
丸	jin22	丸子
串	ʈʰin21	一串串
发	fɒt5	发展
印	jɐn34	印刷
盆	pʰun22	盆地
頓	tɐm31	顿脚
滾	kʰuɐn45	滚蛋
索	sɔk5	索住
糠	hɔŋ21	老糠
漿	tsiɔŋ21	豆浆
缸	kɔk34	缸瓦
削	pʰei34	削皮
脚	kiɔk21	赤脚医生
房	fɔŋ21	房，一间房
角	kɔk21	角落索
巷	hɔŋ45	横巷，一条巷
秤	ʈʰeŋ21	秤砣，名词
升	səŋ21	一升
白	pak31	一百
客	hak45	客气
冊	ʈʰak34	册封
領	liaŋ21	衫领
井井有條	tsəŋ45	井井有条
正	tsiaŋ34	长得好
石	siak31	石榴
水滴	tək21	水滴
灵	liaŋ22	很灵
醒	ʈʰiaŋ45	醒眼
天蒙蒙	ᵐboŋ45	天蒙蒙
叶	jip31	姓叶
