#漢字	音標	解釋
齋	tsɒi34	斋：食～（吃斋）
階	kɒi34	阶：台～，～级
介	kɒi34	介：～绍，中～
擺	pɒi45	摆：摇～
派	pʰɒi45	派：正～，～出所
買	ᵐbɒi21	买：～卖
賣	ᵐbɒi31	卖：买～
柴	ʈʰɒi21	柴：姓；火～
街	kɒi21	街：～路
解	kɒi45	解：～释，讲～[文]
鞋	hɒi22	鞋：布～
蟹	hɒi45	蟹：老～
矮	ɒi45	矮：高矮
敗	pɒi31	败：失～
幣	pɐi31	币：人民～
例	lɐi31	例：举～，～外
祭	tsɐi34	祭：～祀
制	tsɐi34	制：～度
世	sɐi34	世：～界
藝	ᵑɡɐi31	艺：～术，文～晚会
米	ᵐbɐi45	米：大米
低	tɐi34	低：高～
底	tɐi45	底：水～
梯	hɒi34	梯：楼～
體	hɐi45	体：～育，身～
題	hɐi22	题：～目，难～
蹄	hɐi22	蹄：马～
弟	tɐi31	弟：兄～[文]
弟	tɐi31	弟：弟弟，老～[白]
泥	ⁿdɐi22	泥：水～，地～（地板）
犁	lɐi22	犁：耕田用具
禮	lɐi21	礼：～貌
齊	ʈʰɐi22	齐：整～，放～，来～[白]
西	sɐi34	西：东西南北
洗	sɐi45	洗：～菜，～衣机
細	sɐi34	细：粗细，大小
雞	kɐi34	鸡：～公（公鸡）
計	kɐi34	计：～算，会～
溪	kʰɐi34	溪：～水
啟	kʰɒi45	启：～发
係	hɐi31	系：是[白]
杯	pui34	杯：茶～
輩	pui34	辈：～分，长～
背	pui34	背：违～，后～
坯	pʰei34	坯：泥～，毛～房
配	pʰui34	配：分～，搭～
賠	pʰui22	赔：～钱
背	pui34	背：～书
梅	ᵐbui22	梅：～花
妹	ᵐbui31	妹：妹妹，姊～，老～
堆	tui21	堆：一～[量]，～放[动]
對	tui34	对：～错；成双成～
推	ʈʰui34	推：～荐，～动
退	hui34	退：后～，～步[文]
內	ⁿdui31	内：～行，～外
雷	lui22	雷：打～，～公；姓
催	ʈʰui34	催：～促，～眠
罪	tsui31	罪：得～，犯～[文]
碎	sui34	碎：～布，破～
塊	fɒi34	块：一～钱，～头
灰	fui34	灰：石～，～色
回	vui22	回：～想[文]
最	tsui31	最：～好
外	ᵑɡui31	外：～面
會	vui31	会：开～
會	vui31	会：～睡，～来
乖	kuɒi34	乖：小孩听话
怪	kuɒi34	怪：奇～
懷	vɒi34	怀：～疑
壞	vɒi31	坏：～人
拐	kuɒi45	拐：～卖，铁～李
掛	kʰuɒ34	挂：～起来，牵～，～钩
歪	vɒi45	歪：～风邪气
話	vɒ31	话：笑～，讲～[文，名]
話	vɒ31	话：说[白，动]
稅	sui34	税：交～，～收
銳	jui31	锐：尖～，～角
肺	fei34	肺：猪～
皮	pʰei22	皮：调～，～肤
此	su45	此：到～为止
知	tsi34	知：通～，～道，无～[文]
知	tei34	知：知道，唔～[白]
池	ʈʰi22	池：水～
紙	tsi45	纸：白～
兒	ᵑɡi22	儿：～童
騎	kʰiɐ22	骑：～马
徛	kʰei21	徛：站立；（山）斜度高
儀	ᵑɡi22	仪：礼～，～式
蟻	ᵑɡɐi45	蚁：蚂蚁，白～
義	ᵑɡi31	义：情～，～气
戲	hei34	戏：做～
椅	ji45	椅：椅子，藤～
易	ji31	易：容～
鄙	pʰei45	鄙：差劲[白]
比	pei45	比：～较，对～
屁	pʰei34	屁：放～
鼻	pei31	鼻：鼻子；鼻涕
眉	ᵐbei22	眉：眉毛，画～
美	ᵐbei21	美：～丽，～化
地	tei31	地：土～
膩	ⁿdei31	腻：油～，细～
資	tsu34	资：～本
姊	tsei45	姊：～妹
次	su34	次：名～，～品
自	tsu31	自：～私
四	sei34	四：数字
師	su34	师：老～，～父
指	tsi45	指：手～，～甲
屎	si45	屎：狗～
二	ᵑɡi31	二：数字
姨	ji22	姨：大～，～丈
李	lei45	李：姓；水果
理	lei21	理：道～，～由
子	tsu45	子：～孙；孔～
字	tsu31	字：～典，文～
絲	su34	丝：～绸
詞	su22	词：歌～
寺	tsu31	寺：～庙，灵光～
柿	su21	柿：柿子，～饼
痣	tsi21	痣：乌～
齒	ʈʰi45	齿：牙～
詩	si34	诗：～人
時	si22	时：～间，当～
耳	ᵑɡi34	耳：耳朵，中～炎
基	kei34	基：～本，地～
記	kei34	记：笔～，～号
起	hei45	起
喜	hei45	喜：～欢
醫	ji34	医：～生
意	ji34	意：～思
以	ji21	以：可～，～为
幾	kei45	几：～只
氣	hei34	气：～人，空～
希	hei34	希：～望
隨	ʈʰui22	随：～时，～便
吹	ʈʰui34	吹：～牛皮，～喇叭
跪	kuɐi31	跪：下～
危	ᵑɡɐi22	危：～险，安～
委	vɐi45	委：～托，常～
類	lui31	类：分～
追	tsui34	追：～求[文]
衰	sui34	衰：～弱，～老[文]
水	sui45	水：～果，～平
龜	kuɐi34	龟：乌～
葵	kuɐi22	葵：向日～，～花籽
