#漢字	音標	解釋
射	sɛ21	射：发～，～箭
麝	sɛ21	麝：～香
奢	tsʰɛ55	奢：～侈
賒	sɛ55	赊：～帐
捨	sɛ35	舍：～唔得（舍不得）
舍	sɛ55	舍：宿～
社	sɛ13	社：～会，公～
惹	jɛ35	惹：～事
耶	jɛ21	耶：～稣
爺	jɛ21	爷：父亲；爷爷[文]
也	ja13	也：～知
野	jɛ13	野：～人
夜	jɛ21	夜：日～，～班
傻	sɔ21	傻：～瓜，～子
瓜	kua55	瓜：西～，～分
蝸	wɔ55	蜗：～牛
寡	kua35	寡：～妇，守～
剮	kua35	剐：千刀万～
誇	kʰua55	夸：～大，～张
垮	kʰua55	垮：～台
跨	kʰua55	跨：～栏，～度
娃	wa55	娃：洋～～
瓦	ŋa13	瓦：～片
花	fa55	花：开～
化	fa322	化：变～
華	wa21	华：中～
劃	wak021	划：～船
華	wa21	华：～山；姓
蛙	wa55	蛙：青～，～泳
補	pou35	补：～鞋，～充
譜	pʰou35	谱：族～，歌～
布	pou322	布：红～，～料
佈	pou322	布：公～，～置
鋪	pʰou55	铺：～路，床～
普	pʰou35	普：～通，～遍
浦	pʰou35	浦：黄～江
鋪	pʰou322	铺：店～，当～
怖	pou322	怖：恐～
蒲	pʰou21	蒲：（石）菖～
菩	pʰou21	菩：～萨
部	pou21	部：～队，干～
簿	pou21	簿：练习～，帐～
步	pou21	步：跑～
捕	pou21	捕：逮～，～快
埠	fɐu21	埠：开～
埠	fɐu21	埠：庵～，蚌～（地名）
模	mou21	模：～型，～范
摹	mou21	摹：～仿，描～
暮	mou21	暮：日暮
慕	mou21	慕：羡～，～名而来
墓	mou21	墓：坟～，～地
募	mou21	募：～捐
都	tou55	都：首～，～市
都	tou55	都：都是
堵	sak055	堵：～车，～塞
賭	tou35	赌：～博
肚	tʰou13	肚：猪～，鱼～
妬	tou21	妒：～忌
土	tʰou13	土：～地
吐	tʰou322	吐：～痰；呕～
兔	tʰou322	兔：野～
徒	tʰou21	徒：～弟
屠	tʰou21	屠：～杀
途	tʰou21	途：前～
塗	tʰou21	涂：糊～，～改
圖	tʰou21	图：画～，地～
杜	tou21	杜：姓；杜仲（中药）
肚	tʰou13	肚：肚子
度	tou21	度：～数，长～
渡	tou21	渡：偷～，摆～
鍍	tou21	镀：电～
奴	nou21	奴：～隶
努	nou13	努：～力
怒	nou21	怒：愤～，～气
盧	lou21	卢：姓
爐	lou21	炉：火～
蘆	lou21	芦：～苇
鸕	lou21	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lou13	鲁：～国，～迅
虜	lou13	虏：俘～
滷	lou13	卤：盐～，～水
路	lou21	路：大～
賂	lou21	赂：贿～
露	lou21	露：～水，白～，打～
鷺	lou21	鹭：白～
租	tsou55	租：～金，出～
祖	tsou35	祖：～宗，～国
組	tsou35	组：～织，小～
做	tsou322	做：～好事
粗	tsʰou55	粗：～心
醋	tsʰou322	醋：陈～
措	tsʰou322	措：～施
錯	tsʰɔ322	错：～误
蘇	sou55	苏：～州；姓
酥	sou55	酥：脆，杏仁～
素	sou322	素：～菜，朴～
訴	sou322	诉：上～，倾～
塑	sɔk032	塑：雕～，～料
姑	ku55	姑：大～
孤	ku55	孤：～儿，～单
箍	kʰu55	箍：紧～咒[文]
箍	kʰu55	箍：围束，～桶[白]
古	ku35	古：～代
估	ku35	估：～计
牯	ku35	牯：牛～
股	ku35	股：～票
鼓	ku35	鼓：锣～，～励
故	ku322	故：～事，～乡
蠱	ku35	蛊：养～，～惑
固	ku322	固：～定
錮	ku322	锢：禁～
雇	ku322	雇：～人，～主
顧	ku322	顾：照～
枯	ku55	枯：干～，～水
苦	fu35	苦：辛～，食～（吃苦）
苦	fu35	苦：～味
庫	fu322	库：水～，仓～
褲	fu322	裤：裤子
吳	ŋŋ̍21	吴：姓
蜈	ŋŋ̍21	蜈：～蚣
梧	ŋŋ̍21	梧：～桐
五	ŋŋ̍13	五：数字
伍	ŋŋ̍13	伍：姓；队～
午	ŋŋ̍13	午：中～，端～
誤	ŋŋ̍21	误：～会，错～
悟	ŋŋ̍21	悟：觉～；孙～空
呼	fu55	呼：称～，～吸，招～
虎	fu35	虎：老～
虎	fu55	虎：马～
滸	wu35	浒：水～
戽	fu322	戽：～水（泼水），～斗
胡	wu21	胡：二～ ；姓
湖	wu21	湖：西～
狐	wu21	狐：～狸
壺	wu21	壶：水～
乎	fu55	乎：在～
鬍	wu21	胡：～须
蝴	wu21	蝴：～蝶
糊	wu21	糊：浆～，～涂
戶	wu21	户：～口
滬	wu21	沪：上海简称
互	wu21	互：～相
護	wu21	护：保～，～士
烏	wu55	乌：黑
污	wu55	污：～染
塢	wu55	坞：船～
惡	ɔk032	恶：可～
女	nœy13	女：女人
廬	lou21	庐：～山
驢	lou21	驴：毛驴
呂	lœy13	吕：姓
旅	lœy13	旅：～游
慮	lœy21	虑：考～
濾	lœy21	滤：过～
蛆	tsʰœy55	蛆：蛆虫，生～
徐	tsʰœy21	徐：姓
序	tsœy21	序：顺～
敍	tsœy21	叙：倒～
緖	sœy13	緖：情～；光～
豬	tsy55	猪：～肉
著	tsy322	著：～名，显～
除	tsʰy21	除：～法
儲	tsʰy13	储：～蓄
苧	tsʰy13	苎：～麻
箸	tsy35	箸：筷子
阻	tsɔ35	阻：～止，～力
初	tsʰɔ55	初：当～，～中
楚	tsʰɔ35	楚：清～
礎	tsʰɔ35	础：基～
鋤	tsʰɔ21	锄：～草，～禾日当午
助	tsɔ21	助：帮～
梳	sɔ55	梳：梳子[名]；梳头[动]
疏	sɔ55	疏：～远；稀疏
疏	sɔ55	疏：生～
蔬	sɔ55	蔬：～菜
所	sɔ35	所：～以；派出～
疏	sɔ55	疏：注～
諸	tsy55	诸：姓；～如此类
煮	tsy35	煮：～饭
處	tsʰy322	处：～理
處	tsʰy322	处：～所
書	sy55	书：读～
舒	sy55	舒：～服
暑	sy35	暑：～假
鼠	sy35	鼠：老～
庶	sy322	庶：～民
恕	sy322	恕：宽～
署	tsʰy13	署：～名
薯	sy21	薯：番～
如	jy21	如：～果，假～
居	kœy55	居：～民
車	kœy55	车：象棋，～马炮
舉	kœy35	举：～报，～重
據	kœy322	据：收～
鋸	kœy322	锯：电～
墟	hœy55	墟：～日
去	hœy322	去：来～，过～
渠	kʰœy21	渠：水～，～道
佢	kʰœy13	佢：他，第三人称
巨	kʰœy21	巨：～大
拒	kʰœy13	拒：～绝
距	kʰœy13	距：～离
魚	jy21	鱼：金～
漁	jy21	渔：～业，～夫
語	jy13	语：～文
御	jy21	御：～用文人
禦	jy21	御：防～
虛	hœy55	虚：～心
噓	hœy55	嘘：吹～
許	hœy35	许：允～；姓
於	œy55	于：在～
淤	œy55	淤：～泥
余	jy21	余：姓
餘	jy21	余：多～
與	jy13	与：参～，给～，～众不同
予	jy13	予：给～
譽	jy21	誉：荣～
預	jy21	预：～报，～备
豫	jy21	豫：犹～
夫	fu55	夫：～妻，车～
膚	fu55	肤：皮～
府	fu35	府：政～
腑	fu35	腑：五脏六～
俯	fu35	俯：～卧撑，～视
甫	pʰou35	甫：杜～
脯	pʰou35	脯：菜～（萝卜干）
斧	pou35	斧：～头
付	fu21	付：应～
咐	fu21	咐：吩～
賦	fu322	赋：天～
傅	fu21	傅：师～[文]
傅	fu21	傅：姓[白]
敷	fu55	敷：～衍，～药
俘	fu55	俘：～虏
孵	fu55	孵：孵小鸡
麩	pʰei21	麸：麦～
撫	fu35	抚：～养，安～
殕	ɐp55	殕：食物长毛变质，臭～
赴	fu21	赴：奔～，～汤蹈火
訃	fu21	讣：～告
符	fu21	符：～合，鬼画～
扶	fu21	扶：～贫，～手[文]
扶	fu21	扶：搀扶，～起来[白]
芙	fu21	芙：～蓉
父	fu21	父：～亲
釜	fu35	釜：破～沉舟
腐	fu21	腐：～败
腐	fu21	腐：豆～
輔	fu21	辅：～导，～助
附	fu21	附：～近，～带
無	mou13	无：没有，～中生有[文]
無	mou13	无：没有，～事[白]
巫	mou21	巫：姓；～婆
誣	mou21	诬：～陷，～告
武	mou13	武：～器，～术
舞	mou13	舞：跳～
