#漢字	音標	解釋
蚜	ŋan44	砑：碾，～平，～碎
蝦	ha33	虾：鱼～，～公
嚇	hak031	吓：～人
霞	ha22	霞：晚～
瑕	ha22	瑕：～疵
蝦	ha22	虾：～蟆（蟾蜍）
下	ha51	下：～背，底～
下	ha44	下：取下，～下来
夏	ha51	夏：姓
廈	ha51	厦：～门，大～
下	ha51	下：～降，～流
夏	ha51	夏：春～秋冬
鴉	a44	鸦：老～，乌～，～片
丫	ia44	丫：～鬟，～头
椏	a44	桠：～杈
啞	a31	哑：哑巴，～佬
亞	a44	亚：～洲，～军
姐	tsia31	姐：小～[文]
姐	tsi31	姐：姐姐[白]
借	tsia51	借：～钱
且	tsʰia31	且：而～，况～
藉	sit044	藉：～故，～口
些	sia44	些：一～
寫	sia31	写：～字
瀉	sia51	泻：腹～，一～千里
卸	sia51	卸：～货，推～
邪	sia22	邪：～气，～门歪道
斜	sia22	斜：倾～[文]
斜	tsʰia22	斜：不正[白]
謝	tsʰia51	谢：多～；姓
爹	tie44	爹：～娘
遮	tsa44	遮：遮挡[动]；伞[名]
者	tsa31	者：记～，作～
蔗	tsa51	蔗：甘蔗
車	tsʰa44	车：火～
扯	tsʰa31	扯：～开，～烂
蛇	sa22	蛇：毒～
射	sa51	射：发～，～箭
麝	sa51	麝：～香
賒	tʃʰa44	赊：～帐
捨	sa31	舍：～唔得（舍不得）
赦	sa51	赦：～免
舍	sa51	舍：宿～
社	sa44	社：～会，公～
惹	ȵia44	惹：～事
耶	jiei22	耶：～稣
爺	jia22	爷：父亲；爷爷[文]
也	jia44	也：～知
野	jia31	野：～人
夜	jia51	夜：日～，～班
傻	sɔ22	傻：～瓜，～子
瓜	kua44	瓜：西～，～分
蝸	vɔ44	蜗：～牛
寡	kua31	寡：～妇，守～
剮	kua31	剐：千刀万～
誇	kʰua44	夸：～大，～张
垮	kʰua44	垮：～台
跨	kʰua44	跨：～栏，～度
娃	vua44	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa44	花：开～
化	fa51	化：变～
華	fa22	华：中～
划	vat044	划：～船
華	fa22	华：～山；姓
蛙	vua44	蛙：青～，～泳
補	pu31	补：～鞋，～充
譜	pʰu22	谱：族～，歌～
布	pu51	布：红～，～料
佈	pu51	布：公～，～置
鋪	pʰu44	铺：～路，床～
普	pʰu44	普：～通，～遍
浦	pʰu31	浦：黄～江
鋪	pʰu44	铺：店～，当～
怖	pu51	怖：恐～
蒲	pʰu22	蒲：（石）菖～
菩	pʰu22	菩：～萨
脯	pʰu31	脯：胸～
部	pʰu51	部：～队，干～
簿	pʰu44	簿：练习～，帐～
步	pʰu51	步：跑～
捕	pʰu31	捕：逮～，～快
模	pu51	埠：庵～，蚌～（地名）
模	mu33	模：～型，～范
摹	mu33	摹：～仿，描～
暮	muŋ51	暮：日暮
慕	muŋ51	慕：羡～，～名而来
墓	mu51	墓：坟～，～地
募	mɔk031	募：～捐
都	tu44	都：首～，～市
都	tu44	都：都是
堵	tu31	堵：～车，～塞
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
妒	tu31	妒：～忌
土	tʰu31	土：～地
吐	tʰu51	吐：～痰；呕～
兔	tʰu51	兔：野～
徒	tʰu22	徒：～弟
屠	tʰu22	屠：～杀
途	tʰu22	途：前～
塗	tu22	涂：糊～，～改
圖	tʰu22	图：画～，地～
杜	tʰu51	杜：姓；杜仲（中药）
肚	tu31	肚：肚子
度	tʰu51	度：～数，长～
渡	tʰu51	渡：偷～，摆～
鍍	tʰu51	镀：电～
奴	nu22	奴：～隶
努	nu31	努：～力
怒	nu51	怒：愤～，～气
盧	lu23	卢：姓
爐	lu23	炉：火～
蘆	lu23	芦：～苇
鸕	lu22	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu44	鲁：～国，～迅
虜	lu31	虏：俘～
滷	lu44	卤：盐～，～水
路	lu51	路：大～
賂	jiu51	赂：贿～
露	lu51	露：～水，白～，打～
鷺	lu51	鹭：白～
租	tsɿ44	租：～金，出～
祖	tsɿ31	祖：～宗，～国
組	tsɿ44	组：～织，小～
做	tsɔ51	做：～好事
粗	tsʰɿ44	粗：～心
醋	tsʰɿ51	醋：陈～
措	tsʰɿ31	措：～施
錯	tsʰɔ51	错：～误
蘇	sɿ44	苏：～州；姓
酥	sɿ44	酥：脆，杏仁～
素	sɿ51	素：～菜，朴～
訴	su51	诉：上～，倾～
塑	sɔk031	塑：雕～，～料
姑	vu44	姑：大～
孤	vu44	孤：～儿，～单
箍	ku44	箍：紧～咒[文]
箍	ku44	箍：围束，～桶[白]
古	ku31	古：～代
估	kʰu44	估：～计
牯	kʰu44	牯：牛～
股	ku31	股：～票
鼓	ku31	鼓：锣～，～励
故	ku51	故：～事，～乡
固	ku51	固：～定
錮	ku51	锢：禁～
雇	ku51	雇：～人，～主
顧	ku51	顾：照～
枯	kʰu44	枯：干～，～水
苦	fu31	苦：辛～，食～（吃苦）
苦	fu31	苦：～味
庫	kʰu51	库：水～，仓～
褲	kʰu51	裤：裤子
吳	m̩22	吴：姓
蜈	m̩22	蜈：～蚣
梧	m̩22	梧：～桐
五	m̩31	五：数字
伍	m̩31	伍：姓；队～
午	m̩31	午：中～，端～
誤	ŋu51	误：～会，错～
悟	ŋu51	悟：觉～；孙～空
呼	fu44	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu31	虎：马～
滸	fu31	浒：水～
戽	fu51	戽：～水（泼水），～斗
胡	fu22	胡：二～ ；姓
湖	fu22	湖：西～
狐	fu22	狐：～狸
壺	fu22	壶：水～
乎	fu22	乎：在～
瓠	fu22	瓠：瓠卢，同葫芦
鬍	fu22	胡：～须
蝴	fu22	蝴：～蝶
糊	fu22	糊：浆～，～涂
戶	fu51	户：～口
滬	lu33	沪：上海简称
互	fu44	互：～相
護	fu51	护：保～，～士
瓠	fu22	瓠：瓠瓜（味似葫芦而长）
烏	vu44	乌：黑
污	vu44	污：～染
塢	vu44	坞：船～
惡	ɔk031	恶：可～
女	m̩31	女：女人
廬	lu22	庐：～山
驢	lu22	驴：毛驴
呂	li44	吕：姓
旅	li31	旅：～游
慮	li51	虑：考～
濾	li51	滤：过～
蛆	tsui31	蛆：蛆虫，生～
絮	sei51	絮：棉～
徐	tsʰi22	徐：姓
序	si51	序：顺～
叙	si51	叙：倒～
緖	si51	緖：情～；光～
豬	tsu44	猪：～肉
著	tsu51	著：～名，显～
除	tsʰu22	除：～法
儲	su22	储：～蓄
苧	tsʰu44	苎：～麻
阻	tsɿ31	阻：～止，～力
初	tsʰɿ44	初：当～，～中
楚	tsʰɿ31	楚：清～
礎	tsʰɿ31	础：基～
鋤	tsʰɿ22	锄：～草，～禾日当午
助	tsʰɿ51	助：帮～
梳	sɿ44	梳：梳子[名]；梳头[动]
疏	sɿ44	疏：～远；稀疏
疏	sɿ44	疏：生～
蔬	sɿ44	蔬：～菜
所	sɔ31	所：～以；派出～
疏	sɿ44	疏：注～
諸	tsu44	诸：姓；～如此类
煮	tsu31	煮：～饭
處	tsʰu51	处：～理
處	tsʰu31	处：～所
書	su44	书：读～
舒	su44	舒：～服
暑	tsʰu31	暑：～假
鼠	tsʰu31	鼠：老～
庶	tsʰu31	庶：～民
恕	su51	恕：宽～
署	tsʰu31	署：～名
薯	su22	薯：番～
如	ji22	如：～果，假～
居	ki44	居：～民
車	kei44	车：象棋，～马炮
舉	ki31	举：～报，～重
據	ki31	据：收～
鋸	ki51	锯：电～
墟	ʃi44	墟：～日
去	ʃi51	去：来～，过～
渠	kʰi44	渠：水～，～道
佢	ki22	佢：他，第三人称
巨	kʰi44	巨：～大
拒	kʰi44	拒：～绝
距	kʰi44	距：～离
魚	m̩22	鱼：金～
漁	m̩22	渔：～业，～夫
語	ȵi44	语：～文
御	ni51	御：～用文人
禦	ni51	御：防～
虛	ʃi44	虚：～心
噓	ʃi44	嘘：吹～
許	ʃi31	许：允～；姓
於	ji44	于：在～
淤	ji44	淤：～泥
余	ji22	余：姓
餘	ji22	余：多～
與	ji44	与：参～，给～，～众不同
予	ji44	予：给～
譽	ji51	誉：荣～
預	ji51	预：～报，～备
豫	ji51	豫：犹～
夫	fu44	夫：～妻，车～
膚	fu44	肤：皮～
跗	fu51	跗：脚背，～骨
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu31	甫：杜～
脯	pʰu31	脯：菜～（萝卜干）
斧	pu31	斧：～头
付	fu51	付：应～
咐	fu51	咐：吩～
賦	fu51	赋：天～
傅	fu51	傅：师～[文]
傅	fu51	傅：姓[白]
敷	fu44	敷：～衍，～药
俘	fu31	俘：～虏
孵	pʰu51	孵：孵小鸡
麩	kʰu44	麸：麦～
撫	vu31	抚：～养，安～
殕	pʰu31	殕：食物长毛变质，臭～
赴	fu51	赴：奔～，～汤蹈火
訃	pʰu44	讣：～告
符	pʰu22	符：～合，鬼画～
扶	fu22	扶：～贫，～手[文]
扶	pʰu22	扶：搀扶，～起来[白]
芙	fu44	芙：～蓉
父	fu51	父：～亲
釜	pu31	釜：破～沉舟
腐	fu31	腐：～败
腐	fu31	腐：豆～
輔	pʰu31	辅：～导，～助
附	fu51	附：～近，～带
無	vu23	无：没有，～中生有[文]
無	mɔ22	无：没有，～事[白]
巫	mu22	巫：姓；～婆
誣	mu22	诬：～陷，～告
武	vu44	武：～器，～术
舞	vu31	舞：跳～
舞	vu31	舞：拨弄，摆弄[白，动]
侮	vu44	侮：～辱
鵡	vu31	鹉：鹦～
務	vu51	务：任～，～农
霧	vu51	雾：大～
縷	leu31	缕：千丝万～
屢	leu31	屡：～次，～教不改
趨	tsʰui44	趋：～势
取	tsʰi31	取：～钱
娶	tsʰi31	娶：嫁～
趣	tɕʰi51	趣：兴～
聚	tsʰi51	聚：～会
聚	tsʰiu44	聚：捡～（收拢）[白]
須	si44	须：必～
鬚	si44	须：胡～
需	si44	需：～要
續	siuk044	续：连～，继～
誅	tsu44	诛：天～地灭
蛛	tsu44	蛛：蜘～
株	tsu44	株：守～待兔
駐	tsu51	驻：～扎
註	tsu51	注：～释
廚	tsʰu22	厨：～房
櫥	tsʰu22	橱：碗～
柱	tsʰu44	柱：柱子
住	tsʰu31	住：～宿
雛	tsʰu44	雏：～形
數	sɿ51	数：～落，～星星[动]
數	sɿ51	数：～字，～学
朱	tsu44	朱：姓
珠	tsu44	珠：珍～
主	tsu31	主：～人，地～
注	tsu51	注：～意
蛀	tsu51	蛀：～虫
鑄	tsu51	铸：～铁，～钢
樞	kʰi44	枢：中～，～纽
輸	su44	输：～赢
戍	sut031	戍：～边
輸	su44	输：运～
殊	su22	殊：特～
豎	su51	竖：横～
樹	su51	树：～立，种～
儒	ji22	儒：～家思想
乳	nen441	乳：哺～，母～[文]
乳	nen441	乳：食～（吃奶），麦～精[训]
拘	ki44	拘：～留
倶	kʰi31	俱：～备，～乐部
矩	ki31	矩：规～，～形
句	ki51	句：～号
區	kʰi44	区：地～，～别
驅	kʰi44	驱：先～，～动
具	kʰi31	具：～体
懼	kʰi31	惧：恐～
愚	ȵi22	愚：～蠢，～公移山
虞	m̩22	虞：姓，～姬
娛	ŋu22	娱：～乐
遇	ni51	遇：遭～，相～，～到
寓	van51	寓：～言；公～
迂	ji44	迂：～回，～腐
于	ji44	于：姓；等～
吁	ji44	吁：气喘～～，长～短叹
雨	ji31	雨：落～，谷～，～水
宇	ji31	宇：～宙
禹	ji22	禹：大～治水
羽	ji44	羽：～毛球
芋	ji44	芋：芋头
逾	ji51	逾：超过，～期
愉	ji51	愉：～快
愈	ji51	愈：病～
喩	ji51	喻：比～
裕	ji51	裕：富～
獃	ŋɔi22	呆：书～子，发～[文]
獃	ŋɔi22	呆：发～[白]
戴	tai51	戴：姓；～帽
胎	tʰɔi44	胎：双胞～，～盘
台	tʰɔi22	台：天台
態	tʰai51	态：～度，心～
貸	tʰɔi51	贷：～款
臺	tʰɔi22	台：～湾
苔	tʰɔi22	苔：青～，舌～
抬	tʰɔi22	抬：两个人抬
待	tʰai51	待：等～，～人接物
怠	tʰai51	怠：～慢，～工
殆	tʰai51	殆：百战不～
代	tʰɔi51	代：～替，～表
逮	tʰui51	逮：～捕
袋	tʰɔi51	袋：袋子
乃	nai44	乃：安～近；人名用字
耐	nai51	耐：～力，～心，忍～
來	lɔi22	来：过～，～去
災	tsai44	灾：水～
栽	tsai44	栽：种，～培
宰	tsai31	宰：～相
載	tsɔi51	载：一年半～
再	tsai51	再：～来
載	tsɔi51	载：～重
猜	tsʰai44	猜：～谜
彩	tsʰai31	彩：～色
採	tsʰai31	采：～集
睬	tsʰai31	睬：理睬
菜	tsʰɔi51	菜：煮～，青～
才	tsʰɔi22	才：人～，～气，秀～
材	tsʰɔi22	材，药～，～料
財	tsʰɔi22	财，发～
裁	tsʰai22	裁，～纸，剪～
纔	tsʰɔi22	才：刚～
在	tsʰai51	在：实～，现～[文]
在	tsʰɔi44	在：存在，还～[白]
載	tsɔi51	载：满～而归
腮	sɿ44	腮：～腺炎，～红
鰓	sai44	鳃：鱼鳃
賽	sɔi51	赛：比～
該	kɔi44	该：应～
改	kɔi31	改：修～，～正
概	kʰɔi31	概：大～，～括
溉	kʰɔi31	溉：灌～
開	kʰɔi44	开：公～，～门
凱	kʰɔi31	凯：～旋
慨	kʰɔi31	慨：慷～，感～
咳	kʰet031	咳：～嗽，止～糖浆
呆	ŋɔi22	呆：～板
礙	ŋɔi51	碍：妨～
海	hɔi31	海：大～
孩	hai22	孩：～童
亥	hɔi51	亥：辛～革命
哀	ɔi44	哀：悲～
埃	ai44	埃：尘～，～及
愛	ɔi51	爱：～情；要
貝	pi51	贝：宝～
貝	pi51	贝：川～，～壳
沛	pʰi51	沛：充～
帶	tai51	带：鞋～
太	tʰai51	太：老～婆
泰	tʰai51	泰：～山
大	tʰai51	大：大小
奈	nai51	奈：无～，～何
賴	lai51	赖：依～，无～；姓
癩	lai51	癞：～蛤蟆[文]
癩	lai31	癞：～哥（癞疮）[白]
蔡	tsʰai51	蔡：姓
蓋	kɔi51	盖：～被[动]；盖子[名]
丐	kɔi51	丐：～帮
艾	ŋei51	艾：姓；～滋病
艾	ŋei51	艾：艾草
害	hɔi51	害：～人
藹	ɔi51	蔼：和～，宋～龄
拜	pai51	拜：结～，礼～，～佛
排	pʰai22	排：～队
埋	mai22	埋：～伏
齋	tsai44	斋：食～（吃斋）
豺	sai22	豺：～狼
皆	kiai44	皆：～大欢喜
階	kiai44	阶：台～，～级
介	kiai51	介：～绍，中～
界	kiai51	界：世～
芥	kiai51	芥：～菜
尬	kiai51	尬：尴～
疥	kiai51	疥：～疮
屆	kiai51	届：第一～
戒	kiai51	戒：～烟，猪八～
揩	kʰɔi31	楷：～书，～模
楷	hai22	谐：和～
駭	hai22	骇：惊～，～人听闻
械	hai51	械：机～
挨	ai44	挨：～打，～近
擺	pai31	摆：摇～
派	pʰai51	派：正～，～出所
牌	pʰai22	牌：～坊，～匾[文]
牌	pʰai22	牌：打～[白，训]
㵺	pʰai22	排：竹排
罷	pʰa51	罢：～工
稗	pʰai31	稗：～草
買	mai44	买：～卖
賣	mai51	卖：买～
奶	nai44	奶：二～，～牛
債	tsai51	债：欠～
釵	tsʰa44	钗：宝～
差	tsʰai44	差：出～
柴	tsʰai22	柴：姓；火～
篩	tsʰei44	筛：～选，～米
灑	sa31	洒：潇～，～水
佳	ka44	佳：～人，～节
街	kiai44	街：～路
解	kiai31	解：～释，讲～[文]
解	kei31	解：～开[白]
懈	hai51	懈：松～，坚持不～
涯	ŋai22	涯：天～
崖	ŋai22	崖：悬～
捱	ŋai22	捱：难～，～苦
鞋	hai22	鞋：布～
解	kiai31	解：懂了，理～，了～
蟹	hai31	蟹：老～
矮	ai31	矮：高矮
敗	pʰai51	败：失～
邁	mai31	迈：豪～，～步
寨	tsʰai51	寨：山～，大～
蔽	pi51	蔽：隐～
弊	pi51	弊：作～
幣	pi51	币：人民～
斃	pi51	毙：枪～
例	li51	例：举～，～外
厲	li51	厉：严～，～害
勵	li51	励：鼓～
祭	tsi51	祭：～祀
際	tsi51	际：国～
滯	tsʰe51	滞：停～，湿～（中医）
制	tsɿ51	制：～度
製	tsɿ51	制：～造
世	sɿ51	世：～界
世	sei51	世：出～
勢	sɿ51	势：～力，有权有～
誓	sɿ51	誓：发～
逝	sɿ51	逝：～世
藝	ȵi51	艺：～术，文～晚会
蓖	pi44	蓖：～麻
閉	pi51	闭：关～
箅	pi51	箅：蒸笼中的竹屉
批	pʰi44	批：～评，大～
批	pʰi44	批：螺丝～
陛	pi51	陛：～下
迷	mi22	迷：入～，～路
米	mi31	米：大米
謎	mi22	谜：～语，猜～
低	tai44	低：高～
堤	tʰi22	堤：河～，～坝
底	tai31	底：水～
抵	ti31	抵：～押
抵	ti31	抵：用手抵挡
帝	ti51	帝：皇～
梯	tʰɔi44	梯：楼～
蒂	ti51	蒂：花～，并～莲
體	tʰi31	体：～育，身～
替	tʰi51	替：代～，～身
涕	tʰi51	涕：～泪纵横
剃	tʰi51	剃：～头
屜	tʰi51	屉：抽～
題	tʰi22	题：～目，难～
提	tʰi22	提：～问，～醒
蹄	tʰai22	蹄：马～
啼	tʰai22	啼：哭哭～～[文]
啼	tʰai22	啼：鸡～[白]
弟	tʰi51	弟：兄～[文]
