#漢字	音標	解釋
制	tʃi31	制：～度
世	ʃei31	世：～界
藝	ȵi22	艺：～术，文～晚会
米	mi24	米：大米
低	tai52	低：高～
底	tai24	底：水～
梯	tʰɔi52	梯：楼～
體	tʰi24	体：～育，身～
題	tʰi55	题：～目，难～
蹄	tʰai55	蹄：马～
弟	tʰi22	弟：兄～[文]
弟	tʰai52	弟：弟弟，老～[白]
泥	nai55	泥：水～，地～（地板）
犁	lai55	犁：耕田用具
禮	li52	礼：～貌
齊	tsʰe55	齐：整～，放～，来～[白]
西	si52	西：东西南北
洗	sei24	洗：～菜，～衣机
細	sei31	细：粗细，大小
雞	kai52	鸡：～公（公鸡）
計	ke31	计：～算，会～
溪	hai52	溪：～水
啟	kʰi22	启：～发
係	hei31	系：是[白]
杯	pui52	杯：茶～
輩	pui31	辈：～分，长～
背	pɔi31	背：违～，后～
坯	pʰɔi52	坯：泥～，毛～房
配	pʰui31	配：分～，搭～
賠	pʰɔi55	赔：～钱
背	pɔi31	背：～书
梅	mɔi55	梅：～花
妹	mɔi31	妹：妹妹，姊～，老～
堆	tɔi52	堆：一～[量]，～放[动]
對	tui31	对：～错；成双成～
推	tʰui52	推：～荐，～动
退	tʰui31	退：后～，～步[文]
內	nui22	内：～行，～外
雷	lui55	雷：打～，～公；姓
催	tsʰui52	催：～促，～眠
罪	tsʰui22	罪：得～，犯～[文]
碎	sui31	碎：～布，破～
塊	kʰuai31	块：一～钱，～头
灰	fɔi52	灰：石～，～色
回	fui55	回：～想[文]
最	tsui31	最：～好
外	ŋuai22	外：～面
會	fui22	会：开～
會	vɔi24	会：～睡，～来
乖	kuai52	乖：小孩听话
怪	kuai31	怪：奇～
懷	fai55	怀：～疑
壞	fai22	坏：～人
拐	kuai24	拐：～卖，铁～李
掛	kua31	挂：～起来，牵～，～钩
歪	vai52	歪：～风邪气
話	fa22	话：笑～，讲～[文，名]
話	vɔi52	话：说[白，动]
稅	ʃɔi31	税：交～，～收
銳	ʒui24	锐：尖～，～角
肺	pʰui31	肺：猪～
皮	pʰi55	皮：调～，～肤
此	tsʰɿ24	此：到～为止
知	ti52	知：通～，～道，无～[文]
知	ti52	知：知道，唔～[白]
池	tʃʰi55	池：水～
紙	ʒi24	纸：白～
兒	ʒi55	儿：～童
騎	kʰi55	骑：～马
徛	kʰi52	徛：站立；（山）斜度高
儀	ȵi22	仪：礼～，～式
蟻	ȵi31	蚁：蚂蚁，白～
義	ȵi22	义：情～，～气
戲	hi31	戏：做～
椅	ʒi24	椅：椅子，藤～
易	ʒi22	易：容～
鄙	pʰi24	鄙：差劲[白]
比	pi24	比：～较，对～
屁	pʰi31	屁：放～
鼻	pʰi22	鼻：鼻子；鼻涕
眉	mi55	眉：眉毛，画～
美	mi52	美：～丽，～化
地	tʰi22	地：土～
膩	ni52	腻：油～，细～
資	tsɿ52	资：～本
姊	tsi24	姊：～妹
次	tsʰɿ52	次：名～，～品
自	tsʰɿ22	自：～私
四	si31	四：数字
師	sɿ31	师：老～，～父
指	tʃi24	指：手～，～甲
屎	ʃi24	屎：狗～
二	ȵi22	二：数字
姨	ʒi55	姨：大～，～丈
李	li24	李：姓；水果
理	li52	理：道～，～由
子	tsɿ24	子：～孙；孔～
字	sɿ22	字：～典，文～
絲	sɿ52	丝：～绸
詞	tsʰɿ55	词：歌～
寺	sɿ22	寺：～庙，灵光～
柿	sai24	柿：柿子，～饼
痣	tʃi31	痣：乌～
齒	tʃʰi24	齿：牙～
詩	ʃi52	诗：～人
時	ʃi55	时：～间，当～
耳	ȵi24	耳：耳朵，中～炎
基	ki52	基：～本，地～
記	ki31	记：笔～，～号
起	hi24	起
喜	hi24	喜：～欢
醫	ʒi52	医：～生
意	ʒi31	意：～思
以	ʒi52	以：可～，～为
幾	ki24	几：～只
氣	kʰi31	气：～人，空～
希	hi52	希：～望
隨	sui55	随：～时，～便
吹	tʃʰɔi52	吹：～牛皮，～喇叭
跪	kʰui22	跪：下～
危	ŋui55	危：～险，安～
委	vui52	委：～托，常～
類	lui22	类：分～
追	tʃui52	追：～求[文]
衰	sɔi52	衰：～弱，～老[文]
水	ʃui24	水：～果，～平
龜	kui52	龟：乌～
葵	kʰui55	葵：向日～，～花籽
櫃	kʰui22	柜：～台
位	vui22	位：座～，～置
維	vui55	维：～生素，～持，纤～
飛	pui52	飞：～机；飞行
費	fui31	费：～用，浪～
肥	pʰui55	肥：化～，～肉
尾	mui52	尾：尾巴
味	mui22	味：～道，～精
鬼	kui24	鬼：鬼神
貴	kui31	贵：～重
魏	ŋui22	魏：～国；姓
威	vui52	威：～风，～胁
畏	vui31	畏：不喜欢；怕，～热
偉	vui24	伟：～大
胃	vui24	胃：肠～
寶	po24	宝：～贝
報	po31	报：～告，日～
袍	pʰau55	袍：长～，袄～
暴	pʰau22	暴：～雨，残～
毛	mo52	毛：～病，鸡～
帽	mo22	帽：草～
刀	to52	刀：菜～
到	teu52	到：～站
討	tʰo24	讨：～老婆，～厌
套	tʰau31	套：配～，～房
桃	tʰo55	桃：杨～，～花
稻	tau24	稻：水～
導	tʰo24	导：领～，～师
惱	no24	恼：烦～[文]
惱	no24	恼：讨厌，不喜欢[白]
勞	lo55	劳：～动
老	lo24	老：～爷，～实
糟	tsou52	糟：酒～，～糕
早	tsou24	早：还～
竈	tsou31	灶：～头，～神
草	tsʰo24	草：青～，～稿
造	tsʰo22	造：创～
臊	tsʰau31	臊：臭～
掃	so31	扫：～地[动]
嫂	so24	嫂：大～
髙	ko52	高：姓；～低
稿	ko24	稿：草～，～纸
吿	ko31	告：报～，～状
考	kʰau24	考：～试，大～
靠	kʰau31	靠：依～，可～
熬	ŋau55	熬：～汤，～夜
好	ho24	好：～人
號	ho22	号：～码，口～[名]
襖	o24	袄：棉～，～袍
包	pau52	包：钱～，～围
飽	pau24	饱：食～（吃饱）
爆	pau31	爆：～炸
炮	pʰau31	炮：枪～
跑	pʰau52	跑：～步
茅	mau55	茅：～庐
貓	ȵiau31	猫：大～
貌	mau22	貌：礼～
鬧	nau22	闹：～热，～事
罩	tsau31	罩：灯～，床～
爪	tsau24	爪：鸡～
抄	tsʰau52	抄：～书
炒	tsʰau24	炒：～股，～菜
交	kau52	交：～通，～钱[文]
咬	ŋau22	咬：～人
孝	hau31	孝：～顺
效	hau22	效：～果
標	pʰiau52	标：～准，～志，招～
表	piau24	表：图～，～扬
票	pʰiau31	票：车～
苗	miau55	苗：鱼～，～族
秒	miau24	秒：～针
廟	miau22	庙：和尚～
療	liau55	疗：治～，～养
椒	tsiau52	椒：胡～
消	siau52	消：～化
小	siau24	小：～姐，～人
笑	siau31	笑：～话，玩～
朝	tʃʰau55	朝：～晨，三～
超	tʃʰau31	超：～过
朝	tʃʰau55	朝：～代
趙	tʃʰau22	赵：姓
招	tʃau52	招：～生
照	tʃau31	照：～明，～顾
燒	ʃau52	烧：～水，发～
少	ʃau24	少：～数，多～
少	ʃau31	少：～年，～爷
饒	ȵiau55	饶：～命，求～
繞	ȵiau24	绕：围～，～线
嬌	kiau52	娇：～气，做～（撒娇）
橋	kʰiau55	桥：大～
轎	kʰiau22	轿：坐～，扛～
要	ʒau31	要：～求
要	ʒau31	要：重～
搖	ʒau55	摇：动～，～篮
舀	ʒau24	舀：～水
耀	ʒau22	耀：～眼，荣～
鳥	niau31	鸟：花～市场[文]
鳥	tiau52	鸟：～笼[白]
鳥	tiau24	鸟：骂人话，交合[白]
吊	tiau31	吊：上～，～车
挑	tʰiau52	挑：～剔，～担
跳	tʰiau31	跳：～高，起～
條	tʰiau55	条：～件，字～
調	tʰiau55	调：音～
尿	ȵiau22	尿：屙～
了	liau24	了：～结；明～，～解
料	liau22	料：肥～，材～
繳	kiau24	缴：～枪，～费
僥	hiau31	侥：～幸
叫	kiau31	叫：大～；小孩哭
竅	kʰiau31	窍：～门
曉	hiau24	晓：春～，～得
剖	pʰɔi24	剖：解～
畝	meu52	亩：一～田
母	mu52	母：父～
貿	meu22	贸：外～，～易
兜	eu52	兜：～风
斗	teu24	斗：十升为一斗
鬥	teu31	斗：～争，批～
偸	tʰeu52	偷：小～
透	tʰeu31	透：～明
頭	tʰeu55	头：开～
豆	tʰeu22	豆：黄～
樓	leu55	楼：～下
漏	leu22	漏：～水，～斗
走	tseu24	走：行走
奏	tseu31	奏：节～
湊	tsʰeu31	凑：～数，～热闹
鉤	keu52	钩：鱼～
狗	keu24	狗
夠	keu31	够：足～
摳	kʰeu31	抠：挖
口	kʰeu24	口：～头，开～
口	heu24	口：一～饭
扣	kʰeu31	扣：～钱，～压
藕	ŋeu24	藕：～断丝连，莲～
喉	heu55	喉：～咙
後	heu22	后：～生，～来[文]
後	heu22	后：～日[白]
歐	eu52	欧：～洲；姓
嘔	eu24	呕：～吐
漚	eu52	沤：久浸水中，～坏，～肥
否	feu24	否：是～，～定
富	fu31	富：丰～，～贵
謀	meu55	谋：计～，～财害命
紐	niu24	纽：纽扣；～约（地名）
劉	liu55	刘：姓
柳	liu24	柳：～树
酒	tsiu24	酒：～精
秋	tsʰiu52	秋：～天；～千
就	tsʰiu22	就：成～，～去
修	siu52	修：装～，～正
秀	siu31	秀：清～，～才
袖	tsʰiu22	袖：领～，衫～（衣袖）
晝	tʃiu31	昼：上～，～夜
抽	tʃʰiu52	抽：～出
綢	tʃʰiu55	绸：～缎，丝～
宙	tiu24	宙：宇～
鄒	tseu52	邹：姓，～家华
皺	tsiu31	皱：～纹
愁	seu55	愁：～眉苦脸
搜	seu52	搜：～查
瘦	seu31	瘦：肥瘦
周	tʃiu52	周：姓；～围，～年
醜	tʃʰiu24	丑：不好看，出～
臭	tʃʰiu31	臭：～味
收	ʃiu52	收：丰～，～集
手	ʃiu24	手：～脚，～段
獸	tʃʰiu31	兽：野～
仇	tʃʰiu55	仇：～人，报～
壽	ʃiu22	寿：长～
九	kiu24	九：数字，～龙
救	kiu31	救：～命
求	kʰiu55	求：要～
舅	kʰiu52	舅：～公
舊	kʰiu22	旧：新～
牛	ŋiu55	牛：～牯
休	hiu52	休：～息，退～
有	ʒiu52	有：～钱
右	ʒiu22	右：左～
油	ʒiu55	油：麻～
丟	tiu52	丢：～失
答	tap044	答：回～
貪	tʰam52	贪：～心
探	tʰam31	探：试～
南	nam55	南：东南西北
納	nap031	纳：归～
參	tsʰam52	参：～军，～加
慘	tsʰam24	惨：悲～
蠶	tsʰam55	蚕：～丝
雜	tsʰap031	杂：复～
鴿	kap044	鸽：白～
砍	kʰam24	砍：～伤
含	ham55	含：包～[文]
含	ham55	含：～糖[白]
合	hap031	合：～作，～适[文]
合	hap031	合：～本，～伙[白]
庵	am52	庵：尼姑～
揞	em52	揞：手覆，揞住
暗	am31	暗：不亮
擔	tam52	担：～任[动]
擔	tam52	担：～竿[名]
膽	tam24	胆：大～
塔	tʰap044	塔：宝～
痰	tʰam55	痰：吐～
淡	tʰam22	淡：～水（地名）
淡	tʰam31	淡：咸～；浓～
籃	lam55	篮：菜～
欖	lam24	榄：橄～，乌～
臘	lap031	腊：～肉，～肠
暫	tsʰiam22	暂：～时
甘	kam52	甘：甜；～心
敢	kam24	敢：勇～
斬	tsam24	斩：白～鸡
蘸	tsiam24	蘸：～豉油
插	tsʰap044	插：～花
杉	tsʰam31	杉：～树
夾	kiap031	夹：夹子；～心饼干
恰	kʰap044	恰：～切，～当
鹹	ham55	咸：～淡
陷	ham22	陷：～害，～井
衫	sam22	衫：衬～，～裤（衣服）
鑑	kam31	鉴：～定
甲	kap044	甲：天干，甲乙丙丁
巖	ŋam55	岩：～石，石灰～
鴨	ap044	鸭：鸭子
壓	ap044	压：～力
鐮	liam55	镰：镰刀，禾～
獵	liap031	猎：打～，～人
尖	tsiam52	尖：～刀
接	tsiap044	接：迎～，～待
籤	tsʰiam52	签：竹～，求～
潛	siam55	潜：～力
漸	tsʰiam24	渐：逐～
捷	tsʰiap031	捷：～报，大～，敏～
沾	tʃam52	沾：～光
佔	tʃam31	占：～领，～地方
摺	tʃat044	折：～被，～叠
閃	ʃam24	闪：～开
攝	niap044	摄：～影
涉	siap031	涉：～及
染	niam22	染：污～
檢	kiam24	检：～查，体～
鉗	kʰiam55	钳：～工，火～
儉	kʰiam24	俭：勤～
險	hiam24	险：危～，保～
掩	ʒam31	掩：～护
厭	ʒam31	厌：讨～
鹽	ʒam55	盐
葉	ʒap031	叶：树～；姓
劍	kiam31	剑：宝～
劫	kiap044	劫：抢～
欠	kʰiam31	欠：～钱，拖～
嚴	ȵiam55	严：～格；姓
業	ȵiap031	业：事～，～余
醃	ʒam22	腌：腌制
點	tiam22	点：～心，～头
店	tiam31	店：开～
跌	tiet044	跌：～打
添	tʰiam52	添：～加，～丁
貼	tʰiap044	贴：补～
貼	tap044	贴：～纸，～对联[动]
甜	tʰiam55	甜
碟	tʰiap031	碟：盛具，碟子
念	niam22	念：～经，怀～
兼	kiam52	兼：～职
謙	kʰiam52	谦：～虚
嫌	hiam55	嫌：～弃，～人
協	hiap031	协：～会，～作
法	fap044	法：方～
凡	fam55	凡：平～
犯	fam22	犯：～法[文]
品	pʰin24	品：～德
林	lim55	林：树～；姓
立	lip031	立：～足
粒	liap044	粒：三～，颗～
浸	tsim31	浸：～水
集	tsʰip031	集：～合，～体
心	sim52	心：～肝，内～
尋	tsʰim55	寻：～人
沉	tʃʰim55	沉：～底
參	sem52	参：人～
針	tʃim52	针：～线，～对
枕	tʃim24	枕：～头[名]；～枕头[动]
汁	tʃip044	汁：菜～，果～
深	tʃʰim52	深：～浅，～入
沈	ʃim24	沈：姓；地名，～阳
濕	ʃip044	湿：潮～
十	ʃip031	十：数字
任	ȵim22	任：姓；责～，～何
入	ȵip044	入：～门，进～
金	kim52	金：～银
錦	kim24	锦：～绣，～旗
禁	kim31	禁：～止
急	kip044	急：心～
級	kʰip044	级：～别，年～
欽	kʰim52	钦：～差，～佩
琴	kʰim55	琴：弹～
及	kʰip031	及：～时
吸	kʰip044	吸：呼～，～引
陰	ʒim52	阴：～天
飮	ʒim31	饮：～料
單	tan52	单：～独
旦	tan24	旦：元～，花～
攤	tʰan52	摊：分～，～开，摆～
炭	tʰan31	炭：烧～
彈	tʰan55	弹：～琴
達	tʰat031	达：发～，～到
難	nan55	难：困～
捺	nai31	捺：撇～
蘭	lan55	兰：～花
懶	lan52	懒：懒惰，～尸
爛	lan22	烂：灿～，腐～
辣	lat044	辣：～椒
贊	tsan31	赞：称～，～助
餐	tsʰɔn52	餐：～车，快～
殘	tsʰan55	残：～废
散	san24	散：药～
散	san31	散：分～，解～
亁	kɔn52	干：烘～，饼～
趕	kɔn24	赶：追～
幹	kɔn31	干：～部，才～
割	kɔt044	割：～禾（割稻）
看	kʰɔn31	看：看见
渴	hɔt044	渴：口渴；～望
岸	ŋan22	岸：口～，两～
寒	hɔn55	寒：大～，～流
汗	hɔn22	汗：出～，～马功劳
安	ɔn52	安：公～，～全
案	ɔn31	案：～件，档～
扮	pan31	扮：打～
八	pat044	八：数字
辦	pʰan22	办：～事
拔	pʰat031	拔：～河，选～
盞	tsan24	盏：灯～（灯）
紮	tsap044	扎：～紧，驻～
鏟	tsʰan24	铲：～草
察	tsʰat044	察：观～
山	san52	山
產	san24	产：生～
