#漢字	音標	解釋
錨	mau21	锚 抛锚
卯	mɐu13	卯 子丑寅卯
貌	mau21	貌 礼貌
鬧	nau21	闹 热闹
罩	tsau33	罩 灯罩
抓	tsa55	抓 抓牌，抓人
爪	tsau35	爪 脚爪（新）
找	tsau35	找 找东西
抄	tsʰau55	抄 抄书
鈔	tsʰau55	钞 钞票
炒	tsʰau35	炒 炒股
吵	tsʰau35	吵 吵架
巢	tsʰau21	巢 雀巢
梢	sau55	梢 树梢
稍	sau35	稍 稍等
潲	sau33	潲 猪食
交	kau55	交 交通
膠	kau55	胶 胶水
絞	kau35	绞 绞毛巾
狡	kau35	狡 狡猾
搞	kau35	搞 搞好
敎	kau33	教 教书，教育
較	kau33	较 比较
覺	kau33	觉 睡觉
敲	hau55	敲 敲门
巧	hau35	巧 碰巧
咬	ŋau13	咬 咬人
哮	hau55	哮 哮喘
孝	hau33	孝 孝顺
效	hau21	效 效果
校	hau21	校 学校
坳	au33	坳 山坳
膘	piu55	膘 肥膘
標	piu55	标 标志
表	piu35	表 表示
錶	piu55	表 手表
飄	pʰiu55	飘 飘扬
漂	pʰiu55	漂 漂水；漂亮
票	pʰiu33	票 车票
嫖	pʰiu21	嫖 嫖妓
苗	miu21	苗 火苗
描	miu21	描 描写
秒	miu35	秒 一分一秒
廟	miu21	庙 庙会
妙	miu35	妙 妙计
燎	liu21	燎 火烧火燎，燎原
療	liu21	疗 治疗
蕉	tsiu55	蕉 香蕉
椒	tsiu55	椒 辣椒
剿	tsiu35	剿 围剿
醮	tsiu33	醮 打醮
鍬	tsʰɐu55	锹 铁锹
悄	tsʰiu33	悄 静悄悄
俏	tsʰiu33	俏 娇俏
樵	tsiu55	樵 打樵，樵夫
消	ɬiu55	消 消化
銷	ɬiu55	销 供销社，销售
小	ɬiu35	小 大小
笑	ɬiu33	笑 笑话
肖	tsʰiu33	肖 生肖
朝	tsiu55	朝 今朝
超	tsʰiu55	超 超过
朝	tsʰiu21	朝 朝代
潮	tsʰiu21	潮 潮水
趙	tsiu21	赵 赵国；姓
召	tsiu21	召 号召
招	tsiu55	招 招手
沼	tsiu35	沼 沼气
照	tsiu33	照 照明
燒	siu55	烧 发烧
少	siu35	少 多少
少	siu33	少 少年，少爷
韶	siu21	韶 韶关
紹	siu21	绍 介绍
邵	siu21	邵 姓
饒	iu35	饶 求饶
擾	iu35	扰 打扰
繞	ȵiu35	绕 围绕；绕线团
驕	kiu55	骄 骄傲
嬌	kiu55	娇 撒娇
矯	kiu35	矫 矫正
喬	kʰiu21	乔 姓
橋	kʰiu21	桥 桥梁
轎	kiu21	轿 抬轿
囂	hiu55	嚣 嚣张
妖	iu55	妖 妖怪
邀	iu55	邀 邀请
腰	iu55	腰 腰疼
要	iu55	要 要求
要	iu33	要 重要
搖	iu21	摇 摇篮
姚	iu21	姚 姓
舀	iu35	舀 舀水
鷂	iu21	鹞 纸鹞
刁	tiu55	刁 刁蛮，嘴刁
雕	tiu55	雕 雕塑；座山雕
鳥	niu13	鸟 小鸟
釣	tiu33	钓 钓鱼
吊	tiu33	吊 上吊
挑	tʰiu55	挑 挑选
跳	tʰiu21	跳 跳高，跳起来
糶	tʰiu55	粜 粜米（卖米）
條	tʰiu21	条 条件
調	tiu21	调 调动；音调
尿	niau21	尿 撒尿
遼	liu21	辽 辽宁省
寮	liu21	寮 竹寮，茶寮
了	liu13	了 了结
料	liu21	料 肥料
蕭	ɬiu55	萧 姓
澆	hiu55	浇 浇花
繳	kiu35	缴 上缴
叫	kiu33	叫 大叫
竅	kʰiu33	窍 窍门
曉	hiu35	晓 晓得
剖	pʰɐu35	剖 解剖
某	mɐu13	某 某人
畝	mɐu13	亩 一亩田
牡	mau13	牡 牡丹
母	mu13	母 母亲
戊	mu21	戊 戊戌变法（甲乙丙丁戊己庚辛壬癸）
茂	mau21	茂 茂盛；茂名
貿	mɐu21	贸 外贸，贸易
兜	tɐu55	兜 兜风；兜住
斗	tɐu35	斗 十升为斗
陡	tɐu35	陡 山陡，陡峭
鬥	tɐu33	斗 斗争
偸	tʰɐu55	偷 偷东西
㪗	tʰɐu35	敨 敨开，敨气
透	tʰɐu33	透 透明
頭	tʰɐu21	头 头发
投	tʰɐu21	投 投降
豆	tɐu21	豆 豆芽
痘	tɐu21	痘 水痘
樓	lɐu21	楼 上楼
簍	lɐu13	篓 竹篓，鱼篓
漏	lɐu21	漏 漏水
走	tsɐu35	走 行走
奏	tsɐu33	奏 节奏
湊	tsʰɐu33	凑 凑数，凑热闹
嗽	ɬɐu33	嗽 咳嗽
鉤	ŋɐu55	钩 鱼钩
溝	kɐu55	沟 沟通
狗	kɐu35	狗 小狗
够	kɐu33	够 足够
購	kʰɐu33	购 购买
勾	ŋɐu55	勾 勾引，勾当
口	hɐu35	口 门口
扣	kʰɐu33	扣 扣钱
藕	ŋɐu13	藕 莲藕
偶	ŋɐu13	偶 配偶；偶然
喉	hɐu21	喉 喉咙
後	hɐu21	后 后来
厚	hɐu13	厚 忠厚
候	hɐu21	候 时候，等候
歐	ɐu55	欧 欧洲
嘔	ɐu35	呕 呕吐
漚	ɐu33	沤 久浸水中（沤肥）
否	fɐu35	否 否定
富	fu33	富 富贵
副	fu33	副 正副（副省长）
浮	fɐu21	浮 浮动；轻浮
婦	fu13	妇 妇女
謀	mɐu21	谋 阴谋
矛	mau21	矛 矛盾
扭	nɐu35	扭 扭动
流	lɐu21	流 流动
劉	lɐu21	刘 姓
留	lɐu21	留 留下
柳	lɐu13	柳 柳树
廖	liu21	廖 姓
揪	tsʰɐu55	揪 揪头发
酒	tsɐu35	酒 酒精
秋	tsʰɐu55	秋 秋天；秋千
鰍	tsʰɐu55	鳅 泥鳅
就	tsɐu21	就 成就
修	ɬɐu55	修 修理
秀	ɬɐu33	秀 清秀
繡	ɬɐu33	绣 绣花
囚	tsʰɐu21	囚 囚犯
袖	tsɐu21	袖 领袖
肘	tsɐu35	肘 手肘，肘关节
晝	tsɐu33	昼 日昼
抽	tsʰɐu55	抽 抽出
丑	tsʰɐu35	丑 子丑寅卯
綢	tsʰɐu21	绸 丝绸
籌	tsʰɐu21	筹 筹备
宙	tsɐu21	宙 宇宙
皺	ȵiɐu21	皱 皱纹
愁	tsʰɐu21	愁 发愁
驟	tsau33	骤 步骤；暴风骤雨
搜	ɬɐu35	搜 搜查，搜身
餿	ɬok055	馊 饭馊了
瘦	sɐu33	瘦 瘦小
周	tsɐu55	周 姓；周围
州	tsɐu55	州 杭州
帚	tsau35	帚 扫帚
咒	tsɐu33	咒 咒人
醜	tsʰɐu35	丑 丑陋，丑样
臭	tsʰɐu33	臭 香臭
收	sɐu55	收 秋收，收集
手	sɐu35	手 手段
守	sɐu35	守 保守
獸	sɐu33	兽 野兽
仇	tsʰɐu21	仇 报仇
酬	tsʰɐu21	酬 报酬
受	sɐu21	受 接受
壽	sɐu21	寿 寿星
授	sɐu21	授 教授
柔	iɐu21	柔 温柔
鳩	kɐu55	鸠 斑鸠
鬮	kʰɐu55	阄 抓阄
九	kɐu35	九 第九
久	kɐu35	久 长久
灸	kɐu33	灸 针灸
救	kɐu33	救 救命
究	kɐu33	究 研究
丘	hɐu55	丘 姓；山丘
求	kʰɐu21	求 要求
球	kʰɐu21	球 地球
臼	kʰɐu33	臼 脱臼
舅	kʰɐu55	舅 舅舅，舅父
舊	kɐu21	旧 新旧
牛	ŋɐu21	牛 吹牛
休	hɐu55	休 休息
嗅	tsʰɐu33	嗅 嗅觉，用鼻闻
憂	iɐu55	忧 担忧
優	iɐu55	优 优秀
尤	iɐu21	尤 尤其
郵	iɐu21	邮 邮票
有	iɐu13	有 有无
友	iɐu13	友 朋友
又	iɐu21	又 又一次
右	iɐu21	右 左右
油	iɐu21	油 花生油
游	iɐu21	游 旅游
酉	iɐu13	酉 地支第十（子丑寅卯辰巳午未申酉戌亥）
柚	iɐu13	柚 柚子，沙田柚
彪	piu55	彪 林彪
丟	tiu55	丢 丢失
糾	tɐu35	纠 纠正；纠纷
幽	iɐu55	幽 幽默
幼	iɐu33	幼 幼稚
耽	tam55	耽 耽误
答	tap033	答 回答
搭	tap033	搭 搭车，衣服搭在肩上
貪	tʰam55	贪 贪心
探	tʰam33	探 探路
踏	tɐp021	踏 脚踏
潭	tʰam21	潭 湘潭
譚	tʰam21	谭 姓
沓	tap021	沓 一沓纸
南	nam21	南 南方
男	nam21	男 男人
納	nap021	纳 出纳
拉	lai55	拉 拖拉
參	tsʰam55	参 参加
慘	tsʰam35	惨 悲惨
蠶	tsʰam21	蚕 蚕丝
雜	tsap021	杂 复杂
感	kam35	感 感谢
合	hɐp021	合 十合一升
鴿	kap033	鸽 鸽子
堪	hɐm55	堪 难堪
砍	hɐm35	砍 砍柴
含	hɐm21	含 包含
憾	hɐm21	憾 遗憾
合	hɐp021	合 闭合，合起来
盒	hɐp021	盒 盒子
庵	ɐm55	庵 尼姑庵
揞	ɐm35	揞 揞住
暗	ɐm33	暗 黑暗
擔	tam55	担 担任（动）
膽	tam35	胆 胆小
擔	tam33	担 挑担（名）
毯	tʰaŋ35	毯 毛毯
塔	tʰap033	塔 一座塔
遢	tʰaʔ033	遢 邋遢
塌	tʰap033	塌 倒塌
談	tʰam21	谈 谈话
痰	tʰam21	痰 吐痰
淡	tʰam13	淡 咸淡；浓淡
藍	lam21	蓝 蓝色
籃	lam21	篮 篮子
覽	lam35	览 展览
欖	lam35	榄 橄榄
濫	lam21	滥 泛滥，下三滥
纜	lam35	缆 缆绳，缆车
臘	lap021	腊 腊肉
蠟	lap021	蜡 蜡烛
慚	tsʰam21	惭 惭愧
暫	tsam21	暂 暂时
三	ɬam55	三 第三
甘	kam55	甘 甘蔗
柑	kam55	柑 芦柑
敢	kam35	敢 勇敢
橄	kam55	橄 橄榄
喊	ham33	喊 叫喊
站	tsam21	站 站立（动）；车站（名）
賺	tsaŋ21	赚 赚钱
斬	tsam35	斩 刀斩
蘸	nam13	蘸 蘸酱油
插	tsʰap033	插 插秧
閘	tsap021	闸 闸门
煠	sap021	炸 把食物放入沸水或沸油里弄熟，煠熟
杉	tsʰam13	杉 杉树
尷	kam33	尴 尴尬
減	kam35	减 加减
鹼	kaŋ35	碱 烧碱，发酵用
夾	kiap021	夹 夹子；夹东西
裌	kiap021	夹 夹衣，夹袄
恰	tsap033	恰 恰当
鹹	ham21	咸 咸淡
餡	hɐm21	馅 汤圆馅，饺子馅
狹	kiap021	狭 狭窄
峽	kiap021	峡 三峡，峡谷
衫	sam55	衫 衬衫
監	kam55	监 监视，监牢
鑒	kam33	鉴 鉴定
甲	kap033	甲 天干第一
胛	kap033	胛 肩胛
巖	ŋam21	岩 岩石，石灰岩
銜	hɐm21	衔 军衔
艦	lam21	舰 军舰
匣	hɐp021	匣 匣子
鴨	ap033	鸭 鸭子
押	aʔ033	押 押送
壓	aʔ033	压 压力
貶	piaŋ35	贬 贬值
黏	nim55	黏 黏米，黏合剂
聶	nip021	聂 姓
鐮	lim21	镰 镰刀
簾	lim21	帘 窗帘
斂	lim35	敛 收敛
獵	lit021	猎 打猎
尖	tsiam55	尖 尖刀
殲	tsʰin55	歼 歼灭
接	tsip033	接 接待
籤	tsʰiam55	签 牙签
簽	tsʰiam55	签 签名
妾	tsʰip033	妾 妻妾
潛	tsʰim13	潜 潜水
漸	tsim21	渐 逐渐
捷	tsʰit033	捷 捷报
粘	na55	粘 粘贴
占	tsim55	占 占卜，占卦
佔	tsim33	占 占有，占地方
摺	tsip033	折 折被子，折纸
陝	sim35	陕 陕西
閃	sim35	闪 闪电
攝	nip033	摄 摄影
涉	sip021	涉 干涉
染	nim13	染 污染
檢	kim35	检 检查
臉	lim13	脸 脸色
鉗	kʰiam21	钳 钳子
儉	kim21	俭 节俭
驗	nim21	验 试验
險	him35	险 危险
淹	im35	淹 淹没，淹水
閹	im55	阉 阉割，阉鸡
掩	im35	掩 掩护
厭	im33	厌 讨厌
炎	im21	炎 炎热
鹽	im21	盐 食盐
閻	in21	阎 阎王
艷	in21	艳 鲜艳
焰	in21	焰 火焰
葉	ip021	叶 树叶
頁	ip021	页 一页
劍	kim33	剑 宝剑
劫	kʰip033	劫 抢劫（老）
欠	him33	欠 欠债
嚴	ȵim21	严 严格
業	ȵip021	业 事业
脅	hip021	胁 威胁
醃	ip033	醃 用盐腌制肉菜（阴平）
腌	ip033	腌 用盐腌制肉菜（阴入）
掂	tim55	掂 掂分量
點	tim35	点 点头
店	tim33	店 商店
跌	tit033	跌 跌打损伤
添	tʰim55	添 添加
舔	liam13	舔 以舌取物
貼	tʰip033	贴 张贴
甜	tʰim21	甜 甜蜜
碟	tip21	碟 碟子
蝶	tip21	蝶 蝴蝶
拈	tsim55	拈 拈花惹草
念	nim21	念 想念
兼	kim55	兼 兼职
挾	kiap21	挟 挟菜
謙	him55	谦 谦虚
歉	him33	歉 道歉
嫌	him21	嫌 嫌弃
協	hip021	协 协作
法	faʔ033	法 办法
凡	faŋ21	凡 凡是
帆	faŋ21	帆 船帆
范	faŋ21	范 姓；模范
犯	faŋ21	犯 犯法
乏	faʔ021	乏 乏力，缺乏
稟	peŋ35	禀 禀报
品	pʰɐŋ35	品 品德
賃	ȵiɐm21	赁 租赁
林	lɐm21	林 树林
臨	lɐm21	临 临时
立	lap021	立 立正
笠	lɐp055	笠 斗笠
粒	nɐp055	粒 颗粒
浸	tsɐm33	浸 浸水
侵	tsʰɐm33	侵 侵略
寢	tsʰɐm35	寝 寝室
集	tsap021	集 集体
輯	tsʰɐp055	辑 编辑
心	ɬɐm55	心 心思
尋	tsʰɐm21	寻 寻找
習	tsap021	习 学习
襲	tsap021	袭 袭击
砧	tsɐm55	砧 砧板
沉	tsʰɐm21	沉 沉浮
蟄	tsek021	蛰 惊蛰
岑	kʰɐm21	岑 姓
森	sɐm55	森 森林
參	sɐm55	参 人参
滲	tsʰam33	渗 渗水
針	tsɐm55	针 针对
斟	tsɐm55	斟 斟酒
枕	tsɐm35	枕 枕头（名）；枕枕头（动）
執	tsɐp055	执 执行
汁	tsɐp055	汁 果汁
深	sɐm55	深 深入
沈	sɐm35	沈 沈阳
嬸	sɐm35	婶 叔之妻
濕	sɐp055	湿 湿润
甚	sɐm21	甚 甚至
十	sɐp021	十 第十
壬	ȵɐm022	壬 天干第九
任	ȵiɐm21	任 姓；责任
入	iɐp021	入 进入
今	kɐm55	今 今天
金	kɐm55	金 金银
襟	kʰɐm55	襟 连襟
錦	kɐm35	锦 锦绣
禁	kɐm33	禁 禁止
急	kɐp055	急 急忙
級	kʰɐp055	级 年级
琴	kʰɐm21	琴 弹琴
禽	kʰɐm21	禽 家禽
妗	kʰɐm55	妗 舅母
及	kɐp021	及 及时
吸	kʰɐp055	吸 呼吸
音	iɐm55	音 音乐
陰	iɐm55	阴 阴天
飮	ȵiɐm35	饮 米汤（名）；饮酒（动）
淫	ȵiɐm21	淫 淫荡
單	taŋ55	单 单独
丹	taŋ55	丹 人丹
疸	tʰaŋ35	疸 黄疸
旦	taŋ33	旦 元旦
灘	tʰaŋ55	滩 沙滩
攤	tʰaŋ55	摊 摊开
坦	tʰaŋ35	坦 坦白
嘆	tʰaŋ33	叹 叹气
炭	tʰaŋ33	炭 木炭
彈	tʰaŋ21	弹 弹琴
檀	tʰaŋ21	檀 檀香
彈	taŋ21	弹 子弹
但	taŋ21	但 但是
達	taʔ021	达 达到
難	naŋ21	难 很难；患难
捺	nai33	捺 撇捺
蘭	laŋ21	兰 兰花
攔	laŋ21	拦 拦住
欄	laŋ21	栏 栏杆
懶	laŋ13	懒 懒惰
爛	laŋ21	烂 腐烂
辣	laʔ021	辣 泼辣；辣椒
贊	tsaŋ33	赞 赞助
餐	tsʰaŋ55	餐 快餐
燦	tsʰaŋ33	灿 灿烂
擦	tsʰaʔ033	擦 擦洗
殘	tsʰaŋ21	残 残疾
珊	saŋ33	珊 珊瑚（老）
散	ɬaŋ33	散 散开
傘	ɬaŋ33	伞 雨伞
散	ɬaŋ33	散 分散，松散
薩	ɬaʔ033	萨 菩萨
乾	kɔŋ55	干 干湿
肝	kɔŋ55	肝 猪肝
稈	kɔŋ35	秆 禾秆
趕	kɔŋ35	赶 赶走
幹	kɔŋ33	干 干点事，干部，实干
割	kɔʔ033	割 收割
葛	kɔʔ033	葛 诸葛亮；粉葛
看	hɔŋ33	看 看守，看牛
刊	hɔŋ35	刊 报刊
看	hɔŋ33	看 看见
渴	hɔʔ033	渴 口渴
岸	ŋɔŋ21	岸 口岸
鼾	hɔŋ21	鼾 鼾声
罕	hɔŋ13	罕 罕见，稀罕
漢	hɔŋ33	汉 汉族
喝	hɔʔ033	喝 喝酒；喝彩
寒	hɔŋ21	寒 寒冷
韓	hɔŋ21	韩 韩国
旱	hɔŋ13	旱 干旱
焊	hɔŋ21	焊 电焊
汗	hɔŋ21	汗 出汗
安	ɔŋ55	安 安全
按	ɔŋ33	按 按照
案	ɔŋ33	案 档案
扮	pʰaŋ33	扮 打扮
八	paʔ033	八 第八
盼	pʰaŋ33	盼 盼望
辦	paŋ21	办 办法
瓣	paŋ21	瓣 花瓣
拔	paʔ021	拔 选拔
盞	tsaŋ35	盏 灯盏
紮	tsaʔ033	扎 驻扎
鏟	tsʰaŋ35	铲 铲草
察	tsʰaʔ033	察 观察
山	saŋ55	山 山顶
產	tsʰaŋ35	产 生产
殺	saʔ033	杀 自杀
艱	kaŋ55	艰 艰苦
間	kaŋ55	间 中间；房间
簡	kaŋ35	简 简单
揀	kaŋ35	拣 拣菜
間	kaŋ33	间 间断；间谍
眼	ŋaŋ35	眼 眼镜
閑	haŋ21	闲 空闲
限	hɐŋ21	限 限制，有限
莧	in21	苋 苋菜
班	paŋ55	班 班级
斑	paŋ55	斑 雀斑
板	paŋ35	板 石板
攀	pʰaŋ55	攀 高攀
蠻	maŋ21	蛮 野蛮
慢	maŋ21	慢 快慢
棧	tsaŋ21	栈 客栈
鍘	tsap021	铡 铡刀
刪	saŋ33	删 删除
疝	saŋ55	疝 疝气
奸	kaŋ55	奸 奸臣
顏	ŋaŋ21	颜 颜色
雁	ŋaŋ21	雁 大雁
瞎	hɐʔ021	瞎 瞎子
轄	hɐʔ021	辖 管辖
晏	aŋ33	晏 天晚
鞭	pin55	鞭 皮鞭
編	pʰin55	编 编书，编辑
變	pin33	变 改变
別	pit021	别 区别（名）；离别（动）
鱉	pit033	鳖 甲鱼
篇	pʰiaŋ55	篇 一篇
偏	pʰin55	偏 偏僻
騙	pʰin33	骗 欺骗
辯	pin21	辩 辩论
便	pin21	便 方便
綿	min21	绵 海绵
棉	min21	棉 棉花
免	min13	免 免除
勉	min13	勉 勉强
面	min21	面 面子
滅	mit021	灭 消灭
碾	ŋiaŋ35	碾 碾米
連	lin21	连 大连；连长
聯	lin21	联 联系；对联
列	lit021	列 排列
裂	liaʔ033	裂 裂开，分裂
煎	tsin55	煎 煎药
剪	tsin35	剪 铰剪
箭	tsin33	箭 射箭
遷	tsʰin55	迁 迁移
淺	tsʰin35	浅 深浅
錢	tsʰin21	钱 钱财
踐	tsin21	践 实践
賤	tsin21	贱 犯贱
仙	ɬin55	仙 神仙
鮮	ɬin55	鲜 新鲜
癬	ɬin35	癣 脚癣
綫	ɬin33	线 线索
薛	ɬit033	薛 姓
泄	ɬit033	泄 泄漏，排泄
羨	ɬin21	羡 羡慕
展	tsin35	展 发展
哲	tsit033	哲 哲学
蜇	tsit033	蜇 蝎子蜇人；海蜇
徹	tsʰit033	彻 彻底
撤	tsʰit033	撤 撤退，撤走
纏	tsʰin21	缠 纠缠
氈	tsin55	毡 油毛毡
戰	tsin33	战 战斗
折	tsit033	折 折断；折扣
浙	tsit033	浙 浙江
舌	sit021	舌 舌头
扇	sin33	扇 扇子（名）；扇扇子（动）
設	sit033	设 设计
蟬	sim21	蝉 蝉蜕，知了
禪	sim21	禅 禅宗
善	sin21	善 善良
鱔	sin13	鳝 鳝鱼，黄鳝
折	tsit033	折 折本；摔折手臂
然	in21	然 居然，然后
燃	in21	燃 燃烧
熱	ȵit021	热 热烈
遣	hin35	遣 遣责
乾	kʰin21	乾 乾坤
件	kin21	件 一件
傑	kit021	杰 杰出
孽	nip033	孽 作孽
延	in21	延 延安
演	in35	演 演出
建	kin33	建 建设
揭	kʰit033	揭 揭发
鍵	kin33	键 关键
健	kin33	健 健康
竭	kʰit033	竭 竭尽全力，衰竭
言	ȵin21	言 语言
軒	hin55	轩 人名用字（轩辕）
掀	hin55	掀 掀开
憲	hin33	宪 宪法
獻	hin33	献 贡献
歇	hit033	歇 歇一下
蝎	kʰit33	蝎 蝎子
邊	pin55	边 旁边
蝙	pʰin55	蝙 蝙蝠
扁	piaŋ35	扁 扁担
匾	piaŋ35	匾 牌匾
遍	pʰiaŋ33	遍 一遍；遍地
片	pʰiaŋ33	片 片面
撇	pʰit033	撇 撇开；一撇一捺
辮	pin55	辫 辫子
眠	min21	眠 安眠
麵	min21	面 面条
篾	mit021	篾 竹篾
顚	tin55	颠 颠倒
癲	tin55	癫 癫狗，疯癫
典	tin35	典 词典
天	tʰin55	天 晴天
鐵	tʰit033	铁 钢铁
田	tʰin21	田 田地
塡	tʰin21	填 填空
電	tin21	电 电灯
墊	tʰim13	垫 垫钱；座垫
年	nin21	年 过年
憐	lin21	怜 可怜（新）
蓮	lin21	莲 莲花
練	lin21	练 练习
楝	lin21	楝 苦楝树
鏈	lin21	链 项链
薦	tsin33	荐 推荐
節	tsit033	节 节约
千	tsʰin55	千 千万
切	tsʰit033	切 切开
前	tsʰin21	前 从前
截	tsit021	截 截断
先	ɬin55	先 先进
屑	ɬit033	屑 木屑（名）；不屑一顾（动）
肩	kin55	肩 肩膀
堅	kin55	坚 坚强
繭	kaŋ35	茧 蚕茧
趼	kaŋ35	趼 老茧（手脚掌上）
見	kin33	见 见识
結	kit033	结 结果
潔	kit033	洁 清洁
牽	hin55	牵 牵牛花
硏	ȵieŋ21	研 研究
硯	in21	砚 砚台
顯	hin35	显 明显
賢	hin21	贤 贤惠
現	in21	现 出现
煙	in55	烟 香烟
燕	in33	燕 燕子
宴	in33	宴 宴会
般	pun55	般 一般
搬	pun55	搬 搬家
半	pun33	半 半天
撥	put033	拨 拨款
潘	pʰun55	潘 姓
判	pʰun33	判 审判
潑	pʰut033	泼 泼水
盤	pʰun21	盘 算盘
伴	pʰun33	伴 伙伴
拌	pʰun33	拌 搅拌
叛	pʰun33	叛 叛徒
瞞	mun21	瞒 隐瞒
饅	maŋ21	馒 馒头
鰻	maŋ21	鳗 鳗鱼
滿	mun13	满 满意，装满
漫	maŋ21	漫 漫画
末	mut021	末 末尾
沫	mut021	沫 泡沫
抹	maʔ033	抹 抹布；抹汗
端	tun55	端 端午
短	tun35	短 长短
鍛	tun21	锻 锻炼
脫	tʰut033	脱 摆脱
團	tʰun21	团 团结
斷	tʰun13	断 断绝，线断了
段	tun21	段 阶段
緞	tun21	缎 绸缎
奪	tut021	夺 夺权
暖	nun13	暖 暖和
卵	lun13	卵 鸡卵（鸡蛋）
亂	lun21	乱 混乱
捋	lut033	捋 捋袖
鑽	tsui55	钻 钻一个洞（动）
鑽	tsun33	钻 电钻（名）
竄	tsʰyn35	窜 东窜西窜
撮	tsiap055	撮 一撮胡子
酸	ɬun55	酸 酸味
算	ɬun33	算 计算
蒜	ɬun33	蒜 蒜头
官	kun55	官 当官
觀	kun55	观 参观
管	kun35	管 管理
館	kun35	馆 图书馆
灌	kun33	灌 灌溉，灌水
罐	kun33	罐 罐头
冠	kun33	冠 冠军
括	kʰut033	括 包括
寬	fun55	宽 宽敞
款	fun35	款 汇款
闊	fut033	阔 开阔
玩	ŋɔŋ21	玩 玩具，游玩
歡	fun55	欢 喜欢
喚	wun21	唤 呼唤，唤醒
完	in21	完 完全
丸	in21	丸 药丸
緩	wun21	缓 迟缓，缓期
換	wun21	换 交换
活	wut021	活 生活
碗	wun35	碗 饭碗
頑	ŋɔŋ21	顽 顽皮，顽固
幻	ʋaŋ21	幻 幻想
滑	ʋaʔ021	滑 滑稽，滑倒
猾	ʋaʔ021	猾 狡猾
挖	ʋaʔ033	挖 挖地
刷	saʔ033	刷 牙刷
關	kwaŋ55	关 关门
慣	kwaŋ33	惯 习惯
刮	kwaʔ033	刮 搜刮
還	ʋaŋ21	还 还有；还原，还钱
環	ʋaŋ21	环 环境
患	ʋaŋ21	患 忧患；患病
彎	ʋaŋ55	弯 弯曲
灣	ʋaŋ55	湾 海湾
戀	lin35	恋 恋爱
劣	lut033	劣 恶劣
全	tsʰyn21	全 全部
泉	tsʰin21	泉 泉水
絕	tsit021	绝 绝对
宣	ɬin55	宣 宣传
選	ɬin35	选 选举
雪	ɬit033	雪 下雪
轉	tsin35	转 转送，转学
轉	tsin33	转 转螺丝，转圆圈
啜	sɔʔ033	啜 啜奶
傳	tsʰyn21	传 传达
專	tsin55	专 专门
磚	tsin55	砖 砖头
川	tsʰin55	川 四川
穿	tsʰin55	穿 穿着
喘	tsʰin35	喘 哮喘
串	tsʰin33	串 串通
船	sin21	船 轮船
說	sit033	说 小说
軟	ȵin13	软 软硬
捲	kiaŋ35	卷 卷起（动）
眷	kin33	眷 家眷，眷属
卷	kiaŋ35	卷 试卷（名）
圈	kʰiaŋ55	圈 圆圈
拳	kʰin21	拳 拳头
權	kʰin21	权 权力
圓	in21	圆 圆圈
員	in21	员 人员
院	in21	院 院子
緣	in21	缘 缘分
沿	in21	沿 沿路
鉛	in21	铅 铅笔
捐	kin55	捐 捐款
悅	it021	悦 愉悦
閱	it021	阅 阅读
藩	faŋ21	藩 曾国藩
反	faŋ35	反 反对
販	faŋ33	贩 贩卖
髮	faʔ033	发 头发
發	faʔ033	发 发财
翻	faŋ55	翻 翻转
番	faŋ55	番 几番
煩	faŋ21	烦 麻烦
繁	faŋ21	繁 繁华
飯	faŋ21	饭 吃饭
罰	faʔ021	罚 罚款
晚	maŋ13	晚 晚上
萬	maŋ21	万 一万
襪	maʔ021	袜 袜子
勸	hin33	劝 规劝
券	kin33	券 国库券，证券
元	in21	元 元旦
原	ȵin21	原 原来
願	ȵin21	愿 愿望
月	ȵit021	月 月亮
喧	ɬin55	喧 喧闹
冤	in55	冤 冤枉
怨	in33	怨 埋怨
袁	in21	袁 姓
園	in21	园 花园
遠	in13	远 远近
越	it021	越 越来越
曰	iek021	曰 子曰
粵	it021	粵 粤菜
决	kʰit033	决 决定
犬	hin35	犬 狗
缺	kʰit033	缺 缺钱，缺口
血	hit033	血 流血
懸	hin21	悬 悬崖
縣	in21	县 行政单位
穴	it021	穴 穴位
淵	in55	渊 深渊
吞	tʰɐŋ55	吞 吞口水
跟	kɐŋ55	跟 跟随
根	kɐŋ55	根 树根
懇	hɐŋ35	恳 恳求
墾	hɐŋ35	垦 开垦
痕	hɐŋ21	痕 痕迹
很	hɐŋ35	很 很多
恨	hɐŋ21	恨 仇恨
恩	iɐŋ55	恩 恩德
賓	pɐŋ55	宾 贵宾
檳	pɐŋ55	槟 槟榔
殯	pɐŋ33	殡 出殡
筆	pɐʔ055	笔 毛笔
畢	pɐʔ055	毕 毕业
必	pit033	必 必须
匹	pʰɐʔ055	匹 匹配；一匹布
貧	pʰɐŋ21	贫 贫农
民	mɐŋ21	民 人民
敏	mɐŋ13	敏 灵敏
密	mɐʔ021	密 秘密
蜜	maʔ021	蜜 蜂蜜
鄰	lɐŋ21	邻 邻居
鱗	lɐŋ21	鳞 鱼鳞
栗	lɐʔ021	栗 栗子
津	tsɐŋ55	津 天津
進	tsɐŋ33	进 前进
親	tsʰɐŋ55	亲 亲戚
親	tsʰɐŋ55	亲 亲家
七	tsʰɐʔ055	七 第七
漆	tsʰɐʔ055	漆 油漆
秦	tsʰɐŋ21	秦 秦国；姓
盡	tsɐŋ21	尽 尽早；尽量；尽头
