#漢字	音標	解釋
酥	ɬu55	酥 酥油，酥饼
素	ɬu33	素 吃素；朴素
訴	ɬu33	诉 告诉；诉讼
姑	ku55	姑 姑娘
孤	ku55	孤 孤独
箍	kʰu55	箍 紧箍咒
古	ku35	古 古代
估	ku55	估 估计
牯	ku35	牯 牛牯
股	ku35	股 股票
鼓	ku35	鼓 鼓励
故	ku33	故 故事
固	ku33	固 固定
雇	ku33	雇 雇主
顧	ku33	顾 照顾
枯	kʰu33	枯 枯萎
苦	fu35	苦 吃苦
庫	fu33	库 水库
褲	fu33	裤 裤子
吳	ŋŋ̍21	吴 姓
蜈	ŋŋ̍21	蜈 蜈蚣
五	ŋŋ̍13	五 第五
午	ŋŋ̍13	午 中午
誤	ŋŋ̍21	误 错误
呼	fu55	呼 呼吸
虎	fu35	虎 老虎
戽	fu33	戽 戽水
胡	fu21	胡 二胡；姓
湖	fu21	湖 太湖
壺	fu21	壶 水壶
乎	fu21	乎 在乎
戶	fu13	户 户口
互	fu21	互 互相
護	fu21	护 保护
烏	wu55	乌 乌鸦
污	wu55	污 污染
塢	wu55	坞 船坞
惡	wu33	恶 厌恶
女	nui13	女 女儿
廬	lu21	庐 庐山
呂	lui13	吕 姓
旅	lei13	旅 旅游
慮	lei21	虑 考虑
蛆	tsʰu55	蛆 蛆虫
徐	tsʰi21	徐 姓
序	tsei21	序 秩序
叙	tsei21	叙 叙述
豬	tsi55	猪 猪肉
著	tsi33	著 著名
除	tsʰi21	除 除法
儲	tsʰi13	储 储蓄
箸	tsi21	箸 筷子；箸笼
阻	tso35	阻 阻力
初	tsʰo55	初 初中
楚	tsʰo35	楚 清楚
鋤	tsʰo21	锄 锄头
助	tso21	助 帮助
梳	so55	梳 梳头
蔬	so55	蔬 蔬菜
所	so35	所 所以
諸	tsi55	诸 诸葛亮
煮	tsi35	煮 煮饭
處	tsʰi35	处 处理
處	tsʰi33	处 处所
書	si55	书 书本
暑	si35	暑 暑假
鼠	si35	鼠 老鼠
恕	si33	恕 饶恕
薯	si21	薯 番薯
如	i21	如 如果
居	kei55	居 居民
車	kei55	车 车马炮
舉	kei35	举 举报
據	kei21	据 收据
鋸	kei33	锯 电锯
墟	hui55	墟 废墟
去	hœy33	去 来去
渠	kei21	渠 水渠
佢	kʰei13	佢 他；她；它
巨	kei21	巨 巨大
距	kʰei13	距 距离
魚	ȵi21	鱼 金鱼
語	ȵi13	语 语文
禦	i21	御 防御
虛	hei55	虚 虚心
許	hei35	许 许多
淤	i55	淤 淤泥
余	i21	余 姓；多余
與	i13	与 给与；参与
預	i21	预 预备
夫	fu55	夫 夫妻
府	fu35	府 广府
脯	pʰu35	脯 杏脯
斧	pu35	斧 斧头
付	fu21	付 应付
敷	fu55	敷 敷药
麩	kʰu55	麸 麦麸
撫	mu35	抚 抚养
赴	fu21	赴 奔赴；赴汤蹈火
符	fu21	符 符合
扶	fu21	扶 扶手
父	fu21	父 父亲
腐	fu21	腐 豆腐
附	fu21	附 附近
無	mou13	无 没有；无中生有
武	mu13	武 武力
舞	mu35	舞 跳舞
務	mu21	务 任务
霧	mu21	雾 大雾
屢	lui13	屡 屡教不改
趨	tsʰei55	趋 趋势
取	tsʰei35	取 取得
趣	tsʰei33	趣 兴趣
聚	tsei21	聚 聚会
鬚	ɬu55	须 胡须
需	ɬui55	需 需要
蛛	tsi55	蛛 蜘蛛
駐	tsi21	驻 驻扎，驻军
廚	tsʰi21	厨 厨房
柱	tsʰi13	柱 柱子
住	tsi21	住 住宿
數	su33	数 数星星（动词）
數	su33	数 少数（名词）
朱	tsi55	朱 姓
珠	tsi55	珠 珍珠
主	tsi35	主 主人
注	tsi33	注 注意
鑄	tsi33	铸 铸铁
輸	si55	输 输赢；运输
殊	si21	殊 特殊
豎	si21	竖 横竖
樹	si21	树 树木
儒	i21	儒 儒家
乳	nui13	乳 乳房
拘	kʰei55	拘 拘留
矩	kei35	矩 规矩
句	kei33	句 句子
區	kʰei55	区 地区
具	kei21	具 具体；家具
愚	i21	愚 愚蠢
娛	ŋŋ̍21	娱 娱乐
遇	i13	遇 遇见
迂	i55	迂 迂回
于	i55	于 姓
雨	i13	雨 下雨
羽	i13	羽 羽毛
芋	wu21	芋 芋头
愉	i21	愉 愉快
裕	i21	裕 富裕
獃	ŋɔi55	呆 发呆
戴	tai33	戴 戴帽
胎	tʰɔi55	胎 双胞胎
態	tʰai33	态 态度
貸	tʰai33	贷 贷款
臺	tʰɔi21	台 台湾；天台
苔	tʰo21	苔 青苔
抬	tʰɔi21	抬 担抬，两个人抬
待	tɔi21	待 等待
代	tɔi21	代 代表
袋	tɔi21	袋 口袋
乃	nai13	乃 人名用字
耐	nɔi21	耐 耐心
來	lɔi21	来 过来
災	tsɔi55	灾 水灾
宰	tsɔi35	宰 宰相
再	tsɔi33	再 再来
載	tsɔi33	载  载重；满载
猜	tsʰai55	猜 猜谜
彩	tsʰɔi35	彩 彩色
睬	tsʰɔi35	睬 理睬
菜	tsʰɔi33	菜 青菜
