#漢字	音標	解釋
扯	tʃʰa31	扯：～开，～烂
蛇	ʃa11	蛇：毒～
射	ʃa53	射：发～，～箭
麝	ʃa53	麝：～香
奢	tʃʰa44	奢：～侈
賒	tʃʰa44	赊：～帐
捨	ʃa31	舍：～唔得（舍不得）
赦	ʃa53	赦：～免
舍	ʃa53	舍：宿～
社	ʃa44	社：～会，公～
惹	nia44	惹：～事
耶	ʒa11	耶：～稣
爺	ʒa11	爷：父亲[文]
也	ʒa44	也：～知
野	ʒa44	野：～人
夜	ʒa53	夜：日～，～班
傻	sɔ11	傻：～瓜，～子
瓜	ka44	瓜：西～，～分
蝸	vɔ44	蜗：～牛
寡	ka31	寡：～妇，守～
剮	ka31	剐：千刀万～
誇	kʰa44	夸：～大，～张
垮	kʰa44	垮：～台
跨	kʰa44	跨：～栏，～度
娃	va44	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa44	花：开～
化	fa53	化：变～
華	fa11	华：中～
劃	fa11	划：～船
華	fa11	华：～山；姓
蛙	va44	蛙：青～，～泳
補	pu31	补：～鞋，～充
譜	pʰu31	谱：族～，歌～
布	pu53	布：红～，～料
佈	pu53	布：公～，～置
鋪	pʰu44	铺：～路，床～
普	pʰu44	普：～通，～遍
浦	pʰu31	浦：黄～江
鋪	pʰu53	铺：店～，当～
怖	pu53	怖：恐～
蒲	pʰu11	蒲：（石）菖～
菩	pʰu11	菩：～萨
脯	pʰu11	脯：胸～
部	pʰu53	部：～队，干～
簿	pʰu44	簿：练习～，帐～
步	pʰu53	步：跑～
捕	pʰu31	捕：逮～，～快
埠	fiu53	埠：开～
模	mɔ44	模：～型，～范
摹	mɔ11	摹：～仿，描～
暮	mu53	暮：日暮
慕	mu53	慕：羡～，～名而来
墓	mu53	墓：坟～，～地
募	mu53	募：～捐
都	tu44	都：首～，～市
都	tu44	都：都係
堵	tu31	堵：～车，～塞
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
妬	tu53	妒：～忌
土	tʰu31	土：～地
吐	tʰu53	吐：～痰；呕～
兔	tʰu53	兔：野～
徒	tʰu11	徒：～弟
屠	tʰu11	屠：～杀
途	tʰu11	途：前～
塗	tʰu11	涂：糊～，～改
圖	tʰu11	图：画～，地～
杜	tʰu53	杜：姓；杜仲（中药）
肚	tu31	肚：肚子
度	tʰu53	度：～数，长～
渡	tʰu53	渡：偷～，摆～
鍍	tʰu53	镀：电～
奴	nu11	奴：～隶
努	nu31	努：～力
怒	nu53	怒：愤～，～气
盧	lu11	卢：姓
爐	lu11	炉：火～
蘆	lu11	芦：～苇
鸕	lu11	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu44	鲁：～国，～迅
虜	lu31	虏：俘～
滷	lu44	卤：盐～，～水
路	lu53	路：大～
賂	ʒu53	赂：贿～
露	lu53	露：～水，白～，打～
鷺	lu53	鹭：白～
租	tsɿ44	租：～金，出～
祖	tsɿ31	祖：～宗，～国
組	tsɿ44	组：～织，小～
做	tsɔ53	做：～好事
粗	tsʰɿ44	粗：～心
醋	tsʰɿ53	醋：陈～
措	tsʰɿ53	措：～施
錯	tsʰɔ53	错：～误
蘇	sɿ44	苏：～州；姓
酥	sɿ44	酥：脆，杏仁～
素	sɿ53	素：～菜，朴～
訴	sɿ53	诉：上～，倾～
塑	sɔk1	塑：雕～，～料
姑	ku44	姑：大～
孤	ku44	孤：～儿，～单
箍	ku44	箍：紧～咒[文]
箍	kʰiu44	箍：围束，～桶[白]
古	ku31	古：～代
估	kʰu44	估：～计
牯	ku31	牯：牛～
股	ku31	股：～票
鼓	ku31	鼓：锣～，～励
故	ku53	故：～事，～乡
蠱	ku31	蛊：养～，～惑
固	ku53	固：～定
錮	ku53	锢：禁～
雇	ku53	雇：～人，～主
顧	ku53	顾：照～
枯	kʰu44	枯：干～，～水
苦	kʰu31	苦：辛～，食～（吃苦）
苦	fu31	苦：～味
庫	kʰu53	库：水～，仓～
褲	fu53	裤：裤子
吳	nŋ̍11	吴：姓
蜈	nŋ̍11	蜈：～蚣
梧	nŋ̍11	梧：～桐
五	nŋ̍31	五：数字
伍	nŋ̍31	伍：姓；队～
午	nŋ̍31	午：中～，端～
誤	ŋu53	误：～会，错～
悟	ŋu53	悟：觉～；孙～空
呼	fu44	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu11	虎：马～
滸	fu11	浒：水～
戽	fu53	戽：～水（泼水），～斗
胡	fu11	胡：二～ ；姓
湖	fu11	湖：西～
狐	fu11	狐：～狸
壺	fu11	壶：水～
乎	fu11	乎：在～
瓠	fu11	瓠：瓠卢，同葫芦
鬍	fu11	胡：～须
蝴	fu11	蝴：～蝶
糊	fu11	糊：浆～，～涂
戶	fu53	户：～口
滬	fu53	沪：上海简称
互	fu44	互：～相
護	fu53	护：保～，～士
瓠	pʰu11	瓠：瓠瓜（味似葫芦而长）
烏	vu44	乌：黑
污	vu44	污：～染
塢	vu44	坞：船～
惡	ɔk1	恶：可～
女	ni31	女：女人
廬	lu11	庐：～山
驢	lu11	驴：毛驴
呂	li44	吕：姓
旅	li31	旅：～游
慮	li53	虑：考～
濾	li53	滤：过～
蛆	tsɿ44	蛆：蛆虫，生～
絮	si53	絮：棉～
徐	tsʰi11	徐：姓
序	si53	序：顺～
敍	si53	叙：倒～
緖	si53	緖：情～；光～
豬	tʃu44	猪：～肉
著	tʃu53	著：～名，显～
除	tʃʰu11	除：～法
儲	ʃu11	储：～蓄
苧	tʃʰu44	苎：～麻
箸	tʃʰu53	箸：筷子
阻	tsɿ31	阻：～止，～力
初	tsʰɔ44	初：当～，～中
楚	tsʰɔ31	楚：清～
礎	tsʰɔ31	础：基～
鋤	tʃʰu11	锄：～草，～禾日当午
助	tsʰɿ53	助：帮～
梳	sɔ44	梳：梳子[名]；梳头[动]
疏	sɔ44	疏：～远；稀疏
疏	sɔ44	疏：生～
蔬	sɔ44	蔬：～菜
所	sɔ31	所：～以；派出～
疏	sɔ44	疏：注～
諸	tʃu44	诸：姓；～如此类
煮	tʃu31	煮：～饭
處	tʃʰu53	处：～理
處	tʃʰu53	处：～所
書	ʃu44	书：读～
舒	ʃu44	舒：～服
暑	ʃu31	暑：～假
鼠	tʃʰu31	鼠：老～
庶	ʃu53	庶：～民
恕	ʃu53	恕：宽～
署	ʃu31	署：～名
薯	ʃu11	薯：番～
如	ʒɿ11	如：～果，假～
居	ki44	居：～民
車	ki44	车：象棋，～马炮
舉	ki31	举：～报，～重
據	ki31	据：收～
鋸	ki53	锯：电～
墟	ʃɿ44	墟：～日
去	ʃɿ53	去：来～，过～
渠	kʰi44	渠：水～，～道
佢	ki11	佢：他，第三人称
巨	kʰi44	巨：～大
拒	kʰi44	拒：～绝
距	kʰi44	距：～离
魚	nŋ̍11	鱼：金～
漁	nŋ̍11	渔：～业，～夫
語	ni44	语：～文
御	ni53	御：～用文人
禦	ni53	御：防～
虛	ʃɿ44	虚：～心
噓	ʃɿ44	嘘：吹～
許	ʃɿ31	许：允～；姓
於	ʒɿ44	于：在～
淤	ʒɿ44	淤：～泥
余	ʒɿ11	余：姓
餘	ʒɿ11	余：多～
與	ʒɿ44	与：参～，给～，～众不同
予	ʒɿ44	予：给～
譽	ʒɿ53	誉：荣～
預	ʒɿ53	预：～报，～备
豫	ʒɿ53	豫：犹～
夫	fu44	夫：～妻，车～
膚	fu44	肤：皮～
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu31	甫：杜～
脯	pʰu31	脯：菜～（萝卜干）
斧	pu31	斧：～头
付	fu53	付：应～
咐	fu53	咐：吩～
賦	fu53	赋：天～
傅	fu53	傅：师～[文]
傅	fu53	傅：姓[白]
敷	fu44	敷：～衍，～药
俘	fu11	俘：～虏
孵	pʰu53	孵：孵小鸡
麩	fu44	麸：麦～
撫	fu31	抚：～养，安～
赴	fu53	赴：奔～，～汤蹈火
訃	pʰuk1	讣：～告
符	fu11	符：～合
扶	fu11	扶：～贫，～手[文]
扶	pʰu11	扶：搀扶，～起来[白]
芙	fu11	芙：～蓉
父	fu53	父：～亲
釜	fu31	釜：破～沉舟
腐	fu31	腐：～败
腐	fu53	腐：豆～
輔	pʰu31	辅：～导，～助
附	fu53	附：～近，～带
無	vu11	无：没有，～中生有[文]
無	mɔ11	无：没有，～事[白]
巫	ŋu11	巫：姓；～婆
誣	ŋu11	诬：～陷，～告
武	vu44	武：～器，～术
舞	vu31	舞：跳～
舞	mu31	舞：拨弄，摆弄[白，动]
侮	vu44	侮：～辱
鵡	vu44	鹉：鹦～
務	vu53	务：任～，～农
霧	vu53	雾：大～
縷	liu31	缕：千丝万～
屢	lui44	屡：～次，～教不改
趨	tsʰui44	趋：～势
取	tsʰi31	取：～钱
娶	tsʰi31	娶：嫁～
趣	tsʰi53	趣：兴～
聚	tsʰi53	聚：～会
聚	tsʰiu44	聚：捡～（收拢）[白]
須	si44	须：必～
鬚	si44	须：胡～
需	si44	需：～要
續	siuk5	续：连～，继～
誅	tʃu44	诛：天～地灭
蛛	tʃu44	蛛：蜘～
株	tʃu44	株：守～待兔
駐	tʃu53	驻：～扎
註	tʃu53	注：～释
廚	tʃʰu11	厨：～房
櫥	tʃʰu11	橱：碗～
柱	tʃʰu44	柱：柱子
住	tʃʰu53	住：～宿
雛	tʃʰu44	雏：～形
數	sɿ53	数：～落，～星星[动]
數	sɿ53	数：～字，～学
朱	tʃu44	朱：姓
珠	tʃu44	珠：珍～
主	tʃu31	主：～人，地～
注	tʃu53	注：～意
蛀	tʃu53	蛀：～虫
鑄	tʃu53	铸：～铁，～钢
樞	kʰi44	枢：中～，～纽
輸	ʃu44	输：～赢
戍	ʃu53	戍：～边
輸	ʃu44	输：运～
殊	ʃu11	殊：特～
豎	ʃu53	竖：横～
樹	ʃu53	树：～立，种～
儒	ʒɿ11	儒：～家思想
乳	ʒɿ44	乳：哺～，母～[文]
乳	niɛn53	乳：食～（吃奶），麦～精[训]
拘	ki44	拘：～留
倶	kʰi53	俱：～备，～乐部
矩	ki31	矩：规～，～形
句	ki53	句：～号
區	kʰi44	区：地～，～别
驅	kʰi44	驱：先～，～动
具	kʰi53	具：～体
懼	kʰi53	惧：恐～
愚	ŋi11	愚：～蠢，～公移山
虞	ŋi11	虞：姓，～姬
娛	ŋu11	娱：～乐
遇	ni53	遇：遭～，相～，～到
寓	ni31	寓：～言；公～
迂	ʒɿ44	迂：～回，～腐
于	ʒɿ44	于：姓；等～
吁	ʒɿ44	吁：气喘～～，长～短叹
雨	ʒɿ31	雨：落～，谷～，～水
宇	ʒɿ31	宇：～宙
禹	ʒɿ31	禹：大～治水
羽	ʒɿ31	羽：～翼未丰
芋	vu53	芋：芋头
逾	ʒɿ53	逾：超过，～期
愉	ʒɿ11	愉：～快
愈	ʒɿ53	愈：病～
喩	ʒɿ53	喻：比～
裕	ʒɿ53	裕：富～
獃	tai44	呆：书～子，发～[文]
獃	ŋuɔi11	呆：发～[白]
戴	tai53	戴：姓；～帽
胎	tʰuɔi44	胎：双胞～，～盘
台	tʰuɔi11	台：天台
態	tʰai53	态：～度，心～
貸	tʰuɔi53	贷：～款
臺	tʰuɔi11	台：～湾
苔	tʰuɔi11	苔：青～，舌～
抬	tʰuɔi11	抬：两个人抬
待	tʰuɔi53	待：等～，～人接物
怠	tʰuɔi53	怠：～慢，～工
殆	tʰuɔi53	殆：百战不～
代	tʰuɔi53	代：～替，～表
逮	tʰi53	逮：～捕
袋	tʰuɔi53	袋：袋子
乃	nai44	乃：安～近；人名用字
耐	nai53	耐：～力，～心，忍～
來	lɔi11	来：过～，～去
災	tsai44	灾：水～
栽	tsai44	栽：种，～培
宰	tsai31	宰：～相
載	tsai31	载：一年半～
再	tsai53	再：～来
載	tsuɔi53	载：～重
猜	tsʰai44	猜：～谜
彩	tsʰai31	彩：～色
採	tsʰai31	采：～集
睬	tsʰai31	睬：理睬
菜	tsʰuɔi53	菜：煮～，青～
才	tsʰuɔi11	才：人～，～气，秀～
材	tsʰuɔi11	材，药～，～料
財	tsʰuɔi11	财，发～
裁	tsʰai11	裁，～纸，剪～
纔	tsʰuɔi11	才：刚～
在	tsʰai53	在：实～，现～[文]
在	tsʰuɔi44	在：存在，还～[白]
載	tsuɔi53	载：满～而归
腮	suɔi44	腮：～腺炎，～红
鰓	suɔi44	鳃：鱼鳃
賽	sai53	赛：比～
該	kuɔi44	该：应～
改	kuɔi31	改：修～，～正
概	kʰai31	概：大～，～括
溉	kʰai31	溉：灌～
開	kʰuɔi44	开：公～，～门
凱	kʰai31	凯：～旋
慨	kʰai31	慨：慷～，感～
咳	kʰiɛt1	咳：～嗽，止～糖浆
呆	ŋuɔi11	呆：～板
礙	ŋuɔi53	碍：妨～
海	huɔi31	海：大～
孩	hai11	孩：～童
亥	huɔi53	亥：辛～革命
哀	ɔi44	哀：悲～
埃	ai44	埃：尘～，～及
愛	ɔi53	爱：～情；要
貝	pi53	贝：宝～
貝	pi53	贝：川～，～壳
沛	pʰi53	沛：充～
帶	tai53	带：鞋～
太	tʰai53	太：老～婆
泰	tʰai53	泰：～山
大	tʰai53	大：大小
奈	nai53	奈：无～，～何
賴	lai53	赖：依～，无～；姓
癩	lai53	癞：～蛤蟆[文]
癩	tʰai31	癞：～哥（癞疮）[白]
蔡	tsʰai53	蔡：姓
蓋	kuɔi53	盖：～被[动]；盖子[名]
丐	kuɔi53	丐：～帮
艾	ɔi53	艾：姓；～滋病
艾	nuɔi53	艾：艾草
害	huɔi53	害：～人
藹	ɔi31	蔼：和～，宋～龄
拜	pai53	拜：结～，礼～，～佛
排	pʰai11	排：～队
埋	mai11	埋：～伏
齋	tsai44	斋：食～（吃斋）
豺	sai11	豺：～狼
皆	kai44	皆：～大欢喜
階	kai44	阶：台～，～级
介	kai53	介：～绍，中～
界	kai53	界：世～
芥	kai53	芥：～菜
尬	kai53	尬：尴～
疥	kai53	疥：～疮
屆	kai53	届：第一～
戒	kai53	戒：～烟，猪八～
楷	kʰai31	楷：～书，～模
諧	hai11	谐：和～
駭	hai11	骇：惊～，～人听闻
械	hai53	械：机～
挨	ai44	挨：～打，～近
擺	pai31	摆：摇～
派	pʰai53	派：正～，～出所
牌	pʰai11	牌：～坊，～匾[文]
牌	pʰai11	牌：打～[白，训]
㵺	pʰai11	排：竹排
罷	pʰa53	罢：～工
稗	pʰai53	稗：～谷，～草
買	mai44	买：～卖
賣	mai53	卖：买～
奶	nai44	奶：二～，～牛
債	tsai53	债：欠～
釵	tsʰa44	钗：宝～
差	tsʰai44	差：出～
柴	tsʰai11	柴：姓；火～
篩	si44	筛：～选，～米
灑	sa31	洒：潇～，～水
佳	ka44	佳：～人，～节
街	kai44	街：～路
解	kai31	解：～释，讲～[文]
解	kai31	解：～开[白]
懈	hai53	懈：松～，坚持不～
涯	ŋai11	涯：天～
崖	ŋai11	崖：悬～
捱	ai53	捱：难～
鞋	hai11	鞋：布～
解	kai31	解：理～，了～
蟹	hai31	蟹：老～
矮	ai31	矮：高矮
敗	pʰai53	败：失～
邁	mai31	迈：豪～，～步
寨	tsʰai53	寨：山～，大～
蔽	pi53	蔽：隐～
弊	pi53	弊：作～
幣	pi53	币：人民～
斃	pi53	毙：枪～
例	li53	例：举～，～外
厲	li53	厉：严～，～害
勵	li53	励：鼓～
祭	tsi53	祭：～祀
際	tsi53	际：国～
滯	tʃʰɛ53	滞：停～，湿～（中医）
制	tʃɿ53	制：～度
製	tʃɿ53	制：～造
世	ʃɿ53	世：～界
勢	ʃɿ53	势：～力，有权有～
誓	ʃɿ53	誓：发～
逝	ʃɿ53	逝：～世
藝	ni53	艺：～术，文～晚会
蓖	pi44	蓖：～麻
閉	pi53	闭：关～
箅	pi53	箅：蒸笼中的竹屉
批	pʰi44	批：～评，大～
批	pai44	批：螺丝～
陛	pi53	陛：～下
迷	mi11	迷：入～，～路
米	mi31	米：大米
謎	mi11	谜：～语，猜～
低	tai44	低：高～
堤	tʰi11	堤：河～，～坝
底	tai31	底：水～
抵	ti31	抵：～押
抵	tai31	抵：用手抵挡
帝	ti53	帝：皇～
梯	tʰuɔi44	梯：楼～
蒂	ti53	蒂：花～，并～莲
體	tʰi31	体：～育，身～
替	tʰi53	替：代～，～身
涕	tʰi53	涕：～泪纵横
剃	tʰai53	剃：～头
題	tʰi11	题：～目，难～
提	tʰi11	提：～问，～醒
蹄	tʰai11	蹄：马～
啼	tʰi11	啼：哭哭～～[文]
啼	tʰai11	啼：鸡～[白]
弟	tʰi53	弟：兄～[文]
弟	tʰai44	弟：弟弟，老～[白]
第	tʰi53	第：～一，门～
遞	tʰi53	递：传～，邮～员
