#漢字	音標	解釋
謝	tʰɛ21	谢：多～；姓
爹	ɗɛ51	爹：～娘
遮	ʧɛ51	遮：遮挡[动]；伞[名]
者	ʧɛ35	者：记～，作～
蔗	ʧɛ33	蔗：甘蔗
車	ʧʰɛ51	车：火～
扯	ʧʰɛ35	扯：～开，～烂
蛇	ʃɛ21	蛇：毒～
射	ʃɛ21	射：发～，～箭
麝	ʃɛ35	麝：～香
奢	ʧʰɛ51	奢：～侈
賒	ʃɛ51	赊：～帐
捨	ʃɛ35	舍：～唔得（舍不得）
赦	ʃɛ33	赦：～免
舍	ʃɛ33	舍：宿～
社	ʃɛ35	社：～会，公～
惹	jɛ35	惹：～事
耶	jɛ21	耶：～稣
爺	jɛ21	爷：父亲；爷爷[文]
也	jɛ35	也：～知
野	jɛ35	野：～人
夜	jɛ21	夜：日～，～班
傻	ʃɔ21	傻：～瓜，～子
瓜	kʷa21	瓜：西～，～分
蝸	vɔ51	蜗：～牛
寡	kʷa35	寡：～妇，守～
剮	kʷa35	剐：千刀万～
誇	kʷʰa51	夸：～大，～张
垮	kʷʰa21	垮：～台
跨	kʷʰa21	跨：～栏，～度
娃	va51	娃：洋～～
瓦	ŋa13	瓦：～片
花	fa51	花：开～
化	fa33	化：变～
華	va231	华：中～
劃	væt021	划：～船
華	va231	华：～山；姓
蛙	va51	蛙：青～，～泳
補	ɓəu35	补：～鞋，～充
譜	pʰəu35	谱：族～，歌～
布	ɓəu33	布：红～，～料
佈	ɓəu33	布：公～，～置
鋪	pʰəu51	铺：～路，床～
普	pʰəu35	普：～通，～遍
浦	ɓəu33	浦：黄～江
鋪	pʰəu33	铺：店～，当～
怖	ɓəu33	怖：恐～
蒲	pəu21	蒲：（石）菖～
菩	pɔ33	菩：～萨
脯	pəu21	脯：胸～
部	pəu21	部：～队，干～
簿	pəu35	簿：练习～，帐～
步	pəu21	步：跑～
捕	pəu21	捕：逮～，～快
埠	fɐu21	埠：开～
埠	fɐu21	埠：庵～，蚌～（地名）
模	məu51	模：～型，～范
摹	məu51	摹：～仿，描～
暮	məu21	暮：日暮
慕	məu21	慕：羡～，～名而来
墓	məu21	墓：坟～，～地
募	məu21	募：～捐
都	ɗəu51	都：首～，～市
都	ɗəu51	都：都是
堵	təu35	堵：～车，～塞
賭	ɗəu35	赌：～博
肚	təu35	肚：猪～，鱼～
妬	ɗəu33	妒：～忌
土	tʰəu35	土：～地
吐	tʰəu33	吐：～痰；呕～
兔	tʰəu33	兔：野～
徒	təu21	徒：～弟
屠	təu21	屠：～杀
途	təu231	途：前～
塗	təu231	涂：糊～，～改
圖	təu231	图：画～，地～
杜	təu21	杜：姓；杜仲（中药）
肚	təu13	肚：肚子
度	təu21	度：～数，长～
渡	təu21	渡：偷～，摆～
鍍	təu21	镀：电～
奴	nəu21	奴：～隶
努	nəu35	努：～力
怒	nəu21	怒：愤～，～气
盧	ləu21	卢：姓
爐	ləu21	炉：火～
蘆	ləu21	芦：～苇
魯	ləu21	鲁：～国，～迅
虜	ləu13	虏：俘～
滷	ləu35	卤：盐～，～水
路	ləu21	路：大～
賂	ləu21	赂：贿～
露	ləu21	露：～水，白～，打～
鷺	ləu21	鹭：白～
租	ʧəu51	租：～金，出～
祖	təu51	祖：～宗，～国
組	ʧəu35	组：～织，小～
做	ʧəu33	做：～好事
粗	ʧʰəu51	粗：～心
醋	ʧʰəu33	醋：陈～
措	ʧʰəu35	措：～施
錯	tʰɔ33	错：～误
蘇	ɬəu51	苏：～州；姓
酥	ɬəu51	酥：脆，杏仁～
素	ɬəu33	素：～菜，朴～
訴	ɬəu33	诉：上～，倾～
塑	ʃɔk033	塑：雕～，～料
姑	ku51	姑：大～
孤	ku51	孤：～儿，～单
箍	kʰu51	箍：紧～咒[文]
箍	kʰu51	箍：围束，～桶[白]
古	ku35	古：～代
估	ku21	估：～计
牯	ku35	牯：牛～
股	ku35	股：～票
鼓	ku35	鼓：锣～，～励
故	ku33	故：～事，～乡
蠱	ku35	蛊：养～，～惑
固	ku35	固：～定
錮	ku35	锢：禁～
雇	ku33	雇：～人，～主
顧	ku33	顾：照～
枯	ku51	枯：干～，～水
苦	fu35	苦：辛～，食～（吃苦）
苦	fu35	苦：～味
庫	fu33	库：水～，仓～
褲	fu33	裤：裤子
吳	ŋ̍231	吴：姓
蜈	ŋ̍231	蜈：～蚣
梧	ŋ̍231	梧：～桐
五	ŋ̍13	五：数字
伍	ŋ̍13	伍：姓；队～
午	ŋ̍35	午：中～，端～
誤	ŋ̍21	误：～会，错～
悟	ŋ̍21	悟：觉～；孙～空
呼	fu51	呼：称～，～吸，招～
虎	fu35	虎：老～
虎	fu35	虎：马～
滸	fu35	浒：水～
戽	fu33	戽：～水（泼水），～斗
胡	fu231	胡：二～ ；姓
湖	fu231	湖：西～
狐	fu231	狐：～狸
壺	fu13	壶：水～
乎	fu231	乎：在～
瓠	pəu21	瓠：瓠卢，同葫芦
鬍	fu231	胡：～须
蝴	fu231	蝴：～蝶
糊	fu231	糊：浆～，～涂
戶	fu13	户：～口
滬	fu13	沪：上海简称
互	fu21	互：～相
護	fu21	护：保～，～士
瓠	pəu21	瓠：瓠瓜（味似葫芦而长）
烏	vu51	乌：黑
污	vu51	污：～染
塢	vu51	坞：船～
惡	vu33	恶：可～
女	nui13	女：女人
廬	ləu21	庐：～山
驢	ləu21	驴：毛驴
呂	lui35	吕：姓
旅	lui35	旅：～游
慮	lui21	虑：考～
濾	lui21	滤：过～
蛆	tʰui51	蛆：蛆虫，生～
絮	ɬui35	絮：棉～
徐	tʰui21	徐：姓
序	tʰui21	序：顺～
敍	tʰui21	叙：倒～
緖	ʃui35	緖：情～；光～
豬	ʧi51	猪：～肉
著	ʧi33	著：～名，显～
除	ʧʰi231	除：～法
儲	ʧʰi21	储：～蓄
箸	ʧʰi21	箸：筷子
阻	ʧɔ35	阻：～止，～力
初	ʧʰɔ51	初：当～，～中
楚	ʧʰɔ35	楚：清～
礎	ʧʰɔ35	础：基～
鋤	ʧʰɔ51	锄：～草，～禾日当午
助	ʧʰəu21	助：帮～
梳	ʃɔ51	梳：梳子[名]；梳头[动]
疏	ʃɔ51	疏：～远；稀疏
疏	ʃɔ51	疏：生～
蔬	ʃɔ51	蔬：～菜
所	ʃɔ35	所：～以；派出～
疏	ʃɔ51	疏：注～
諸	ʧi33	诸：姓；～如此类
煮	ʧi35	煮：～饭
處	ʧʰi35	处：～理
處	ʧʰi33	处：～所
書	ʃi51	书：读～
舒	ʃi51	舒：～服
暑	ʃi35	暑：～假
鼠	ʃi35	鼠：老～
庶	ʃi33	庶：～民
恕	ʃi33	恕：宽～
署	ʃi21	署：～名
薯	ʃi231	薯：番～
如	ŋ̍231	如：～果，假～
居	kɔi51	居：～民
車	ʧʰɛ51	车：象棋，～马炮
舉	kɔi35	举：～报，～重
據	kɔi33	据：收～
鋸	kɔi33	锯：电～
墟	hɔi51	墟：～日
去	hɔi33	去：来～，过～
渠	kʰɔi13	渠：水～，～道
佢	kʰɔi13	佢：他，第三人称
巨	kʰɔi13	巨：～大
拒	kʰɔi13	拒：～绝
距	kʰɔi13	距：～离
魚	ȵi231	鱼：金～
漁	ȵi231	渔：～业，～夫
語	ŋ̍13	语：～文
御	ji231	御：～用文人
禦	ji231	御：防～
虛	hɔi51	虚：～心
噓	hɔi51	嘘：吹～
許	hui35	许：允～；姓
於	ʔɔi51	于：在～
淤	ʔui35	淤：～泥
余	ji231	余：姓
餘	ji231	余：多～
與	ji231	与：参～，给～，～众不同
予	ji13	予：给～
譽	ji21	誉：荣～
預	ji21	预：～报，～备
豫	ji21	豫：犹～
夫	fu51	夫：～妻，车～
膚	fu51	肤：皮～
跗	fu21	跗：脚背，～骨
府	fu35	府：政～
腑	fu35	腑：五脏六～
俯	fu35	俯：～卧撑，～视
甫	pʰəu35	甫：杜～
脯	pʰəu35	脯：菜～（萝卜干）
斧	fu35	斧：～头
付	fu21	付：应～
咐	fu21	咐：吩～
賦	fu21	赋：天～
