#漢字	音標	解釋
圭	kʷɐi51	圭：人名用字；乌拉～
閨	kʷɐi51	闺：～房
桂	kʷɐi33	桂：～花
奎	kʷʰɐi231	奎：人名用字；～宁（药名）
攜	kʷʰɐi21	携：～带，提～
惠	vɐi21	惠：～州，优～
慧	vɐi21	慧：智～
碑	ɓei51	碑：石～，～文
卑	ɓei51	卑：自～，～鄙
彼	pʰei35	彼：～此
臂	ɓei33	臂：手～，～力
披	pʰei51	披：～肩，～露
譬	ɓei35	譬：～喻，～如
皮	pei231	皮：调～，～肤
疲	pʰei51	疲：～劳
脾	pei21	脾：～胃，～气
被	pei13	被：被子，毛巾～
婢	pʰei35	婢：奴～，～女
被	pei13	被：～动，～迫
避	pei21	避：逃～
糜	ni21	糜：～烂；粥
彌	ni21	弥：～补，阿～陀佛
離	lei231	离：～別，～开
籬	lei21	篱：～笆
璃	lei231	璃：玻～
荔	lɐi21	荔：～枝
紫	tɐi35	紫：～色
雌	ʧʰi51	雌：～雄
此	tʰei35	此：到～为止
刺	tʰei33	刺：～激，穿～
疵	tei35	疵：瑕～，吹毛求～
斯	ɬei51	斯：～大林
撕	lei51	撕：～烂
璽	ɬɔi35	玺：玉～
賜	ʧʰi33	赐：赏～
知	ʧi51	知：通～，～道，无～[文]
知	ʧi51	知：～识[文]
知	ɗei51	知：知道，唔～[白]
蜘	ʧi51	蜘：～蛛
智	ʧi33	智：～慧
池	ʧʰi13	池：水～
馳	ʧʰi13	驰：奔～
差	ʧʰa51	差：参～不齐
篩	ʃɐi51	筛：谷～，米～
支	ʧi51	支：两～笔[白，量]
支	ʧi51	支：～持，天干地～[文]
枝	ʧi51	枝：树～
肢	ʧi51	肢：四～，～体
紙	ʧi35	纸：白～
只	ʧi35	只：～有
侈	ʧʰi35	侈：奢～
舐	lim13	舐：舔
施	ʃi51	施：措～；姓
翅	ʧʰi33	翅：鱼～
匙	ʃi231	匙：锁～，汤～
是	ʃi13	是：～否，～非
氏	ʃi21	氏：姓～
豉	ʃi21	豉：豆～
兒	ŋ̍231	儿：～童
爾	nɐi231	尔：～虞我诈；保～（人名）
寄	kei33	寄：～信，～托
企	kʰei13	企：～业，～鹅
奇	kʰei21	奇：～怪
騎	kʰei21	骑：～马
騎	kʰei21	骑：～楼
岐	kʰei231	岐：～山
徛	kʰei13	徛：站立；（山）斜度高
技	kʰei21	技：～术[文]
技	kʰei21	技：杂～[白]
妓	kʰei21	妓：～女
宜	ŋi231	宜：适～，～昌
儀	ŋi21	仪：礼～，～式
蟻	ŋɐi13	蚁：蚂蚁，白～
誼	ŋ̍231	谊：友～
義	ŋ̍231	义：情～，～气
議	ŋ̍231	议：～论，会～
犧	hei51	牺：～牲
戲	hei33	戏：做～
倚	ʔei35	倚：～靠，～老卖老
椅	ʔei35	椅：椅子，藤～
移	ji231	移：～动
易	ji21	易：容～
悲	ɓei51	悲：～伤
鄙	pʰei35	鄙：卑～，～视[文]
鄙	pʰei35	鄙：差劲[白]
比	ɓei35	比：～较，对～
祕	ɓei33	秘：～书，～密
泌	ɓei33	泌：分～；滤出汤汁
庇	ɓei35	庇：包～，～护
痹	ɓei33	痹：麻～
丕	pʰei35	丕：人名用字，曹～
屁	pʰei33	屁：放～
琵	pei21	琵：～琶
枇	pei21	枇：～杷
備	pei21	备：准～，～用
鼻	pei21	鼻：鼻子；鼻涕
眉	mei231	眉：眉毛，画～
楣	mei231	楣：门～
黴	mui51	霉：发～，倒～
美	mei13	美：～丽，～化
媚	mei231	媚：～眼，妩～；人名用字
寐	mei21	寐：梦～以求，假～
地	tei21	地：土～
尼	nɐi231	尼：～姑
膩	nɐi21	腻：油～，细～
梨	lei231	梨
履	lui13	履：～行，～历
利	lei21	利：～润，有～
痢	lei21	痢：～疾
痢	lei21	痢：癞～（头屑）
資	tei51	资：～本
姿	tei51	姿：～势
咨	ʧi51	咨：～询
姊	tɛ35	姊：～妹
次	kʰei33	次：名～，～品
瓷	ʧʰi21	瓷：～砖，陶～
餈	ʧʰi13	糍：糍粑，糯米～
自	kʰei21	自：～私
私	ɬei51	私：自～
死	ɬei35	死：～人
四	ɬei33	四：数字
肆	ɬɛ33	肆：放～
致	ʧi33	致：导～
遲	ʧʰi231	迟：～到，推～
稚	ʧʰi231	稚：幼～
師	ʃi51	师：老～，～父
獅	ɬei51	狮：狮子
脂	ʧi51	脂：～肪，胭～
旨	ʧi35	旨：圣～
指	ʧi35	指：手～，～甲
至	ʧi33	至：～少
示	ʃi21	示：表～
屍	ʃi51	尸：～体，死～
矢	ʧʰi35	矢：有的放～
屎	ʃi35	屎：狗～
視	ʃi21	视：近～
嗜	ʃi21	嗜：～好
二	ȵi21	二：数字
貳	ȵi21	贰：～心
飢	kei51	饥：～饿
肌	kei51	肌：～肉
几	kei51	几：茶～
冀	kʰei33	冀：河北简称，晋察～
器	hei33	器：武～，机～，～重
棄	hei33	弃：放～，抛～
祁	kʰei21	祁：～连山
伊	ji51	伊：～犁；姓
懿	ʔei33	懿：人名用字，司马～
夷	ji51	夷：化险为～，蛮～
姨	ji51	姨：大～，～丈
肄	ɬɛ33	肄：～业
你	nei13	你：～们，第二人称[文]
你	nei13	你：第二人称[白]
釐	lei231	厘：～米
狸	lei231	狸：狐～
李	lei13	李：姓；水果
里	lei13	里：公～
裏	lui13	里：～外，～背（里面）
理	lei13	理：道～，～由
鯉	lei13	鲤：～鱼
吏	lei21	吏：官～
滋	tei51	滋：～味
子	tei35	子：～孙；孔～
梓	tei35	梓：桑～；曾宪～
慈	ʧʰi21	慈：～悲，～禧太后
磁	ʧʰi21	磁：～铁，～场
字	tʰei21	字：～典，文～
司	ɬei51	司：公～，～令
絲	ɬei51	丝：～绸
思	ʃi51	思：～想
伺	ʃi21	伺：～候，～机而动
思	ɬei51	思：意～
辭	tʰei231	辞：～职，告～
詞	tʰei231	词：歌～
祠	tʰei21	祠：～堂
似	ʧʰi13	似：相～，～乎[文]
似	ʧʰi13	似：好～（好像）[白]
祀	kʰei21	祀：祭～
巳	tʰei13	巳：地支，～时
寺	ʧʰi21	寺：～庙，灵光～
飼	ʧʰei21	饲：～料，～养[文]
飼	tʰei21	饲：喂饭[白]
置	ʧi33	置：布～
癡	ʧʰi51	痴：白～，～呆
恥	ʧʰi35	耻：～辱
持	ʧʰi13	持：支～
痔	ʧʰi21	痔：～疮
治	ʧʰi21	治：～安，统～[文]
治	ʧʰi21	治：～鸡，～猪[白]
廁	ʧʰi33	厕：～所，公～
士	ʃi21	士：～兵
仕	ʃi21	仕：～途
柿	ʃi33	柿：柿子，～饼
事	ʃi21	事：～实，～情[文]
事	ʃi21	事：做～[白]
使	ʃɐi35	使：～用，假～，大～馆
史	ʃi35	史：历～
駛	ʃɐi35	驶：驾～
之	ʧi51	之：～前
芝	ʧi51	芝：灵～，～麻
止	ʧi35	止：停～，～血
趾	ʧi35	趾：脚～
址	ʧi35	址：地～
志	ʧi33	志：～气，～愿
誌	ʧi33	志：县～，标～
痣	ʧi33	痣：乌～
齒	ʧʰi35	齿：牙～
詩	ʃi51	诗：～人
始	ʧʰi35	始：开～，～终
試	ʃi33	试：考～[文]
試	ʃi33	试：试试[白]
時	ʃi21	时：～间，当～
巿	ʃi13	巿：～场，城～
恃	ʧʰi21	恃：～才傲物，有～无恐
侍	ʃi21	侍：服～，～卫
而	ȵi231	而：～且，反～
耳	ŋ̍13	耳：耳朵，中～炎
基	kei51	基：～本，地～
箕	kei51	箕：畚～
己	kei35	己：自～
紀	kei35	纪：～律
記	kei33	记：笔～，～号
欺	hei51	欺：～负
起	hei35	起
杞	kei35	杞：枸～
其	kʰei21	其：～他，～实
棋	kʰei231	棋：围～，捉～（下棋）
期	kʰei231	期：日～
旗	kʰei231	旗：红～
忌	kʰei21	忌：禁～，～讳，～日[文]
忌	kʰei21	忌：做～（做法事）[白]
疑	ŋ̍231	疑：怀～
擬	ŋ̍231	拟：模～，～人
嬉	hei51	嬉：玩，～戏
煕	hei51	熙：康～
喜	hei35	喜：～欢
嘻	hei51	嘻：～皮笑脸
醫	ʔei51	医：～生
意	ʔei33	意：～思
怡	ji13	怡：心旷神～；人名用字
已	ji13	已：～经
以	ji13	以：可～，～为
異	ji21	异：～同
幾	kei35	几：～乎
機	kei51	机：～会，飞～
譏	kei51	讥：～笑
饑	kei51	饥：～荒
幾	kei35	几：～只
幾	kei35	几：～何
旣	kei33	既：～然
豈	hei35	岂：～有此理
氣	hei33	气：～人，空～
汽	hei33	汽：～水，～车
祈	kʰei21	祈：～祷
毅	ŋɐi21	毅：～力
希	hei51	希：～望
稀	hei51	稀：～少
衣	ʔei51	衣：外～；花生皮
依	ʔei35	依：～靠
累	lui13	累：积～
累	lui13	累：连～
嘴	tui35	嘴：嘴巴[文]
嘴	tui35	嘴：嘴巴[白，训]
髓	ɬɔi35	髓：骨～
隨	tʰui21	随：～时，～便
吹	ʧʰui51	吹：～牛皮，～喇叭
炊	ʧʰui51	炊：野～
垂	ʧʰui21	垂：下～，～头丧气
睡	ʃui21	睡：睡觉
瑞	ɬui21	瑞：～金；董存～
規	kʷʰɐi51	规：～定，圆～
詭	kʷʰɐi35	诡：～计多端
虧	fɐi51	亏：食～（吃亏）
窺	kʷʰɐi51	窥：偷～
跪	kʷʰɐi21	跪：下～
危	ŋɐi21	危：～险，安～
僞	ŋɐi13	伪：虚～
毀	fɐi35	毁：～灭
萎	vɐi35	萎：枯～
委	vɐi35	委：～托，常～
爲	vɐi231	为：作～，行～，～人
爲	vɐi21	为：～什么
壘	lui13	垒：堡～，～球
類	lui21	类：分～
淚	lui21	泪：眼～
醉	ʧʰui33	醉：～酒
翠	tʰui33	翠：翡～
悴	tʰui33	悴：憔～
雖	ɬui51	虽：～然
粹	ɬui21	粹：纯～
遂	ɬui21	遂：杀人未～
隧	ɬui21	隧：～道
穗	jui21	穗：谷～
追	ʧui51	追：～求[文]
追	ʧui51	追：追赶，赶走[白]
槌	ʧʰui231	槌：木～[名]；[动]
錘	ʧʰui231	锤：铁～[名]；[动]
墜	ʧui21	坠：下～，玉～[文]
墜	ʧui21	坠：目～～[白]
衰	ʃui51	衰：～弱，～老[文]
衰	ʃui51	衰：运气不好[白]
摔	ɬɐt053	摔：～跤
帥	ʃui33	帅：元～
錐	ʧui51	锥：圆～
水	ʃui35	水：～果，～平
誰	ʃui231	谁：疑问代词
龜	kʷɐi51	龟：乌～
軌	kʷɐi35	轨：铁～
癸	kʷʰɐi231	癸：天干
愧	kʷʰɐi33	愧：惭～
季	kʷɐi33	季：四～，～节
逵	kʷʰɐi231	逵：人名用字，李～
葵	kʷʰɐi231	葵：向日～，～花籽
櫃	kʷʰɐi21	柜：～台
位	vɐi21	位：座～，～置
維	vɐi21	维：～生素，～持，纤～
惟	vɐi21	惟：～一
遺	vɐi21	遗：～失，～憾
唯	vɐi21	唯：～物主义
非	fei51	非：是～，～常
飛	fei51	飞：～机；人名，张～[文]
飛	fei51	飞：飞行[白]
匪	fei35	匪：土～
痱	fei51	痱：痱子，热～
妃	fei51	妃：贵～
費	fei33	费：～用，浪～
肥	fei231	肥：化～，～肉
翡	fei35	翡：～翠
微	mei231	微：稍～
尾	mei13	尾：尾巴
未	mei21	未：～来；地支
味	mei21	味：～道，～精
歸	kʷɐi51	归：回～，～类
鬼	kʷɐi35	鬼：鬼神
貴	kʷɐi33	贵：～重
魏	ŋɐi231	魏：～国；姓
揮	fɐi51	挥：指～
輝	fɐi51	辉：光～，～煌
徽	fɐi51	徽：国～，～章
諱	vɐi21	讳：忌～
威	vɐi21	威：～风，～胁
畏	vɐi33	畏：不喜欢；怕，～热
慰	fɐi33	慰：安～，～问
違	vɐi21	违：～反
圍	vɐi21	围：包～，～墙
偉	vɐi13	伟：～大
葦	vɐi21	苇：芦～
緯	vɐi21	纬：经～
胃	vɐi21	胃：肠～
謂	vɐi21	谓：称～，所～
彙	vui231	汇：词～
褒	ɓəu51	褒：～奖，～义词
保	pəu35	保：～护
堡	ɓəu35	堡：碉～
寶	ɓəu35	宝：～贝
報	ɓəu33	报：～告，日～
袍	pəu231	袍：长～，袄～
抱	pəu13	抱：拥抱
暴	pəu21	暴：～雨，残～
毛	məu231	毛：～病，鸡～
冒	məu21	冒：～充，感～
帽	məu21	帽：草～
刀	ɗəu51	刀：菜～
叨	ʧʰɐm33	叨：唠～
禱	təu231	祷：祈～，～告
島	ɗəu35	岛：海南～
倒	ɗəu35	倒：颠～
到	ɗəu33	到：～站
倒	ɗəu35	倒：～水，～退
滔	təu51	滔：～～不绝，波浪～天
討	ʧʰəu35	讨：～老婆，～厌
套	tʰəu33	套：配～，～房
桃	təu231	桃：杨～，～花
逃	təu21	逃：～走
淘	təu21	淘：～米，～沙
陶	tʰəu21	陶：～瓷；姓
萄	təu231	萄：葡～
濤	təu231	涛：波～
道	təu21	道：～理
稻	təu21	稻：水～
盜	təu21	盗：强～，～窃
導	təu21	导：领～，～师
腦	nəu13	脑：猪～，～屎（脑子）
惱	nəu13	恼：烦～[文]
惱	nəu13	恼：讨厌，不喜欢[白]
勞	ləu231	劳：～动
撈	ləu51	捞：打～局[文]
撈	lau51	捞：～起来[白]
牢	ləu231	牢：～房，坐～
嘮	ŋɐm21	唠：～叨
老	ləu13	老：～爷，～实
澇	ləu231	涝：洪～，旱～
遭	təu51	遭：～遇，～殃
糟	təu51	糟：酒～，～糕
早	təu35	早：还～
棗	təu35	枣：红～
蚤	ʃɐt053	蚤：跳～
躁	tʰəu33	躁：烦～，暴～
竈	təu33	灶：～头，～神
操	tʰəu51	操：做～，～作
草	tʰəu35	草：青～，～稿
糙	tʰəu21	糙：～米，粗～
曹	tʰəu21	曹：姓
槽	tʰəu21	槽：猪～，水～
皂	tʰəu13	皂：肥～
造	tʰəu21	造：创～
騷	ɬəu51	骚：风～，离～
臊	ɬəu51	臊：臭～
掃	ɬəu33	扫：～地[动]
嫂	ɬəu35	嫂：大～
掃	ɬəu33	扫：～把[名]
髙	kəu51	高：姓；～低
膏	kəu51	膏：牙～；狗皮～药
篙	kəu51	篙：竹～
羔	kəu51	羔：羊～
糕	kəu51	糕：蛋～，糟～
稿	kəu35	稿：草～，～纸
吿	kəu33	告：报～，～状
考	hau35	考：～试，大～
烤	hau51	烤：烧～
靠	kʰau33	靠：依～，可～
犒	fɐi33	犒：～劳，～赏
熬	ŋəu21	熬：～汤，～夜
傲	ŋəu21	傲：骄～
蒿	kəu51	蒿：蓬～，青～，茼～
好	həu35	好：～人
好	həu35	好：爱～
耗	həu33	耗：消～
豪	həu21	豪：～华，～猪
壕	həu231	壕：战～
毫	həu21	毫：～米
號	həu21	号：～叫，呼～[动]
浩	həu21	浩：～～荡荡；人名用字
號	həu21	号：～码，口～[名]
襖	ʔəu33	袄：棉～，～袍
懊	ʔəu33	懊：～恼
奧	ʔəu33	奥：～妙，～运会
懊	ʔəu33	懊：～悔
澳	ʔəu33	澳：～门
包	ɓau51	包：钱～，～围
胞	ɓau51	胞：同～
飽	ɓau35	饱：食～（吃饱）
豹	ɓau33	豹：动物，～虎
爆	pəu21	爆：～炸
泡	pʰau51	泡：灯～；泡沫（多～）
泡	pʰau51	泡：起～[训，瘭]
拋	pʰau21	抛：～弃
炮	pʰau33	炮：枪～
泡	pʰau51	泡：～茶
跑	pʰau35	跑：～步
刨	pau231	刨：～地，～花板
鮑	ɓau51	鲍：姓；～鱼
茅	mau231	茅：～庐
貓	miau51	猫：大～
錨	miu231	锚：抛～
卯	mau13	卯：地支，子丑寅卯
貌	mɐu21	貌：礼～
鬧	nau21	闹：～热，～事
罩	ʧʰau33	罩：灯～，床～
抓	ʧa51	抓：～紧
爪	ʧau35	爪：鸡～
找	ʧau35	找：～钱，查～
笊	ʃau51	笊：～捞（笊篱）
抄	ʧʰau51	抄：～书
鈔	ʃau51	钞：～票
炒	ʧʰau35	炒：～股，～菜
吵	ʧʰau35	吵：～人，争～
巢	ʧʰau231	巢：雀～
梢	ʃau51	梢：树～
捎	ʃau35	捎：～带，～口信
稍	ʃau35	稍：～等；～息
哨	ʃau33	哨：口～
交	kau51	交：～通，～钱[文]
交	kiau51	交：交叉，～脚（翘二郎腿）[白]
郊	kau51	郊：～区
膠	kau51	胶：～水，橡～
敎	kau33	教：～书
絞	kau35	绞：～刑，～肉机
狡	kau35	狡：～猾
鉸	kau33	铰：～剪
攪	kau35	搅：搅拌
搞	kau35	搞：～活动
敎	kau33	教：～育，～师
校	kau33	校：～对
校	kau33	校：调校
較	kau33	较：比～[文]
較	kau33	较：交换[白]
酵	hau51	酵：发～，～母片
窖	kau33	窖：地～，番薯～
覺	kau33	觉：睡～
敲	hau51	敲：～锣打鼓
巧	hau35	巧：～合
咬	ŋau13	咬：～人
孝	hau33	孝：～顺
哮	hau51	哮：～喘
肴	ŋau13	肴：美味佳～
淆	ŋau13	淆：混～
效	hau21	效：～果
校	hau21	校：学～，～长，上～
凹	nɐp053	凹：～面镜
坳	au33	坳：山～，～背
臕	piu51	膘：肥～
標	ɓiu51	标：～准，～志，招～
表	ɓiu35	表：图～，～扬
錶	ɓiu35	表：手～
飄	pʰiu51	飘：～扬
漂	pʰiu51	漂：～流
漂	pʰiu51	漂：～白，～亮
票	pʰiu33	票：车～
瓢	ʃiɛt021	瓢：勺子
嫖	piu231	嫖：～娼
鰾	ɓɔk053	鳔：鱼～
苗	miu231	苗：鱼～，～族
描	miu21	描：～写
藐	miu35	藐：～视
渺	miu35	渺：～小，～茫
秒	miu35	秒：～针
廟	miu21	庙：和尚～
妙	miu21	妙：～计
燎	liu21	燎：星星之火，可以～原
療	liu231	疗：治～，～养
焦	tiu51	焦：姓
蕉	tiu51	蕉：米～；～岭（地名）
椒	tiu51	椒：胡～
剿	kiu35	剿：围～，～匪
悄	tʰiu35	悄：静～～
俏	tʰiu33	俏：俊～
樵	tiu51	樵：柴
消	ɬiu51	消：～化
宵	ɬiu51	宵：元～，夜～
硝	ɬiu51	硝：～烟，～酸
銷	ɬiu51	销：供～社，～售
小	ɬiu35	小：～姐，～人
笑	ɬiu33	笑：～话，玩～
肖	ɬiu51	肖：姓
肖	tʰiu33	肖：生～
鞘	ɬiu51	鞘：刀～
朝	ʧiu51	朝：～晨，三～
超	ʧʰiu51	超：～过
朝	ʧʰiu21	朝：～代
潮	ʧʰiu21	潮：～湿，涨～
趙	ʧʰiu21	赵：姓
兆	ʧʰiu21	兆：预～；人名用字
召	ʧʰiu21	召：号～，～集
昭	ʧʰiu21	昭：王～君
招	ʧiu51	招：～生
沼	ʧʰiu21	沼：～气
照	ʧiu33	照：～明，～顾
詔	ʧʰiu21	诏：～书；～安（地名）
燒	ʃiu51	烧：～水，发～
少	ʃiu35	少：～数，多～
少	ʃiu33	少：～年，～爷
韶	ʧʰiu21	韶：～关（地名）
紹	ʧʰiu21	绍：介～；～兴（地名）
饒	ȵiu231	饶：～命，求～
擾	ȵiu13	扰：打～，～乱
繞	ȵiu231	绕：围～，～线
驕	kiu51	骄：～傲
嬌	kiu51	娇：～气，做～（撒娇）
矯	kʰiu13	矫：～正
喬	kʰiu13	乔：姓
僑	kʰiu231	侨：华～
橋	kʰiu231	桥：大～
蕎	kʰiu231	荞：～麦
轎	kʰiu21	轿：坐～，扛～
翹	kʰiu21	翘：银～片
翹	kʰiu21	翘：～起来
囂	hiu51	嚣：～张
夭	jiu51	夭：～折
妖	jiu51	妖：～怪
邀	jiu51	邀：～请
腰	jiu51	腰：猪～
要	jiu51	要：～求
要	jiu33	要：重～
搖	jiu231	摇：动～，～篮
謠	jiu231	谣：歌～，民～
遙	jiu231	遥：逍～
窯	jiu231	窑：～洞，烧～
姚	jiu231	姚：姓，～明
舀	ŋiu35	舀：～水
耀	jiu231	耀：～眼，荣～
鷂	jiu231	鹞：纸～（风筝）；～婆（老鹰）
刁	ɗiu51	刁：～钻，嘴～
貂	ɗiu51	貂：～婵，～皮
雕	tiu51	雕：木～，～刻
鳥	niau35	鸟：花～市场[文]
鳥	ʧɔk033	鸟：～笼[白]
釣	ɗiu33	钓：～鱼
吊	ɗiu33	吊：上～，～车
挑	tʰiu51	挑：～剔，～担
跳	tʰiu33	跳：～高，起～
糶	tʰiu33	粜：～米（卖米）
條	tiu231	条：～件，字～
調	tiu21	调：～和，～整
跳	tʰiu33	跳：～上跌落（阳平）
掉	tiu21	掉：～头，～队
調	tiu21	调：音～
調	tiu21	调：～动，～走
尿	ɬui51	尿：屙～
聊	liu21	聊：无～，～天
遼	liu21	辽：～宁，～国
撩	liu231	撩：～起来
撩	liu231	撩：～人
寥	liu231	寥：～～无几
了	liu13	了：～结；明～，～解
瞭	liu21	瞭：～望台
料	liu21	料：肥～，材～
蕭	ɬiu51	萧：姓；～山（地名）
簫	ɬiu51	箫：吹～
澆	ȵiu231	浇：～水
繳	kiu35	缴：～枪，～费
僥	hiu35	侥：～幸
叫	kiu33	叫：大～；小孩哭
竅	hiu33	窍：～门
堯	hiu231	尧：～舜禹
曉	hiu35	晓：春～，～得
么	jɐt053	么：～二三
吆	mɔ51	吆：～喝
杳	miu35	杳：～无音讯
剖	pʰəu35	剖：解～
某	məu13	某：～人
畝	məu13	亩：一～田
牡	məu21	牡：～丹
母	məu13	母：父～
拇	məu13	拇：～指
戊	məu21	戊：～戌变法
茂	mɐu21	茂：～盛；～名（地名）
貿	mɐu21	贸：外～，～易
兜	ɗɐu51	兜：～风
斗	ɗɐu35	斗：十升为一斗
抖	ɬɐu35	抖：发～
陡	təu21	陡：斜度大，～峭
鬥	ɗɐu33	斗：～争，批～
偸	tʰɐu51	偷：小～
㪗	tʰɐu35	敨：～气（呼吸）
透	tʰɐu33	透：～明
頭	tɐu231	头：开～
投	tɐu21	投：～降
豆	tɐu21	豆：黄～
逗	tɐu21	逗：～留，～号
逗	tɐu21	痘：水～
樓	lɐu21	楼：～下
簍	lɐu35	篓：竹～，字纸～
摟	lɐu35	搂：搂抱
漏	lɐu21	漏：～水，～斗
陋	lɐu21	陋：简～
走	tɐu35	走：行走
奏	tɐu33	奏：节～
湊	tɐu33	凑：～数，～热闹
嗽	ɬɐu33	嗽：咳～
勾	kɐu51	勾：～心斗角，～引
鉤	tiu33	钩：鱼～
溝	kɐu51	沟：～通
狗	kɐu35	狗
苟	kɐu35	苟：～且偷生
夠	kɐu33	够：足～
垢	ŋɐn35	垢：水～
構	kɐu33	构：结～，～造
購	kɐu33	购：采～，收～
勾	kɐu51	勾：～当
摳	kɐu33	抠：挖
口	hɐu35	口：～头，开～
口	hɐu13	口：一～饭
叩	kɐu33	叩：～头
扣	kʰɐu33	扣：～钱，～压
寇	kʰɐu33	寇：姓，～准；倭～
藕	ŋɐu13	藕：～断丝连，莲～
偶	ŋɐu13	偶：配～，～然
侯	hɐu231	侯：姓；诸侯
喉	hɐu231	喉：～咙
猴	hɐu231	猴：猴子
後	hɐu21	后：～生，～来[文]
後	hɐu21	后：～日[白]
后	hɐu21	后：皇～
厚	hɐu13	厚：忠～
候	hɐu21	候：～车室，等～
歐	ɐu51	欧：～洲；姓
區	ɐu51	区：姓
甌	ɐu51	瓯：瓦器；建～（地名）
嘔	ɐu35	呕：～吐
毆	ɐu35	殴：～打
漚	ɐu33	沤：久浸水中，～坏，～肥
慪	ɐu33	怄：～气
否	fɐu35	否：是～，～定
富	fu33	富：丰～，～贵
副	fu33	副：正～
浮	fɐu231	浮：轻～，～力；云～（地名）
浮	fɐu231	浮：～起来[白]
負	fu21	负：～责，～担
婦	fu13	妇：～女[文]
婦	fu13	妇：新～（儿媳）[白]
婦	fu13	妇：～娘[白]
復	fok053	复：反～
謀	mɐu231	谋：计～，～财害命
矛	mau231	矛：～盾
紐	nɐu35	纽：纽扣；～约（地名）
扭	nɐu35	扭：～面帕，～动
流	lɐu231	流：河～[文]
流	lɐu231	流：～汗[白]
劉	lɐu231	刘：姓
留	lɐu21	留：～级，停～
榴	lɐu13	榴：石～，～莲
硫	lɐu21	硫：～磺
琉	lɐu231	琉：～璃
柳	lɐu13	柳：～树
溜	lɐu21	溜：～走
溜	lɐu21	溜：～滑梯
餾	lɐu21	馏：蒸～水，～粄
廖	liu231	廖：姓
揫	ʧʰɐu51	揪：揪头发
酒	kɐu35	酒：～精
秋	tʰɐu51	秋：～天；～千
就	tʰɐu21	就：成～，～去
修	ɬɐu51	修：装～，～正
羞	ʧʰɐu35	羞：～愧
秀	ɬɐu33	秀：清～，～才
繡	ɬɐu33	绣：～花
宿	ɬok053	宿：星～
銹	ɬɐu33	锈：铁～
囚	ʧʰɐu21	囚：～犯
袖	tʰɐu21	袖：领～，衫～（衣袖）
肘	ʧan51	肘：手～
晝	ʧɐu33	昼：上～，～夜
抽	ʧʰɐu51	抽：～出
丑	ʧʰɐu35	丑：地支，子丑寅卯
綢	ʧʰɐu21	绸：～缎，丝～
稠	ʧʰɐu21	稠：～密
籌	ʧʰɐu21	筹：～码，～备
紂	ʧʰɐu13	纣：商～王
宙	tʰɐu21	宙：宇～
鄒	ʧɐu51	邹：姓，～家华
皺	ȵɐu33	皱：～纹
縐	ȵɐu33	绉：文～～
愁	ʃɐu21	愁：～眉苦脸
驟	tɐu33	骤：步～
搜	ʃɐu51	搜：～查
餿	ʃɐu51	馊：饭馊了，臭～
蒐	ʃau51	搜：～集
瘦	ʃɐu33	瘦：肥瘦
周	ʧɐu51	周：姓；～围，～年
舟	ʧɐu51	舟：～山
州	ʧɐu51	州：广～
洲	ʧɐu51	洲：亚～
帚	ʧɐu35	帚：扫～
咒	ʧɐu33	咒：～人
醜	ʧʰɐu35	丑：出～[文]
醜	ʧʰɐu35	丑：长得丑[白]
臭	ʧʰɐu33	臭：～味
收	ʃɐu51	收：丰～，～集
手	ʃɐu35	手：～脚，～段
首	ʃɐu35	首：～先
守	ʃɐu35	守：看～所，保～
獸	ʃɐu33	兽：野～
仇	ʃɐu231	仇：～人，报～
酬	ʧʰɐu231	酬：应～，～谢
受	ʃɐu21	受：接～
壽	ʃɐu21	寿：长～
授	ʃɐu21	授：教～
售	ʃɐu21	售：～货，出～
柔	jɐu231	柔：温～，～和
揉	nɐu35	揉：～烂
鳩	kɐu51	鸠：斑～
鬮	kɐu51	阄：拈～（抓阄）
糾	ɗɐu35	纠：～缠
九	kɐu35	九：数字，～龙
久	kɐu35	久：长～
韭	kɐu231	韭：～菜
灸	kɐu33	灸：针～
救	kɐu33	救：～命
究	kɐu33	究：～竟，研～
丘	hɐu51	丘：一～田
丘	hɐu51	丘：姓
求	kʰɐu231	求：要～
球	kʰɐu231	球：足～
仇	ʃɐu231	仇：姓
臼	vun35	臼：石～，脱～
舅	kʰɐu13	舅：～公
舊	kʰɐu21	旧：新～
柩	kɐu33	柩：灵～
牛	ȵɐu231	牛：～牯
休	hɐu51	休：～息，退～
朽	au35	朽：腐～，永垂不～
嗅	ʧʰɐu33	嗅：～觉
憂	jɐu51	忧：～虑，担～
優	jɐu51	优：～秀
尤	jɐu231	尤：～其
郵	jɐu231	邮：～票，～电局
有	jɐu231	有：～钱
友	jɐu231	友：朋～，～谊
又	jɐu21	又：～来
右	jɐu21	右：左～
祐	jɐu21	佑：保～
由	jɐu231	由：～于，理～
油	jɐu231	油：麻～
遊	jɐu231	游：～泳，旅～
猶	jɐu231	犹：～豫
悠	jɐu231	悠：～闲，历史～久
酉	jɐu13	酉：地支，申酉戌亥
誘	jɐu33	诱：～惑，引～
柚	jɐu231	柚：沙田～
釉	jɐu231	釉：上～，～彩
彪	ɓiu51	彪：林～
謬	mɐu21	谬：～论，荒～
丟	ɗiu51	丢：～失
糾	ɗɐu35	纠：～正
幽	jɐu51	幽：～默
幼	jɐu33	幼：细小，～稚
耽	ɗam51	耽：～误
答	ɗæp033	答：回～
搭	ɗæp033	搭：～车；衣服搭在肩上
貪	tʰam51	贪：～心
探	tʰam33	探：试～
