#漢字	音標	解釋
架	ka51	架：书～
駕	ka51	驾：～驶证
嫁	ka51	嫁：～人
稼	ka51	稼：庄～，邓～先
價	ka51	价：～钱，～值
揢	kiaŋ11	揢：用虎口掐
牙	ŋa11	牙：～齿，刷～
芽	ŋa11	芽：豆～
衙	ŋa11	衙：～门
雅	ŋa11	雅：文～；～典（国名）
砑	ŋan24	砑：碾，～平，～碎
蝦	ha11	虾：鱼～，～公
嚇	haʔ031	吓：～人
霞	ha11	霞：晚～
瑕	ha11	瑕：～疵
蝦	ha11	虾：～蟆（蟾蜍）
下	ha24	下：～背，底～
下	ha24	下：取下，～下来
夏	ha51	夏：姓
廈	ha51	厦：～门，大～
下	ha24	下：～降，～流
夏	ha51	夏：春～秋冬
暇	ha11	暇：闲～
鴉	a24	鸦：老～，乌～，～片
丫	tsʰa24	丫：～鬟，～头
椏	a24	桠：～杈
啞	a31	哑：哑巴，～佬
亞	a24	亚：～洲，～军
姐	tsia31	姐：小～[文]
姐	tsi31	姐：姐姐[白]
借	tsia51	借：～钱
且	tsʰia31	且：而～，况～
笡	sia11	笡：斜，～～（歪斜的样子）
藉	tsia51	藉：～故，～口
些	sia24	些：一～
寫	sia31	写：～字
瀉	sia51	泻：腹～，一～千里
卸	sia51	卸：～货，推～
邪	sia11	邪：～气，～门歪道
斜	sia11	斜：倾～[文]
斜	sia11	斜：不正[白]
謝	tsʰia51	谢：多～；姓
爹	tia24	爹：～娘
遮	tʂa24	遮：遮挡[动]；伞[名]
者	tʂa31	者：记～，作～
蔗	tʂa51	蔗：甘蔗
車	tʂʰa24	车：火～
扯	tʂʰa31	扯：～开，～烂
蛇	ʂa11	蛇：毒～
射	ʂa51	射：发～，～箭
麝	ʂa51	麝：～香
奢	ʂa24	奢：～侈
賒	tʂʰa24	赊：～帐
捨	ʂa31	舍：～唔得（舍不得）
赦	ʂa31	赦：～免
舍	ʂa51	舍：宿～
社	ʂa24	社：～会，公～
惹	ȵia24	惹：～事
耶	ʒa11	耶：～稣
爺	ʒa11	爷：父亲；爷爷[文]
也	ʒa24	也：～知
野	ʒa31	野：～人
夜	ʒa51	夜：日～，～班
傻	sɔ11	傻：～瓜，～子
瓜	ka24	瓜：西～，～分
蝸	vɔ24	蜗：～牛
寡	ka31	寡：～妇，守～
剮	tsaŋ31	剐：千刀万～
誇	kʰa24	夸：～大，～张
垮	kʰa24	垮：～台
跨	kʰa24	跨：～栏，～度
娃	va24	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa24	花：开～
化	fa51	化：变～
華	fa11	华：中～
劃	vak045	划：～船
華	fa11	华：～山；姓
蛙	va24	蛙：青～，～泳
補	pu31	补：～鞋，～充
譜	pʰu24	谱：族～，歌～
布	pu51	布：红～，～料
佈	pu51	布：公～，～置
鋪	pʰu24	铺：～路，床～
普	pʰu24	普：～通，～遍
浦	pʰu31	浦：黄～江
鋪	pʰu24	铺：店～，当～
怖	pu51	怖：恐～
蒲	pʰu24	蒲：（石）菖～
菩	pʰu11	菩：～萨
脯	pʰu51	脯：胸～
部	pʰu51	部：～队，干～
簿	pʰu24	簿：练习～，帐～
步	pʰu51	步：跑～
捕	pʰu31	捕：逮～，～快
埠	pʰu51	埠：开～
模	mɔ11	模：～型，～范
摹	mɔ24	摹：～仿，描～
暮	mu51	暮：日暮
慕	mu51	慕：羡～，～名而来
墓	mu51	墓：坟～，～地
募	mu51	募：～捐
都	tu24	都：首～，～市
都	tu24	都：都是
堵	tu31	堵：～车，～塞
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
妬	tu51	妒：～忌
土	tʰu31	土：～地
吐	tʰu51	吐：～痰；呕～
兔	tʰu51	兔：野～
徒	tʰu11	徒：～弟
屠	tʰu11	屠：～杀
途	tʰu11	途：前～
塗	tʰu11	涂：糊～，～改
圖	tʰu11	图：画～，地～
杜	tʰu51	杜：姓；杜仲（中药）
肚	tu31	肚：肚子
度	tʰu51	度：～数，长～
渡	tʰu51	渡：偷～，摆～
鍍	tʰu51	镀：电～
奴	nu11	奴：～隶
努	nu31	努：～力
怒	nu51	怒：愤～，～气
盧	lu11	卢：姓
爐	lu11	炉：火～
蘆	lu11	芦：～苇
鸕	lu11	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu24	鲁：～国，～迅
虜	lu24	虏：俘～
滷	lu24	卤：盐～，～水
路	lu51	路：大～
賂	ʒu31	赂：贿～
露	lu51	露：～水，白～，打～
鷺	lu51	鹭：白～
租	tsɿ24	租：～金，出～
祖	tsɿ31	祖：～宗，～国
組	tsɿ24	组：～织，小～
做	tsɔ51	做：～好事
粗	tsʰɿ24	粗：～心
醋	tsʰɿ51	醋：陈～
措	tsʰɿ51	措：～施
錯	tsʰɔ51	错：～误
蘇	sɿ24	苏：～州；姓
酥	sɿ24	酥：脆，杏仁～
素	sɿ51	素：～菜，朴～
訴	sɿ51	诉：上～，倾～
塑	sɔk031	塑：雕～，～料
姑	ku24	姑：大～
孤	ku24	孤：～儿，～单
箍	kʰiu24	箍：紧～咒[文]
箍	kʰiu24	箍：围束，～桶[白]
古	ku31	古：～代
估	kʰu24	估：～计
牯	ku51	牯：牛～
股	ku31	股：～票
鼓	ku31	鼓：锣～，～励
故	ku51	故：～事，～乡
蠱	ku31	蛊：养～，～惑
固	ku51	固：～定
錮	ku51	锢：禁～
雇	ku51	雇：～人，～主
顧	ku51	顾：照～
枯	kʰu24	枯：干～，～水
苦	kʰu31	苦：辛～，食～（吃苦）
苦	fu31	苦：～味
庫	kʰu51	库：水～，仓～
褲	fu51	裤：裤子
