#漢字	音標	解釋
謝	tsʰia55	谢：多～；姓
爹	tia33	爹：～娘
遮	tsa33	遮：遮挡[动]；伞[名]
者	tsa31	者：记～，作～
蔗	tsa55	蔗：甘蔗
車	tsʰa213	车：火～
扯	tsʰa31	扯：～开，～烂
蛇	sa21	蛇：毒～
射	sa55	射：发～，～箭
麝	sa55	麝：～香
奢	tsʰa213	奢：～侈
賒	tsʰa33	赊：～帐
捨	sa31	舍：～唔得（舍不得）
赦	sa55	赦：～免
舍	sa55	舍：宿～
社	sa33	社：～会，公～
惹	ŋia33	惹：～事
耶	iai21	耶：～稣
爺	ia21	爷：父亲；爷爷[文]
也	a33	也：～知
野	ia31	野：～人
夜	ia55	夜：日～，～班
傻	sa31	傻：～瓜，～子
瓜	kua33	瓜：西～，～分
蝸	vɔ33	蜗：～牛
寡	kua31	寡：～妇，守～
剮	kua31	剐：千刀万～
誇	kʰua33	夸：～大，～张
垮	kʰua33	垮：～台
跨	kʰua33	跨：～栏，～度
娃	va33	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa33	花：开～
化	fa55	化：变～
華	fa21	华：中～
劃	vak044	划：～船
華	fa21	华：～山；姓
蛙	va33	蛙：青～，～泳
補	pu31	补：～鞋，～充
譜	pʰu31	谱：族～，歌～
布	pu55	布：红～，～料
佈	pu552	布：公～，～置
鋪	pʰu33	铺：～路，床～
普	pʰu33	普：～通，～遍
浦	pʰu31	浦：黄～江
鋪	pʰu33	铺：店～，当～
怖	pu552	怖：恐～
蒲	pʰu33	蒲：（石）菖～
菩	pʰu21	菩：～萨
脯	pʰu21	脯：胸～
部	pʰu552	部：～队，干～
簿	pʰu33	簿：练习～，帐～
步	pʰu552	步：跑～
捕	pʰu31	捕：逮～，～快
埠	pu552	埠：开～
埠	pu552	埠：庵～，蚌～（地名）
模	mɔ21	模：～型，～范
摹	mɔ21	摹：～仿，描～
暮	mu552	暮：日暮
慕	mu552	慕：羡～，～名而来
墓	mu552	墓：坟～，～地
募	mu552	募：～捐
都	tu33	都：首～，～市
都	tu33	都：都是
堵	tu31	堵：～车，～塞
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
妬	tu552	妒：～忌
土	tʰu31	土：～地
吐	tʰu552	吐：～痰；呕～
兔	tʰu552	兔：野～
徒	tʰu21	徒：～弟
屠	tʰu21	屠：～杀
途	tʰu21	途：前～
塗	tʰu21	涂：糊～，～改
圖	tʰu21	图：画～，地～
杜	tʰu552	杜：姓；杜仲（中药）
肚	tu31	肚：肚子
度	tʰu552	度：～数，长～
渡	tʰu55	渡：偷～，摆～
鍍	tʰu552	镀：电～
奴	nu21	奴：～隶
努	nu31	努：～力
怒	nu55	怒：愤～，～气
盧	lu21	卢：姓
爐	lu21	炉：火～
蘆	lu21	芦：～苇
鸕	lu21	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu33	鲁：～国，～迅
虜	lu552	虏：俘～
滷	lu33	卤：盐～，～水
路	lu552	路：大～
賂	lu552	赂：贿～
露	lu552	露：～水，白～，打～
鷺	lu552	鹭：白～
租	tsɿ33	租：～金，出～
祖	tsɿ31	祖：～宗，～国
組	tsɿ33	组：～织，小～
做	tsɔ552	做：～好事
粗	tsʰɿ33	粗：～心
醋	tsʰɿ552	醋：陈～
措	tsʰɿ31	措：～施
錯	tsʰɔ552	错：～误
蘇	sɿ33	苏：～州；姓
酥	sɿ33	酥：脆，杏仁～
素	sɿ552	素：～菜，朴～
訴	su552	诉：上～，倾～
塑	sɔk031	塑：雕～，～料
姑	ku33	姑：大～
孤	ku33	孤：～儿，～单
箍	ku33	箍：紧～咒[文]
箍	ku33	箍：围束，～桶[白]
古	ku31	古：～代
估	kʰu33	估：～计
牯	ku31	牯：牛～
股	ku31	股：～票
鼓	ku31	鼓：锣～，～励
故	ku552	故：～事，～乡
固	ku552	固：～定
錮	ku552	锢：禁～
雇	ku55	雇：～人，～主
顧	ku552	顾：照～
枯	kʰu33	枯：干～，～水
苦	kʰu31	苦：辛～，食～（吃苦）
苦	fu31	苦：～味
庫	kʰu552	库：水～，仓～
褲	fu55	裤：裤子
吳	m̩21	吴：姓
蜈	m̩31	蜈：～蚣
梧	vu21	梧：～桐
五	m̩31	五：数字
伍	m̩31	伍：姓；队～
午	m̩31	午：中～，端～
誤	ŋu552	误：～会，错～
悟	ŋu552	悟：觉～；孙～空
呼	fu33	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu31	虎：马～
滸	fu31	浒：水～
戽	fu55	戽：～水（泼水），～斗
胡	fu21	胡：二～ ；姓
湖	fu21	湖：西～
狐	fu21	狐：～狸
壺	fu31	壶：水～
乎	fu21	乎：在～
瓠	fu21	瓠：瓠卢，同葫芦
鬍	fu21	胡：～须
蝴	fu21	蝴：～蝶
糊	fu21	糊：浆～，～涂
戶	fu55	户：～口
滬	fu55	沪：上海简称
互	fu33	互：～相
護	fu552	护：保～，～士
瓠	pʰu21	瓠：瓠瓜（味似葫芦而长）
烏	vu33	乌：黑
污	vu33	污：～染
塢	vu33	坞：船～
惡	vu552	恶：可～
女	m̩31	女：女人
廬	lu21	庐：～山
驢	lu21	驴：毛驴
呂	li33	吕：姓
旅	li31	旅：～游
慮	li552	虑：考～
濾	li55	滤：过～
絮	si552	絮：棉～
徐	tsʰi21	徐：姓
序	si552	序：顺～
敍	si552	叙：倒～
緖	si552	緖：情～；光～
豬	tsu33	猪：～肉
著	tsu55	著：～名，显～
除	tsʰu21	除：～法
儲	su21	储：～蓄
苧	tsʰu33	苎：～麻
阻	tsɿ31	阻：～止，～力
初	tsʰɿ33	初：当～，～中
楚	tsʰɿ31	楚：清～
礎	tsʰɿ31	础：基～
鋤	tsʰɿ21	锄：～草，～禾日当午
助	tsʰɿ552	助：帮～
梳	sɿ24	梳：梳子[名]；梳头[动]
疏	sɿ33	疏：～远；稀疏
疏	sɿ33	疏：生～
蔬	sɿ33	蔬：～菜
所	sɔ31	所：～以；派出～
疏	sɿ33	疏：注～
諸	tsu33	诸：姓；～如此类
煮	tsu31	煮：～饭
處	tsʰu31	处：～理
處	tsʰu552	处：～所
書	su33	书：读～
舒	su33	舒：～服
暑	tsʰu31	暑：～假
鼠	tsʰu31	鼠：老～
庶	su552	庶：～民
恕	su552	恕：宽～
署	su21	署：～名
薯	su21	薯：番～
如	i21	如：～果，假～
居	ki33	居：～民
車	ki33	车：象棋，～马炮
舉	ki31	举：～报，～重
據	ki31	据：收～
鋸	ki552	锯：电～
墟	hi33	墟：～日
去	kʰi552	去：来～，过～
渠	kʰi33	渠：水～，～道
佢	ki21	佢：他，第三人称
巨	kʰi552	巨：～大
拒	kʰi552	拒：～绝
距	ki33	距：～离
魚	m̩21	鱼：金～
漁	m̩21	渔：～业，～夫
語	ŋi33	语：～文
御	i552	御：～用文人
禦	ŋi552	御：防～
虛	hi33	虚：～心
噓	hi33	嘘：吹～
許	hi31	许：允～；姓
於	i33	于：在～
淤	au33	淤：～泥
余	i21	余：姓
餘	i21	余：多～
與	i33	与：参～，给～，～众不同
予	i33	予：给～
譽	i552	誉：荣～
預	i552	预：～报，～备
豫	i55	豫：犹～
夫	fu33	夫：～妻，车～
膚	fu33	肤：皮～
跗	fu55	跗：脚背，～骨
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu31	甫：杜～
脯	pʰu31	脯：菜～（萝卜干）
斧	pu31	斧：～头
付	fu55	付：应～
咐	fu55	咐：吩～
賦	fu552	赋：天～
傅	fu55	傅：师～[文]
傅	fu552	傅：姓[白]
敷	fu33	敷：～衍，～药
俘	fu33	俘：～虏
孵	pʰu552	孵：孵小鸡
撫	vu31	抚：～养，安～
赴	fu552	赴：奔～，～汤蹈火
訃	fuk031	讣：～告
符	pʰu21	符：～合，鬼画～
扶	fu21	扶：～贫，～手[文]
扶	pʰu21	扶：搀扶，～起来[白]
芙	fu21	芙：～蓉
父	fu55	父：～亲
釜	fu31	釜：破～沉舟
腐	fu31	腐：～败
腐	fu55	腐：豆～
輔	pʰu31	辅：～导，～助
附	fu552	附：～近，～带
無	mɔ21	无：没有，～中生有[文]
無	mɔ21	无：没有，～事[白]
巫	vu33	巫：姓；～婆
誣	mu21	诬：～陷，～告
武	vu33	武：～器，～术
舞	vu31	舞：跳～
舞	mu31	舞：拨弄，摆弄[白，动]
侮	vu33	侮：～辱
鵡	vu31	鹉：鹦～
務	vu55	务：任～，～农
霧	vu55	雾：大～
縷	lɛu31	缕：千丝万～
屢	lui33	屡：～次，～教不改
趨	tsʰi33	趋：～势
取	tsʰi31	取：～钱
娶	tsʰi31	娶：嫁～
趣	tsʰi552	趣：兴～
聚	tsʰi552	聚：～会
聚	hi31	聚：捡～（收拢）[白]
須	si33	须：必～
鬚	si33	须：胡～
需	si33	需：～要
續	sip044	续：连～，继～
誅	tsu33	诛：天～地灭
蛛	tsu33	蛛：蜘～
株	tsu33	株：守～待兔
駐	tsu552	驻：～扎
註	tsu552	注：～释
廚	tsʰu21	厨：～房
櫥	tsʰu21	橱：碗～
柱	tsʰu33	柱：柱子
住	tsʰu552	住：～宿
雛	tsʰɿ33	雏：～形
數	sɿ552	数：～落，～星星[动]
數	sɿ55	数：～字，～学
朱	tsu33	朱：姓
珠	tsu33	珠：珍～
主	tsu31	主：～人，地～
注	tsu552	注：～意
蛀	tsu552	蛀：～虫
鑄	tsu552	铸：～铁，～钢
樞	su33	枢：中～，～纽
輸	su33	输：～赢
戍	vu552	戍：～边
輸	su33	输：运～
殊	su21	殊：特～
豎	su552	竖：横～
樹	su552	树：～立，种～
儒	i21	儒：～家思想
乳	nɛn55	乳：哺～，母～[文]
乳	nɛn55	乳：食～（吃奶），麦～精[训]
拘	ki33	拘：～留
倶	kʰi552	俱：～备，～乐部
矩	ki31	矩：规～，～形
句	ki552	句：～号
區	kʰi33	区：地～，～别
驅	kʰi33	驱：先～，～动
具	kʰi552	具：～体
懼	kʰi552	惧：恐～
愚	ŋi21	愚：～蠢，～公移山
虞	i21	虞：姓，～姬
娛	ŋu21	娱：～乐
遇	ŋi552	遇：遭～，相～，～到
寓	ŋi552	寓：～言；公～
迂	i24	迂：～回，～腐
于	i33	于：姓；等～
雨	i31	雨：落～，谷～，～水
宇	i31	宇：～宙
禹	i21	禹：大～治水
羽	i33	羽：～毛球
芋	vu552	芋：芋头
逾	i552	逾：超过，～期
愉	i552	愉：～快
愈	i55	愈：病～
喩	i552	喻：比～
裕	i552	裕：富～
獃	tai33	呆：书～子，发～[文]
獃	ŋɔŋ55	呆：发～[白]
戴	tai552	戴：姓；～帽
胎	tʰɔi33	胎：双胞～，～盘
台	tʰɔi21	台：天台
態	tʰai55	态：～度，心～
貸	tʰɔi55	贷：～款
臺	tʰɔi21	台：～湾
苔	tʰɔi31	苔：青～，舌～
抬	tʰɔi21	抬：两个人抬
待	tʰɔi552	待：等～，～人接物
怠	tʰɔi552	怠：～慢，～工
殆	tʰɔi55	殆：百战不～
代	tʰɔi55	代：～替，～表
逮	tai31	逮：～捕
袋	tʰɔi55	袋：袋子
乃	nai33	乃：安～近；人名用字
耐	nai552	耐：～力，～心，忍～
來	lɔi21	来：过～，～去
災	tsai33	灾：水～
栽	tsai33	栽：种，～培
宰	tsai31	宰：～相
載	tsai31	载：一年半～
再	tsai55	再：～来
載	tsɔi55	载：～重
猜	tsʰai33	猜：～谜
彩	tsʰai31	彩：～色
採	tsʰai31	采：～集
睬	tsʰai31	睬：理睬
菜	tsʰɔi55	菜：煮～，青～
才	tsʰɔi21	才：人～，～气，秀～
材	tsʰɔi21	材，药～，～料
財	tsʰɔi21	财，发～
裁	tsʰai21	裁，～纸，剪～
纔	tsʰai21	才：刚～
在	tsʰai55	在：实～，现～[文]
在	tsʰai55	在：存在，还～[白]
載	tsɔi55	载：满～而归
腮	sɔi213	腮：～腺炎，～红
鰓	sɔi213	鳃：鱼鳃
賽	sɔi55	赛：比～
該	kɔi33	该：应～
改	kɔi31	改：修～，～正
概	kʰɔi31	概：大～，～括
溉	kʰɔi31	溉：灌～
開	kʰɔi33	开：公～，～门
凱	kʰɔi31	凯：～旋
慨	kʰɔi31	慨：慷～，感～
咳	kʰɛk031	咳：～嗽，止～糖浆
呆	tai33	呆：～板
礙	ŋɔi55	碍：妨～
海	hɔi31	海：大～
孩	hai21	孩：～童
亥	hɔi55	亥：辛～革命
哀	ɔi33	哀：悲～
埃	ai33	埃：尘～，～及
愛	ɔi55	爱：～情；要
貝	pi552	贝：宝～
貝	pi55	贝：川～，～壳
沛	pʰi552	沛：充～
帶	tai55	带：鞋～
太	tʰai55	太：老～婆
泰	tʰai55	泰：～山
大	tʰai55	大：大小
奈	nai55	奈：无～，～何
賴	lai55	赖：依～，无～；姓
癩	lai55	癞：～蛤蟆[文]
癩	lak031	癞：～哥（癞疮）[白]
蔡	tsʰai55	蔡：姓
蓋	kɔi55	盖：～被[动]；盖子[名]
丐	kɔi55	丐：～帮
艾	ai55	艾：姓；～滋病
艾	nɛ552	艾：艾草
害	hɔi55	害：～人
藹	ɔi55	蔼：和～，宋～龄
拜	pai55	拜：结～，礼～，～佛
排	pʰai21	排：～队
埋	mai21	埋：～伏
齋	tsai33	斋：食～（吃斋）
豺	tsʰai21	豺：～狼
皆	kiai33	皆：～大欢喜
階	kiai33	阶：台～，～级
介	kiai55	介：～绍，中～
界	kiai55	界：世～
芥	kiai55	芥：～菜
尬	kiai55	尬：尴～
疥	kiai55	疥：～疮
屆	kai55	届：第一～
戒	kiai55	戒：～烟，猪八～
楷	kɔi31	楷：～书，～模
諧	hai21	谐：和～
駭	hɔi55	骇：惊～，～人听闻
械	hai55	械：机～
挨	ai33	挨：～打，～近
擺	pai31	摆：摇～
派	pʰai55	派：正～，～出所
牌	pʰai21	牌：～坊，～匾[文]
牌	pʰai21	牌：打～[白，训]
㵺	pʰai21	排：竹排
罷	pʰa55	罢：～工
稗	kʰuai55	稗：～草
買	mai33	买：～卖
賣	mai55	卖：买～
奶	nai33	奶：二～，～牛
債	tsai55	债：欠～
釵	tsʰa24	钗：宝～
差	tsʰai33	差：出～
柴	tsʰai21	柴：姓；火～
篩	si33	筛：～选，～米
灑	sa31	洒：潇～，～水
佳	ka33	佳：～人，～节
街	kai33	街：～路
解	kiai31	解：～释，讲～[文]
解	kɛ31	解：～开[白]
懈	hai55	懈：松～，坚持不～
涯	ŋai21	涯：天～
崖	ŋai21	崖：悬～
捱	ŋai33	捱：难～，～苦
鞋	hai21	鞋：布～
解	kai31	解：懂了，理～，了～
蟹	hai31	蟹：老～
矮	ai31	矮：高矮
敗	pʰai55	败：失～
邁	mai31	迈：豪～，～步
寨	tsʰai55	寨：山～，大～
蔽	pi55	蔽：隐～
弊	pi55	弊：作～
幣	pi55	币：人民～
斃	pi55	毙：枪～
例	li552	例：举～，～外
厲	li552	厉：严～，～害
勵	li55	励：鼓～
祭	tsi55	祭：～祀
際	tsi55	际：国～
滯	tsʰɛ55	滞：停～，湿～（中医）
制	tsɿ55	制：～度
製	tsɿ552	制：～造
世	sɿ552	世：～界
世	sɛ552	世：出～
勢	sɿ55	势：～力，有权有～
誓	sɿ55	誓：发～
逝	sɿ55	逝：～世
藝	ŋi55	艺：～术，文～晚会
蓖	pi33	蓖：～麻
閉	pi552	闭：关～
箅	pi552	箅：蒸笼中的竹屉
批	pʰi33	批：～评，大～
批	pai33	批：螺丝～
陛	pi55	陛：～下
迷	mi21	迷：入～，～路
米	mi31	米：大米
謎	mi21	谜：～语，猜～
低	tai33	低：高～
堤	tʰi21	堤：河～，～坝
底	tai31	底：水～
抵	ti31	抵：～押
抵	tai31	抵：用手抵挡
帝	ti55	帝：皇～
梯	tʰɔi33	梯：楼～
蒂	ti552	蒂：花～，并～莲
體	tʰi31	体：～育，身～
替	tʰi552	替：代～，～身
剃	tʰɛ55	剃：～头
題	tʰi21	题：～目，难～
提	tʰi21	提：～问，～醒
蹄	tʰai21	蹄：马～
啼	tʰai21	啼：哭哭～～[文]
啼	tʰai21	啼：鸡～[白]
弟	tʰi55	弟：兄～[文]
弟	tʰai33	弟：弟弟，老～[白]
第	tʰi552	第：～一，门～
遞	tʰi552	递：传～，邮～员
泥	nai21	泥：水～，地～（地板）
犁	lai21	犁：耕田用具
黎	lai21	黎：～民，～明；姓
禮	li33	礼：～貌
麗	li552	丽：秀～
隸	li552	隶：奴～，～属
擠	tsam33	挤：拥～，～时间
濟	tsi552	济：～公，经～
妻	tsʰi33	妻：夫～
砌	kiɛk031	砌：～墙
齊	tsʰɛ21	齐：～国[文]
齊	tsʰɛ21	齐：整～，放～，来～[白]
臍	tsʰi21	脐：肚～，～带
劑	tsi552	剂：一～药，药～
西	si33	西：东西南北
棲	si33	栖：两～动物
