#漢字	音標	解釋
遮	ʦa24	遮：遮挡[动]；伞[名]
者	ʦa41	者：记～，作～
蔗	ʦa45	蔗：甘蔗
車	ʦʰa24	车：火～
扯	ʦʰa41	扯：～开，～烂
蛇	sa21	蛇：毒～
射	sa45	射：发～，～箭
麝	sa45	麝：～香
奢	ʦʰa24	奢：～侈
賒	ʦʰa24	赊：～帐
捨	sa41	舍：～唔得（舍不得）
赦	sa45	赦：～免
舍	sa45	舍：宿～
社	sa24	社：～会，公～
惹	ŋia24	惹：～事
耶	jiai21	耶：～稣
爺	jia21	爷：父亲；爷爷[文]
也	jia24	也：～知
野	jia24	野：～人
夜	jia45	夜：日～，～班
傻	sɔ21	傻：～瓜，～子
瓜	kua24	瓜：西～，～分
蝸	vɔ24	蜗：～牛
寡	kua41	寡：～妇，守～
剮	kua41	剐：千刀万～
誇	kʰua24	夸：～大，～张
垮	kʰua41	垮：～台
跨	kʰua24	跨：～栏，～度
娃	va24	娃：洋～～
瓦	ŋa41	瓦：～片
花	fa24	花：开～
化	fa45	化：变～
華	fa21	华：中～
劃	fa21	划：～船
華	fa21	华：～山；姓
蛙	va24	蛙：青～，～泳
補	pu41	补：～鞋，～充
譜	pʰu41	谱：族～，歌～
布	pu45	布：红～，～料
佈	pu45	布：公～，～置
鋪	pʰu24	铺：～路，床～
普	pʰu24	普：～通，～遍
浦	pʰu41	浦：黄～江
鋪	pʰu45	铺：店～，当～
怖	pu45	怖：恐～
蒲	pʰu41	蒲：（石）菖～
菩	pʰu21	菩：～萨
脯	pʰu21	脯：胸～
部	pʰu45	部：～队，干～
簿	pʰu24	簿：练习～，帐～
步	pʰu45	步：跑～
捕	pʰu41	捕：逮～，～快
埠	pu45	埠：开～
埠	pu45	埠：庵～，蚌～（地名）
模	mu21	模：～型，～范
摹	mɔ21	摹：～仿，描～
暮	mu45	暮：日暮
慕	mu45	慕：羡～，～名而来
墓	mu45	墓：坟～，～地
募	mu45	募：～捐
都	tu24	都：首～，～市
都	tu24	都：都是
堵	tu41	堵：～车，～塞
賭	tu41	赌：～博
肚	tu41	肚：猪～，鱼～
妬	tu45	妒：～忌
土	tʰu41	土：～地
吐	tʰu45	吐：～痰；呕～
兔	tʰu45	兔：野～
徒	tʰu21	徒：～弟
屠	tʰu21	屠：～杀
途	tʰu21	途：前～
塗	tʰu21	涂：糊～，～改
圖	tʰu21	图：画～，地～
杜	tʰu45	杜：姓；杜仲（中药）
肚	tu41	肚：肚子
度	tʰu45	度：～数，长～
渡	tʰu45	渡：偷～，摆～
鍍	tʰu45	镀：电～
奴	nu21	奴：～隶
努	nu41	努：～力
怒	nu45	怒：愤～，～气
盧	lu21	卢：姓
爐	lu21	炉：火～
蘆	lu21	芦：～苇
鸕	lu21	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu24	鲁：～国，～迅
虜	lu41	虏：俘～
滷	lu24	卤：盐～，～水
路	lu45	路：大～
賂	lu45	赂：贿～
露	lu45	露：～水，白～，打～
鷺	lu45	鹭：白～
租	ʦu24	租：～金，出～
祖	ʦu41	祖：～宗，～国
組	ʦu24	组：～织，小～
做	ʦɔ45	做：～好事
粗	ʦʰu24	粗：～心
醋	ʦʰu45	醋：陈～
措	ʦʰɔ41	措：～施
錯	ʦʰɔ45	错：～误
蘇	su24	苏：～州；姓
酥	su24	酥：脆，杏仁～
素	su45	素：～菜，朴～
訴	su45	诉：上～，倾～
塑	sɔk041	塑：雕～，～料
姑	ku24	姑：大～
孤	ku24	孤：～儿，～单
箍	kʰu24	箍：紧～咒[文]
箍	kʰɛi24	箍：围束，～桶[白]
古	ku41	古：～代
估	kʰu24	估：～计
牯	ku41	牯：牛～
股	ku41	股：～票
鼓	ku41	鼓：锣～，～励
故	ku45	故：～事，～乡
蠱	ku41	蛊：养～，～惑
固	ku45	固：～定
錮	ku45	锢：禁～
雇	ku45	雇：～人，～主
顧	ku45	顾：照～
枯	kʰu24	枯：干～，～水
苦	kʰu41	苦：辛～，食～（吃苦）
苦	fu41	苦：～味
庫	kʰu45	库：水～，仓～
褲	fu45	裤：裤子
吳	mm̍21	吴：姓
蜈	mm̍21	蜈：～蚣
梧	mm̍21	梧：～桐
五	mm̍41	五：数字
伍	mm̍41	伍：姓；队～
午	mm̍41	午：中～，端～
誤	ŋu45	误：～会，错～
悟	ŋu45	悟：觉～；孙～空
呼	fu24	呼：称～，～吸，招～
虎	fu41	虎：老～
虎	fu41	虎：马～
滸	fu41	浒：水～
戽	fu45	戽：～水（泼水），～斗
胡	fu21	胡：二～ ；姓
湖	fu21	湖：西～
狐	fu21	狐：～狸
壺	fu21	壶：水～
乎	fu21	乎：在～
瓠	fu21	瓠：瓠卢，同葫芦
鬍	fu21	胡：～须
蝴	fu21	蝴：～蝶
糊	fu21	糊：浆～，～涂
戶	fu45	户：～口
滬	fu45	沪：上海简称
互	fu24	互：～相
護	fu45	护：保～，～士
瓠	pʰu21	瓠：瓠瓜（味似葫芦而长）
烏	vu24	乌：黑
污	vu24	污：～染
塢	vu24	坞：船～
惡	vu45	恶：可～
女	mm̍41	女：女人
廬	lu21	庐：～山
驢	lu21	驴：毛驴
呂	li24	吕：姓
旅	li41	旅：～游
慮	li45	虑：考～
濾	li45	滤：过～
絮	si45	絮：棉～
徐	ʦʰi21	徐：姓
序	si45	序：顺～
敍	si45	叙：倒～
緖	si45	緖：情～；光～
豬	ʦu24	猪：～肉
著	ʦu45	著：～名，显～
除	ʦʰu21	除：～法
儲	su21	储：～蓄
阻	ʦu41	阻：～止，～力
初	ʦʰu24	初：当～，～中
楚	ʦʰu41	楚：清～
礎	ʦʰu41	础：基～
鋤	ʦʰu21	锄：～草，～禾日当午
助	ʦʰu45	助：帮～
梳	sɿ24	梳：梳子[名]；梳头[动]
疏	su24	疏：～远；稀疏
疏	sɔ24	疏：生～
蔬	su24	蔬：～菜
所	sɔ41	所：～以；派出～
疏	su24	疏：注～
諸	ʦu24	诸：姓；～如此类
煮	ʦu41	煮：～饭
處	ʦʰu41	处：～理
處	ʦʰu45	处：～所
書	su24	书：读～
舒	su24	舒：～服
暑	su41	暑：～假
鼠	su41	鼠：老～
庶	su45	庶：～民
恕	su45	恕：宽～
署	su21	署：～名
薯	su21	薯：～薯
如	ji21	如：～果，假～
居	ki24	居：～民
車	ʦʰa24	车：象棋，～马炮
舉	ki41	举：～报，～重
據	ki41	据：收～
鋸	ki45	锯：电～
墟	hi24	墟：～日
去	hi45	去：来～，过～
渠	kʰi21	渠：水～，～道
佢	ki21	佢：他，第三人称
巨	kʰi24	巨：～大
拒	kʰi24	拒：～绝
距	kʰi24	距：～离
魚	nn̍21	鱼：金～
漁	nn̍21	渔：～业，～夫
語	ni24	语：～文
御	ŋi45	御：～用文人
禦	ŋi45	御：防～
虛	hi24	虚：～心
噓	hi24	嘘：吹～
許	hi41	许：允～；姓
於	ji24	于：在～
淤	ji24	淤：～泥
余	ji21	余：姓
餘	ji21	余：多～
與	ji24	与：参～，给～，～众不同
予	ji24	予：给～
譽	ji45	誉：荣～
預	ji45	预：～报，～备
豫	ji45	豫：犹～
夫	fu24	夫：～妻，车～
膚	fu24	肤：皮～
府	fu41	府：政～
腑	fu41	腑：五脏六～
俯	fu41	俯：～卧撑，～视
甫	pʰu41	甫：杜～
脯	pʰu41	脯：菜～（萝卜干）
斧	pu41	斧：～头
付	fu45	付：应～
咐	fu45	咐：吩～
賦	fu45	赋：天～
傅	fu45	傅：师～[文]
傅	fu45	傅：姓[白]
敷	fu24	敷：～衍，～药
俘	fu24	俘：～虏
孵	pʰu45	孵：孵小鸡
撫	fu41	抚：～养，安～
殕	pʰu41	殕：食物长毛变质，臭～
赴	fu45	赴：奔～，～汤蹈火
訃	fu45	讣：～告
符	fu21	符：～合，鬼画～
扶	fu21	扶：～贫，～手[文]
扶	pʰu21	扶：搀扶，～起来[白]
芙	fu21	芙：～蓉
父	fu45	父：～亲
釜	fu41	釜：破～沉舟
腐	fu41	腐：～败
腐	fu45	腐：豆～
輔	pʰu41	辅：～导，～助
附	fu45	附：～近，～带
無	vu21	无：没有，～中生有[文]
無	mɔ21	无：没有，～事[白]
