#漢字	音標	解釋
賂	lu51	赂：贿～
露	lu51	露：～水，白～，打～
鷺	lu51	鹭：白～
租	tsɿ24	租：～金，出～
祖	tsɿ31	祖：～宗，～国
組	tsɿ24	组：～织，小～
做	tsɔ51	做：～好事
粗	tsʰɿ24	粗：～心
醋	tsʰɿ51	醋：陈～
措	tsʰɿ51	措：～施
錯	tsʰɔ51	错：～误
蘇	sɿ24	苏：～州；姓
酥	sɿ24	酥：脆，杏仁～
素	sɿ51	素：～菜，朴～
訴	sɿ51	诉：上～，倾～
塑	sɔʔ031	塑：雕～，～料
姑	ku24	姑：大～
孤	ku24	孤：～儿，～单
箍	tsaʔ031	箍：紧～咒[文]
箍	tsaiʔ031	箍：围束，～桶[白]
古	ku31	古：～代
估	kʰu24	估：～计
牯	ku31	牯：牛～
股	ku31	股：～票
鼓	ku31	鼓：锣～，～励
故	ku51	故：～事，～乡
蠱	ku31	蛊：养～，～惑
固	ku51	固：～定
錮	ku51	锢：禁～
雇	ku51	雇：～人，～主
顧	ku51	顾：照～
枯	kʰu24	枯：干～，～水
苦	kʰu31	苦：辛～，食～（吃苦）
苦	fu31	苦：～味
庫	kʰu51	库：水～，仓～
褲	fu51	裤：裤子
吳	ŋ̍22	吴：姓
蜈	ŋ̍22	蜈：～蚣
梧	ŋ̍22	梧：～桐
五	ŋ̍31	五：数字
伍	ŋ̍31	伍：姓；队～
午	ŋ̍31	午：中～，端～
誤	ŋu51	误：～会，错～
悟	ŋu51	悟：觉～；孙～空
呼	fu24	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu33	虎：马～
滸	fu31	浒：水～
戽	fu51	戽：～水（泼水），～斗
胡	fu22	胡：二～ ；姓
湖	fu22	湖：西～
狐	fu22	狐：～狸
壺	fu22	壶：水～
乎	fu24	乎：在～
瓠	pʰu22	瓠：瓠卢，同葫芦
鬍	fu22	胡：～须
蝴	fu22	蝴：～蝶
糊	fu22	糊：浆～，～涂
戶	fu51	户：～口
滬	fu51	沪：上海简称
互	fu24	互：～相
護	fu51	护：保～，～士
瓠	pʰu22	瓠：瓠瓜（味似葫芦而长）
烏	vu24	乌：黑
污	vu24	污：～染
塢	vu24	坞：船～
惡	ɔ31	恶：可～
女	ȵi31	女：女人
廬	lu22	庐：～山
驢	lu22	驴：毛驴
呂	li24	吕：姓
旅	li31	旅：～游
慮	li51	虑：考～
濾	li51	滤：过～
蛆	tsɿ24	蛆：蛆虫，生～
絮	si51	絮：棉～
徐	tsʰi22	徐：姓
序	si51	序：顺～
敍	si51	叙：倒～
緖	si51	緖：情～；光～
豬	tʂu24	猪：～肉
著	tʂu51	著：～名，显～
除	tʂʰu22	除：～法
儲	ʂu22	储：～蓄
苧	tʂʰu24	苎：～麻
箸	tʂaʔ031	箸：筷子
阻	tsɿ31	阻：～止，～力
初	tsʰɔ24	初：当～，～中
楚	tsʰɔ31	楚：清～
礎	tsʰɔ31	础：基～
鋤	tsʰɔ22	锄：～草，～禾日当午
助	tsʰɿ51	助：帮～
梳	sɔ24	梳：梳子[名]；梳头[动]
疏	sɔ24	疏：～远；稀疏
疏	sɔ24	疏：生～
蔬	sɔ33	蔬：～菜
所	sɔ31	所：～以；派出～
疏	sɔ33	疏：注～
諸	tʂu24	诸：姓；～如此类
煮	tʂu31	煮：～饭
處	tʂʰu31	处：～理
處	tʂʰu51	处：～所
書	ʂu24	书：读～
舒	ʂu24	舒：～服
暑	ʂu31	暑：～假
鼠	tʂʰu31	鼠：老～
庶	ʂu51	庶：～民
恕	ʂu51	恕：宽～
署	ʂu31	署：～名
薯	ʂu22	薯：番～
如	ʒʅ22	如：～果，假～
居	ki24	居：～民
車	ki24	车：象棋，～马炮
舉	ki31	举：～报，～重
據	ki31	据：收～
鋸	ki51	锯：电～
墟	ʂʅ24	墟：～日
去	ʂʅ51	去：来～，过～
渠	kʰi24	渠：水～，～道
佢	ki22	佢：他，第三人称
巨	kʰi24	巨：～大
拒	kʰi24	拒：～绝
距	kʰi24	距：～离
魚	ŋ̍22	鱼：金～
漁	ȵi22	渔：～业，～夫
語	ȵi24	语：～文
御	ȵi51	御：～用文人
禦	ȵi51	御：防～
虛	ʂʅ24	虚：～心
噓	ʂʅ24	嘘：吹～
許	ʂʅ31	许：允～；姓
於	ʒʅ24	于：在～
淤	ʒʅ24	淤：～泥
余	ʒʅ22	余：姓
餘	ʒʅ22	余：多～
與	ʒʅ24	与：参～，给～，～众不同
予	ʒʅ24	予：给～
譽	ʒʅ51	誉：荣～
預	ʒʅ51	预：～报，～备
豫	ʒʅ51	豫：犹～
夫	fu24	夫：～妻，车～
膚	fu24	肤：皮～
跗	fu51	跗：脚背，～骨
府	fu31	府：政～
腑	fu31	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu31	甫：杜～
脯	pu31	脯：菜～（萝卜干）
斧	pu31	斧：～头
付	fu51	付：应～
咐	fu51	咐：吩～
賦	fu51	赋：天～
傅	fu51	傅：师～[文]
傅	fu51	傅：姓[白]
敷	fu24	敷：～衍，～药
俘	fu24	俘：～虏
孵	pʰu51	孵：孵小鸡
麩	kʰu24	麸：麦～
撫	vu31	抚：～养，安～
赴	fu51	赴：奔～，～汤蹈火
訃	pʰuʔ031	讣：～告
符	pʰu22	符：～合，鬼画～
扶	fu22	扶：～贫，～手[文]
扶	fu22	扶：搀扶，～起来[白]
芙	fu22	芙：～蓉
父	fu51	父：～亲
釜	fu31	釜：破～沉舟
腐	fu31	腐：～败
腐	fu51	腐：豆～
輔	pʰu31	辅：～导，～助
附	fu51	附：～近，～带
無	vu22	无：没有，～中生有[文]
無	mɔ22	无：没有，～事[白]
巫	mu22	巫：姓；～婆
誣	mu22	诬：～陷，～告
武	vu24	武：～器，～术
舞	vu31	舞：跳～
舞	vu31	舞：拨弄，摆弄[白，动]
侮	vu24	侮：～辱
鵡	vu24	鹉：鹦～
務	vu51	务：任～，～农
霧	vu51	雾：大～
縷	liu31	缕：千丝万～
屢	lui24	屡：～次，～教不改
趨	tsʰi24	趋：～势
取	tsʰi31	取：～钱
娶	tsʰi31	娶：嫁～
趣	tsʰi51	趣：兴～
聚	tsʰi51	聚：～会
聚	tsʰiu24	聚：捡～（收拢）[白]
須	si24	须：必～
鬚	si24	须：胡～
需	si24	需：～要
續	siuʔ045	续：连～，继～
誅	ʂu33	诛：天～地灭
蛛	tʂu33	蛛：蜘～
株	tʂu33	株：守～待兔
駐	tʂʰu51	驻：～扎
註	tʂu51	注：～释
廚	tʂʰu22	厨：～房
櫥	tʂʰu22	橱：碗～
柱	tʂʰu24	柱：柱子
住	tʂʰu51	住：～宿
數	sɿ51	数：～落，～星星[动]
數	sɿ51	数：～字，～学
朱	tʂu24	朱：姓
珠	tʂu24	珠：珍～
主	tʂu31	主：～人，地～
注	tʂu51	注：～意
蛀	tʂu51	蛀：～虫
鑄	tʂu51	铸：～铁，～钢
樞	kʰi24	枢：中～，～纽
輸	ʂu24	输：～赢
戍	ʂuʔ031	戍：～边
輸	ʂu24	输：运～
殊	ʂu22	殊：特～
豎	ʂu51	竖：横～
樹	ʂu51	树：～立，种～
儒	ʒʅ22	儒：～家思想
乳	niɛn51	乳：哺～，母～[文]
乳	niɛn51	乳：食～（吃奶），麦～精[训]
拘	ki24	拘：～留
倶	kʰi51	俱：～备，～乐部
矩	ki31	矩：规～，～形
句	ki51	句：～号
區	kʰi24	区：地～，～别
驅	kʰi24	驱：先～，～动
具	kʰi51	具：～体
懼	kʰi51	惧：恐～
