#漢字	音標	解釋
邪	siɑ213	邪：～气，～门歪道
斜	siɑ213	斜：倾～[文]
斜	tsʰiɑ213	斜：不正[白]
謝	tsʰiɑ52	谢：多～；姓
爹	tiɑ44	爹：～娘
遮	tʂa44	遮：遮挡[动]；伞[名]
者	tʂa31	者：记～，作～
蔗	tʂa52	蔗：甘蔗
車	tʂʰa44	车：火～
扯	tʂʰa31	扯：～开，～烂
蛇	ʂa213	蛇：毒～
射	ʂa52	射：发～，～箭
麝	ʂa52	麝：～香
奢	tʂʰa44	奢：～侈
賒	tʂʰa44	赊：～帐
捨	ʂa213	舍：～唔得（舍不得）
赦	ʂa52	赦：～免
舍	ʂa52	舍：宿～
社	ʂa44	社：～会，公～
惹	niɑ44	惹：～事
耶	ʐa22	耶：～稣
爺	ʐa213	爷：父亲；爷爷[文]
也	ʐa44	也：～知
野	ʐa44	野：～人
夜	ʐa52	夜：日～，～班
傻	sɔ213	傻：～瓜，～子
瓜	ka44	瓜：西～，～分
蝸	vɔ44	蜗：～牛
寡	ka31	寡：～妇，守～
剮	ka31	剐：千刀万～
誇	kʰa44	夸：～大，～张
垮	kʰa44	垮：～台
跨	kʰa44	跨：～栏，～度
娃	va44	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa44	花：开～
化	fa52	化：变～
華	fa213	华：中～
劃	fa213	划：～船
華	fa213	华：～山；姓
蛙	va44	蛙：青～，～泳
補	pu31	补：～鞋，～充
譜	pʰu31	谱：族～，歌～
布	pu52	布：红～，～料
佈	pu52	布：公～，～置
鋪	pʰu44	铺：～路，床～
普	pʰu44	普：～通，～遍
浦	pʰu44	浦：黄～江
鋪	pʰu52	铺：店～，当～
怖	pu52	怖：恐～
蒲	pʰu213	蒲：（石）菖～
菩	pʰu213	菩：～萨
脯	pʰu31	脯：胸～
部	pʰu52	部：～队，干～
簿	pʰu44	簿：练习～，帐～
步	pʰu52	步：跑～
捕	pʰu52	捕：逮～，～快
埠	fu52	埠：开～
埠	fu52	埠：庵～，蚌～（地名）
模	mɔ213	模：～型，～范
摹	mɔ44	摹：～仿，描～
暮	mu52	暮：日暮
慕	mu52	慕：羡～，～名而来
墓	mu52	墓：坟～，～地
募	mɔʔ031	募：～捐
都	tu44	都：首～，～市
都	tu44	都：都是
堵	tu31	堵：～车，～塞
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
妬	tu52	妒：～忌
土	tʰu31	土：～地
吐	tʰu52	吐：～痰；呕～
兔	tʰu52	兔：野～
徒	tʰu213	徒：～弟
屠	tʰu213	屠：～杀
途	tʰu213	途：前～
塗	tʰu213	涂：糊～，～改
圖	tʰu213	图：画～，地～
杜	tʰu52	杜：姓；杜仲（中药）
肚	tu213	肚：肚子
度	tʰu52	度：～数，长～
渡	tʰu52	渡：偷～，摆～
鍍	tʰu52	镀：电～
奴	nu213	奴：～隶
努	nu31	努：～力
怒	nu52	怒：愤～，～气
盧	lu213	卢：姓
爐	lu213	炉：火～
蘆	lu213	芦：～苇
鸕	lu213	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu44	鲁：～国，～迅
虜	lu31	虏：俘～
滷	lu44	卤：盐～，～水
路	lu52	路：大～
賂	lu52	赂：贿～
露	lu52	露：～水，白～，打～
鷺	lu52	鹭：白～
租	tsɿ44	租：～金，出～
祖	tsɿ31	祖：～宗，～国
組	tsɿ44	组：～织，小～
做	tsɔ52	做：～好事
粗	tsʰɿ44	粗：～心
醋	tsʰɿ52	醋：陈～
措	tsʰɿ52	措：～施
錯	tsʰɔ52	错：～误
蘇	sɿ44	苏：～州；姓
酥	sɿ44	酥：脆，杏仁～
素	sɿ52	素：～菜，朴～
訴	sɿ52	诉：上～，倾～
塑	sɔʔ031	塑：雕～，～料
姑	ku44	姑：大～
孤	ku44	孤：～儿，～单
箍	kʰu44	箍：紧～咒[文]
箍	kʰu44	箍：围束，～桶[白]
古	ku31	古：～代
估	kʰu44	估：～计
牯	ku31	牯：牛～
股	ku31	股：～票
鼓	ku31	鼓：锣～，～励
故	ku52	故：～事，～乡
蠱	ku31	蛊：养～，～惑
固	ku52	固：～定
錮	ku52	锢：禁～
雇	ku52	雇：～人，～主
顧	ku52	顾：照～
枯	kʰu44	枯：干～，～水
苦	kʰu31	苦：辛～，食～（吃苦）
苦	fu213	苦：～味
庫	kʰu52	库：水～，仓～
褲	fu52	裤：裤子
誤	ŋu52	误：～会，错～
悟	ŋu52	悟：觉～；孙～空
呼	fu44	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu213	虎：马～
滸	fu213	浒：水～
戽	fu52	戽：～水（泼水），～斗
胡	fu213	胡：二～ ；姓
湖	fu213	湖：西～
狐	fu213	狐：～狸
壺	fu213	壶：水～
乎	fu213	乎：在～
瓠	fu213	瓠：瓠卢，同葫芦
鬍	fu213	胡：～须
蝴	fu213	蝴：～蝶
糊	fu213	糊：浆～，～涂
戶	fu52	户：～口
滬	fu52	沪：上海简称
互	fu44	互：～相
護	fu52	护：保～，～士
瓠	fu213	瓠：瓠瓜（味似葫芦而长）
烏	vu44	乌：黑
污	vu44	污：～染
塢	vu44	坞：船～
惡	fu52	恶：可～
女	ni31	女：女人
廬	lu213	庐：～山
驢	lu213	驴：毛驴
呂	li44	吕：姓
旅	li31	旅：～游
慮	li52	虑：考～
濾	li52	滤：过～
蛆	tsɿ44	蛆：蛆虫，生～
絮	si52	絮：棉～
徐	tsʰɿ213	徐：姓
序	si52	序：顺～
敍	si52	叙：倒～
緖	si52	緖：情～；光～
豬	tʂu44	猪：～肉
著	tʂu52	著：～名，显～
除	tʂʰu213	除：～法
儲	ʂu22	储：～蓄
苧	tʂʰu44	苎：～麻
箸	tʂu52	箸：筷子
阻	tsɿ31	阻：～止，～力
初	tsʰɔ44	初：当～，～中
楚	tsʰɔ31	楚：清～
礎	tsʰɔ31	础：基～
鋤	tsʰɔ22	锄：～草，～禾日当午
助	tsʰɿ52	助：帮～
梳	sɔ44	梳：梳子[名]；梳头[动]
疏	sɔ44	疏：～远；稀疏
疏	sɔ44	疏：生～
蔬	sɔ44	蔬：～菜
所	sɔ31	所：～以；派出～
疏	sɔ44	疏：注～
諸	tʂu44	诸：姓；～如此类
煮	tʂu31	煮：～饭
處	tʂʰu31	处：～理
處	tʂʰu52	处：～所
書	ʂu44	书：读～
舒	ʂu44	舒：～服
暑	ʂu31	暑：～假
鼠	tʂʰu31	鼠：老～
庶	ʂu52	庶：～民
恕	ʂu52	恕：宽～
署	ʂu31	署：～名
薯	ʂu213	薯：番～
如	ʐʅ213	如：～果，假～
居	ki44	居：～民
車	ki44	车：象棋，～马炮
舉	ki31	举：～报，～重
據	ki31	据：收～
鋸	ki52	锯：电～
墟	ʂʅ44	墟：～日
去	ʂʅ52	去：来～，过～
渠	kʰi44	渠：水～，～道
佢	ki213	佢：他，第三人称
巨	kʰi44	巨：～大
拒	kʰi44	拒：～绝
距	kʰi44	距：～离
魚	ŋ̍213	鱼：金～
漁	ni213	渔：～业，～夫
語	ni44	语：～文
御	ni52	御：～用文人
禦	ni52	御：防～
虛	ʂʅ44	虚：～心
噓	ʂʅ44	嘘：吹～
許	ʂʅ31	许：允～；姓
於	ʐʅ44	于：在～
淤	ʐʅ44	淤：～泥
余	ʐʅ213	余：姓
餘	ʐʅ213	余：多～
與	ʐʅ44	与：参～，给～，～众不同
予	ʐʅ44	予：给～
譽	ʐʅ52	誉：荣～
預	ʐʅ52	预：～报，～备
豫	ʐʅ52	豫：犹～
夫	fu44	夫：～妻，车～
膚	fu44	肤：皮～
跗	fu52	跗：脚背，～骨
府	fu31	府：政～
腑	fu52	腑：五脏六～
俯	fu31	俯：～卧撑，～视
甫	pʰu31	甫：杜～
脯	pu52	脯：菜～（萝卜干）
斧	pu52	斧：～头
付	fu52	付：应～
咐	fu52	咐：吩～
賦	fu52	赋：天～
傅	fu52	傅：师～[文]
傅	fu52	傅：姓[白]
敷	fu44	敷：～衍，～药
俘	fu44	俘：～虏
孵	pʰu52	孵：孵小鸡
麩	fu44	麸：麦～
撫	vu31	抚：～养，安～
赴	fu52	赴：奔～，～汤蹈火
訃	fu52	讣：～告
符	pʰu213	符：～合，鬼画～
扶	fu213	扶：～贫，～手[文]
扶	fu22	扶：搀扶，～起来[白]
芙	fu22	芙：～蓉
父	fu52	父：～亲
釜	fu52	釜：破～沉舟
腐	fu31	腐：～败
腐	fu52	腐：豆～
輔	pʰu31	辅：～导，～助
附	fu52	附：～近，～带
無	vu213	无：没有，～中生有[文]
無	mɑu213	无：没有，～事[白]
巫	mɔ213	巫：姓；～婆
誣	mɔ213	诬：～陷，～告
武	vu44	武：～器，～术
舞	vu31	舞：跳～
舞	vu31	舞：拨弄，摆弄[白，动]
侮	vu44	侮：～辱
鵡	vu31	鹉：鹦～
務	vu52	务：任～，～农
霧	vu52	雾：大～
縷	liu31	缕：千丝万～
屢	lui44	屡：～次，～教不改
趨	tsʰi44	趋：～势
取	tsʰi31	取：～钱
娶	tsʰi31	娶：嫁～
趣	tsʰi52	趣：兴～
聚	tsʰi52	聚：～会
聚	tsʰi52	聚：捡～（收拢）[白]
須	si44	须：必～
鬚	si44	须：胡～
需	si44	需：～要
續	siuʔ055	续：连～，继～
誅	tʂu44	诛：天～地灭
蛛	tʂu44	蛛：蜘～
株	tʂu44	株：守～待兔
駐	tʂu52	驻：～扎
註	tʂu52	注：～释
廚	tʂʰu213	厨：～房
櫥	tʂʰu213	橱：碗～
柱	tʂʰu44	柱：柱子
住	tʂʰu52	住：～宿
雛	tsʰi44	雏：～形
數	sɿ52	数：～落，～星星[动]
數	sɿ52	数：～字，～学
朱	tʂu44	朱：姓
珠	tʂu44	珠：珍～
主	tʂu31	主：～人，地～
注	tʂu52	注：～意
蛀	tʂu52	蛀：～虫
鑄	tʂu52	铸：～铁，～钢
樞	ʂu44	枢：中～，～纽
輸	ʂu44	输：～赢
戍	ʂu31	戍：～边
輸	ʂu44	输：运～
殊	ʂu213	殊：特～
豎	ʂu52	竖：横～
樹	ʂu52	树：～立，种～
儒	ʐʅ213	儒：～家思想
乳	niɛn52	乳：哺～，母～[文]
乳	niɛn52	乳：食～（吃奶），麦～精[训]
拘	ki44	拘：～留
倶	kʰi52	俱：～备，～乐部
矩	ki31	矩：规～，～形
句	ki52	句：～号
區	kʰi44	区：地～，～别
驅	kʰi44	驱：先～，～动
具	kʰi52	具：～体
懼	kʰi52	惧：恐～
愚	ni213	愚：～蠢，～公移山
虞	ʐʅ213	虞：姓，～姬
娛	ŋɔ213	娱：～乐
遇	ni52	遇：遭～，相～，～到
寓	ni52	寓：～言；公～
迂	ʐɿ44	迂：～回，～腐
于	ʐʅ44	于：姓；等～
吁	ʐʅ44	吁：气喘～～，长～短叹
雨	ʐʅ31	雨：落～，谷～，～水
宇	ʐʅ31	宇：～宙
禹	ʐʅ44	禹：大～治水
羽	ʐʅ31	羽：～毛球
芋	vu52	芋：芋头
逾	ʐʅ52	逾：超过，～期
愉	ʐʅ52	愉：～快
愈	ʐʅ52	愈：病～
喩	ʐʅ52	喻：比～
裕	ʐʅ52	裕：富～
獃	tɑi44	呆：书～子，发～[文]
獃	ŋɔi213	呆：发～[白]
戴	tɑi52	戴：姓；～帽
胎	tʰɔi44	胎：双胞～，～盘
台	tʰɔi213	台：天台
態	tʰɑi52	态：～度，心～
貸	tʰɔi52	贷：～款
臺	tʰɔi213	台：～湾
苔	tʰɔi213	苔：青～，舌～
抬	tʰɔi213	抬：两个人抬
待	tʰɔi52	待：等～，～人接物
怠	tʰɑi52	怠：～慢，～工
代	tʰɔi52	代：～替，～表
逮	tɑi52	逮：～捕
袋	tʰɔi52	袋：袋子
乃	nɑi44	乃：安～近；人名用字
耐	nɑi52	耐：～力，～心，忍～
來	lɔi213	来：过～，～去
災	tsɑi44	灾：水～
栽	tsɑi44	栽：种，～培
宰	tsɑi31	宰：～相
載	tsɑi31	载：一年半～
再	tsɑi52	再：～来
載	tsɔi52	载：～重
猜	tsʰɑi44	猜：～谜
彩	tsʰɑi31	彩：～色
採	tsʰɑi31	采：～集
睬	tsʰɑi31	睬：理睬
菜	tsʰɔi52	菜：煮～，青～
才	tsʰɔi213	才：人～，～气，秀～
材	tsʰɔi213	材，药～，～料
財	tsʰɔi213	财，发～
裁	tsʰɑi213	裁，～纸，剪～
纔	tsʰɔi213	才：刚～
在	tsʰɑi52	在：实～，现～[文]
在	tsʰɔi44	在：存在，还～[白]
載	tsɔi52	载：满～而归
腮	sɿ44	腮：～腺炎，～红
鰓	sɔi44	鳃：鱼鳃
賽	sɑi52	赛：比～
該	kɔi44	该：应～
改	kɔi31	改：修～，～正
概	kʰɑi31	概：大～，～括
溉	kʰɑi31	溉：灌～
開	hɔi44	开：公～，～门
凱	kʰɑi31	凯：～旋
慨	kʰɑi31	慨：慷～，感～
咳	kʰiɛʔ031	咳：～嗽，止～糖浆
呆	ŋɔi22	呆：～板
礙	ŋɔi52	碍：妨～
海	hɔi31	海：大～
孩	hɑi22	孩：～童
亥	hɔi52	亥：辛～革命
哀	ɔi44	哀：悲～
埃	ɑi44	埃：尘～，～及
愛	ɔi52	爱：～情；要
貝	pi52	贝：宝～
貝	pi52	贝：川～，～壳
沛	pʰi52	沛：充～
帶	tɑi52	带：鞋～
太	tʰɑi52	太：老～婆
泰	tʰɑi52	泰：～山
大	tʰɑi52	大：大小
奈	nɑi52	奈：无～，～何
賴	lɑi52	赖：依～，无～；姓
癩	lɑin44	癞：～蛤蟆[文]
癩	lɑiʔ031	癞：～哥（癞疮）[白]
蔡	tsʰɑi52	蔡：姓
蓋	kɔi52	盖：～被[动]；盖子[名]
丐	kɔi52	丐：～帮
艾	nɔi52	艾：姓；～滋病
艾	nɔi52	艾：艾草
害	hɔi52	害：～人
藹	ɔi31	蔼：和～，宋～龄
拜	pɑi52	拜：结～，礼～，～佛
排	pʰɑi22	排：～队
埋	mɑi213	埋：～伏
齋	tsɑi44	斋：食～（吃斋）
豺	sɑi213	豺：～狼
皆	kɑi44	皆：～大欢喜
階	kɑi44	阶：台～，～级
介	kɑi52	介：～绍，中～
界	kɑi52	界：世～
芥	kɑi52	芥：～菜
尬	kɑi52	尬：尴～
疥	kɑi52	疥：～疮
屆	kɑi52	届：第一～
戒	kɑi52	戒：～烟，猪八～
楷	kʰɑi31	楷：～书，～模
諧	hɑi213	谐：和～
駭	hiɛʔ055	骇：惊～，～人听闻
械	hɑi52	械：机～
挨	ɑi44	挨：～打，～近
擺	pɑi31	摆：摇～
派	pʰɑi52	派：正～，～出所
牌	pʰɑi213	牌：～坊，～匾[文]
牌	pʰɑi22	牌：打～[白，训]
㵺	pʰɑi22	排：竹排
罷	pʰa52	罢：～工
稗	pʰɑi52	稗：～草
買	mɑi44	买：～卖
賣	mɑi52	卖：买～
奶	nɑi44	奶：二～，～牛
債	tsɑi52	债：欠～
釵	tsʰa44	钗：宝～
差	tsʰɑi44	差：出～
柴	tsʰɑi213	柴：姓；火～
篩	si44	筛：～选，～米
灑	sa31	洒：潇～，～水
佳	ka44	佳：～人，～节
街	kɑi44	街：～路
解	kɑi31	解：～释，讲～[文]
解	kɑi31	解：～开[白]
