#漢字	音標	解釋
掃	tsɔu33	扫：扫帚
燥	tsʰau33	燥：干燥，口干舌燥
嫂	tsɔu31	嫂：大嫂，嫂嫂
臊	sou33	臊：羊臊气
皂	tsɔu35	皂：肥皂，皂角
造	lɔu51	造：制造，创造
槽	ʦʰou51	槽：一条槽，猪槽
曹	ʦʰou35	曹：姓，阴曹
糙	lɔu51	糙：粗糙
騲	lɔu35	騲：草鸡（母鸡）
草	lɔu51	草：
操	ʦʰau35	操：做操，曹操
躁	lɔu51	躁：脾气躁，暴躁
竈	nɔu31	灶：大灶，灶神
澡	nɔu31	澡：洗澡，澡盆
蚤	tʰau35	蚤：跳蚤
棗	tʰɔu33	枣：红枣
早	tʰɔu31	早：早上
遭	tsau33	遭：遭殃
糟	tsou33	糟：糟糕，酒糟
澇	tʰau35	涝：洪涝
姥	tʰɔu51	姥：刘姥姥
老	tʰɔu51	老：年龄大，菜很老，老爷，老实
癆	lou51	痨：肺痨
嘮	lou51	唠：唠叨
牢	lou51	牢：坐牢，牢房
撈	leu51	捞：海底捞月
勞	lou51	劳：劳动
惱	tʰɔu51	恼：恼火，懊恼
腦	tʰau35	脑：大脑，电脑
蹈	tɔu33	蹈：舞蹈
盜	tɔu31	盗：强盗，盗窃
導	tɔu31	导：领导，导演
道	tʰɔu31	道：道理，大道
稻	tɔu31	稻：水稻
濤	tʰou51	涛：波涛
萄	tʰou51	萄：葡萄
陶	tʰou51	陶：陶瓷，姓
淘	tʰou51	淘：淘米，淘气
逃	tʰou51	逃：逃难，逃命
桃	tʰou51	桃：一种水果
討	pʰɔu33	讨：讨饭，讨老婆，讨名字
掏	tʰou33	掏：掏出来
滔	tʰau33	滔：滔滔不绝，滔天
到	pɔu33	到：到那里去
倒	pɔu31	倒：倒着走，倒车
搗	pɔu31	捣：捣乱
禱	pɔu31	祷：祈祷，祷告
倒	fui33	倒：打倒，倒掉
叨	vui33	叨：唠叨，叨光（沾光）
刀	tou35	刀：一把刀
帽	vui31	帽：草帽
冒	vui31	冒：冒充
毛	mau35	毛：毛笔，鸭毛
菢	vui31	菢：菢小鸡（孵）
暴	vui51	暴：暴露，残暴
抱	vui51	抱：拥抱，抱孩子
袍	pʰau51	袍：长袍，袍子
報	vui33	报：报告，日报
堡	vui35	堡：碉堡，堡垒，地名有无特殊说法
寶	fui33	宝：宝贝，珍宝
褒	pou35	褒：褒义，褒奖
彙	fui35	汇：汇总，汇报，词汇
蝟	fui35	猬：刺猬
謂	ŋui31	谓：所谓
胃	vui35	胃：肠胃，胃病
緯	kui33	纬：经纬，纬线
葦	kui31	苇：芦苇
偉	kui35	伟：伟大，雄伟
違	vui51	违：违背
圍	vui51	围：围裙，包围，围墙，围巾
慰	mui35	慰：安慰，慰问
畏	vui35	畏：畏罪，畏惧
威	vui35	威：威风，发威
卉	fui35	卉：花卉
諱	pʰui51	讳：忌讳
徽	fui35	徽：国徽，徽章
輝	fui35	辉：光辉，日头辉，辉煌
揮	fui35	挥：指挥，挥手
魏	fui33	魏：姓，魏国
鬼	fui35	鬼：
歸	kui35	归：归来，回归，九九归一
味	fui35	味：味道，味精
未	vui51	未：未来（将来，还没有来）
尾	vui51	尾：末尾，尾巴
薇	vui35	薇：紫薇，蔷薇
微	vui35	微：细微，微小
肥	pʰui51	肥：肥料，化肥，肥肉
費	kʰui33	费：浪费，费用
菲	kʰui51	菲：菲薄
妃	fui35	妃：贵妃
沸	ki33	沸：水沸，沸腾
疿	kʰui33	痱：痱子
榧	kui31	榧：草榧，香榧
匪	kʰui51	匪：土匪
非	fui35	非：是非，非常
唯	ʃui31	唯：唯物主义
惟	vui51	惟：惟一
遺	vui51	遗：遗失
維	vui51	维：维生素，纤维
位	tʃʰui33	位：地位，位子
櫃	tʃʰui51	柜：门在顶上，柜台
葵	kʰui51	葵：向日葵，葵花籽
逵	kuei35	逵：李逵
季	sui33	季：四季
愧	sui33	愧：惭愧
軌	sui31	轨：铁轨，轨道
癸	sui33	癸：天干第十
龜	kui35	龟：乌龟
誰	sui51	谁：
水	tʃui31	水：喝水，水果，水平
錐	tsʰui35	锥：角锥，圆锥
帥	tsui33	帅：元帅
衰	sai35	衰：衰老，衰落
墜	lui31	坠：虫子吐丝下坠，耳垂
錘	ʧʰui51	锤：铁锤，抡大锤
追	ʧui35	追：
穗	vui35	穗：谷穗
遂	fui31	遂：未遂，遂昌
雖	sui51	虽：虽然
悴	kʰui33	悴：憔悴
翠	kʰui35	翠：翡翠，翠绿
醉	kʰui35	醉：喝醉酒
淚	kui31	泪：眼泪，泪水
類	kui35	类：分类，种类
壘	lui35	垒：堡垒
爲	vui51	为：为人民服务
爲	ʃɔi33	为：行为，为人
餵	sui51	喂：喂饭，喂养
委	vui35	委：委托，常委
萎	vui35	萎：枯萎，萎靡
毀	fui35	毁：毁灭，毁牙（小孩换牙）
僞	sui51	伪：伪造，虚伪
危	ŋui51	危：安危，危险
窺	kʰui35	窥：偷窥，窥视
虧	kʰui35	亏：幸亏，多亏，亏得，吃亏
詭	kui35	诡：诡计
規	kui35	规：圆规，规矩
瑞	ȵi33	瑞：瑞安，瑞金，瑞雪
睡	ʒɿ51	睡：午睡，睡眠
垂	ʧʰui51	垂：下垂，垂头丧气
炊	ʦʰɔi35	炊：炊事员，炊饭
隨	ʃui51	随：随便，跟随
髓	ʃui51	髓：骨髓，脑髓
嘴	tʃɔi35	嘴：嘴巴
累	ki31	累：连累，拖累
累	ki35	累：积累，累计
依	ʒʅ35	依：依靠，依旧
衣	ki35	衣：大衣，衣裳
希	hi35	希：希望
毅	ʒɿ33	毅：毅力
祈	kʰi35	祈：祈祷
豈	kʰiu51	岂：岂有此理
既	ʒɿ35	既：既然
幾	ki35	几：几个
幾	ki35	几：几乎
饑	ki35	饥：饥荒
譏	ki35	讥：讥笑
機	ki35	机：机器，趁机
異	ȵi31	异：各异，异同
已	ki35	已：已经
以	ʒʅ35	以：可以，以毒攻毒
飴	ji35	饴：饴糖
矣	ji31	矣：
意	ki33	意：意思，大意
醫	ʒʅ35	医：医生，医病
喜	hi31	喜：大喜，喜欢
禧	ʃi31	禧：慈禧
嘻	hi33	嘻：嘻皮笑脸
煕	hi35	熙：康熙
嬉	ki35	嬉：玩
擬	ni314	拟：草拟，拟人
疑	ȵi51	疑：怀疑，疑心
忌	ȵi31	忌：忌讳，禁忌，忌日
期	kʰi35	期：到期，日期
其	kʰi35	其：尤其，其他
旗	kʰi51	旗：红旗
棋	kʰi51	棋：下棋，棋子
杞	ki31	杞：枸杞，杞人忧天
起	kʰi31	起：起床，升起
欺	kʰi35	欺：欺负
記	liɔŋ31	记：记号，笔记
紀	ki35	纪：纪律，年纪
己	ki35	己：自己，舍己为人
姬	ki35	姬：虞姬
箕	ki35	箕：粪箕，篦箕（梳头用）
基	ki35	基：基本，地基
餌	liɔŋ51	饵：钓饵
耳	ȵi314	耳：耳朵，中耳炎
而	ʒʅ51	而：然而，而且
侍	ɔk031	侍：服侍，侍卫
市	sɿ35	市：集市，市场
時	sɿ51	时：时间，当时
試	hɔŋ51	试：考试，试一试
始	tsʰɿ31	始：开始，始终
詩	sɿ35	诗：唐诗，诗人
齒	tsʰɿ31	齿：牙齿
嗤	ʦʰɿ35	嗤：嗤笑
誌	ŋɔk051	志：地方志
志	ɔŋ51	志：志气，志愿
趾	tsɿ31	趾：脚趾（甲）
址	tsɿ31	址：地址，旧址
止	tsɿ31	止：停止，止血
芝	ʦɿ33	芝：灵芝，芝麻
之	ʦɿ35	之：之乎者也
駛	sɿ31	驶：驾驶员，车驶来
使	sɿ31	使：假使，大使，用
史	sɿ31	史：历史
事	kɔk031	事：大事，事情
柿	sɿ35	柿：柿子
仕	sɿ33	仕：仕途
士	sɿ33	士：士兵
廁	kɔŋ35	厕：男厕，厕所
治	kɔŋ35	治：统治，治安
痔	tsʰɿ35	痔：痔疮
峙	tʃit055	峙：对峙
持	ʦʰɿ51	持：坚持，持久
恥	sɿ31	耻：国耻，耻辱
癡	ʦʰɿ35	痴：痴呆，发痴
置	sɔŋ35	置：布置，安置，置办
嗣	sɔŋ35	嗣：谭嗣同，后嗣
飼	tsʰɔk051	饲：饲养，饲料
巳	tsʰɔŋ33	巳：地支第六
似	sɿ31	似：相似，似乎
詞	ʦʰɿ51	词：歌词，词牌
祠	sɿ35	祠：祠堂，宗祠
辭	ʦʰɿ51	辞：告辞，辞职
思	sɿ35	思：意思
伺	mɔŋ35	伺：伺侯，伺机
司	sɿ33	司：司令，公司
絲	sɿ35	丝：蛛丝，丝绸
思	sɿ35	思：思想，思念
牸	pʰɔŋ51	牸：牛牸（母牛）
字	pʰɔŋ51	字：文字，字画
磁	ʦʰɿ51	磁：磁铁，磁场
慈	tsʰɿ51	慈：慈悲，慈禧
梓	tsɿ31	梓：桑梓
滋	tsɿ35	滋：滋味，滋润
吏	pɔŋ35	吏：官吏，吏治
鯉	li35	鲤：鲤鱼跳龙门
裏	li31	里：里面，里外
理	li31	理：道理，理由
里	li31	里：一里路，里弄，地名
李	li31	李：姓，一种水果
貍	li51	狸：貍猫换太子，狐狸
釐	li51	厘：厘米，分厘
你	hen35	你：第二人称
肄	ʃiun35	肄：肄业
夷	ʒʅ51	夷：化险为夷，夷蛮
姨	ʒʅ51	姨：阿姨
懿	ʃiun35	懿：司马懿
器	kiun35	器：武器，大器
冀	kʰiun51	冀：河北简称
几	ki31	几：茶几
肌	ki35	肌：肌肉
飢	ki35	饥：饥饿，饿
貳	kiun35	贰：
二	vut051	二：数字
嗜	vut051	嗜：嗜好
視	mun33	视：近视，视察
矢	sɿ314	矢：无的放矢
屎	sɿ31	屎：粪便
屍	sɿ35	尸：死尸，分尸
尸	sɿ35	尸：尸陈
示	vun51	示：启示，示意图
至	vun51	至：至少
旨	tsɿ31	旨：奉旨，旨意
指	tsɿ31	指：手指，指挥
脂	tsɿ35	脂：猪脂油，胭脂，脂肪
螄	sɿ33	蛳：螺蛳
獅	sɿ35	狮：狮子
師	sɿ35	师：老师，师父
稚	tsun35	稚：幼稚，稚嫩
緻	liut051	致：细致
遲	tsʰɿ51	迟：迟到，推迟
致	lun51	致：导致，致敬
肆	lun51	肆：放肆，肆无忌惮
四	vun31	四：数字
死	si314	死：死了，死亡
私	tsʰɿ35	私：自私，私心
自	fun31	自：自顾自，自己，自私
餈	tsʰi51	糍：麻糍，糍粑
瓷	tsʰɿ51	瓷：陶瓷，瓷砖
次	vun51	次：名次，两次，次品
姊	tsie35	姊：姊妹，姐姐
咨	tsɿ35	咨：咨询
姿	tsɿ35	姿：姿势
資	tsɿ35	资：资本
痢	kʰut031	痢：癞痢，痢疾
利	kʰun33	利：有利，利钱
履	li314	履：履行
梨	li51	梨：雪梨，梨园
膩	kʰun35	腻：油腻，吃腻
呢	ȵi51	呢：呢大衣
尼	nei51	尼：尼姑，《僧尼会》（婺剧）
地	kun31	地：土地，地上
寐	kʰun35	寐：梦寐以求
媚	sun35	媚：抛媚眼，武媚娘，妩媚
美	mi314	美：英美，美化
黴	mui51	霉：发霉
楣	mui51	楣：门楣，倒楣
眉	mi51	眉：画眉，眉毛
痞	pi31	痞：地痞流氓
篦	tsʰun33	篦：篦子（可抓虱子的很密的梳子）
備	tsʰun35	备：准备，备用，刘备
枇	pʰi51	枇：枇杷
琵	pʰi51	琵：琵琶
屁	tsun35	屁：放屁，狗屁
丕	lun33	丕：曹丕
痹	lun51	痹：麻痹
庇	lun33	庇：包庇
泌	nun33	泌：分泌
秘	tʰut051	秘：秘书，秘密
比	pi314	比：对比，比较
悲	pui35	悲：可悲，悲伤
易	tʰun51	易：容易，易如反掌
移	ʒʅ51	移：迁移，移动
倚	ʒʅ35	倚：倚靠，不偏不倚
椅	ʒʅ35	椅：交椅，椅子
戲	tʰui33	戏：唱戏，戏班
犧	ʃi35	牺：牺牲
議	tun31	议：议论，会议
義	tun35	义：情义，义气
誼	tun35	谊：友谊
蟻	ŋei314	蚁：蚂蚁，白蚁
儀	ȵi51	仪：礼仪，仪式
宜	ȵi51	宜：宜昌，便宜
奇	ki35	奇：奇数
妓	kʰi314	妓：嫖妓，妓女
技	kʰi314	技：技术，杂技
徛	kʰi314	徛：站立
岐	kʰi35	岐：岐山
騎	kʰi51	骑：骑马
奇	kʰi51	奇：好奇，奇怪
企	kʰi314	企：企业，企求
寄	pen35	寄：邮寄，寄信
爾	ə314	尔：尔虞我诈
氏	sɿ314	氏：姓氏，氏族
是	kʰiun33	是：是不是，的确，代词强调式
匙	sɿ51	匙：钥匙，羹匙
施	sɿ33	施：布施
翅	kʰi31	翅：鱼翅，翅膀
施	tsʰɿ35	施：施肥，姓
舐	ʃei35	舐：舔
只	tʃak031	只：只有
肢	tsʰɿ35	肢：四肢、肢体
枝	ʒit031	枝：荔枝，树枝
支	tsɿ35	支：地支，支持
篩	tʰei35	筛：谷筛，米筛，筛谷
差	tsʰa35	差：参差
馳	tsʰɿ35	驰：奔驰，驰骋
池	tsʰɿ51	池：池塘，水池
智	ʒin35	智：智慧
蜘	tsɿ35	蜘：蜘蛛（土话）
知	ti35	知：知道，知识
賜	kiun31	赐：赏赐，恩赐
撕	tsʰa31	撕：撕破
斯	sɿ35	斯：斯大林
疵	tsʰɿ51	疵：瑕疵，吹毛求疵
刺	ȵin33	刺：刺刀，鱼刺，植物的刺
此	tsʰɿ31	此：此地，到此
雌	tsʰɿ35	雌：雌雄
紫	tsɿ31	紫：紫色
離	li51	离：分离
璃	li51	璃：玻璃
籬	li51	篱：篱笆
離	li51	离：离别
彌	ni33	弥：阿弥勒佛，弥补，弥漫
糜	mien51	糜：粥，糜烂
被	pʰi35	被：被迫
被	pʰi35	被：棉被，被絮
脾	pʰi51	脾：脾气，脾胃
疲	pʰi35	疲：疲劳
皮	pʰi51	皮：苹果皮
譬	pʰin51	譬：譬喻
披	pʰi51	披：披衣服
臂	pʰit031	臂：手臂，臂力
彼	pi35	彼：彼此
卑	pei51	卑：卑职，卑鄙
碑	pi35	碑：石碑，碑文
慧	pit031	慧：小孩乖、能干，人名用字
惠	pin35	惠：实惠，优惠
畦	tʃʰiu33	畦：菜畦
攜	sie51	携：携带
奎	kʰui51	奎：人名用字
桂	pin35	桂：桂圆，肉桂，桂花灯，桂花糖
穢	hen33	秽：污秽
吠	hen35	吠：狗叫
杮	hen51	杮：削下的木片、木皮
肺	kʰen31	肺：猪肺
廢	kʰen31	废：废品、作废
銳	kʰen31	锐：尖锐
衛	kiun35	卫：保卫、卫生
鱖	ken35	鳜：鳜鱼
芮	tʰun35	芮：姓
稅	ʒæn35	税：税收，偷税
贅	kʰiet051	赘：累赘，入赘
綴	ʃien51	缀：点缀
歲	ʃien33	岁：几岁，万岁
脆	ʃien51	脆：干脆，食物松脆（如苹果、饼干）
話	ʃien51	话：说话、笑话
筷	fiet031	筷：吃饭用
快	kʰiet031	快：快点，快车
畫	kiet031	画：画图、图画
歪	vai35	歪：不正，歪嘴、歪戴帽子
褂	ʒæt031	褂：大褂，褂子
卦	ʒæt031	卦：卜卦，八卦
掛	tʃiu35	挂：挂篮子
柺	kuai314	柺：拐杖，瘸腿
壞	seu33	坏：不好
淮	fɔi51	淮：淮河、淮北
槐	fɔi51	槐：槐树
懷	fɔi51	怀：胸怀，怀敞开、抱在怀里，抱（孩子）
塊	seu35	块：一块布
蒯	tsʰeu31	蒯：姓，蒯通、蒯大富
怪	seu51	怪：这是怪他，奇怪
乖	kuai35	乖：小孩听话，精乖（精明，贬义）
繪	tseu35	绘：测绘，绘画
會	tsiu33	会：会不会
外	tseu35	外：外面，外婆
檜	tʃiu33	桧：秦桧
會	tʃʰiu51	会：会计，财会
最	tʃʰiu51	最：最好
兌	tʃʰiu51	兑：兑钱，兑水，兑换，以物易物（兑糖）
蛻	tʃʰiu31	蜕：蝉蜕、蛇蜕、蜕变
煨	vun51	煨：煨番薯（把食物直接放在火中）
潰	tʃiu33	溃：溃脓，崩溃，胃溃疡
匯	fui33	汇：汇报
徊	fɔi51	徊：徘徊
茴	fui51	茴：茴香
迴	fui51	迴：迂迴
回	fui51	回：回去、回东西（转卖）
晦	lu51	晦：晦气
悔	fui31	悔：后悔、懊悔
灰	fɔi35	灰：草木灰、灰色
塊	tsʰiu33	块：一块布
恢	fɔi35	恢：恢复
瑰	kui31	瑰：玫瑰
碎	liu51	碎：东西碎了
罪	tsʰui33	罪：罪过，犯罪
摧	tsʰui33	摧：摧残
崔	tsʰui33	崔：姓
催	tsʰui33	催：催他快去、催眠
擂	liu51	擂：擂台，擂鼓
累	liu51	累：极困
雷	lui51	雷：姓，打雷，雷公
隊	tui35	队：队伍，排队
退	mɔi33	退：
推	tʰui35	推：
碓	mui51	碓：舂米工具
對	mui51	对：对错
堆	tui35	堆：堆起来，一堆东西
昧	mui51	昧：拾金不昧、昧着良心
妹	mui51	妹：妹妹、姊妹
每	mui51	每：每个人、每天
莓	mui51	莓：一种果子，红色、小而圆。草苺，蛇莓
玫	mui51	玫：玫瑰花
煤	mui51	煤：烧煤、煤矿
媒	mui51	媒：做媒、媒人
枚	mui51	枚：一枚别针
梅	mui51	梅：梅花、腊梅
焙	tʰi51	焙：焙干
背	tʰi51	背：背书、背诵
倍	pʰui51	倍：几倍
徘	pʰai51	徘：徘徊
賠	pʰɔi51	赔：赔钱
陪	pʰui51	陪：陪你去
培	pʰui51	培：培训
坯	pʰi33	坯：粗坯，毛坯
胚	pʰei33	胚：胚子
背	tei31	背：后背
輩	tʰi51	辈：辈分，长辈
杯	pui35	杯：茶杯
瞖	mi51	瞖：生瞖
縊	mi31	缢：缢死，自缢
係	mi51	係：关系
系	pi33	系：中文系，系统
兮	ʃi35	兮：
奚	ha33	奚：奚落
詣	pi33	诣：造诣
契	kɔt031	契：契约，地契
啓	kʰi31	启：启发
溪	kʰei35	溪：大溪
髻	ʃʅ33	髻：发髻
繫	ʃʅ33	系：系鞋带，把鸡的两只脚捆起来便于携带
繼	ʃʅ33	继：继承，继续
計	tʃʅ33	计：会计，计算
鷄	kei35	鸡：公鸡、小鸡
細	tsi33	细：粗细，大细，比…少。
洗	sei31	洗：洗衣服，洗衣粉
犀	si35	犀：犀牛，羚羊犀角
棲	si33	栖：
西	si35	西：东西南北
劑	pi33	剂：药剂
臍	tsʰi51	脐：肚脐，脐带
齊	tsʰi51	齐：整齐，齐了
砌	ȵiu31	砌：砌墙，砌茶
悽	tsʰi35	悽：悽惨
凄	tsʰi35	凄：凄凉
妻	tsʰi35	妻：老婆
濟	fu33	济：接济，经济，济公
擠	tsi314	挤：拥挤，挤上去，挤牙膏
莉	pi35	莉：茉莉
隷	pi35	隶：奴隶，隶属
麗	fui33	丽：人名用字
禮	li35	礼：送礼，礼貌
黎	lei51	黎：黎明
犂	lei51	犁：耕田用具
泥	nei51	泥：烂泥，水泥
遞	kui33	递：传递
第	kui35	第：门第，第一
弟	tʰei35	弟：兄弟，弟弟
啼	tʰei51	啼：啼笑皆非，鸡啼
蹄	tʰei51	蹄：猪蹄
提	tʰi51	提：提问，提醒
題	tʰi51	题：题目，难题
屜	fui33	屉：抽屉
剃	ʒui33	剃：剃头
涕	vui31	涕：鼻涕
體	tʰi51	体：体育，身体
梯	tʰɔi35	梯：楼梯，梯子
蒂	tsui33	蒂：瓜蒂
帝	sei33	帝：皇帝，帝国
抵	ti33	抵：抵押
底	ti31	底：底气，水底
堤	tʰi51	堤：
低	tei35	低：
謎	va35	谜：谜语，猜谜
米	mi51	米：大米
迷	mi51	迷：迷路
鐾	kua33	鐾：蹭，在皮布上擦刀使锋利，鐾笔
批	pʰei35	批：一批，批评
箅	kuai31	箅：蒸笼中的竹屉
閉	fai33	闭：闭眼，关闭
蓖	pi33	蓖：蓖麻
刈	fai51	刈：割
藝	fai51	艺：艺术，文艺
逝	kʰuai33	逝：去逝
勢	kuai33	势：势力，有钱有势
世	kuai35	世：世界
製	kʰuai31	製：制造
制	fui33	制：制度
滯	fui33	滞：停滞，滞湿(中医用语)，滞后
穄	ŋuai33	穄：穄子，高粱的叫法
祭	kʰuai33	祭：祭祀
勵	kʰuai31	励：鼓励
厲	tsui33	厉：严厉，厉害
例	tʰui31	例：举例，例子
幣	pʰui51	币：人民币
弊	pi33	弊：作弊
蔽	pi33	蔽：隐蔽
寨	tsʰai33	寨：山寨，大寨
敗	pʰai33	败：打败，失败
隘	ai51	隘：狭隘
矮	ei314	矮：个子矮
蟹	hei314	蟹：八足二螯
解	kai314	解：知道，懂了
解	kei314	解：姓
鞋	hei51	鞋：布鞋，草鞋，皮鞋
捱	ai35	捱：捱打
崖	ŋam51	崖：悬崖
涯	ŋai51	涯：天涯
解	kai31	解：讲解，解释
街	kai35	街：大街
佳	ka35	佳：人名用字
曬	sai33	晒：晒谷，晒衣服，晒太阳
灑	sa31	洒：洒水
篩	tsʰei35	筛：筛酒，筛子，筛选
柴	tsʰai51	柴：火柴，柴火
差	tsʰai35	差：出差
釵	tsʰai35	钗：宝钗，钗子
債	tsai33	债：讨债，还债
奶	nei314	奶：喂奶，奶奶
賣	mai33	卖：卖掉
買	mai314	买：买进
罷	pʰa314	罢：罢工，与“了”相当的助词
牌	pʰai51	牌：牌坊，打牌
簰	pʰai51	排：竹排
派	pʰai31	派：派他去，派出所，老派
擺	pai314	摆：摇摆，摆架子，放
挨	ai35	挨：挨近，挨住
械	hai31	械：机械
駭	hɔi33	骇：骇人听闻，惊骇
諧	hai35	谐：谐音，和谐
楷	kʰɔi314	楷：楷书，大楷
戒	kai33	戒：戒指，戒烟，猪八戒
屆	kai33	届：第一届，届时
尬	kai33	尬：尴尬
芥	kai33	芥：芥菜
界	kai33	界：世界，边界
介	kai33	介：介绍，中介
階	kai35	阶：台阶，阶段，阶级
皆	kai35	皆：皆大欢喜
豺	tsʰai51	豺：豺狼虎豹
齋	tsai35	斋：吃斋
埋	mei51	埋：埋葬，埋头苦干
排	pʰai51	排：并排，排队
拜	pai33	拜：结拜，拜佛，礼拜
害	hɔi33	害：害人
艾	hai33	艾：艾草（端午节挂于门上,可以避邪除毒），艾滋病
丐	kɔi33	丐：乞丐，给，被动标记
蓋	kɔi33	盖：盖子，盖被
蔡	tsʰai33	蔡：姓
癩	lai33	癞：癞头，癞（皮）蛤蟆
賴	lai33	赖：姓，无赖，赖帐
奈	nai33	奈：无奈，奈何桥
大	tʰai33	大：大夫，大黄，大蒜
泰	tʰai33	泰：泰山
太	tʰai33	太：太阳，老太婆
帶	tai33	带：鞋带，带东西
沛	pʰui33	沛：充沛，沛公
狽	pui33	狈：狼狈
貝	pui33	贝：宝贝，贝壳
愛	ɔi33	爱：喜爱，爱情
唉	hai35	唉：唉声叹气
埃	ai35	埃：尘埃，埃及
哀	ai35	哀：悲哀，哀悼
亥	hɔi33	亥：地支末位，辛亥革命
孩	hai51	孩：孩子
海	hɔi31	海：大海
礙	ŋɔi33	碍：妨碍，碍事
磑	ȵien35	磑：研，磨
呆	tai35	呆：笨，发呆，痴呆
咳	kʰet031	咳：咳嗽
慨	kʰɔi31	慨：慷慨，感慨
凱	kʰai31	凯：凯旋，乐凯
開	kʰɔi35	开：开门，打开
溉	kʰɔi31	溉：灌溉
概	kʰɔi31	概：概括，大概
改	kɔi31	改：修改，改正
該	kai35	该：应该，该死
賽	sɔi31	赛：比赛，赛跑
載	tsɔi33	载：满载
在	tsai51	在：现在，在家
裁	tsʰai51	裁：裁缝，裁纸
財	tsʰai51	财：财主，发财
材	tsʰai51	材：棺材，材料
才	tsʰai51	才：人才，才气
纔	tsʰai51	才：刚才，才来
菜	tsʰɔi33	菜：吃菜
踩	tsʰak055	踩：踩油门
採	tsʰai31	采：采集
彩	tsʰai31	彩：彩色，五彩
猜	tsʰai35	猜：猜谜
載	tsɔi31	载：载重
再	tsai33	再：再来
載	tsɔi31	载：年载
宰	tsai31	宰：宰相
栽	tsai35	栽：树 菜栽（树 菜苗）栽种
災	tsai35	灾：水灾，灾难
來	lɔi51	来：过来，来去
耐	nai33	耐：耐心，忍耐
逮	tai31	逮：逮捕
袋	tʰɔi33	袋：口袋，麻袋
代	tʰɔi33	代：代表
怠	tʰai33	怠：怠慢，怠工
待	tʰai33	待：等待，待人
抬	tʰɔi35	抬：两个人抬
苔	tʰɔi51	苔：青苔，舌苔
台	tʰɔi51	台：平台
臺	tʰɔi51	台：平台，台湾
貸	tʰɔi33	贷：借贷，贷款
態	tʰai31	态：态度，心态
台	tʰɔi51	台：天台，台州
胎	tʰɔi35	胎：投胎，双胞胎，胎盘
戴	tai33	戴：姓，戴帽
獃	tai35	呆：书呆子
裕	ʒu33	裕：富裕
喩	ʒu33	喻：比喻
愈	ʒu33	愈：愈好，病愈
愉	ʒu51	愉：愉快
逾	ʒu35	逾：逾期
楡	ʒu35	榆：榆树
芋	vu33	芋：芋头、芋艿
羽	ʒu33	羽：羽毛
宇	ʒu31	宇：宇宙
雨	ʒu31	雨：下雨
盂	ʒu31	盂：痰盂，碗怎么说
于	ʒu51	于：于是，姓
吁	ʃi35	吁：气喘吁吁，长吁短叹
寓	ʒu33	寓：公寓，寓言
遇	ȵi33	遇：遇见，遭遇
娛	ŋu35	娱：娱乐
愚	ȵi51	愚：愚蠢，愚公移山
懼	ki33	惧：恐惧，惧怕
具	kʰi31	具：具体，家具
嶇	kʰi35	岖：崎岖
軀	kʰi35	躯：身躯
驅	kʰi35	驱：先驱，驱动
區	kʰi35	区：地区，区别
句	ki33	句：一句话，句子
矩	ki31	矩：规矩
倶	kʰi33	俱：俱备，俱乐部
駒	kʰiu21	驹：小马
拘	kʰi35	拘：拘留
擩	ȵiu314	擩：擩进去
乳	lu31	乳：乳房，麦乳精，哺乳
儒	ʒu51	儒：
樹	ʃu33	树：一棵树，树立
豎	ʃu51	竖：横竖（笔画）
殊	ʃu51	殊：特殊
輸	ʃu35	输：运输
輸	ʃu35	输：输赢
鑄	tʃu33	铸：铸铁，铸镬，铸造
蛀	tʃu33	蛀：衣服被虫蛀了
注	tʃu33	注：注意
主	tʃu31	主：主人，地主
珠	tʃu35	珠：珍珠，眼睛的说法
硃	tʃu35	硃：朱砂
朱	tʃu35	朱：姓
數	sɿ31	数：数目，分数
數	sɿ31	数：动词，念珠怎么说
住	tʃʰu33	住：
柱	tʃʰu35	柱：柱子，水柱
櫥	tʃʰu51	橱：碗橱
廚	tʃʰu51	厨：厨子，厨头
註	tʃu33	註：注释
駐	tʃʰu33	驻：驻扎，驻军，驻马店
拄	tʃu33	拄：拄拐杖，挑担时放在另一肩膀上的棍子，休息时可用来支撑
株	tʃu35	株：一株树，守株待兔
蛛	tʃu35	蛛：蜘蛛
誅	tʃu35	诛：天诛地灭
續	siuk051	续：连续
需	si21	需：需要，必需品
鬚	si21	须：胡须，锦旗下面垂的须
須	si21	须：必须
聚	tsʰi31	聚：聚会
趣	tsʰi33	趣：趣味，有趣
娶	tsʰi31	娶：
取	tsʰi31	取：取帐（讨债），取名字，赎取，取得
趨	tsʰi21	趋：趋势
屢	lui35	屡：屡教不改
霧	vu33	雾：
務	vu33	务：任务，务农
鵡	vu51	鹉：鹦鹉
侮	vu31	侮：侮辱
舞	vu51	舞：跳舞，舞龙
武	vu31	武：武器，武力
誣	vu35	诬：诬陷，诬告
巫	vu35	巫：巫婆，老巫
無	vu51	无：没有，无产阶级，无中生有
附	fu33	附：附近，附带
輔	pʰu314	辅：辅导，辅助
腐	fu33	腐：豆腐，腐败
釜	fu31	釜：破釜沉舟
父	fu33	父：父亲，师父
芙	pʰu51	芙：芙蓉
扶	pʰu51	扶：搀扶，扶贫，扶手
符	fu35	符：姓，符合，画符
赴	fu33	赴：赴汤蹈火，前赴后继
殕	pʰu31	殕：食上生白毛。上殕
撫	fu35	抚：抚养，安抚，抚恤金
麩	pʰi51	麸：麦麸
孵	pʰu33	孵：孵小鸡
俘	fu35	俘：俘虏
