#漢字	音標	解釋
牒	tsʰɿ33	牒：通牒，文牒
碟	tsʰɿ31	碟：似盘而小
疊	tsʰɿ51	叠：折叠，堆叠
簟	tsɿ31	簟：竹席，晒东西用
甜	tʰem51	甜：糖的滋味
貼	li33	贴：贴邮票，张贴
帖	li51	帖：请帖
㮇	tʰem33	㮇：～笔，～灯心，～锁
忝	li51	忝：
添	tʰem33	添：增添，添加
跌	mi51	跌：跌打损伤
店	pʰit031	店：开店，商店
踮	pʰi35	踮：踮脚尖
點	pi33	点：一点，点头
掂	tem35	掂：掂分量
腌	pʰi51	腌：
醃	ʒam31	醃：腌制
脅	pʰi51	胁：威胁
鍁	ʃiem35	锨：掘土或铲东西用的工具
業	pʰi35	业：事业，业余
釅	pi31	酽：酽茶
嚴	ȵiam51	严：严格，姓
怯	kʰui31	怯：胆怯
欠	fui33	欠：欠债，拖欠
劫	fui51	劫：抢劫，劫数
頁	fui51	页：一页两页
葉	fui51	叶：姓，树叶
焰	fui33	焰：火焰，焰火
鹽	ʒam51	盐：动词，腌制
豔	fui33	艳：鲜艳，艳丽
檐	ȵiam51	檐：屋檐，檐头
閻	ʒam51	阎：阎王，姓
鹽	ʒam51	盐：调味品
炎	ʒam51	炎：消炎，炎热
厭	fɔi35	厌：讨厌，厌烦
魘	kui35	魇：梦魇（梦见胸口被压着喘不过气）
掩	kui33	掩：掩护
閹	ʒam35	阉：阉割
淹	ʒam35	淹：淹没，淹死
險	tsʰui35	险：危险，险恶
驗	tsʰui35	验：试验，验证
儉	tsʰui35	俭：节俭，俭朴
鉗	kʰiam51	钳：老虎钳，钳子
臉	lui33	脸：脸色，花脸
冉	lui51	冉：冉冉上升
染	nui33	染：污染，染色
蟾	ʧam35	蟾：蟾酥
閃	tʰui33	闪：闪电
陝	ȵien35	陕：陕西
褶	ʃiak051	褶：褶皱
佔	ȵiak051	占：占领，占地方
占	ʧam33	占：占卜
瞻	ʧam35	瞻：高瞻远瞩，瞻仰
粘	ʧam35	粘：粘贴
沾	ʧam35	沾：沾亲带故
纖	siam51	纤：纤维
捷	kiaŋ33	捷：捷报，大捷
漸	ʒak051	渐：逐渐，渐渐
潛	siam51	潜：潜水，潜伏，于潜
妾	ʒaŋ33	妾：小老婆
扦	ʦʰiam51	扦：插，扦足，扦花
簽	ʦʰiam35	签：签字
籤	ʦʰiam35	签：竹签，求签
接	ʒaŋ51	接：接人，接起来
殲	sien51	歼：～灭
尖	ʦiam35	尖：尖刀，眼睛尖，铅笔尖儿
殮	ʒaŋ33	殓：殡殓
簾	liam51	帘：窗帘，帘子
鐮	liam51	镰：镰刀
廉	liam51	廉：廉洁，清廉
鑷	ʃiaŋ31	镊：镊子
聶	ȵiaŋ33	聂：姓
黏	nem51	黏：黏米，黏起来
貶	kʰiaŋ51	贬：贬值，褒贬
壓	mien33	压：压力，镇压
押	kiaŋ31	押：抵押，押送
匣	ȵiaŋ33	匣：匣子，箱匣
檻	ʃiak051	槛：门槛
銜	ham51	衔：叼在嘴里，头衔，军衔
巖	ŋam51	岩：石头，岩石
嵌	ham51	嵌：镶嵌
胛	tʃak031	胛：肩胛
甲	tʃak031	甲：天干第一
監	kam35	监：国子监
鑑	tʃaŋ33	鉴：鉴定
監	kam35	监：监视，牢监
釤	næn51	钐：大镰
衫	sam35	衫：衬衫，布衫
懺	siaŋ51	忏：忏悔，打忏
攙	ʦʰan51	搀：扶，搀扶
洽	tsʰiak051	洽：洽谈，融洽
峽	tsʰiaŋ33	峡：峡口，三峡
狹	tsʰiaŋ51	狭：窄，狭窄
陷	tsʰiak031	陷：陷害，陷进去，陷井
咸	hem51	咸：咸丰
鹹	hem51	咸：咸淡
喊	tsiak031	喊：叫喊，呻吟
恰	tsʰien35	恰：恰当
掐	tsiaŋ35	掐：掐虱子，掐脖子，用手指掐
裌	liak051	裌：裌衣
夾	liaŋ33	夹：夹子，夹东西
鹼	lien33	碱：发酵用
減	liaŋ51	减：减掉点饭，加减
尷	kam33	尴：尴尬
杉	ʦʰam33	杉：杉树，杉木
讒	ʦʰan51	谗：谗言
饞	ʦʰan51	馋：嘴馋
插	pien31	插：插在腰里，插秧
眨	ak031	眨：眨眼
蘸	ak031	蘸：蘸酱油
斬	ak031	斩：
站	kak031	站：车站
賺	kʰiaŋ35	赚：赚钱
劄	kaŋ33	扎：针扎，札记
站	haŋ51	站：站立
喊	kʰiaŋ51	喊：叫喊
憨	kam31	憨：傻
蚶	kam35	蚶：蚶子，贝壳类
磕	kaŋ35	磕：磕头
橄	kaŋ33	橄：橄榄
敢	kaŋ33	敢：敢不敢，勇敢
泔	kam35	泔：洗米水
柑	kam35	柑：芦柑，柑桔
甘	kam35	甘：甘蔗，甘心
三	sam35	三：数字
鏨	kʰak031	鏨：金鏨花
暫	kiak051	暂：暂时，短暂
慚	ʦʰam51	惭：惭愧
鑞	haŋ33	镴：锡镴
蠟	haŋ33	蜡：蜡烛
纜	hæn51	缆：粗索，缆绳
濫	hæn33	滥：泛滥
欖	kʰak031	榄：橄榄
攬	kʰak051	揽：总揽，包揽
籃	lam51	篮：菜篮，篮子
藍	lam51	蓝：蓝色，深蓝
淡	tʰam51	淡：咸淡，浓淡
痰	tʰam51	痰：吐痰
談	tʰam51	谈：谈话，会谈
塌	tsa33	塌：倒塌
溻	tsʰak051	溻：湿溻溻，溻汗
榻	tʃʰen51	榻：床榻
塔	tsʰiak031	塔：一座塔
毯	ȵiak031	毯：毯子，毛毯
坍	tʰap031	坍：坍下来，坍塌
擔	tam35	担：挑担，担子
膽	tsʰaŋ33	胆：胆小，苦胆
擔	tam35	担：挑，拿，担任
暗	tsak031	暗：不亮，黑暗
揞	tsan33	揞：手覆、揞住
庵	am35	庵：尼姑庵
盒	hæn33	盒：盒子
憾	kʰiaŋ51	憾：遗憾
函	ham51	函：信函，函授
含	ham51	含：包含，含在嘴里
勘	kaŋ35	勘：勘探，勘误
砍	kaŋ35	砍：砍柴
坎	saŋ35	坎：坎坷
龕	kʰam35	龛：神龛
堪	kʰam33	堪：难堪，不堪
鴿	tsʰaŋ51	鸽：鸽子
蛤	lak051	蛤：蛤蜊，花蛤
感	lak051	感：感谢，感动
雜	laŋ31	杂：复杂，杂货
蠶	ʦʰam51	蚕：动物
慘	laŋ31	惨：悲惨
參	ʦʰam35	参：参加，参军
簪	ʦaŋ35	簪：发簪
垃	laŋ51	垃：垃圾
拉	laŋ51	拉：推拉，拖拉，拉萨
婪	lam35	婪：贪婪
納	tʰaŋ51	纳：出纳
男	nam51	男：男人
南	nam51	南：南方，东南
壜	tʰam51	坛：酒坛
譚	tʰam51	谭：姓，谭震林
