#漢字	音標	解釋
扯	tsʰa31	扯：～开，～烂
蛇	sa41	蛇：毒～
射	sa31	射：发～，～箭
麝	sa31	麝：～香
奢	sa45	奢：～侈
賒	sa45	赊：～帐
捨	sa31	舍：～唔得（舍不得）
赦	sa45	赦：～免
舍	sa45	舍：宿～
社	sa22	社：～会，公～
惹	ȵia22	惹：～事
耶	ia41	耶：～稣
爺	ia41	爷：父亲；爷爷[文]
也	ia45	也：～知
野	ia22	野：～人
夜	ia31	夜：日～，～班
傻	sɔu41	傻：～瓜，～子
瓜	ka22	瓜：西～，～分
蝸	vɔu22	蜗：～牛
寡	ka31	寡：～妇，守～
剮	kɔt2	剐：千刀万～
誇	kʰa22	夸：～大，～张
垮	kʰa22	垮：～台
跨	kʰa22	跨：～栏，～度
娃	va22	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa22	花：开～
化	fa45	化：变～
華	fa41	华：中～
劃	vak4	划：～船
華	fa41	华：～山；姓
蛙	va22	蛙：青～，～泳
補	pu22	补：～鞋，～充
譜	pʰu22	谱：族～，歌～
布	pu45	布：红～，～料
佈	pu45	布：公～，～置
鋪	pʰu22	铺：～路，床～
普	pʰu22	普：～通，～遍
浦	pʰu45	浦：黄～江
鋪	pʰu45	铺：店～，当～
怖	pu45	怖：恐～
蒲	pʰu41	蒲：（石）菖～
菩	pʰu41	菩：～萨
脯	pʰu41	脯：胸～
部	pʰu31	部：～队，干～
簿	pʰu31	簿：练习～，帐～
步	pʰu31	步：跑～
捕	pʰu22	捕：逮～，～快
埠	pu45	埠：开～
模	mɔu41	模：～型，～范
摹	mu41	摹：～仿，描～
暮	mu45	暮：日暮
慕	mu45	慕：羡～，～名而来
墓	mu45	墓：坟～，～地
募	mu45	募：～捐
都	tu22	都：首～，～市
都	tu22	都：都是
堵	tu31	堵：～车，～塞
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
妬	tu31	妒：～忌
土	tʰu31	土：～地
吐	tʰu45	吐：～痰；呕～
兔	tʰu45	兔：野～
徒	tʰu41	徒：～弟
屠	tʰu41	屠：～杀
途	tʰu41	途：前～
塗	tʰu41	涂：糊～，～改
圖	tʰu41	图：画～，地～
杜	tʰu45	杜：姓；杜仲（中药）
肚	tu31	肚：肚子
度	tʰu31	度：～数，长～
渡	tʰu31	渡：偷～，摆～
鍍	tʰu31	镀：电～
奴	nu41	奴：～隶
努	nu31	努：～力
怒	nu31	怒：愤～，～气
盧	lu41	卢：姓
爐	lu41	炉：火～
蘆	lu41	芦：～苇
鸕	lu41	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu22	鲁：～国，～迅
虜	lu22	虏：俘～
故	ku45	故：～事，～乡
蠱	ku31	蛊：养～，～惑
固	ku45	固：～定
錮	ku45	锢：禁～
雇	ku45	雇：～人，～主
顧	ku45	顾：照～
枯	kʰu22	枯：干～，～水
苦	kʰu31	苦：辛～，食～（吃苦）
苦	kʰu31	苦：～味
庫	kʰu45	库：水～，仓～
褲	kʰu45	裤：裤子
吳	m̩41	吴：姓
蜈	m̩41	蜈：～蚣
梧	m̩41	梧：～桐
五	m̩31	五：数字
伍	m̩31	伍：姓；队～
午	m̩31	午：中～，端～
誤	ŋu31	误：～会，错～
悟	ŋu31	悟：觉～；孙～空
呼	fu22	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu22	虎：马～
滸	ʃu31	浒：水～
戽	fu45	戽：～水（泼水），～斗
胡	fu41	胡：二～ ；姓
湖	fu41	湖：西～
狐	fu41	狐：～狸
壺	fu41	壶：水～
乎	fu41	乎：在～
瓠	fu41	瓠：瓠卢，同葫芦
鬍	fu41	胡：～须
蝴	fu41	蝴：～蝶
糊	fu41	糊：浆～，～涂
戶	fu31	户：～口
滬	fu31	沪：上海简称
互	fu41	互：～相
護	fu31	护：保～，～士
瓠	pʰu41	瓠：瓠瓜（味似葫芦而长）
烏	vu22	乌：黑
污	vu22	污：～染
塢	vu22	坞：船～
惡	vu45	恶：可～
