#漢字	音標	解釋
瑣	sɔ31	琐：～碎，烦～
戈	kʰɔ44	戈：干～，～壁
果	kɔ31	果：水～
裹	kɔ31	裹：包～
過	kɔ51	过：～去，～头
科	kʰɔ44	科：～学，文～
棵	kʰɔ51	棵：一～树
顆	kʰɔ51	颗：一～珍珠，～粒
課	kʰɔ51	课：上～
訛	ŋɔ24	讹：～诈，以～传～
臥	ŋɔ31	卧：～室，～铺
火	fɔ31	火：着～，～车
夥	fɔ31	伙：合～，～计
貨	fɔ51	货：～车，百～
和	fɔ24	和：～平，～气[文]
和	fɔ24	和：～尚[白]
禾	vɔ24	禾：割～，～苗
禍	fɔ31	祸：大～临头，～害
和	fɔ24	和：唱～，～诗
倭	vɔ44	倭：～寇
窩	vɔ44	窝：～囊废，～藏
瘸	kʰiɔ24	瘸：不灵活，～手，～脚
靴	ʃɔ44	靴：皮～
巴	pa44	巴：～掌，～结，～黎
芭	pa44	芭：～蕉，～蕾
疤	pa44	疤：伤～
把	pa31	把：～握，～脉
霸	pa51	霸：恶～，～王
壩	pa51	坝：堤，溪～
吧	pa44	吧：酒～
垻	pa51	坝：平地，湖洋～
爸	pa44	爸：爸爸
怕	pʰa51	怕：害怕，惊～
帕	pʰa51	帕：手～
爬	pʰa24	爬：～树
琶	pʰa24	琶：琵～
杷	pʰa24	杷：枇～
耙	pʰa24	耙：犁耙
麻	ma24	麻：天～，～烦
痲	ma24	痲：出～（得痳疹），～风
蟆	ma24	蟆：蛤～（蟾蜍）
媽	ma24	妈：妈妈
媽	ma24	妈：～祖
馬	ma44	马：骑～，～虎
碼	ma44	码：～头，大～
罵	ma51	骂：～人
拿	na44	拿：～手，推～
茶	ʦʰa24	茶：～叶
楂	ʦa44	楂：山～
渣	ʦa44	渣：药～
詐	ʦa51	诈：～骗
榨	ʦa51	榨：～菜，～油
炸	ʦa51	炸：～药
叉	ʦʰa44	叉：刀～，～腰
杈	ʦʰa44	杈：桠～，树～
差	ʦʰa44	差：～别
岔	ʦʰa44	岔：～路，三～路口
査	ʦʰa24	查：调～
沙	sa44	沙：泥～，～漠
紗	sa44	纱：～布
灑	sa31	洒：～水
廈	ha31	厦：偏廈（厢房）
痧	sa44	痧：发～，刮～
家	ka44	家：老～，～庭
砂	sa44	砂：朱～，～纸
加	ka44	加：～工
痂	ka44	痂：结～
嘉	ka44	嘉：～宾
假	ka31	假：真～，～设
賈	ka51	贾：姓，～宝玉
假	ka31	假：放～，～期
架	ka51	架：书～
駕	ka51	驾：～驶证
嫁	ka51	嫁：～人
稼	ka51	稼：庄～，邓～先
價	ka51	价：～钱，～值
揢	kʰiam24	揢：用虎口掐[训]
牙	ŋa24	牙：～齿，刷～
芽	ŋa24	芽：豆～
衙	ŋa24	衙：～门
雅	ŋa24	雅：文～；～典（国名）
砑	ŋan24	砑：碾，～平，～碎
蝦	ha24	虾：鱼～，～公
嚇	hak031	吓：～人
霞	ha24	霞：晚～
瑕	ha24	瑕：～疵
蝦	ha24	虾：～蟆（蟾蜍）
下	ha31	下：～背，底～
下	ha44	下：取下，～下来
夏	ha31	夏：姓
廈	ha31	厦：～门，大～
下	ha31	下：～降，～流
夏	ha31	夏：春～秋冬
暇	ha31	暇：闲～
鴉	a44	鸦：老～，乌～，～片
丫	a44	丫：～鬟，～头
椏	a44	桠：～杈
啞	a31	哑：哑巴，～佬
亞	a44	亚：～洲，～军
姐	ʦia31	姐：小～[文]
姐	ʦia31	姐：姐姐[白]
借	ʦia51	借：～钱
且	ʦʰia31	且：而～，况～
笡	kʰi44	笡：斜，～～（歪斜的样子）[训]
藉	ʦʰit04	藉：～故，～口
些	sia44	些：一～
寫	sia31	写：～字
瀉	sia51	泻：腹～，一～千里
卸	sia51	卸：～货，推～
邪	sia24	邪：～气，～门歪道
斜	sia24	斜：倾～[文]
斜	sia24	斜：不正[白]
謝	ʦʰia31	谢：多～；姓
爹	tia44	爹：～娘
遮	ʧa44	遮：遮挡[动]；伞[名]
者	ʧa31	者：记～，作～
蔗	ʧa51	蔗：甘蔗
車	ʧʰa44	车：火～
扯	ʧʰa31	扯：～开，～烂
蛇	ʃa24	蛇：毒～
射	ʃa31	射：发～，～箭
麝	ʃa31	麝：～香
奢	ʧʰa44	奢：～侈
賒	ʧʰa44	赊：～帐
捨	ʃa31	舍：～唔得（舍不得）
赦	ʃa51	赦：～免
舍	ʃa51	舍：宿～
社	ʃa44	社：～会，公～
惹	ŋia44	惹：～事
耶	ʒa24	耶：～稣
爺	ʒa24	爷：父亲；爷爷[文]
也	ʒa44	也：～知
野	ʒa31	野：～人
夜	ʒa31	夜：日～，～班
傻	sa24	傻：～瓜，～子
瓜	kua44	瓜：西～，～分
蝸	vɔ44	蜗：～牛
寡	kua31	寡：～妇，守～
剮	kua31	剐：千刀万～
誇	kʰua44	夸：～大，～张
垮	kʰua44	垮：～台
跨	kʰua44	跨：～栏，～度
娃	va44	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa44	花：开～
化	fa51	化：变～
華	fa24	华：中～
劃	fa24	划：～船
華	fa24	华：～山；姓
