#漢字	音標	解釋
笊	tsau33	笊 笊籬（捞馄饨用）
抄	tsʰau55	抄 抄书
鈔	tsʰau55	钞 钞票
炒	tsʰau221	炒 炒股
吵	tsʰau24	吵 吵架
巢	tsʰau24	巢 雀巢
梢	ɬau55	梢 树梢
稍	ɬau55	稍 稍等
潲	ɬau33	潲 猪食
交	kau55	交 交通
膠	kau55	胶 胶水
絞	kau221	绞 绞毛巾
狡	kau221	狡 狡猾
搞	kau221	搞 搞好
敎	kau33	教 教书，教育
較	kau33	较 比较
覺	kʰiɔk022	觉 睡觉
敲	kʰau33	敲 敲门
巧	kʰau221	巧 碰巧
咬	ŋau55	咬 咬人
哮	hau55	哮 哮喘
孝	hau33	孝 孝顺
效	hau33	效 效果
校	kau221	校 学校
坳	au33	坳 山坳
膘	pʰiau33	膘 肥膘
標	piau55	标 标志
表	piau221	表 表示
錶	piau55	表 手表
飄	pʰiau55	飘 飘扬
漂	pʰiau55	漂 漂水；漂亮
票	pʰiau33	票 车票
嫖	pʰiau24	嫖 嫖妓
苗	miau24	苗 火苗
描	miau24	描 描写
秒	miau221	秒 一分一秒
廟	miau33	庙 庙会
妙	miau221	妙 妙计
燎	liau24	燎 火烧火燎，燎原
療	liau24	疗 治疗
蕉	tsiau55	蕉 香蕉
椒	tsiau55	椒 辣椒
剿	tsiau221	剿 围剿
鍬	tsʰiu55	锹 铁锹
俏	kiau55	俏 娇俏
樵	tsiau55	樵 打樵，樵夫
消	ɬiau55	消 消化
銷	ɬiau55	销 供销社，销售
小	ɬiau221	小 大小
笑	ɬiau33	笑 笑话
肖	ɬiau55	肖 生肖
朝	tsau55	朝 今朝
超	tsʰau55	超 超过
朝	tsʰau24	朝 朝代
潮	tsʰau24	潮 潮水
趙	tsʰau33	赵 赵国；姓
召	tsʰau33	召 号召
招	tsau55	招 招手
沼	sau24	沼 沼气
照	tsau33	照 照明
燒	sau55	烧 发烧
少	sau221	少 多少
少	sau33	少 少年，少爷
韶	sau24	韶 韶关
紹	sau24	绍 介绍
邵	sau55	邵 姓
饒	ȵiau24	饶 求饶
擾	ȵiau221	扰 打扰
繞	ȵiau221	绕 围绕；绕线团
驕	kiau55	骄 骄傲
嬌	kiau55	娇 撒娇
矯	kiau221	矫 矫正
喬	kʰiau24	乔 姓
橋	kʰiau24	桥 桥梁
轎	kʰiau33	轿 抬轿
囂	hiau55	嚣 嚣张
妖	iau55	妖 妖怪
邀	iau55	邀 邀请
腰	iau55	腰 腰疼
要	iau55	要 要求
要	iau33	要 重要
搖	iau24	摇 摇篮
姚	iau24	姚 姓
舀	iau221	舀 舀水
鷂	iau33	鹞 纸鹞
刁	tiau55	刁 刁蛮，嘴刁
雕	tiau55	雕 雕塑；座山雕
鳥	niau55	鸟 小鸟
釣	tiau33	钓 钓鱼
吊	tiau33	吊 上吊
挑	tʰiau55	挑 挑选
跳	tʰiau24	跳 跳高，跳起来
糶	tʰiau33	粜 粜米（卖米）
條	tʰiau24	条 条件
調	tʰiau33	调 调动；音调
尿	ȵiau33	尿 撒尿
遼	liau24	辽 辽宁省
寮	liau24	寮 竹寮，茶寮
了	liau221	了 了结
料	liau33	料 肥料
蕭	ɬiau55	萧 姓
澆	ȵiau24	浇 浇花
繳	kiau221	缴 上缴
叫	kiau33	叫 大叫
竅	kʰiau33	窍 窍门
曉	hiau221	晓 晓得
剖	pʰau24	剖 解剖
某	mɛu55	某 某人
畝	mɛu221	亩 一亩田
牡	tʰu33	牡 牡丹
母	mu55	母 母亲
戊	ʋu33	戊 戊戌变法（甲乙丙丁戊己庚辛壬癸）
茂	mɛu33	茂 茂盛；茂名
貿	mɛu33	贸 外贸，贸易
兜	tɛu55	兜 兜风；兜住
斗	tɛu221	斗 十升为斗
陡	tɛu221	陡 山陡，陡峭
鬥	tɛu33	斗 斗争
偸	tʰɛu55	偷 偷东西
㪗	tʰɛu221	敨 敨开，敨气
透	tʰɛu33	透 透明
頭	tʰɛu24	头 头发
投	tʰɛu24	投 投降
豆	tʰɛu33	豆 豆芽
痘	tʰɛu33	痘 水痘
樓	lɛu24	楼 上楼
簍	lɛu24	篓 竹篓，鱼篓
漏	lɛu33	漏 漏水
走	tsɛu221	走 行走
奏	tsɛu33	奏 节奏
湊	tsɛu33	凑 凑数，凑热闹
鉤	kɛu55	钩 鱼钩
溝	kɛu55	沟 沟通
狗	kɛu221	狗 小狗
够	kɛu33	够 足够
購	kɛu33	购 购买
勾	ŋɛu55	勾 勾引，勾当
口	hɛu221	口 门口
扣	kʰɛu33	扣 扣钱
藕	ŋɛu221	藕 莲藕
偶	ŋɛu221	偶 配偶；偶然
喉	hɛu24	喉 喉咙
後	hɛu33	后 后来
厚	hɛu55	厚 忠厚
候	hɛu33	候 时候，等候
歐	ɛu55	欧 欧洲
嘔	ɛu221	呕 呕吐
漚	ɛu33	沤 久浸水中（沤肥）
否	fɛu221	否 否定
富	fu33	富 富贵
副	fu33	副 正副（副省长）
浮	fɛu24	浮 浮动；轻浮
婦	fu33	妇 妇女
謀	mɛu24	谋 阴谋
矛	mau24	矛 矛盾
扭	niu221	扭 扭动
流	liu24	流 流动
劉	liu24	刘 姓
留	liu24	留 留下
柳	liu221	柳 柳树
廖	liau33	廖 姓
揪	tsʰiu55	揪 揪头发
酒	tsiu221	酒 酒精
秋	tsʰiu55	秋 秋天；秋千
鰍	niu55	鳅 泥鳅
就	tsʰiu33	就 成就
修	ɬiu55	修 修理
秀	ɬiu33	秀 清秀
繡	ɬiu33	绣 绣花
囚	ɬiu24	囚 囚犯
袖	tsʰiu33	袖 领袖
肘	tsʰiu33	肘 手肘，肘关节
晝	tsiu33	昼 日昼
抽	tsʰiu55	抽 抽出
丑	tsʰiu221	丑 子丑寅卯
綢	tsʰiu24	绸 丝绸
籌	tsʰiu24	筹 筹备
宙	tsʰiu33	宙 宇宙
皺	ȵiu33	皱 皱纹
愁	ɬɛu24	愁 发愁
驟	tsʰɛu221	骤 步骤；暴风骤雨
搜	ɬɛu55	搜 搜查，搜身
餿	ɬɛu55	馊 饭馊了
瘦	ɬɛu33	瘦 瘦小
周	tsiu55	周 姓；周围
州	tsiu55	州 杭州
帚	tsiau221	帚 扫帚
咒	tsɛu33	咒 咒人
醜	tsʰiu221	丑 丑陋，丑样
臭	tsʰiu33	臭 香臭
收	siu55	收 秋收，收集
手	siu221	手 手段
守	siu221	守 保守
獸	tsʰiu33	兽 野兽
仇	siu24	仇 报仇
酬	tsʰiu24	酬 报酬
受	siu33	受 接受
壽	siu33	寿 寿星
授	siu33	授 教授
柔	iu24	柔 温柔
鳩	kɛu55	鸠 斑鸠
鬮	kɛu55	阄 抓阄
九	kiu221	九 第九
久	kiu221	久 长久
灸	kɛu33	灸 针灸
救	kiu33	救 救命
究	kiu33	究 研究
丘	kʰiu55	丘 姓；山丘
求	kʰiu24	求 要求
球	kʰiu24	球 地球
臼	kʰɛu33	臼 脱臼
舅	kʰiu55	舅 舅舅，舅父
舊	kʰiu33	旧 新旧
牛	ŋɛu24	牛 吹牛
休	hiu55	休 休息
嗅	tsʰiu33	嗅 嗅觉，用鼻闻
憂	iau55	忧 担忧
優	iu24	优 优秀
尤	iu24	尤 尤其
郵	iu24	邮 邮票
有	iu55	有 有无
友	iu33	友 朋友
又	iu33	又 又一次
右	iu33	右 左右
油	iu24	油 花生油
游	iu24	游 旅游
酉	iu55	酉 地支第十（子丑寅卯辰巳午未申酉戌亥）
柚	iu24	柚 柚子，沙田柚
彪	piau55	彪 林彪
丟	tiu55	丢 丢失
糾	tɛu221	纠 纠正；纠纷
幽	iu24	幽 幽默
幼	iu33	幼 幼稚
耽	tam55	耽 耽误
答	tap022	答 回答
搭	tap022	搭 搭车，衣服搭在肩上
貪	tʰam55	贪 贪心
探	tʰam33	探 探路
踏	tʰap055	踏 脚踏
潭	tʰam24	潭 湘潭
譚	tʰam24	谭 姓
沓	tʰiap055	沓 一沓纸
南	nam24	南 南方
男	nam24	男 男人
納	nap055	纳 出纳
拉	lai55	拉 拖拉
簪	tsam55	簪 发簪
參	tsʰam55	参 参加
慘	tsʰam221	惨 悲惨
蠶	tsʰam24	蚕 蚕丝
雜	tsʰap055	杂 复杂
感	kam221	感 感谢
合	hap055	合 十合一升
鴿	kap022	鸽 鸽子
堪	kʰam55	堪 难堪
砍	kʰam221	砍 砍柴
含	ham24	含 包含
憾	ham221	憾 遗憾
合	hap055	合 闭合，合起来
盒	hap055	盒 盒子
庵	am55	庵 尼姑庵
揞	ɛm55	揞 揞住
暗	am33	暗 黑暗
擔	tam55	担 担任（动）
膽	tam221	胆 胆小
擔	tam55	担 挑担（名）
毯	tsan55	毯 毛毯
塔	tʰap022	塔 一座塔
遢	tʰat022	遢 邋遢
塌	tʰap022	塌 倒塌
談	tʰam24	谈 谈话
痰	tʰam24	痰 吐痰
淡	tʰam55	淡 咸淡；浓淡
藍	lam24	蓝 蓝色
籃	lam24	篮 篮子
覽	lam221	览 展览
欖	lam221	榄 橄榄
濫	lam33	滥 泛滥，下三滥
纜	lam221	缆 缆绳，缆车
臘	lap055	腊 腊肉
蠟	lap055	蜡 蜡烛
慚	tsʰam221	惭 惭愧
暫	tsʰiam221	暂 暂时
三	ɬam55	三 第三
甘	kam55	甘 甘蔗
柑	kam55	柑 芦柑
敢	kam221	敢 勇敢
橄	kam221	橄 橄榄
喊	ham33	喊 叫喊
站	tsam33	站 站立（动）；车站（名）
賺	tsʰan33	赚 赚钱
斬	tsam221	斩 刀斩
蘸	nam221	蘸 蘸酱油
插	tsʰap022	插 插秧
閘	tsʰap055	闸 闸门
煠	ɬap055	炸 把食物放入沸水或沸油里弄熟，煠熟
杉	tsʰa33	杉 杉树
減	kam221	减 加减
鹼	kan221	碱 烧碱，发酵用
夾	kʰiap055	夹 夹子；夹东西
裌	kʰiap055	夹 夹衣，夹袄
恰	kʰap022	恰 恰当
鹹	ham24	咸 咸淡
餡	ɬim55	馅 汤圆馅，饺子馅
狹	kʰiap055	狭 狭窄
峽	hiap022	峡 三峡，峡谷
衫	ɬam55	衫 衬衫
監	kam55	监 监视，监牢
鑒	kam33	鉴 鉴定
甲	kap022	甲 天干第一
胛	kap022	胛 肩胛
嵌	kʰiam24	嵌 镶嵌
巖	ŋam24	岩 岩石，石灰岩
銜	ham24	衔 军衔
艦	lam33	舰 军舰
匣	kap055	匣 匣子
鴨	ap022	鸭 鸭子
押	aʔ022	押 押送
壓	at022	压 压力
貶	piɛn221	贬 贬值
黏	tsam55	黏 黏米，黏合剂
聶	ȵiap022	聂 姓
鐮	liam24	镰 镰刀
簾	liam24	帘 窗帘
斂	liam33	敛 收敛
獵	liap055	猎 打猎
尖	tsiam55	尖 尖刀
殲	tsʰiam55	歼 歼灭
接	tsiap022	接 接待
籤	tsʰiam55	签 牙签
簽	tsʰiam55	签 签名
妾	tsiap022	妾 妻妾
潛	tsʰim24	潜 潜水
漸	tsʰiam221	渐 逐渐
捷	tsʰiap055	捷 捷报
粘	tsam55	粘 粘贴
占	tsam55	占 占卜，占卦
佔	tsam33	占 占有，占地方
摺	tsap022	折 折被子，折纸
陝	sam221	陕 陕西
閃	sam221	闪 闪电
攝	ȵiap022	摄 摄影
蟾	kʰɛm24	蟾 蟾蜍，蟾酥
涉	ɬiap055	涉 干涉
染	ȵiam33	染 污染
檢	kiam221	检 检查
臉	liam221	脸 脸色
鉗	kʰiam24	钳 钳子
儉	kʰian33	俭 节俭
驗	ȵiam33	验 试验
險	hiam221	险 危险
淹	iam221	淹 淹没，淹水
閹	iam55	阉 阉割，阉鸡
掩	iam221	掩 掩护
厭	iam33	厌 讨厌
炎	iam221	炎 炎热
鹽	iam24	盐 食盐
閻	ȵiam24	阎 阎王
艷	iam221	艳 鲜艳
焰	iam221	焰 火焰
葉	iap055	叶 树叶
頁	iap055	页 一页
劍	kiam33	剑 宝剑
劫	kiap022	劫 抢劫
欠	kʰiam33	欠 欠债
嚴	ȵiam24	严 严格
業	ȵiap055	业 事业
脅	hiap055	胁 威胁
醃	iap022	醃 用盐腌制肉菜（阴平）
腌	iap022	腌 用盐腌制肉菜（阴入）
掂	tiam33	掂 掂分量
點	tiam221	点 点头
店	tiam33	店 商店
跌	tiɛʔ022	跌 跌打损伤
添	tʰiam55	添 添加
舔	liam55	舔 以舌取物
貼	tiap022	贴 张贴
甜	tʰiam24	甜 甜蜜
碟	tʰiap055	碟 碟子
蝶	tʰiap055	蝶 蝴蝶
拈	ȵiam55	拈 拈花惹草
念	ȵiam33	念 想念
兼	kiam55	兼 兼职
挾	kiap022	挟 挟菜
謙	kʰiam55	谦 谦虚
歉	kʰiam33	歉 道歉
嫌	hiam24	嫌 嫌弃
協	hiap055	协 协作
法	faʔ022	法 办法
凡	fan24	凡 凡是
帆	fam24	帆 船帆
范	fam33	范 姓；模范
犯	fam33	犯 犯法
乏	fat055	乏 乏力，缺乏
稟	lim55	禀 禀报
品	pʰin221	品 品德
林	lim24	林 树林
臨	lim24	临 临时
立	lip055	立 立正
笠	lip022	笠 斗笠
粒	lip055	粒 颗粒
浸	tsim33	浸 浸水
侵	tsʰim55	侵 侵略
寢	tsʰim24	寝 寝室
集	ɬip055	集 集体
輯	tsʰap055	辑 编辑
心	ɬim55	心 心思
尋	tsʰim24	寻 寻找
習	ɬip055	习 学习
襲	tsʰap055	袭 袭击
砧	tsɛm55	砧 砧板
沉	tsʰim24	沉 沉浮
蟄	tsʰit055	蛰 惊蛰
森	ɬɛm55	森 森林
參	ɬɛm55	参 人参
滲	tsʰam33	渗 渗水
針	tsim55	针 针对
斟	tsim55	斟 斟酒
枕	tsim221	枕 枕头（名）；枕枕头（动）
執	tsip022	执 执行
汁	tsip022	汁 果汁
深	tsʰim55	深 深入
沈	sim221	沈 沈阳
嬸	sim221	婶 叔之妻
濕	sip022	湿 湿润
甚	sim33	甚 甚至
十	sip055	十 第十
壬	ȵim24	壬 天干第九
任	ȵim33	任 姓；责任
入	ip055	入 进入
今	kim55	今 今天
金	kim55	金 金银
襟	kʰim55	襟 连襟
錦	kim221	锦 锦绣
禁	kim33	禁 禁止
急	kip022	急 急忙
級	kip022	级 年级
琴	kʰim24	琴 弹琴
禽	kʰim24	禽 家禽
妗	kʰim24	妗 舅母
及	kʰip055	及 及时
吸	kip022	吸 呼吸
音	im55	音 音乐
陰	im55	阴 阴天
飮	ȵim221	饮 米汤（名）；饮酒（动）
淫	ȵim24	淫 淫荡
單	tan55	单 单独
丹	tan55	丹 人丹
疸	tan221	疸 黄疸
旦	tan33	旦 元旦
灘	tʰan55	滩 沙滩
攤	tʰan55	摊 摊开
坦	tʰan221	坦 坦白
嘆	tʰan33	叹 叹气
炭	tʰan33	炭 木炭
彈	tʰan24	弹 弹琴
檀	tʰan24	檀 檀香
彈	tʰan33	弹 子弹
但	tan33	但 但是
達	tʰat055	达 达到
難	nan24	难 很难；患难
捺	nai33	捺 撇捺
蘭	lan24	兰 兰花
攔	lan24	拦 拦住
欄	lan55	栏 栏杆
懶	lan55	懒 懒惰
爛	lan33	烂 腐烂
辣	lat055	辣 泼辣；辣椒
贊	tsan33	赞 赞助
餐	tsʰan55	餐 快餐
燦	tsʰan221	灿 灿烂
擦	tsʰat022	擦 擦洗
殘	tsʰan24	残 残疾
珊	ɬan55	珊 珊瑚
散	ɬan33	散 散开
傘	ɬan221	伞 雨伞
散	ɬan33	散 分散，松散
薩	ɬat022	萨 菩萨
乾	kɔn55	干 干湿
肝	kɔn55	肝 猪肝
稈	kɔn221	秆 禾秆
趕	kɔn221	赶 赶走
幹	kɔn33	干 干点事，干部，实干
割	kɔt022	割 收割
葛	kɔt022	葛 诸葛亮；粉葛
看	hɔn33	看 看守，看牛
刊	kʰɔn55	刊 报刊
看	hɔn33	看 看见
渴	hɔt022	渴 口渴
岸	ŋɔn33	岸 口岸
罕	hɔn24	罕 罕见，稀罕
漢	hɔn33	汉 汉族
喝	hɔt022	喝 喝酒；喝彩
寒	hɔn24	寒 寒冷
韓	hɔn24	韩 韩国
旱	hɔn55	旱 干旱
焊	hɔn33	焊 电焊
汗	hɔn33	汗 出汗
安	ɔn55	安 安全
按	ɔn33	按 按照
案	ɔn33	案 档案
扮	pʰan33	扮 打扮
八	pat022	八 第八
盼	pʰan33	盼 盼望
辦	pʰan33	办 办法
瓣	piɛn55	瓣 花瓣
拔	pʰat055	拔 选拔
盞	tsan221	盏 灯盏
紮	tsat022	扎 驻扎
鏟	tsan221	铲 铲草
察	tsʰat022	察 观察
山	ɬan55	山 山顶
產	tsʰan221	产 生产
殺	ɬat022	杀 自杀
艱	kan55	艰 艰苦
間	kan55	间 中间；房间
簡	kan221	简 简单
揀	kan221	拣 拣菜
間	kan55	间 间断；间谍
眼	ŋan221	眼 眼镜
閑	han24	闲 空闲
限	han33	限 限制，有限
莧	han33	苋 苋菜
班	pan55	班 班级
斑	pan55	斑 雀斑
板	pan221	板 石板
攀	pʰan55	攀 高攀
蠻	man24	蛮 野蛮
慢	man33	慢 快慢
棧	tsʰan33	栈 客栈
鍘	tsʰap055	铡 铡刀
刪	san55	删 删除
疝	ɬan33	疝 疝气
奸	kan55	奸 奸臣
顏	ŋan24	颜 颜色
雁	ŋan33	雁 大雁
瞎	hat022	瞎 瞎子
轄	hat055	辖 管辖
晏	an33	晏 天晚
鞭	piɛn55	鞭 皮鞭
編	pʰiɛn55	编 编书，编辑
變	piɛn33	变 改变
別	pʰiɛʔ055	别 区别（名）；离别（动）
鱉	piɛʔ022	鳖 甲鱼
篇	pʰiɛn55	篇 一篇
偏	pʰiɛn33	偏 偏僻
騙	pʰiɛn33	骗 欺骗
辯	pʰiɛn33	辩 辩论
便	pʰiɛn33	便 方便
綿	miɛn24	绵 海绵
棉	miɛn24	棉 棉花
免	miɛn221	免 免除
勉	miɛn221	勉 勉强
面	miɛn33	面 面子
滅	mit055	灭 消灭
碾	ŋan24	碾 碾米
連	liɛn24	连 大连；连长
聯	liɛn24	联 联系；对联
列	liɛʔ055	列 排列
裂	liɛʔ055	裂 裂开，分裂
煎	tsiɛn55	煎 煎药
剪	tsiɛn221	剪 铰剪
箭	tsiɛn33	箭 射箭
遷	tsʰiɛn55	迁 迁移
淺	tsʰiɛn221	浅 深浅
錢	tsʰiɛn24	钱 钱财
踐	tsiɛn221	践 实践
賤	tsʰiɛn33	贱 犯贱
仙	ɬiɛn55	仙 神仙
鮮	ɬiɛn55	鲜 新鲜
癬	ɬiɛn221	癣 脚癣
綫	ɬiɛn33	线 线索
薛	ɬiɛʔ022	薛 姓
泄	ɬiɛʔ022	泄 泄漏，排泄
羨	ɬiɛn24	羡 羡慕
展	tsan221	展 发展
哲	tsat022	哲 哲学
蜇	tiau55	蜇 蝎子蜇人；海蜇（叼）
徹	tsʰat022	彻 彻底
撤	tsʰat022	撤 撤退，撤走
纏	tsʰan24	缠 纠缠
氈	tsan55	毡 油毛毡
戰	tsan33	战 战斗
折	tsat022	折 折断；折扣
浙	tsat022	浙 浙江
舌	sat055	舌 舌头
扇	san33	扇 扇子（名）
設	sat022	设 设计
蟬	sam24	蝉 蝉蜕，知了
禪	sam24	禅 禅宗
善	san33	善 善良
鱔	san55	鳝 鳝鱼，黄鳝
單	tan55	单 姓
折	tsat022	折 折本；摔折手臂
然	ian24	然 居然，然后
燃	ian24	燃 燃烧
熱	ȵiɛʔ055	热 热烈
遣	kʰiɛn221	遣 遣责
乾	kʰiɛn24	乾 乾坤
件	kʰiɛn33	件 一件
傑	kʰiɛʔ055	杰 杰出
孽	ȵiap022	孽 作孽
延	ȵiɛn24	延 延安
演	hiɛn221	演 演出
建	kiɛn221	建 建设
揭	kʰiɛʔ055	揭 揭发
鍵	kiɛn33	键 关键
健	kiɛn33	健 健康
竭	kʰiɛʔ055	竭 竭尽全力，衰竭
言	ȵiɛn24	言 语言
軒	hiɛn55	轩 人名用字（轩辕）
掀	hiun55	掀 掀开
憲	hiɛn55	宪 宪法
獻	hiɛn33	献 贡献
歇	hiɛʔ022	歇 歇一下
蝎	kiɛʔ022	蝎 蝎子
邊	piɛn55	边 旁边
蝙	piɛn221	蝙 蝙蝠
扁	piɛn221	扁 扁担
匾	piɛn221	匾 牌匾
遍	pʰiɛn33	遍 一遍；遍地
片	pʰiɛn33	片 片面
撇	pʰiɛʔ022	撇 撇开；一撇一捺
辮	piɛn55	辫 辫子
眠	mɛn24	眠 安眠
麵	miɛn33	面 面条
篾	mɛʔ055	篾 竹篾
顚	tiɛn55	颠 颠倒
癲	tiɛn55	癫 癫狗，疯癫
典	tiɛn221	典 词典
天	tʰiɛn55	天 晴天
鐵	tʰiɛʔ022	铁 钢铁
田	tʰiɛn24	田 田地
塡	tʰiɛn24	填 填空
電	tʰiɛn33	电 电灯
墊	tʰiap022	垫 垫钱；座垫
年	niɛn24	年 过年
憐	lin24	怜 可怜
蓮	liɛn24	莲 莲花
練	liɛn33	练 练习
楝	liɛn33	楝 苦楝树
鏈	liɛn33	链 项链
薦	tsiɛn33	荐 推荐
節	tsiɛʔ022	节 节约
千	tsʰiɛn55	千 千万
切	tsʰiɛʔ022	切 切开
前	tsʰiɛn24	前 从前
截	tsʰiɛʔ055	截 截断
先	ɬiɛn55	先 先进
屑	ɬiau55	屑 木屑（名）；不屑一顾（动）
肩	kiɛn55	肩 肩膀
堅	kiɛn55	坚 坚强
繭	kan221	茧 蚕茧
趼	kan221	趼 老茧（手脚掌上）
見	kiɛn33	见 见识
結	kiɛʔ022	结 结果
潔	kiɛʔ022	洁 清洁
牽	kʰiɛn55	牵 牵牛花
硏	ȵiɛn55	研 研究
硯	iɛn33	砚 砚台
顯	hiɛn221	显 明显
賢	hiɛn24	贤 贤惠
現	hiɛn33	现 出现
煙	iɛn55	烟 香烟
燕	ian33	燕 燕子
宴	an33	宴 宴会
般	pan55	般 一般
搬	pan55	搬 搬家
半	pan33	半 半天
撥	pʰat022	拨 拨款
潘	pʰun55	潘 姓
判	pʰan33	判 审判
潑	pʰat022	泼 泼水
盤	pʰan24	盘 算盘
伴	pʰan33	伴 伙伴
拌	pʰan33	拌 搅拌
叛	pʰan33	叛 叛徒
瞞	man24	瞒 隐瞒
饅	man221	馒 馒头
滿	man55	满 满意，装满
漫	man33	漫 漫画
末	mat055	末 末尾
沫	mat055	沫 泡沫
抹	mat022	抹 抹布；抹汗
端	tɔn55	端 端午
短	tɔn221	短 长短
鍛	tʰɔn33	锻 锻炼
脫	tʰɔt022	脱 摆脱
團	tʰɔn24	团 团结
斷	tʰɔn55	断 断绝，线断了
段	tʰɔn33	段 阶段
緞	tʰɔn33	缎 绸缎
奪	tʰɔt055	夺 夺权
暖	nɔn55	暖 暖和
卵	lɔn221	卵 鸡卵（鸡蛋）
亂	lɔn33	乱 混乱
捋	lɔt055	捋 捋袖
鑽	tsɔn33	钻 钻一个洞（动）
鑽	tsɔn33	钻 电钻（名）
竄	tsʰɔn33	窜 东窜西窜
撮	ȵiap022	撮 一撮胡子
酸	ɬɔn55	酸 酸味
算	ɬɔn33	算 计算
蒜	ɬɔn33	蒜 蒜头
官	kuɔn55	官 当官
觀	kuan55	观 参观
管	kuɔn221	管 管理
館	kuɔn221	馆 图书馆
灌	kuɔn33	灌 灌溉，灌水
罐	kuɔn33	罐 罐头
冠	kuɔn33	冠 冠军
括	kuat022	括 包括
寬	kʰuɔn55	宽 宽敞
款	kʰuan221	款 汇款
闊	kʰuat022	阔 开阔
玩	ŋan33	玩 玩具，游玩
歡	fɔn55	欢 喜欢
喚	fɔn33	唤 呼唤，唤醒
完	ian24	完 完全
丸	ian24	丸 药丸
緩	fɔn33	缓 迟缓，缓期
換	ʋɔn33	换 交换
活	ʋat055	活 生活
碗	ʋɔn221	碗 饭碗
頑	ŋan24	顽 顽皮，顽固
幻	ʋan221	幻 幻想
滑	ʋat055	滑 滑稽，滑倒
猾	ʋat055	猾 狡猾
挖	ʋat022	挖 挖地
刷	ɬɔt022	刷 牙刷
關	kuan55	关 关门
慣	kuan33	惯 习惯
刮	kuat022	刮 搜刮
還	ʋan24	还 还有；还原，还钱
環	ʋan24	环 环境
患	fam33	患 忧患；患病
彎	ʋan55	弯 弯曲
灣	ʋan55	湾 海湾
戀	liɛn221	恋 恋爱
劣	lɔt022	劣 恶劣
全	tsʰiɔn24	全 全部
泉	tsʰan24	泉 泉水
絕	tsʰiɛʔ055	绝 绝对
宣	ɬiɛn55	宣 宣传
選	ɬiɛn221	选 选举
雪	ɬiɛʔ022	雪 下雪
轉	tsɔn221	转 转送，转学
轉	tsɔn221	转 转螺丝，转圆圈
啜	tsɔt022	啜 啜奶
傳	tsʰiɔn24	传 传达
專	tsɔn55	专 专门
磚	tsɔn55	砖 砖头
川	tsʰɔn55	川 四川
穿	tsʰɔn55	穿 穿着
喘	tsʰɔn24	喘 哮喘
串	tsʰɔn33	串 串通
船	sɔn24	船 轮船
說	sɔt022	说 小说
軟	ȵiɔn55	软 软硬
捲	kiɛn221	卷 卷起（动）
眷	kiɛn221	眷 家眷，眷属
卷	kiɛn221	卷 试卷（名）
圈	kʰiɛn55	圈 圆圈
拳	kʰiɛn24	拳 拳头
權	kʰiɛn24	权 权力
圓	iɛn24	圆 圆圈
員	iɛn24	员 人员
院	iɛn33	院 院子
緣	iɛn24	缘 缘分
沿	iɛn24	沿 沿路
鉛	iɛn24	铅 铅笔
捐	kiɛn55	捐 捐款
悅	iɛʔ055	悦 愉悦
閱	iat055	阅 阅读
藩	fan55	藩 曾国藩
反	fan221	反 反对
販	fan33	贩 贩卖
髮	fat022	发 头发
發	fat022	发 发财
翻	fan55	翻 翻转
番	fan55	番 几番
煩	fan24	烦 麻烦
繁	fan24	繁 繁华
飯	fan33	饭 吃饭
罰	fat055	罚 罚款
晚	man221	晚 晚上
萬	man33	万 一万
襪	mat022	袜 袜子
勸	kʰiɛn33	劝 规劝
券	kʰiɛn33	券 国库券，证券
元	ȵiɛn24	元 元旦
原	ȵiɛn24	原 原来
願	ȵiɛn33	愿 愿望
月	ȵiɛʔ055	月 月亮
喧	ɬiɛn55	喧 喧闹
冤	iɛn55	冤 冤枉
怨	iɛn33	怨 埋怨
袁	iɛn24	袁 姓
園	iɛn24	园 花园
遠	ian221	远 远近
越	iat055	越 越来越
曰	iɛʔ055	曰 子曰
粵	iat055	粵 粤菜
决	kiɛʔ022	决 决定
犬	kʰiɛn221	犬 狗
缺	kʰiɛʔ022	缺 缺钱，缺口
血	hiɛʔ022	血 流血
懸	hiɛn55	悬 悬崖
縣	iɛn33	县 行政单位
穴	hiɛʔ055	穴 穴位
淵	iɛn55	渊 深渊
吞	tʰun55	吞 吞口水
跟	kɛn55	跟 跟随
根	kin55	根 树根
懇	kʰɛn221	恳 恳求
墾	kʰɛn221	垦 开垦
痕	hɛn24	痕 痕迹
很	hɛn55	很 很多
恨	han33	恨 仇恨
恩	ɛn55	恩 恩德
賓	pin55	宾 贵宾
檳	pin55	槟 槟榔
殯	pin55	殡 出殡
筆	pit022	笔 毛笔
畢	pit022	毕 毕业
必	pit022	必 必须
匹	pʰit022	匹 匹配；一匹布
貧	pʰin24	贫 贫农
民	min24	民 人民
敏	min221	敏 灵敏
密	mɛʔ055	密 秘密
蜜	mɛʔ055	蜜 蜂蜜
鄰	lin24	邻 邻居
鱗	lin24	鳞 鱼鳞
津	tsin33	津 天津
進	tsin33	进 前进
親	tsʰin55	亲 亲戚
親	tsʰin55	亲 亲家
七	tsʰit022	七 第七
漆	tsʰit022	漆 油漆
秦	tsʰin24	秦 秦国；姓
盡	tsʰin33	尽 尽早；尽量；尽头
疾	tsʰit055	疾 疾病
辛	ɬin55	辛 辛苦
新	ɬin55	新 新旧
信	ɬin33	信 相信
訊	ɬin33	讯 通讯
悉	ɬit022	悉 熟悉
膝	tsʰit022	膝 膝盖
珍	tsin55	珍 珍珠
