#漢字	音標	解釋
古	ku221	古 古代
估	kʰu55	估 估计
牯	ku221	牯 牛牯
股	ku221	股 股票
鼓	ku221	鼓 鼓励
故	ku33	故 故事
固	ku33	固 固定
雇	ku33	雇 雇主
顧	ku33	顾 照顾
枯	kʰu55	枯 枯萎
苦	kʰu221	苦 吃苦
庫	kʰu33	库 水库
褲	kʰu33	裤 裤子
吳	ŋŋ̍24	吴 姓
蜈	ŋŋ̍24	蜈 蜈蚣
五	ŋŋ̍221	五 第五
午	ŋŋ̍221	午 中午
誤	ŋŋ̍33	误 错误
呼	fu55	呼 呼吸
虎	fu221	虎 老虎
戽	fu33	戽 戽水
胡	fu24	胡 二胡；姓
湖	fu24	湖 太湖
壺	fu24	壶 水壶
乎	fu55	乎 在乎
戶	fu33	户 户口
互	fu24	互 互相
護	fu33	护 保护
烏	ʋu55	乌 乌鸦
污	ʋu55	污 污染
塢	ʋu55	坞 船坞
惡	ɔk033	恶 可恶，厌恶
女	ŋŋ̍221	女 女儿
廬	lu24	庐 庐山
呂	lui221	吕 姓
旅	li221	旅 旅游
慮	li33	虑 考虑
蛆	tsʰu55	蛆 蛆虫
徐	tsʰi24	徐 姓
序	ɬi33	序 秩序
叙	ɬi33	叙 叙述
豬	tsu55	猪 猪肉
著	tsu33	著 著名
除	tsʰu24	除 除法
儲	tsʰu24	储 储蓄
箸	tsu55	箸 筷子；箸笼
阻	tsʰu55	阻 阻力
初	tsʰo55	初 初中
楚	tsʰu221	楚 清楚
鋤	tsʰo24	锄 锄头
助	tsʰo33	助 帮助
梳	ɬo55	梳 梳头
蔬	ɬo55	蔬 蔬菜
所	ɬo221	所 所以
諸	tsu55	诸 诸葛亮
煮	tsu221	煮 煮饭
處	tsʰu221	处 处理
處	tsʰu221	处 处所
書	su55	书 书本
暑	su221	暑 暑假
鼠	tsʰu221	鼠 老鼠
恕	su221	恕 饶恕
薯	su24	薯 番薯
如	i24	如 如果
居	ki55	居 居民
車	ki33	车 车马炮
舉	ki221	举 举报
據	ki221	据 收据
鋸	ki55	锯 电锯
墟	hi55	墟 废墟
去	hi33	去 来去
渠	kʰi55	渠 水渠
佢	kʰi24	佢 他；她；它
巨	kʰi55	巨 巨大
距	kʰi55	距 距离
魚	ŋŋ̍24	鱼 金鱼
語	ȵi221	语 语文
禦	i33	御 防御
虛	hi55	虚 虚心
許	hi221	许 许多
淤	i24	淤 淤泥
余	i24	余 姓；多余
與	i221	与 给与；参与
預	i33	预 预备
夫	fu55	夫 夫妻
府	fu221	府 广府
脯	pʰu221	脯 杏脯
斧	pu221	斧 斧头
付	fu33	付 应付
敷	pʰu55	敷 敷药
麩	kʰu55	麸 麦麸
撫	mu221	抚 抚养
赴	fu33	赴 奔赴；赴汤蹈火
符	fu24	符 符合
扶	fu24	扶 扶手
父	fu33	父 父亲
腐	fu33	腐 豆腐
附	fu33	附 附近
無	mo24	无 没有；无中生有
武	ʋu221	武 武力
舞	mu221	舞 跳舞
務	mu33	务 任务
霧	mu33	雾 大雾
屢	lui33	屡 屡教不改
趨	tsʰui55	趋 趋势
取	tsʰi221	取 取得
趣	tsʰi55	趣 兴趣
聚	tsi33	聚 聚会
鬚	ɬu55	须 胡须
需	ɬui55	需 需要
蛛	tsu55	蛛 蜘蛛
駐	tsʰu33	驻 驻扎，驻军
廚	tsʰu24	厨 厨房
柱	tsʰu55	柱 柱子
住	tsʰu33	住 住宿
數	ɬu33	数 数星星（动词）
數	ɬu33	数 少数（名词）
朱	tsu55	朱 姓
珠	tsu55	珠 珍珠
主	tsu221	主 主人
注	tsu33	注 注意
鑄	tsʰiu24	铸 铸铁
輸	su55	输 输赢；运输
殊	su221	殊 特殊
豎	su221	竖 横竖
樹	su33	树 树木
儒	i24	儒 儒家
乳	iui221	乳 乳房
拘	kʰi55	拘 拘留
矩	ki221	矩 规矩
句	ki33	句 句子
區	kʰi55	区 地区
具	kʰi33	具 具体；家具
愚	ȵi24	愚 愚蠢
娛	ŋŋ̍33	娱 娱乐
遇	ȵi221	遇 遇见
迂	i24	迂 迂回
于	i24	于 姓
雨	i221	雨 下雨
羽	i221	羽 羽毛
芋	ʋu33	芋 芋头
愉	i33	愉 愉快
裕	i33	裕 富裕
獃	ŋɔi55	呆 发呆
戴	tai33	戴 戴帽
胎	tʰɔi55	胎 双胞胎
態	tʰai33	态 态度
貸	tʰɔi33	贷 贷款
臺	tʰɔi24	台 台湾；天台
苔	tʰɔi24	苔 青苔
抬	tʰɔi24	抬 担抬，两个人抬
待	tʰɔi33	待 等待
代	tʰɔi33	代 代表
袋	tʰɔi33	袋 口袋
乃	nai55	乃 人名用字
耐	nɔi33	耐 耐心
