#漢字	音標	解釋
米	vi51	米：大米
低	tei55	低：高～
底	tei51	底：水～
梯	tʰui55	梯：楼～
體	tʰei51	体：～育，身～
題	tei24	题：～目，难～
蹄	tei24	蹄：马～
弟	ti33	弟：兄～[文]
泥	tʰou24	泥：水～，地～（地板）
犁	lei24	犁：耕田用具
禮	lei51	礼：～貌
齊	ʦiei24	齐：整～，放～，来～[白]
西	sai55	西：东西南北
洗	sei51	洗：～菜，～衣机
細	sei21	细：粗细，大小
雞	kei55	鸡：～公（公鸡）
計	kei21	计：～算，会～
溪	kʰei55	溪：～水
啟	kʰi51	启：～发
係	hei33	系：是[白]
杯	pue55	杯：茶～
輩	pui21	辈：～分，长～
背	pɔi33	背：违～，后～
坯	pʰue55	坯：泥～，毛～房
配	pʰui33	配：分～，搭～
賠	pue24	赔：～钱
背	pue33	背：～书
梅	vue24	梅：～花
妹	vue33	妹：妹妹，姊～，老～
堆	tui55	堆：一～[量]，～放[动]
對	tui33	对：～错；成双成～
推	tʰui55	推：～荐，～动
退	tʰui21	退：后～，～步[文]
內	lai33	内：～行，～外
雷	lui24	雷：打～，～公；姓
催	tsʰui55	催：～促，～眠
罪	tsue33	罪：得～，犯～[文]
碎	tsʰui21	碎：～布，破～
塊	huai33	块：一～钱，～头
灰	hue55	灰：石～，～色
回	hue24	回：～想[文]
最	tsui21	最：～好
外	ŋua33	外：～面
會	ʔei33	会：开～
會	ʔei33	会：～睡，～来
乖	kuai55	乖：小孩听话
怪	kai21	怪：奇～
懷	huai24	怀：～疑
壞	vai51	坏：～人
拐	kei51	拐：～卖，铁～李
掛	kua21	挂：～起来，牵～，～钩
歪	vai51	歪：～风邪气
話	ue33	话：笑～，讲～[文，名]
話	ue33	话：说[白，动]
稅	sɔi21	税：交～，～收
銳	tsui51	锐：尖～，～角
肺	pʰui21	肺：猪～
皮	pʰue24	皮：调～，～肤
此	tsʰu51	此：到～为止
知	tsai55	知：通～，～道，无～[文]
知	tsai55	知：知道，唔～[白]
池	ʦʰi24	池：水～
紙	tsua51	纸：白～
兒	ji24	儿：～童
騎	kʰia24	骑：～马
徛	kʰia33	徛：站立；（山）斜度高
儀	ji24	仪：礼～，～式
蟻	hia24	蚁：蚂蚁，白～
義	ji33	义：情～，～气
戲	hi21	戏：做～
椅	ji51	椅：椅子，藤～
易	ji33	易：容～
鄙	pʰi51	鄙：差劲[白]
比	pi51	比：～较，对～
屁	pʰue33	屁：放～
鼻	pʰi33	鼻：鼻子；鼻涕
眉	mi24	眉：眉毛，画～
美	mui55	美：～丽，～化
地	tei33	地：土～
膩	ni33	腻：油～，细～
資	tsou55	资：～本
姊	tsi51	姊：～妹
次	tsʰu21	次：名～，～品
自	tsu33	自：～私
四	si21	四：数字
師	sai55	师：老～，～父
指	tsi51	指：手～，～甲
屎	sai51	屎：狗～
二	zi33	二：数字
姨	ji24	姨：大～，～丈
李	li51	李：姓；水果
理	li51	理：道～，～由
子	tsu51	子：～孙；孔～
字	ji33	字：～典，文～
絲	si55	丝：～绸
詞	tsʰu24	词：歌～
寺	si33	寺：～庙，灵光～
柿	kʰi33	柿：柿子，～饼
痣	ʦi21	痣：乌～
齒	tsʰi51	齿：牙～
詩	si55	诗：～人
時	si24	时：～间，当～
耳	hi33	耳：耳朵，中～炎
基	ki45	基：～本，地～
記	ki21	记：笔～，～号
起	kʰi51	起
喜	hi51	喜：～欢
醫	ji55	医：～生
意	ji33	意：～思
以	ji55	以：可～，～为
幾	ki51	几：～只
氣	hi21	气：～人，空～
希	hi55	希：～望
隨	ʦʰui24	随：～时，～便
吹	ʦʰui55	吹：～牛皮，～喇叭
跪	kui33	跪：下～
危	ŋui̍̃24	危：～险，安～
委	ui55	委：～托，常～
類	lui33	类：分～
追	tsui55	追：～求[文]
衰	sue55	衰：～弱，～老[文]
水	tsui51	水：～果，～平
龜	kui55	龟：乌～
葵	kʰui24	葵：向日～，～花籽
櫃	kui33	柜：～台
位	ui33	位：座～，～置
維	ui24	维：～生素，～持，纤～
飛	puɛ55	飞：～机；飞行
費	hui21	费：～用，浪～
肥	pui24	肥：化～，～肉
尾	vuɛ51	尾：尾巴
味	vi33	味：～道，～精
鬼	kui51	鬼：鬼神
貴	kui21	贵：～重
魏	ŋui51	魏：～国；姓
威	ui55	威：～风，～胁
畏	ui33	畏：不喜欢；怕，～热
偉	ui33	伟：～大
胃	ui33	胃：肠～
寶	po51	宝：～贝
報	po21	报：～告，日～
袍	pʰau24	袍：长～，袄～
暴	pʰau21	暴：～雨，残～
毛	mo24	毛：～病，鸡～
帽	vo33	帽：草～
刀	to55	刀：菜～
到	tau33	到：～站
討	tʰo51	讨：～老婆，～厌
套	tʰau21	套：配～，～房
桃	tʰo24	桃：杨～，～花
稻	tʰau55	稻：水～
導	tʰo51	导：领～，～师
惱	nau55	恼：烦～[文]
惱	nau55	恼：讨厌，不喜欢[白]
勞	lau24	劳：～动
老	lau33	老：～爷，～实
糟	tsau55	糟：酒～，～糕
早	tsa51	早：还～
竈	tsau33	灶：～头，～神
草	ʦʰau51	草：青～，～稿
造	tsʰau33	造：创～
臊	sau55	臊：臭～
掃	sau21	扫：～地[动]
嫂	so51	嫂：大～
髙	kuan24	高：姓；～低
稿	ka51	稿：草～，～纸
吿	ko21	告：报～，～状
考	kʰo51	考：～试，大～
靠	kʰau33	靠：依～，可～
熬	ŋau24	熬：～汤，～夜
好	ho51	好：～人
號	ho33	号：～码，口～[名]
襖	au21	袄：棉～，～袍
包	pau55	包：钱～，～围
飽	pa51	饱：食～（吃饱）
爆	pʰau33	爆：～炸
炮	pʰau33	炮：枪～
跑	pʰau51	跑：～步
茅	mau24	茅：～庐
貓	miɛu55	猫：大～
貌	mo33	貌：礼～
鬧	nau33	闹：～热，～事
罩	tsau21	罩：灯～，床～
爪	iɛu51	爪：鸡～
抄	tsʰau55	抄：～书
炒	tsʰa51	炒：～股，～菜
交	kau55	交：～通，～钱[文]
咬	ŋau55	咬：～人
孝	hau51	孝：～顺
效	hau33	效：～果
標	pʰiɛu55	标：～准，～志，招～
表	piɛu51	表：图～，～扬
票	pʰiɛu33	票：车～
苗	viɔ24	苗：鱼～，～族
秒	miɛu51	秒：～针
廟	vio33	庙：和尚～
療	liɛu24	疗：治～，～养
椒	tsio55	椒：胡～
消	siɛu55	消：～化
小	sio51	小：～姐，～人
笑	ʦʰio21	笑：～话，玩～
朝	tsa51	朝：～晨，三～
超	tsʰau55	超：～过
朝	tsʰau24	朝：～代
趙	tsʰau33	赵：姓
招	tsio55	招：～生
照	tsio21	照：～明，～顾
燒	sio55	烧：～水，发～
少	tsio51	少：～数，多～
少	siɛu21	少：～年，～爷
饒	ȵiɛu24	饶：～命，求～
繞	ȵiɛu51	绕：围～，～线
嬌	kiɛu55	娇：～气，做～（撒娇）
橋	kio24	桥：大～
轎	kio21	轿：坐～，扛～
要	ʔᵉau33	要：～求
要	ʔᵉau33	要：重～
搖	io24	摇：动～，～篮
舀	io51	舀：～水
耀	ʔᵉau33	耀：～眼，荣～
鳥	ʦiɛu51	鸟：～笼[白]
鳥	ʦiɛu51	鸟：骂人话，交合[白]
吊	tiɛu33	吊：上～，～车
跳	tio24	跳：～高，起～
條	tiɛu24	条：～件，字～
調	tiɛu33	调：音～
尿	jio33	尿：屙～
了	liɛu51	了：～结；明～，～解
