#漢字	音標	解釋
夾	kap033	夹：夹子；～心饼干
恰	kʰap021	恰：～切，～当
鹹	kiam24	咸：～淡
陷	ham33	陷：～害，～井
衫	sã55	衫：衬～，～裤（衣服）
鑑	kam33	鉴：～定
甲	ka51	甲：天干，甲乙丙丁
巖	ȵiam24	岩：～石，石灰～
鴨	a51	鸭：鸭子
壓	a51	压：～力
鐮	liam24	镰：镰刀，禾～
獵	la33	猎：打～，～人
尖	ʦiam55	尖：～刀
接	ʦiap021	接：迎～，～待
籤	ʦʰiam55	签：竹～，求～
潛	siam33	潜：～力
漸	tsʰiam33	渐：逐～
捷	tsʰiap055	捷：～报，大～，敏～
沾	tsam55	沾：～光
佔	tsiam33	占：霸占
博	pɔk051	博：～士，广～
旁	pʰɔŋ24	旁：～边
薄	po55	薄：不厚，～弱
忙	mɔŋ24	忙：农～，～碌
莫	mok055	莫：不要，～非
膜	mok055	膜：薄～
摸	vɔŋ55	摸：偷偷～～[文]
當	tɔŋ55	当：～时，应～，～官
擋	tɔŋ51	挡：阻～，～风
當	tɔŋ55	当：～铺，恰～；唔～（不如）
湯	tʰoŋ55	汤：煮～；姓
托	tʰɔk021	托：手承物，～盘
塘	tʰam24	塘：鱼～
諾	nɔk053	诺：承～，～言
郞	lɔŋ24	郎：新～；姓，～平
浪	lɔŋ33	浪：风～，～费
落	lo33	落：下落
葬	tsɔŋ21	葬：埋～，落～
作	tsɔk021	作：工～，种～
倉	tsʰoŋ55	仓：～库
鑿	tsʰɔk021	凿：用凿子凿
桑	soŋ55	桑：～叶
索	sɔk033	索：绳子，线～
鋼	koŋ21	钢：炼～，～笔
缸	koŋ55	缸：水～
各	kɔk021	各：～人
康	kʰɔŋ55	康：健～
糠	kʰoŋ55	糠：谷～
抗	kʰɔŋ21	抗：反～，～战
昂	ŋoŋ55	昂：～首挺胸，气～～
行	haŋ24	行：银～
惡	ɔk021	恶：善～，～霸
娘	nioŋ24	娘：姑～
凉	liaŋ24	凉：天～
兩	no33	两：～个
兩	no51	两：半斤八～
量	liaŋ33	量：数～
略	liɔk033	略：省～
漿	tsiõ55	浆：豆～，～糊
獎	tsiõ51	奖：～金，得～
醬	tsiõ21	酱：沙茶～，辣椒～
雀	tsiɔk021	雀：麻～，～斑
槍	tsʰiõ55	枪：手～
搶	tsʰiõ51	抢：～劫
牆	tsʰiõ24	墙：～壁
箱	siõ55	箱：皮～
想	siõ33	想：～法，思～
削	siak051	削：～皮，剥～
詳	siaŋ24	详：～细
象	siõ33	象：气～
象	tsʰiõ33	象：大～
像	tsʰiõ33	像：好～，相～
張	tiõ55	张：紧～；姓；装东西
長	tsɔŋ51	长：生～
脹	tiõ33	胀：～肚，膨～
着	tsʰiaŋ33	着：～衫（穿衣服）
長	toŋ24	长：～期，～短
丈	tɔŋ33	丈：三丈
着	tiɔ33	着：～火
裝	tsoŋ55	装：假～
壯	tsɔŋ21	壮：强～
牀	tsʰoŋ24	床：眠～
狀	tiɔŋ33	状：告～，～元，～态
霜	soŋ55	霜：落～，～降
爽	sɔŋ51	爽：～快，直～
掌	tsiõ51	掌：巴～
廠	tsʰiaŋ51	厂：～长
唱	tsʰiɔ33	唱：～歌
傷	siaŋ55	伤：受～
賞	sɔŋ51	赏：欣～，～金
常	siaŋ24	常：经～，～识；姓
上	tsiõ33	上：～山[动]
上	tsiõ33	上：～面[方位]
勺	tsʰia24	勺：饭～
瓤	nɔŋ24	瓤：瓜～
讓	iaŋ33	让：～位
弱	iɔk033	弱：～点
薑	kiõ55	姜：～糖
腳	kʰa55	脚：赤～
強	kiaŋ24	强：～大，坚～
卻	kʰiɔk053	却：退～，～步
仰	ȵiɔŋ51	仰：～视
香	hiaŋ55	香：～味，烧～；～港（地名）
響	hiaŋ51	响：音～
向	hiaŋ33	向：～东
秧	ŋ̍55	秧：插～，～苗
約	iɔk021	约：大～，～会
羊	iɔ̃24	羊
養	iaŋ51	养：培～，～猪
樣	iɔ̃33	样：一～
藥	iɔ33	药：中～，～片
躍	iak021	跃：跳～，大～进
光	kuĩ55	光：阳～，～明
廣	kɔŋ51	广：推～；～东（地名）
郭	kɔk051	郭：姓，～靖
擴	kʰɔŋ33	扩：～充，～大
荒	huĩ55	荒：开～
霍	kʰɔk033	霍：姓；～乱
黃	uĩ24	黄：姓；～色
方	hĩ55	方：地～
放	paŋ21	放：解～，～心[文]
紡	pɔŋ51	纺：～织
房	paŋ24	房：～间
防	hɔŋ24	防：～止，国～
亡	mɔŋ24	亡：死～
網	vuaŋ33	网：鱼～，～络
望	vuaŋ33	望：失～
狂	kɔŋ24	狂：发～
枉	ɔŋ51	枉：冤～
王	ɔŋ24	王：姓；大～
往	ɔŋ33	往：来～，～日
旺	ɔŋ33	旺：兴～
綁	paŋ33	绑：绑架
剝	pɔk051	剥：～削
桌	to51	桌：书～
琢	tsɔk021	琢：～磨，雕～
啄	tie51	啄：～木鸟，鸡～米
濁	lo24	浊：浑～
窗	tʰaŋ55	窗：门～，～帘
雙	siaŋ55	双：一～鞋
江	kaŋ55	江：长～，～湖
講	kɔŋ51	讲：～话
港	kɔŋ51	港：～口；香～（地名）
降	kɔŋ21	降：下～，～低
角	kak021	角：牛～，～色
餃	kɛu51	饺：饺子，水～
腔	kʰiɔŋ55	腔：口～
確	kʰɔk021	确：～定，的～
殼	kʰak021	壳：贝～
樂	ŋɔk055	乐：音～
巷	haŋ33	巷：巷子，两条～
學	o55	学：数～，～习
握	vok021	握：～手，把～
北	pak021	北：东南西北
朋	piɛŋ24	朋：～友
墨	vak055	墨：～水
燈	tieŋ55	灯：～光
等	kʰiɛn33	等：～人
凳	i51	凳：凳子
得	tiɛt021	得：获～，～意
藤	tin24	藤：～椅
鄧	tiɛn33	邓：姓，～小平
特	tʰit021	特：～别
能	niɛn24	能：才～，～够
曾	tsan55	曾：姓
則	tsiɛt051	则：否～，规～
層	iɛn24	层：～次
贈	ʦiɛn33	赠：～送
塞	sak055	塞：堵～，～车
肯	kʰɛn51	肯：～定，中～[文]
肯	kʰɛn51	肯：愿意，～去[白]
克	kʰɛt021	克：～服，攻～
黑	hɛt033	黑：～白
冰	pɛn55	冰：结～，～箱
力	lat055	力：大～，～量
息	sit053	息：休～[文]
直	tit055	直：～接
色	siɛt055	色：颜～，～彩
蒸	tsin55	蒸：清～，～发
證	tsin33	证：～明
織	tsit053	织：纺～，～布
秤	tsʰin21	秤：用以称物，～砣
食	tsia44	食：粮～；吃
升	sin55	升：～级
勝	siɛn33	胜：～利，战～
識	vat021	识：相～，～字
極	kʰit055	极：南～
興	hin55	兴：～旺；绍～（地名）
興	hin55	兴：高～，～趣[文]
興	hin51	兴：高兴[白]
蠅	sin24	蝇：乌～（苍蝇）
翼	sit055	翼：鸡～，机～
國	kiɛt021	国：～家，中～
弘	hiɛn24	弘：～扬
或	viɛt055	或：～者
百	piɛ51	百：～姓
拍	pʰak051	拍：～片，～球
彭	pʰaŋ24	彭：姓，～德怀
白	piɛ44	白：～色
猛	man55	猛：～烈，凶～
打	pʰa51	打：～针
冷	lɛn51	冷：～热，～清
撐	tʰiɛ̃55	撑：支～，～开
擇	tsʰak055	择：选～[文]
擇	tɔ55	择：～菜[白]
生	sɛ̃55	生：学～
生	sɛ̃55	生：与“死”相对[白]
更	kɛn51	更：～加
坑	kʰɛ̃55	坑：水～，～沟
客	kʰɛ51	客：请～
硬	ŋiɛ̃33	硬：软～
額	ŋiã51	额：名～
嚇	kiã55	吓：～一跳
行	kiã24	行：～为
棚	piɛ̃24	棚：楼～，瓜～
麥	viɛ33	麦：小～，～芽糖
摘	van51	摘：～菜
爭	tsiɛ̃55	争：～取
爭	tsiɛ̃55	争：相～，～唔多（差不多）[白]
責	tsit031	责：～任，负～
冊	tsʰiɛ51	册：两～
耕	kaŋ55	耕：～田
耿	kien51	耿：忠心～～；姓，～精忠
革	kak031	革：～命
隔	kie51	隔：～壁
幸	hiɛŋ51	幸：荣～，～福
扼	ak031	扼：～杀，～制
兵	piɛn55	兵：当～
丙	piã51	丙：天干，甲乙丙丁
柄	piɛ̃33	柄：刀～，把～
平	pʰiɛn24	平：和～，～时[文]
平	piɛ̃24	平：～头，～地[白]
病	piɛ̃33	病：～人
命	viɛn33	命：～令[文]
命	miã33	命：～运，算～[白]
驚	kiã55	惊：害怕
景	kin51	景：～色，风～
敬	kin33	敬：尊～，～酒
鏡	kiã33	镜：镜子
慶	kʰin33	庆：～祝
屐	kiak033	屐：木～
迎	iã24	迎：～接，欢～
逆	ȵiak055	逆：～风
英	in55	英：～雄；～国（国名）
影	iã51	影：电～
名	miã24	名：姓～
領	niã51	领：～导，衫～（衣领）
令	liɛn33	令：命～，口～
精	tsin55	精：～神
井	tsiɛ̃51	井：～水，～～有条
跡	tsiaʔ031	迹：～象，痕～[文]
晴	tsĩ24	晴：天～
姓	siɛ̃33	姓：～名
惜	tsio51	惜：疼爱[白]
席	tsʰit055	席：酒～，主～
蓆	tsʰio55	席：草～
鄭	tiɛ̃33	郑：～重；姓
正	tsiã55	正：～月
正	tsiã33	正：立～，～直
正	tsiã33	正：～好，～来[白]
赤	tsʰia51	赤：～色，～脚
聲	siã55	声：～音，笑～
城	siã24	城：～市，县～
石	tsio33	石：～头，～榴
頸	kin51	颈：脖子
贏	iã24	赢：～输
易	i33	易：交～，贸～
壁	pia51	壁：墙～
劈	pʰiak031	劈：～开，用刀～，雷～
釘	tiɛn55	钉：铁～[名]
頂	tiɛn51	顶：山～[白]
頂	tiɛn51	顶：～唔得（顶不住）[文]
滴	tit031	滴：～水，两～
聽	tʰiã55	听：～话
踢	tʰiaʔ031	踢：～球
停	tʰiɛn24	停：～止
定	tiã33	定：稳～；永～（地名）
笛	tʰat055	笛：笛子
敵	tʰit055	敌：～人
靈	lin24	灵：～活
另	liaŋ33	另：～外
曆	liak055	历：日～，～书
靑	tsʰiɛ̃55	青：～色，～年
醒	tsʰiɛ̃51	醒：清～，～过来
激	kit031	激：～动
形	hiɛn24	形：～状，地～
礦	kʰɔŋ33	矿：煤～，～工
橫	hiɛ̃24	横：～直
兄	hiã55	兄：～弟
榮	dzin24	荣：光～，～誉
永	iɛn55	永：～远
傾	kʰin55	倾：～向，左～
卜	pok031	卜：萝～
篷	pʰoŋ24	篷：帐～
蒙	moŋ24	蒙：～蔽，天～～，～古（地名）
木	mok055	木：～工
東	taŋ55	东：东南西北
凍	taŋ33	冻：冰～，～伤
通	tʰɔŋ55	通：～过，～风，打～
桶	tʰaŋ51	桶：水～
痛	tiã33	痛：～苦
同	taŋ24	同：相～，～学
洞	tɔŋ33	洞：山～，～察
讀	tʰak024	读：～书，阅～
聾	lɔŋ55	聋：耳～
鹿	lɔk055	鹿：～角，梅花～
總	tsɔŋ51	总：～共，汇～
糉	tsaŋ33	粽：粽子
蔥	tsʰaŋ55	葱
族	tsʰɔk055	族：～长，民～
送	saŋ21	送：～人
速	sɔk031	速：～度
公	kɔŋ55	公：～安，办～
貢	koŋ33	贡：～献
穀	tsʰɛk031	谷：五～
空	kʰaŋ55	空：～虚，天～
控	kʰɔŋ33	控：～制
紅	haŋ24	红：～色
翁	woŋ55	翁：白头～；姓
屋	tsʰu33	屋：老～
農	noŋ24	农：～村
宗	tsiɔŋ55	宗：祖～，～教
鬆	sɔŋ55	松：轻～，放～
風	hɔŋ55	风：大～，～气
福	hɔk033	福：～气，享～
鳳	hɔŋ33	凤：～凰
服	hɔk033	服：～务
夢	waŋ33	梦：发～
六	lak033	六：数字
宿	siɔk031	宿：～舍，住～
竹	tɛk031	竹：～叶
蟲	tʰaŋ24	虫：害～
軸	tsɔk055	轴：压～，～承
縮	sɔk031	缩：压～，～小
終	ʦiɔŋ55	终：～于，始～
祝	tsiɔk031	祝：～贺，庆～
充	tsʰiɔŋ55	充：～分，冒～
叔	ʦɛk031	叔：二～，～～
熟	sɛk055	熟：煮～，～悉
肉	va51	肉：猪～
弓	kiɔŋ55	弓：～箭
菊	kʰiɔk051	菊：～花
窮	kʰai24	穷：～人，无～
蓄	kʰiɔk051	蓄：储～，～水
熊	hiɔŋ24	熊：～猫
雄	hiɔŋ24	雄：英～
育	iɔk051	育：教～
濃	nɔŋ24	浓：～淡；稠密[白]
龍	liɔŋ24	龙：～头
綠	liɔk055	绿：～色
蹤	tsiɔŋ55	踪：失～，～影
足	ʦiɔk051	足：～球，满～
從	tsʰɔŋ24	从：跟～，～来
粟	sɛk055	粟：包～，～米，～子粄
松	tsʰɔŋ24	松：～树
頌	saŋ33	颂：歌～
俗	siɔk055	俗：风～
鐘	tsiɔŋ55	钟：两点～，闹～
種	tsieŋ51	种：～类，树～[名，量]
種	tsieŋ33	种：～田[动]
觸	tsʰɔk051	触：接～，～犯
束	tsʰɔk055	束：结～
屬	siɔk055	属：～于，家～
鞏	kiɔŋ51	巩：～固
共	kaŋ33	共：一～，～同
局	kiɔk055	局：～部，公安～
玉	iɔk055	玉：白～
容	iɔŋ24	容：～易，宽～
勇	iɔŋ51	勇：～敢
用	iɔŋ33	用：～处
慾	iɔk055	欲：～望，贪～
健	kʰiɛn33	健：～康
簑2	sui55	蓑：棕～，～衣
許2	hi51	许：许可，允许
世	si21	世：一世
弟2	tei33	弟：兄～[文]
灰2	hu55	灰：火～
子2	tsi51	子：果子
勞2	lɔ24	劳：功～
咬2	ka33	咬：～人(底层）
母2	mɔ33	母：～亲
藕2	ŋau55	藕：～断丝连，莲～
候	hau33	时候
瘦2	siɛu51	瘦：瘦肉
探2	tʰam33	探：试～
擔2	tã33	担：负担
接2	ʦi51	接：迎～，～待
潛2	tiam24	潜：～水
佔2	tsam33	占：占领
摺	tsi51	折：～被，～叠
閃	siam51	闪：～开
攝	ȵiap021	摄：～影
涉	hiap055	涉：～及
染	ȵiam33	染：污～
檢	kiam51	检：～查，体～
鉗	kʰiam24	钳：～工，火～
儉	kʰiam33	俭：勤～
險	hiam51	险：危～，保～
掩	ʔiam51	掩：～护
厭	ʔiam33	厌：讨～
鹽	ʔiam24	盐
葉	ʔiap021	叶：姓
劍	kiam21	剑：宝～
劫	kiap021	劫：抢～
欠	kʰiam21	欠：～钱，拖～
嚴	ȵiam24	严：～格；姓
業	ȵiap055	业：事～，～余
醃	ʔiam55	腌：腌制
點	tiam51	点：～心，～头
店	tiam21	店：开～
跌	tʰi51	跌：～打
添	tʰiam55	添：～加，～丁
貼	tʰiap021	贴：补～
貼	tiap021	贴：～纸，～对联[动]
甜	ti55	甜
碟	tʰiap055	碟：盛具，碟子
念	ȵiam33	念：～经，怀～
兼	kiam55	兼：～职
謙	kʰiam55	谦：～虚
嫌	hiam24	嫌：～弃，～人
協	hiap055	协：～会，～作
法	huat021	法：方～
凡	huan24	凡：平～
犯	huan33	犯：～法[文]
品	pʰin51	品：～德
林	lin24	林：树～；姓
立	lip055	立：～足
粒	liap055	粒：三～，颗～
浸	tsim33	浸：～水
集	tsʰip055	集：～合，～体
心	sim55	心：～肝，内～
尋	ʦʰuɛ33	寻：～人
沉	tiɛm24	沉：～底
參	sam55	参：人～
針	tsiɛm55	针：～线，～对
枕	tsim51	枕：～头[名]；～枕头[动]
汁	tsiɛp021	汁：菜～，果～
深	tsʰim55	深：～浅，～入
沈	sim51	沈：姓；地名，～阳
澹	tam24	湿：潮～
十	tsap024	十：数字
任	jiəm33	任：姓；责～，～何
入	jip055	入：～门，进～
金	kim55	金：～银
錦	kim51	锦：～绣，～旗
禁	kim21	禁：～止
急	kip021	急：心～
級	kip021	级：～别，年～
欽	kʰim55	钦：～差，～佩
琴	kʰim24	琴：弹～
及	kip021	及：～时
吸	kip021	吸：呼～，～引
陰	jim55	阴：～天
飮	jim51	饮：～料
單	tuã55	单：～独
旦	tuã33	旦：元～，花～
攤	tʰuã55	摊：分～，～开，摆～
炭	tʰuã21	炭：烧～
彈	tuã33	弹：～琴
達	tat024	达：发～，～到
難	nan24	难：困～
捺	nai33	捺：撇～
蘭	lan24	兰：～花
懶	lan34	懒：懒惰，～尸
爛	nuã33	烂：灿～，腐～
辣	lua33	辣：～椒
贊	tsan21	赞：称～，～助
餐	tsʰuɔn55	餐：～车，快～
殘	tsʰan24	残：～废
散	suã51	散：药～
跟2	kin55	跟：脚跟
陳2	tsʰin24	陈：～皮
勤2	kʰin24	勤：好勤
頓2	tuĩ33	顿：一顿饭
論2	lun24	论语
落2	lau33	落：落
昂2	ŋɔŋ55	昂：仰起
量2	nio24	量：动词
長2	tiaŋ51	长：省～
丈2	tiõ33	丈：丈夫
章2	tsiaŋ55	章：姓；文～
掌2	tsɔŋ51	掌：～握
上	siaŋ51	上：～海（地名）
腳	kʰa55	脚色：角色
卻2	kʰiɔ51	却：捡起来
秧2	iaŋ55	秧：扭秧歌
廣2	kuĩ33	广：～东（地名）
荒2	hɔŋ55	荒：～唐
方2	hŋ̍55	方：大～
方3	hɔŋ55	方：～法
綁2	pak024	绑：捆绑。缚。
剝2	pak051	剥：～皮
降2	haŋ24	降：投降
樂2	lɔk055	乐：快～
等2	tieŋ51	等：高～
曾2	tsan24	曾：曾经
塞2	tʰak055	塞：堵～，～车
黑2	ou55	黑：乌
識2	sit021	识：知识
打2	ta51	打：一打（量词）
撐2	tʰiɛ̃33	撑：～船
生	sɛ̃55	生：先生,生活
更2	kɛ̃55	更：三更半夜
行2	kiã24	行：行走
行2	siɛn33	行：品行
摘2	tia31	摘：选取
爭2	tsiɛ̃55	争：斗～
冊2	tsʰia51	册：册封
革2	kiɛ51	革：改～
平2	pʰiɛn24	平：～安
驚2	kiɛ̃55	惊：～蛰
釘2	tiɛn33	钉：动词
篷2	pʰaŋ24	篷：乌篷船
公2	kaŋ55	公：鸡公
松	tsʰoŋ24	松树
穀2	kɔk031	谷：谷雨
笛2	tiɛ24	笛：吹笛
