#漢字	音標	解釋
瑣	sɔ21	琐：～碎，烦～
戈	kʰɔ44	戈：干～，～壁
果	kɔ21	果：水～
裹	kɔ21	裹：包～
過	kuɔ51	过：～去，～头
科	kʰɔ44	科：～学，文～
棵	kʰɔ51	棵：一～树
顆	kʰɔ51	颗：一～珍珠，～粒
課	kʰɔ51	课：上～
訛	ŋɔ25	讹：～诈，以～传～
臥	ŋɔ21	卧：～室，～铺
火	fɔ21	火：着～，～车
夥	fɔ21	伙：合～，～计
貨	fɔ51	货：～车，百～
和	fɔ25	和：～平，～气[文]
和	fɔ25	和：～尚[白]
禾	vɔ25	禾：割～，～苗
禍	fɔ21	祸：大～临头，～害
和	fɔ25	和：唱～，～诗
倭	vɔ44	倭：～寇
窩	vɔ44	窝：～囊废，～藏
瘸	kʰiɔ25	瘸：不灵活，～手，～脚
靴	hiɔ44	靴：皮～
巴	pa44	巴：～掌，～结，～黎
芭	pa44	芭：～蕉，～蕾
疤	pa44	疤：伤～
把	pa21	把：～握，～脉
霸	pa51	霸：恶～，～王
壩	pa51	坝：堤，溪～
吧	pa44	吧：酒～
垻	pa51	坝：平地，湖洋～
爸	pa44	爸：爸爸
怕	pʰa51	怕：害怕，惊～
帕	pʰa51	帕：手～
爬	pʰa25	爬：～树
琶	pa25	琶：琵～
杷	pa25	杷：枇～
耙	pʰa25	耙：犁耙
麻	ma25	麻：天～，～烦
痲	ma25	痲：出～（得痳疹），～疯
蟆	ma25	蟆：蛤～（蟾蜍）
媽	ma44	妈：妈妈
媽	ma44	妈：～祖
馬	ma44	马：骑～，～虎
碼	ma44	码：～头，大～
罵	ma51	骂：～人
拿	na44	拿：～手，推～
茶	tsʰa25	茶：～叶
楂	tsa44	楂：山～
渣	tsa44	渣：药～
詐	tsa51	诈：～骗
榨	tsa51	榨：～菜，～油
炸	tsa51	炸：～药
叉	tsʰa44	叉：刀～，～腰
杈	tsʰa44	杈：桠～，树～
差	tsʰa44	差：～别
岔	tsʰa51	岔：～路，三～路口
査	tsʰa25	查：调～
沙	sa44	沙：泥～，～漠
紗	sa44	纱：～布
灑	sa21	洒：～水
廈	ha21	厦：偏廈（厢房）
痧	sa44	痧：发～，刮～
家	ka44	家：老～，～庭
砂	sa44	砂：朱～，～纸
加	ka44	加：～工
痂	ka44	痂：结～
嘉	ka44	嘉：～宾
假	ka21	假：真～，～设
賈	ka51	贾：姓，～宝玉
假	ka21	假：放～，～期
架	ka51	架：书～
駕	ka51	驾：～驶证
嫁	ka51	嫁：～人
稼	ka51	稼：庄～，邓～先
價	ka51	价：～钱，～值
揢	kʰak044	揢：用虎口掐
牙	ŋa25	牙：～齿，刷～
芽	ŋa25	芽：豆～
衙	ŋa25	衙：～门
雅	ŋa21	雅：文～，典～；～典（地名）
砑	ŋat044	砑：碾，～平，～碎
蝦	ha25	虾：鱼～，～公
嚇	hak031	吓：～人
霞	ha25	霞：晚～
瑕	ha25	瑕：～疵
蝦	ha25	虾：～蟆（蟾蜍）
下	ha44	下：～背，底～
下	ha21	下：取下，～下来
夏	ha21	夏：姓
廈	ha21	厦：～门，大～
下	ha21	下：～降，～流
夏	ha21	夏：春～秋冬
暇	ha21	暇：闲～
鴉	a44	鸦：老～，乌～
丫	a44	丫：～鬟，～头
椏	a44	桠：～杈
啞	a21	哑：哑巴，～佬
亞	a44	亚：～洲，～军
姐	tsia21	姐：小～[文]
姐	tsia21	姐：姐姐,阿～[白]
借	tsia51	借：～钱
且	tsʰia21	且：而～，况～
笡	tsʰia51	笡：斜，～～（歪斜的样子）
藉	tsia51	藉：～故，～口
些	sia44	些：一～
寫	sia21	写：～字
瀉	sia51	泻：腹～，一～千里
卸	sia51	卸：～货，推～
邪	sia25	邪：～气，～门歪道
斜	sia25	斜：倾～[文]
斜	sia25	斜：不正[白]
謝	tsʰia21	谢：多～；姓
爹	tia44	爹：～娘
遮	tʃa44	遮：遮挡[动]；伞[名]
者	tʃa21	者：记～，作～
蔗	tʃa51	蔗：甘蔗
車	tʃʰa44	车：火～
扯	tʃʰa21	扯：～开，～烂
蛇	ʃa25	蛇：毒～
射	ʃa21	射：发～，～箭
麝	ʃa21	麝：～香
奢	tʃʰa44	奢：～侈
賒	tʃʰa44	赊：～帐
捨	ʃa21	舍：～唔得（舍不得）
赦	ʃa51	赦：～免
舍	ʃa51	舍：宿～
社	ʃa44	社：～会，公～
惹	ŋia44	惹：～事
耶	ia25	耶：～稣
爺	ia25	爷：父亲；爷爷[文]
也	ia44	也：～知
野	ia21	野：～人
夜	ia21	夜：日～，～班
傻	sɔ25	傻：～瓜，～子
瓜	ka44	瓜：西～，～分
蝸	vɔ44	蜗：～牛
寡	ka21	寡：～妇，守～
剮	ka21	剐：千刀万～
誇	kʰa44	夸：～大，～张
垮	kʰa44	垮：～台
跨	kʰa44	跨：～栏，～度
娃	va44	娃：洋～～
瓦	ŋa21	瓦：～片
花	fa44	花：开～
化	fa51	化：变～
華	fa25	华：中～
劃	vak044	划：～船
華	fa25	华：～山；姓
蛙	va44	蛙：青～，～泳
補	pu21	补：～鞋，～充
譜	pʰu44	谱：族～，歌～
布	pu51	布：红～，～料
佈	pu51	布：公～，～置
鋪	pʰu44	铺：～路，床～
普	pʰu44	普：～通，～遍
浦	pʰu21	浦：黄～江
鋪	pʰu51	铺：店～，当～
怖	pu51	怖：恐～
蒲	pʰu21	蒲：（石）菖～,～松龄
菩	pʰu25	菩：～萨
脯	pʰu25	脯：胸～
部	pʰu51	部：～队，干～
簿	pʰu44	簿：练习～，帐～
步	pʰu21	步：跑～
捕	pʰu21	捕：逮～，～快
埠	fu51	埠：开～
埠	fu51	埠：庵～，蚌～（地名）
模	mu25	模：～型，～范
摹	mu25	摹：～仿，描～
暮	mu51	暮：日暮
慕	mu51	慕：羡～，～名而来
墓	mu51	墓：坟～，～地
募	mɔk031	募：～捐
都	tu44	都：首～，～市
都	tu44	都：都是
堵	tu21	堵：～车，～塞
賭	tu21	赌：～博
肚	tu21	肚：猪～，鱼～
妬	tu51	妒：～忌
土	tʰu21	土：～地
吐	tʰu51	吐：～痰；呕～
兔	tʰu51	兔：野～
徒	tʰu25	徒：～弟
屠	tʰu25	屠：～杀
途	tʰu25	途：前～
塗	tʰu25	涂：糊～，～改
圖	tʰu25	图：画～，地～
杜	tʰu51	杜：姓；杜仲（中药）
肚	tu21	肚：肚子
度	tʰu21	度：～数，长～
渡	tʰu21	渡：偷～，摆～
鍍	tʰu21	镀：电～
奴	nu25	奴：～隶
努	nu21	努：～力
怒	nu21	怒：愤～，～气
盧	lu25	卢：姓
爐	lu25	炉：火～
蘆	lu25	芦：～苇
鸕	lu25	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu44	鲁：～国，～迅
虜	lu44	虏：俘～
滷	lu44	卤：盐～，～水
路	lu21	路：大～
賂	lɔk031	赂：贿～
露	lu51	露：～水，白～，打～
鷺	lu51	鹭：白～
租	tsɿ44	租：～金，出～
祖	tsɿ21	祖：～宗，～国
組	tsɿ44	组：～织，小～
做	tsɔ51	做：～好事
粗	tsʰɿ44	粗：～心
醋	tsʰɿ51	醋：陈～
措	tsʰɿ51	措：～施
錯	tsʰɔk031	错：～误
蘇	sɿ44	苏：～州；姓
酥	sɿ44	酥：脆，杏仁～
素	sɿ51	素：～菜，朴～
訴	sɿ51	诉：上～，倾～
塑	sɔk031	塑：雕～，～料
姑	ku44	姑：大～
孤	ku44	孤：～儿，～单
箍	ku44	箍：紧～咒[文]
箍	kʰɛu44	箍：围束，～桶[白]
古	ku21	古：～代
估	kʰu44	估：～计
牯	ku25	牯：牛～
股	ku21	股：～票
鼓	ku21	鼓：锣～，～励
故	ku51	故：～事，～乡
蠱	ku21	蛊：养～，～惑
固	ku51	固：～定
錮	ku51	锢：禁～
雇	ku51	雇：～人，～主
顧	ku51	顾：照～
枯	kʰu44	枯：干～，～水
苦	kʰu21	苦：辛～，食～（吃苦）
苦	kʰu21	苦：～味
庫	kʰu51	库：水～，仓～
褲	fu51	裤：裤子
吳	ŋŋ̍25	吴：姓
蜈	ŋŋ̍21	蜈：～蚣
梧	ŋŋ̍25	梧：～桐
五	nn̍21	五：数字
伍	ŋu21	伍：姓；队～
午	ŋu21	午：中～，端～
誤	ŋu21	误：～会，错～
悟	ŋu21	悟：觉～；孙～空
呼	fu44	呼：称～，～吸，招～
虎	fu25	虎：老～
虎	fu25	虎：马～
滸	fu25	浒：水～
戽	fu51	戽：～水（泼水），～斗
胡	fu25	胡：二～ ；姓
湖	fu25	湖：西～
狐	fu25	狐：～狸
壺	fu25	壶：水～
乎	fu25	乎：在～
瓠	fu25	瓠：瓠卢，同葫芦
鬍	fu25	胡：～须
蝴	fu25	蝴：～蝶
糊	fu25	糊：浆～，～涂
戶	fu21	户：～口
滬	fu21	沪：上海简称
互	fu44	互：～相
護	fu21	护：保～，～士
瓠	pʰu25	瓠：瓠瓜（味似葫芦而长）
烏	vu44	乌：黑
污	vu44	污：～染
塢	vu44	坞：船～
惡	ɔk031	恶：可～
女	ŋi21	女：女人
廬	lu25	庐：～山
驢	lu25	驴：毛驴
呂	li44	吕：姓
旅	li21	旅：～游
慮	li21	虑：考～
濾	li21	滤：过～
絮	si21	絮：棉～
徐	tsʰi25	徐：姓
序	si21	序：顺～
敍	si21	叙：倒～
緖	si21	緖：情～；光～
豬	tʃu44	猪：～肉
著	tʃu51	著：～名，显～
除	tʃʰu25	除：～法
儲	ʃu25	储：～蓄
苧	tʃʰu44	苎：～哩（苎麻）
箸	tʃʰu21	箸：筷子
阻	tsɿ21	阻：～止，～力
初	tsʰɔ44	初：当～，～中
楚	tsʰɿ21	楚：清～
礎	tsʰɿ21	础：基～
鋤	tsʰɔ25	锄：～草，～禾日当午
助	tsʰɿ21	助：帮～
梳	sɔ44	梳：梳子[名]；梳头[动]
疏	sɔ44	疏：～远；稀疏
疏	sɔ44	疏：生～
蔬	sɔ44	蔬：～菜
所	sɔ21	所：～以
疏	sɔ44	疏：注～
諸	tʃu44	诸：姓；～如此类
煮	tʃu21	煮：～饭
處	tʃʰu51	处：～理，相～
處	tʃʰu51	处：～所
書	ʃu44	书：读～
舒	ʃu44	舒：～服
暑	tʃʰu25	暑：～假，大～，小～
鼠	tʃʰu25	鼠：老～
庶	ʃu51	庶：～民
恕	ʃu51	恕：宽～
署	tʃʰu21	署：～名
薯	ʃu25	薯：～薯
如	i25	如：～果，假～
居	ki44	居：～民
車	ki44	车：象棋，～马炮
舉	ki21	举：～报，～重
據	ki21	据：收～
鋸	ki51	锯：电～
墟	hi44	墟：～日
去	kʰi51	去：来～，过～
渠	kʰi44	渠：水～，～道
佢	ki25	佢：他，第三人称
巨	kʰi44	巨：～大
拒	kʰi44	拒：～绝
距	kʰi44	距：～离
魚	ŋŋ̍25	鱼：金～
漁	ŋi25	渔：～业，～夫
語	ŋi44	语：～文
御	ŋi21	御：～用文人
禦	ŋi21	御：防～
虛	hi44	虚：～心
噓	hi44	嘘：吹～
許	hi21	许：允～；姓
於	i44	于：在～
淤	i44	淤：～泥
余	i25	余：姓
餘	i25	余：多～
與	i44	与：参～，给～，～众不同
予	i44	予：给～
譽	i21	誉：荣～
預	i21	预：～报，～备
豫	i21	豫：犹～
夫	fu44	夫：～妻，车～
膚	fu44	肤：皮～
府	fu21	府：政～
腑	fu21	腑：五脏六～
俯	fu21	俯：～卧撑，～视
甫	pʰu21	甫：杜～
脯	pʰu21	脯：菜～（萝卜干）
