#漢字	音標	解釋
崇	soŋ33	崇：～高，推～
崇	soŋ42	崇：～高，推～
軸	ʦok022	轴：压～，～承
逐	ʦok022	逐：～渐，驱～
仲	ʦoŋ22	仲：伯～叔；杜～（中药）
蟲	ʦʰoŋ42	虫：害～
畜	ʦʰok055	畜：牲～，～牲
築	ʦok055	筑：建～
竹	ʦok055	竹：～叶
中	ʦoŋ33	中：射～，～状元
忠	ʦoŋ51	忠：～心
中	ʦoŋ51	中：～央；头顶物，～头帕[白]
中	ʦoŋ51	中：～间，～秋[文]
宿	sok055	宿：～舍，住～
肅	sok055	肃：严～
嵩	soŋ51	嵩：～山；严～（人名）
陸	lok022	陆：大～，～续
六	lok022	六：数字
隆	loŋ42	隆：兴～，～重
牧	mok022	牧：放～，畜～局
穆	mok022	穆：姓，～桂英
目	mok022	目：～的；节～
夢	moŋ22	梦：发～
復	fok022	复：恢～，～原，报～
袱	fok022	袱：包～
伏	pok022	伏：趴，在桌子上趴着睡[白]
伏	fok022	伏：三～，起～[文]
服	fok022	服：～务
鳳	foŋ22	凤：～凰
馮	foŋ42	冯：姓
覆	kʰɐp055	覆：倒扣，碗倒扣在桌面[白]
覆	fok055	覆：～盖[文]
豐	foŋ51	丰：～收
腹	fok055	腹：心～，收～
複	fok055	复：重～，～印，～写纸
輻	fok055	辐：～射
蝠	fok055	蝠：蝙～
幅	fok055	幅：一～画，～度
福	fok055	福：～气，享～
諷	foŋ24	讽：～刺
瘋	foŋ51	疯：～狂
楓	foŋ51	枫：～树，～叶
風	foŋ51	风：大～，～气
沃	jok055	沃：肥～
酷	hou22	酷：残～
宋	soŋ33	宋：～朝；姓，～美龄
鬆	soŋ51	松：轻～，放～
綜	ʦoŋ51	综：～合；织布机上的综
宗	ʦoŋ51	宗：祖～，～教
膿	loŋ22	脓：化～
農	loŋ42	农：～村
毒	tok022	毒：中～，～药
統	tʰoŋ24	统：～一，总～
督	tok055	督：～促，监～
篤	tok055	笃：～信，～定
冬	toŋ51	冬：过～，～节（冬至）
屋	ok055	屋：老～
甕	oŋ33	瓮：小口大肚陶器
翁	joŋ55	翁：白头～；姓
斛	hɐp022	斛：石～（中药）
汞	hoŋ42	汞：水银，～柱
鴻	hoŋ42	鸿：大展～图
洪	hoŋ42	洪：～水；姓，～秀全
紅	hoŋ42	红：～色
哄	hoŋ33	哄：～骗
烘	hoŋ33	烘：～干
哭	hok055	哭：～泣
控	hoŋ33	控：～制
孔	hoŋ24	孔：钻～；姓，～子
空	hoŋ51	空：～缺
空	hoŋ51	空：～虚，天～
谷	kok055	谷：山～
穀	kok055	谷：五～
貢	koŋ33	贡：～献
攻	koŋ51	攻：～击，进～
功	koŋ51	功：～夫，成～
工	koŋ51	工：～人，打～
蚣	koŋ55	蚣：蜈～
公	koŋ51	公：～安，办～
速	ʦʰok055	速：～度
送	soŋ33	送：～人
族	ʦok022	族：～长，民～
叢	ʦʰoŋ42	丛：草～，～书
囪	tʰoŋ51	囱：烟～
蔥	ʦʰoŋ55	葱
聰	ʦʰoŋ51	聪：～明
糉	ʦoŋ33	粽：粽子
總	ʦoŋ24	总：～共，汇～
鬃	ʦoŋ55	鬃：马～，猪～
椶	ʦoŋ55	棕：～树，～色
鹿	lok35	鹿：～角，梅花～
弄	loŋ22	弄：玩～
攏	loŋ24	拢：靠～，～总（一共）
聾	loŋ42	聋：耳～
籠	loŋ42	笼：鸟～，～罩
讀	tok022	读：～书，阅～
獨	tok022	独：单～，～立
洞	toŋ22	洞：山～，～察
動	jok055	动：～来～去[白]
動	toŋ22	动：～作[文]
瞳	tʰoŋ42	瞳：～孔
童	tʰoŋ42	童：～年，儿～
筒	tʰoŋ24	筒：电～，话～
桐	tʰoŋ42	桐：～油，梧～
銅	tʰoŋ42	铜：金银～铁
同	tʰoŋ42	同：相～，～学
禿	tʰok055	秃：～头
痛	tʰoŋ33	痛：～苦
捅	tʰoŋ24	捅：～破
桶	tʰoŋ24	桶：水～
通	tʰoŋ51	通：～过，～风，打～
棟	toŋ22	栋：～梁；两～
凍	toŋ33	冻：冰～，～伤
懂	toŋ24	懂：懵～，唔懂（不懂）
董	toŋ24	董：古～；姓，～存瑞
東	toŋ51	东：东南西北
木	mok022	木：～工
懵	moŋ24	懵：～懂
蒙	moŋ42	蒙：～蔽，天～～，～古（地名）
瀑	pok022	瀑：～布
曝	pou22	曝：～光，一～十寒
僕	pok022	仆：奴～，～人
蓬	pʰoŋ42	蓬：～勃；～莱（地名）
篷	pʰoŋ42	篷：帐～
仆	kʰok055	仆：倒下
撲	pʰɔk033	扑：反～，～灭
卜	pak022	卜：萝～
卜	pok033	卜：占～；姓
螢	jeŋ42	萤：～火虫
役	jek022	役：战～
疫	jek022	疫：～苗，防～站
穎	weŋ22	颖：新～；邓～超（人名）
營	jeŋ42	营：～长[白]
營	jeŋ42	营：国～，～养[文]
瓊	kʰeŋ42	琼：～楼；人名用字
頃	kʰeŋ51	顷：千～，～刻
傾	kʰeŋ51	倾：～向，左～
詠	weŋ22	咏：歌～
泳	weŋ22	泳：游～
永	weŋ13	永：～远
榮	weŋ42	荣：光～，～誉
兄	heŋ51	兄：～弟
劃	wak022	划：计～，～线
獲	wɔk022	获：～奖
獲	wɔk022	获：收～
宏	wɐŋ42	宏：～大
轟	kwɐŋ51	轰：～炸
橫	waŋ42	横：蛮～[文]
橫	waŋ42	横：～直
礦	kʰɔŋ33	矿：煤～，～工
刑	jeŋ42	刑：判～，～法
型	jeŋ42	型：～号，类～
形	jeŋ42	形：～状，地～
馨	heŋ51	馨：温～
激	kek055	激：～动
擊	kek055	击：～中，打～
經	keŋ51	经：～丝（蜘蛛织网）[白]
經	keŋ51	经：～纬，～线[文]
徑	keŋ33	径：半～
經	keŋ51	经：念～，～济[文]
析	sek055	析：量词，一～（一片）[白]
析	sek055	析：分～[文]
錫	sɛk033	锡：～纸；无～（地名）
醒	seŋ24	醒：清～，～过来
猩	seŋ55	猩：大～～
腥	sɛŋ51	腥：～味，臭镬～[白]
腥	sɛŋ51	腥：菜腥味，臭～[白]
腥	sɛŋ51	腥：～味[文]
星	seŋ55	星：～夜[白]
星	seŋ55	星：火～，～～[文]
寂	ʦek022	寂：～寞
戚	ʦʰek055	戚：亲～；姓，～继光
