#漢字	音標	解釋
車	tsʰa34	车：火～
扯	tsʰa31	扯：～开，～烂
蛇	sa22	蛇：毒～
射	sa51	射：发～，～箭
麝	sa51	麝：～香
奢	tsʰa34	奢：～侈
賒	tsʰa34	赊：～帐
捨	sa31	舍：～唔得（舍不得）
赦	sa51	赦：～免
舍	sa51	舍：宿～
社	sa34	社：～会，公～
惹	ȵia34	惹：～事
耶	ʒa22	耶：～稣
爺	ʒa22	爷：父亲；爷爷[文]
也	ʒa34	也：～知
野	ʒa34	野：～人
夜	ʒa51	夜：日～，～班
傻	sɔ22	傻：～瓜，～子
瓜	ka34	瓜：西～，～分
蝸	vɔ34	蜗：～牛
寡	ka31	寡：～妇，守～
剮	kɔʔ031	剐：千刀万～
誇	kʰa34	夸：～大，～张
垮	kʰa34	垮：～台
跨	kʰa34	跨：～栏，～度
娃	va34	娃：洋～～
瓦	ŋa31	瓦：～片
花	fa34	花：开～
化	fa51	化：变～
華	fa22	华：中～
劃	fa22	划：～船
華	fa22	华：～山；姓
蛙	va34	蛙：青～，～泳
補	pu31	补：～鞋，～充
譜	pʰu31	谱：族～，歌～
布	pu51	布：红～，～料
佈	pu51	布：公～，～置
鋪	pʰu34	铺：～路，床～
普	pʰu34	普：～通，～遍
浦	pʰu51	浦：黄～江
鋪	pʰu51	铺：店～，当～
怖	pu51	怖：恐～
蒲	pʰu51	蒲：（石）菖～
菩	pʰu22	菩：～萨
脯	pʰu22	脯：胸～
部	pʰu51	部：～队，干～
簿	pʰu34	簿：练习～，帐～
步	pʰu51	步：跑～
捕	pʰu31	捕：逮～，～快
埠	pʰu31	埠：开～
埠	pʰu51	埠：庵～，蚌～（地名）
模	mɔ22	模：～型，～范
摹	mɔ34	摹：～仿，描～
暮	mu51	暮：日暮
慕	mu51	慕：羡～，～名而来
墓	mu51	墓：坟～，～地
募	mu51	募：～捐
都	tu34	都：首～，～市
都	tu34	都：都是
堵	tu31	堵：～车，～塞
賭	tu31	赌：～博
肚	tu31	肚：猪～，鱼～
妬	tu51	妒：～忌
土	tʰu31	土：～地
吐	tʰui51	吐：～痰；呕～
兔	tʰu51	兔：野～
徒	tʰu22	徒：～弟
屠	tʰu22	屠：～杀
途	tʰu22	途：前～
塗	tʰu22	涂：糊～，～改
圖	tʰu22	图：画～，地～
杜	tʰu51	杜：姓；杜仲（中药）
肚	tu31	肚：肚子
度	tʰu51	度：～数，长～
渡	tʰu51	渡：偷～，摆～
鍍	tʰu51	镀：电～
奴	nu22	奴：～隶
努	nu31	努：～力
怒	nu51	怒：愤～，～气
盧	lu22	卢：姓
爐	lu22	炉：火～
蘆	lu22	芦：～苇
鸕	lu22	鸬：～鹚（扁嘴善捕鱼的水鸟）
魯	lu34	鲁：～国，～迅
虜	lu34	虏：俘～
滷	lu34	卤：盐～，～水
路	lu51	路：大～
賂	lu51	赂：贿～
露	lu51	露：～水，白～，打～
鷺	lu51	鹭：白～
租	tsɿ34	租：～金，出～
祖	tsɿ31	祖：～宗，～国
組	tsɿ34	组：～织，小～
做	tsɔ51	做：～好事
粗	tsʰɿ34	粗：～心
醋	tsʰɿ51	醋：陈～
措	tsʰɿ51	措：～施
錯	tsʰɔ51	错：～误
蘇	sɿ34	苏：～州；姓
酥	sɿ34	酥：脆，杏仁～
素	sɿ51	素：～菜，朴～
訴	sɿ51	诉：上～，倾～
塑	sɔk031	塑：雕～，～料
姑	ku34	姑：大～
孤	ku34	孤：～儿，～单
箍	kʰiu34	箍：围束，～桶[白]
古	ku31	古：～代
估	kʰu34	估：～计
牯	ku31	牯：牛～
股	ku31	股：～票
鼓	ku31	鼓：锣～，～励
故	ku51	故：～事，～乡
蠱	ku31	蛊：养～，～惑
固	ku51	固：～定
錮	ku51	锢：禁～
雇	ku51	雇：～人，～主
顧	ku51	顾：照～
枯	kʰu34	枯：干～，～水
苦	kʰu31	苦：辛～，食～（吃苦）
苦	fu31	苦：～味
庫	kʰu51	库：水～，仓～
褲	fu51	裤：裤子
吳	ŋ̍22	吴：姓
蜈	ŋ̍22	蜈：～蚣
梧	ŋ̍22	梧：～桐
五	ŋ̍31	五：数字
伍	ŋ̍31	伍：姓；队～
午	ŋ̍31	午：中～，端～
誤	ŋu51	误：～会，错～
悟	ŋu51	悟：觉～；孙～空
呼	fu34	呼：称～，～吸，招～
虎	fu31	虎：老～
虎	fu31	虎：马～
滸	fu22	浒：水～
戽	fu51	戽：～水（泼水），～斗
胡	fu22	胡：二～ ；姓
湖	fu22	湖：西～
狐	fu22	狐：～狸
壺	fu22	壶：水～
