#漢字	音標	解釋
制	tsɐi33	制：～度
世	sɐi33	世：～界
藝	ŋɐi33	艺：～术，文～晚会
米	mɐi35	米：大米
低	tɐi55	低：高～
底	tɐi35	底：水～
梯	tʰɐi33	梯：楼～
體	tʰɐi35	体：～育，身～
題	tʰɐi21	题：～目，难～
蹄	tʰɐi35	蹄：马～
弟	tɐi33	弟：兄～[文]
弟	tɐi33	弟：弟弟，老～[白]
泥	nɐi21	泥：水～，地～（地板）
犁	lɐi21	犁：耕田用具
禮	lɐi35	礼：～貌
齊	tsʰɐi21	齐：整～，放～，来～[白]
西	sɐi55	西：东西南北
洗	sɐi35	洗：～菜，～衣机
細	sɐi33	细：粗细，大小
雞	kɐi55	鸡：～公（公鸡）
計	kɐi33	计：～算，会～
溪	kʰɐi55	溪：～水
啟	kʰɐi35	启：～发
係	hɐi33	系：是[白]
杯	pui55	杯：茶～
輩	pui33	辈：～分，长～
背	pui33	背：违～，后～
坯	pʰui55	坯：泥～，毛～房
配	pʰui33	配：分～，搭～
賠	pʰui21	赔：～钱
背	pui33	背：～书
梅	mui21	梅：～花
妹	mui33	妹：妹妹，姊～，老～
堆	tui33	堆：一～[量]，～放[动]
對	tui33	对：～错；成双成～
推	tʰui33	推：～荐，～动
退	tʰui33	退：后～，～步[文]
內	nɔi33	内：～行，～外
雷	lui21	雷：打～，～公；姓
催	tsʰui33	催：～促，～眠
罪	tsui33	罪：得～，犯～[文]
碎	sui33	碎：～布，破～
塊	fai33	块：一～钱，～头
灰	hui55	灰：石～，～色
回	ui21	回：～想[文]
最	tsui33	最：～好
外	ŋɔi33	外：～面
會	ui33	会：开～
會	ui33	会：～睡，～来
乖	kai55	乖：小孩听话
怪	kai33	怪：奇～
懷	uai21	怀：～疑
壞	uai33	坏：～人
拐	kai35	拐：～卖，铁～李
掛	ka33	挂：～起来，牵～，～钩
歪	uai55	歪：～风邪气
話	ua33	话：笑～，讲～[文，名]
話	ua33	话：说[白，动]
稅	sui33	税：交～，～收
銳	jui33	锐：尖～，～角
肺	fɐi33	肺：猪～
