#漢字	音標	解釋
置	tsɿ51	布～
癡	tsʰɿ33	白～，～呆
恥	tsʰɿ31	～辱
持	tsʰɿ21	支～
痔	tsʰɿ51	～疮
治	tsʰɿ51	～安，统～[文]
治	tsʰɿ21	～鸡，～猪[白]
廁	tsʰɿ51	～所，公～
士	sɿ51	～兵
仕	sɿ51	～途
柿	tsʰɿ51	柿子，～饼
事	sɿ51	～实，～情[文]
事	se551	做～[白]
使	sɿ31	～用，假～，大～馆
史	sɿ31	历～
駛	sɿ31	驾～
之	tsɿ35	～前
芝	tsɿ35	灵～，～麻
止	tsɿ31	停～，～血
趾	tsɿ31	脚～
址	tsɿ31	地～
志	tsɿ51	～气，～愿
誌	tsɿ51	县～，标～
痣	tsɿ51	乌～
齒	tsʰɿ31	牙～
詩	sɿ35	～人
始	tsʰɿ31	开～，～终
試	sɿ51	考～[文]
試	sɿ51	试试[白]
時	sɿ21	～间，当～
巿	sɿ51	～场，城～
恃	tsʰɿ21	～才傲物，有～无恐
侍	sɿ51	服～，～卫
而	ji21	～且，反～
耳	ŋi31	耳朵，中～炎
基	ki35	～本，地～
箕	ki35	畚～
己	ki31	自～
紀	ki31	～律
記	ki51	笔～，～号
欺	kʰi35	～负
起	ʃi31	起
杞	ki31	枸～
其	kʰi21	～他，～实
棋	kʰi21	围～，捉～（下棋）
期	kʰi21	日～
旗	kʰi21	红～
忌	kʰi31	禁～，～讳，～日[文]
疑	ȵi21	怀～
擬	ȵi31	模～，～人
嬉	ʃi35	玩，～戏
煕	ʃi33	康～
喜	ʃi31	～欢
嘻	ʃi35	～皮笑脸
醫	ji33	～生
意	ji51	～思
怡	ji51	心旷神～；人名用字
已	ki31	～经
以	ji35	可～，～为
異	ji51	～同
幾	ki35	～乎
機	ki35	～会，飞～
譏	ki35	～笑
饑	ki35	～荒
幾	ki31	～只
幾	ki33	～何
旣	ki51	～然
豈	kʰi31	～有此理
氣	ʃi51	～人，空～
汽	ʃi51	～水，～车
祈	kʰi21	～祷
毅	ȵi51	～力
希	ʃi33	～望
稀	ʃi33	～少
衣	ji35	外～；花生皮
依	ji51	～靠
累	li51	积～
累	li51	连～
嘴	tsi31	嘴巴[文]
嘴	tsɔi33	嘴巴[白，训]
髓	sɔi31	骨～
隨	si21	～时，～便
吹	tsʰi35	～牛皮，～喇叭
炊	tsʰi35	野～
垂	se21	下～，～头丧气
睡	sɔi51	睡觉
瑞	se51	～金；董存～
蕊	li31	花～
規	kvi35	～定，圆～
詭	ŋvi21	～计多端
虧	kʰvi35	食～（吃亏）
窺	kvi33	偷～
跪	kʰvi31	下～
危	ŋvi21	～险，安～
僞	ŋui31	虚～
毀	kʰvi31	～灭
萎	vi35	枯～
委	vi35	～托，常～
爲	vi21	作～，行～，～人
爲	vi21	～什么
壘	li31	堡～，～球
類	li51	分～
淚	li51	眼～
醉	tsi51	～酒
翠	tsʰi51	翡～
悴	tsʰi51	憔～
雖	si35	～然
粹	si51	纯～
遂	si51	杀人未～
隧	si51	～道
穗	fi51	谷～
追	tsi35	～求[文]
追	tsi33	追赶，赶走[白]
槌	tsʰe21	木～[名]；[动]
錘	tsʰe21	铁～[名]；[动]
墜	tsi51	下～，玉～[文]
墜	tsi51	目～～[白]
衰	sɔi35	～弱，～老[文]
衰	sɔi35	运气不好[白]
摔	sai33	～跤
帥	sai51	元～
錐	tsi33	圆～
水	se31	～果，～平
誰	se21	疑问代词
龜	kvi35	乌～
軌	kvi31	铁～
癸	kvi51	天干
愧	kʰvi31	惭～
季	kvi51	四～，～节
逵	kʰvi21	人名用字，李～
葵	kʰvi21	向日～，～花籽
櫃	kʰvi51	～台
位	vi51	座～，～置
維	vi21	～生素，～持，纤～
惟	vi21	～一
遺	ji21	～失，～憾
唯	vi21	～物主义
非	fi33	是～，～常
飛	fi33	～机；人名，张～[文]
飛	pi33	飞行[白]
匪	fi35	土～
痱	pi51	痱子，热～
妃	fi33	贵～
費	fi51	～用，浪～
肥	pʰi21	化～，～肉
翡	fi33	～翠
微	mi21	稍～
尾	mi35	尾巴
未	vi51	～来；地支
味	mi51	～道，～精
歸	kvi35	回～，～类
鬼	kvi31	鬼神
貴	kvi51	～重
魏	ŋui51	～国；姓
揮	fi35	指～
輝	fi35	光～，～煌
徽	fi35	国～，～章
諱	vi21	忌～
威	vi35	～风，～胁
畏	vi51	不喜欢；怕，～热
慰	vi31	安～，～问
違	vi21	～反
圍	vi21	包～，～墙
偉	vi31	～大
葦	vi31	芦～
緯	vi31	经～
胃	vi51	肠～
謂	vi51	称～，所～
彙	fi51	词～
褒	po35	～奖，～义词
保	po31	～护
堡	po31	碉～
寶	po31	～贝
報	po51	～告，日～
袍	pʰau21	长～，袄～
抱	pʰau31	拥抱
暴	pʰau51	～雨，残～
毛	mɔ23	～病，鸡～
冒	mɔ51	～充，感～
帽	mɔ51	草～
刀	to35	菜～
叨	to33	唠～
禱	to31	祈～，～告
島	to31	海南～
倒	to31	颠～
到	tɔ51	～站
倒	to31	～水，～退
滔	tʰo33	～～不绝，波浪～天
討	tʰo31	～老婆，～厌
套	tʰɔ51	配～，～房
桃	tʰo21	杨～，～花
逃	tʰo21	～走
淘	tʰo21	～米，～沙
陶	tʰo21	～瓷；姓
萄	tʰo21	葡～
濤	tʰo21	波～
道	tʰo51	～理
稻	tʰo51	水～
盜	tʰo51	强～，～窃
導	tʰɔ35	领～，～师
腦	no31	猪～，～屎（脑子）
惱	no31	烦～[文]
惱	nau33	讨厌，不喜欢[白]
勞	lo21	～动
撈	lau21	打～局[文]
撈	lau21	～起来[白]
牢	lo21	～房，坐～
嘮	lo21	～叨
老	lo31	～爷，～实
澇	lɔ33	洪～，旱～
遭	tso35	～遇，～殃
糟	tso35	酒～，～糕
早	tso31	还～
棗	tso31	红～
蚤	tsau31	跳～
躁	tsʰau51	烦～，暴～
竈	tso51	～头，～神
操	tsʰau35	做～，～作
草	tsʰo31	青～，～稿
糙	tsʰo51	～米，粗～
曹	tsʰo21	姓
槽	tsʰo21	猪～，水～
皂	tsʰo51	肥～
造	tsʰo51	创～
騷	sau21	风～，离～
臊	so33	臭～
掃	so51	～地[动]
嫂	so31	大～
掃	so51	～把[名]
髙	ko35	姓；～低
膏	kau35	牙～；狗皮～药
篙	ko35	竹～
羔	kau35	羊～
糕	kau33	蛋～，糟～
稿	ko31	草～，～纸
吿	ko51	报～，～状
考	kʰau31	～试，大～
烤	kʰau31	烧～
靠	kʰau51	依～，可～
犒	ko31	～劳，～赏
熬	ŋau21	～汤，～夜
傲	ŋau51	骄～
蒿	ŋo31	蓬～，青～，茼～
好	ho31	～人
好	hau51	爱～
耗	ho35	消～
豪	ho21	～华，～猪
壕	ho21	战～
毫	ho21	～米
號	ho51	～叫，呼～[动]
浩	hau35	～～荡荡；人名用字
號	ho51	～码，口～[名]
襖	o31	棉～，～袍
懊	o51	～恼
奧	o51	～妙，～运会
懊	o51	～悔
澳	o51	～门
包	pau35	钱～，～围
胞	pau35	同～
飽	pau31	食～（吃饱）
豹	pau51	动物，～虎
爆	pʰau51	～炸
泡	pʰau51	灯～；泡沫（多～）
泡	pʰiau51	起～[训，瘭]
拋	pʰau35	～弃
炮	pʰau51	枪～
泡	pʰau51	～茶
跑	pʰau35	～步
刨	pʰau21	～地，～花板
鮑	pau33	姓；～鱼
茅	mau21	～庐
貓	miau51	大～
錨	meu21	抛～
卯	mau35	地支，子丑寅卯
貌	mau51	礼～
鬧	nau51	～热，～事
罩	tsau51	灯～，床～
抓	tsa35	～紧
爪	tsau31	鸡～
找	tsau31	～钱，查～
笊	tsau51	～捞（笊篱）
抄	tsʰau35	～书
鈔	tsʰau35	～票
炒	tsʰau31	～股，～菜
吵	tsʰau21	～人，争～
巢	sau21	雀～
梢	siau33	树～
捎	sau33	～带，～口信
稍	sau33	～等
哨	siau31	口～
交	kau33	～通，～钱[文]
交	kʰeu35	交叉，～脚（翘二郎腿）[白]
郊	kau33	～区
膠	kau33	～水，橡～
敎	kau51	～书
絞	kau33	～刑，～肉机
狡	kau31	～猾
鉸	kau33	～剪
攪	kau31	搅拌
搞	kau31	～活动
敎	kau51	～育，～师
校	kau31	～对
校	kau31	调校
較	kau31	比～[文]
較	kau51	交换[白]
酵	hau51	发～，～母片
窖	kau51	地～，番薯～
覺	kau51	睡～
敲	kʰau35	～锣打鼓
巧	kʰau31	～合
咬	ŋau35	～人
孝	hau51	～顺
哮	hau35	～喘
肴	ŋau21	美味佳～
淆	ŋau21	混～
效	hau51	～果
校	kau31	学～，～长，上～
凹	au35	～面镜
坳	au51	山～，～背
臕	piau33	肥～
標	piau33	～准，～志，招～
表	piau31	图～，～扬
錶	piau33	手～
飄	pʰiau35	～扬
漂	pʰiau35	～流
漂	pʰiau51	～白，～亮
票	pʰiau51	车～
嫖	pʰiau21	～娼
鰾	pʰiau21	鱼～
苗	miau21	鱼～，～族
描	miau21	～写
藐	mau21	～视
渺	miau31	～小，～茫
秒	miau31	～针
廟	meu51	和尚～
妙	miau31	～计
燎	liau21	星星之火，可以～原
療	liau21	治～，～养
焦	tsiau35	姓
蕉	tsiau33	米～；～岭（地名）
椒	tsiau33	胡～
剿	tsiau31	围～，～匪
悄	siau33	静～～
俏	siau21	俊～
樵	tsiau33	柴
消	siau33	～化
宵	siau33	元～，夜～
硝	siau33	～烟，～酸
銷	siau33	供～社，～售
小	siau31	～姐，～人
笑	siau51	～话，玩～
肖	siau33	姓
肖	siau51	生～
鞘	siau51	刀～
朝	tseu33	～晨，三～
超	tsʰeu33	～过
朝	tsʰeu21	～代
潮	tsʰeu21	～湿，涨～
趙	tsʰeu51	姓
兆	seu51	预～；人名用字
召	seu51	号～，～集
昭	tseu35	王～君
招	tseu33	～生
沼	seu51	～气
照	tseu51	～明，～顾
詔	seu51	～书；～安（地名）
燒	seu35	～水，发～
少	seu31	～数，多～
少	seu51	～年，～爷
韶	seu21	～关（地名）
紹	seu51	介～；～兴（地名）
邵	seu51	姓
饒	ŋeu21	～命，求～
擾	jeu31	打～，～乱
繞	ŋeu31	围～，～线
驕	keu35	～傲
嬌	keu33	～气，做～（撒娇）
矯	keu33	～正
喬	kʰeu21	姓
僑	kʰeu21	华～
橋	kʰeu21	大～
蕎	kʰeu21	～麦
轎	kʰeu51	坐～，扛～
翹	kʰeu51	银～片
翹	kʰeu51	～起来
囂	ʃieu35	～张
夭	jeu35	～折
妖	jeu35	～怪
邀	jeu35	～请
腰	jeu35	猪～
要	jeu35	～求
要	jeu51	重～
搖	jeu21	动～，～篮
謠	jeu21	歌～，民～
遙	jeu21	逍～
窯	jeu21	～洞，烧～
姚	jeu21	姓，～明
舀	jeu31	～水
耀	jeu51	～眼，荣～
鷂	jeu51	纸～（风筝）；～婆（老鹰）
刁	tiau35	～钻，嘴～
貂	tiau33	～婵，～皮
雕	tiau33	木～，～刻
鳥	ȵiau35	花～市场[文]
鳥	tiau33	～笼[白]
鳥	tiau31	骂人话，交合[白]
釣	tiau51	～鱼
吊	tiau51	上～，～车
挑	tʰiau35	～剔，～担
跳	tʰiau51	～高，起～
糶	tʰak055	～米（卖米）
條	tʰiau21	～件，字～
調	tʰiau21	～和，～整
跳	tʰiau51	～上跌落（阳平）
掉	tiau51	～头，～队
調	tʰiau51	音～
調	tiau51	～动，～走
尿	ȵiau51	屙～
聊	liau21	无～，～天
遼	liau21	～宁，～国
撩	liau35	～起来
撩	liau21	～人
寥	liau21	～～无几
了	liau31	～结；明～，～解
瞭	liau21	～望台
料	liau51	肥～，材～
蕭	siau35	姓；～山（地名）
簫	siau33	吹～
澆	nau21	～水
繳	keu31	～枪，～费
僥	ʃeu35	～幸
叫	keu51	大～；小孩哭
竅	kʰeu51	～门
堯	ŋeu21	～舜禹
曉	ʃeu31	春～，～得
么	jeu33	～二三
吆	jeu33	～喝
杳	miau31	～无音讯
剖	pʰiau31	解～
某	meu33	～人
畝	meu31	一～田
牡	miau51	～丹
母	mu35	父～
拇	me33	～指
戊	vu51	～戌变法
茂	meu51	～盛；～名（地名）
貿	miau31	外～，～易
兜	teu35	～风
斗	teu31	十升为一斗
抖	teu31	发～
陡	teu31	斜度大，～峭
鬥	teu51	～争，批～
偸	tʰeu35	小～
㪗	tʰeu31	～气（呼吸）
透	tʰeu51	～明
頭	tʰeu21	开～
投	tʰeu21	～降
豆	tʰeu51	黄～
逗	tʰeu51	～留，～号
逗	tʰeu51	水～
樓	leu21	～下
簍	leu31	竹～，字纸～
摟	leu31	搂抱
漏	leu51	～水，～斗
陋	leu51	简～
走	tseu31	行走
奏	tsʰeu51	节～
湊	tsʰeu51	～数，～热闹
嗽	seu51	咳～
勾	keu33	～心斗角，～引
鉤	keu33	鱼～
溝	keu33	～通
狗	keu31	狗
苟	keu31	～且偷生
夠	keu51	足～
垢	keu51	水～
構	keu51	结～，～造
購	keu51	采～，收～
勾	keu35	～当
摳	keu33	挖
口	kʰeu31	～头，开～
口	kʰeu31	一～饭
叩	kʰeu33	～头
扣	kʰeu51	～钱，～压
寇	kʰeu51	姓，～准；倭～
藕	ŋeu31	～断丝连，莲～
偶	ŋeu31	配～，～然
侯	heu21	姓；诸侯
喉	heu21	～咙
猴	heu21	猴子
後	heu51	～生，～来[文]
後	heu51	～日[白]
后	heu51	皇～
厚	heu51	忠～
候	heu51	～车室，等～
歐	eu35	～洲；姓
區	eu33	姓
甌	eu33	瓦器；建～（地名）
嘔	eu31	～吐
毆	eu31	～打
漚	eu51	久浸水中，～坏，～肥
慪	eu31	～气
否	feu31	是～，～定
富	fu51	丰～，～贵
副	fu51	正～
浮	feu21	轻～，～力；云～（地名）
浮	feu21	～起来[白]
負	fu51	～责，～担
婦	fu51	～女[文]
婦	kʰiu33	新～（儿媳）[白]
婦	kʰiu33	～娘[白]
復	fuk031	反～
謀	meu21	计～，～财害命
矛	mau21	～盾
紐	ȵiu31	纽扣；～约（地名）
扭	ȵiu31	～面帕，～动
流	liu21	河～[文]
流	liu21	～汗[白]
劉	liu21	姓
留	liu21	～级，停～
榴	liu21	石～，～莲
硫	liu21	～磺
琉	liu21	～璃
柳	liu51	～树
溜	liu33	～走
溜	liu51	～滑梯
餾	liu51	蒸～水，～粄
廖	liau51	姓
揫	tsiu31	揪头发
酒	tsiu31	～精
秋	tsʰiu35	～天；～千
就	tsʰiu51	成～，～去
修	siu35	装～，～正
羞	siu35	～愧
秀	siu51	清～，～才
繡	siu51	～花
宿	siuk031	星～
銹	siu51	铁～
囚	siu21	～犯
泅	tʃʰiu21	游水
袖	tsʰiu51	领～，衫～（衣袖）
肘	tsiu31	手～
晝	tsu51	上～，～夜
抽	tsʰu35	～出
丑	tsʰu31	地支，子丑寅卯
綢	tsʰu21	～缎，丝～
稠	tsʰu21	～密
籌	tsʰu21	～码，～备
紂	tsʰu51	商～王
宙	tsʰiu51	宇～
鄒	tso35	姓，～家华
皺	tsiu51	～纹
縐	tsiu51	文～～
愁	seu21	～眉苦脸
驟	tsʰeu31	步～
搜	sau33	～查
餿	sau33	饭馊了，臭～
蒐	sau33	～集
瘦	seu51	肥瘦
周	tsu35	姓；～围，～年
舟	tsu33	～山
州	tsu33	广～
洲	tsu33	亚～
帚	tsiu31	扫～
咒	tsu51	～人
醜	tsʰu31	出～[文]
醜	tsʰu31	长得丑[白]
臭	tsʰu51	～味
收	su35	丰～，～集
手	su31	～脚，～段
首	su31	～先
守	su31	看～所，保～
獸	tsʰu51	野～
仇	su21	～人，报～
酬	tsʰu21	应～，～谢
受	su51	接～
壽	su51	长～
授	su51	教～
售	su21	～货，出～
柔	ju21	温～，～和
揉	ju21	～烂
鳩	kiu35	斑～
鬮	keu33	拈～（抓阄）
糾	tiu33	～缠
九	kiu31	数字，～龙
久	kiu31	长～
韭	kiu31	～菜
灸	kiu51	针～
救	kiu51	～命
究	kiu51	～竟，研～
丘	hiu35	一～田
丘	hiu33	姓
求	kʰiu21	要～
球	kʰiu21	足～
仇	su21	姓
臼	kʰiu35	石～，脱～
舅	kʰiu33	～公
舊	kʰiu51	新～
柩	kiu51	灵～
牛	ȵiu21	～牯
休	ʃiu33	～息，退～
朽	ʃiu31	腐～，永垂不～
嗅	tsʰu51	～觉
憂	ju21	～虑，担～
優	ju21	～秀
尤	ju21	～其
郵	ju21	～票，～电局
有	ju35	～钱
友	ju35	朋～，～谊
又	ju51	～来
右	ju51	左～
祐	ju51	保～
由	ju21	～于，理～
油	ju21	麻～
遊	ju21	～泳，旅～
猶	ju21	～豫
悠	ju21	～闲，历史～久
酉	ju35	地支，申酉戌亥
誘	ju51	～惑，引～
柚	ju51	沙田～
釉	ju51	上～，～彩
彪	pʰiau35	林～
謬	miau21	～论，荒～
丟	tiu35	～失
糾	tiu35	～正
幽	ju21	～默
幼	ju51	细小，～稚
耽	tam33	～误
答	tap031	回～
搭	tap031	～车；衣服搭在肩上
貪	tʰam35	～心
探	tʰam21	试～
踏	tʰap055	脚～
潭	tʰam21	深～
譚	tʰam21	姓，～嗣同
沓	tʰiap055	一～纸
南	nam21	东南西北
男	nam21	男女
納	nap055	归～
拉	la35	拖～
簪	tsam35	绾住发髻的条状物
參	tsʰam35	～军，～加
慘	tsʰam31	悲～
蠶	tsʰam21	～丝
雜	tsʰap055	复～
感	kam31	～谢，～动
蛤	kap031	花～
鴿	kap031	白～
堪	kʰam35	难～，不～
龕	kʰam35	神～
坎	kʰam35	～坷
砍	kʰam31	～伤
勘	kʰam51	～误，～探
含	ham21	包～[文]
含	ham21	～糖[白]
函	ham21	～授，信～
撼	ham51	震～
憾	ham51	遗～
合	hap055	～作，～适[文]
合	kap031	～本，～伙[白]
盒	hap055	铁～
庵	am33	尼姑～
揞	em35	手覆，揞住
揞	jiam551	把粉末撒在表面
暗	am51	不亮
擔	tam35	～任[动]
擔	tam51	～竿[名]
膽	tam31	大～
擔	tam35	挑～[名]；一～水[量]
坍	tan33	～塌
毯	tʰan21	毛～
塔	tʰap031	宝～
塌	tʰap031	倒～
談	tʰam21	会～，～论
痰	tʰam21	吐～
淡	tʰam51	～水（地名）
淡	tʰam33	咸～；浓～
藍	lam21	～色；姓
籃	lam21	菜～
覽	lam51	展～，阅～室
攬	lam51	包～[文]
攬	lam31	抱[白]
欖	lam31	橄～，乌～
濫	lam31	泛～
纜	lam31	～车
臘	lap055	～肉，～肠
蠟	lap055	～烛
慚	tsʰam21	～愧
暫	tsʰiam51	～时
三	sam33	～国
甘	kam33	甜；～心
柑	kam33	柑
敢	kam31	勇～
橄	kam31	～榄
磕	kʰap031	～头
蚶	kam33	软体动物，血～
憨	kam31	～厚
喊	ham51	叫[文]
喊	ham51	叫[白]
站	tsam51	站立
賺	tsʰɔn51	～钱
站	tsʰam51	车～
斬	tsam31	白～鸡
蘸	tsiam31	～豉油
插	tsʰap031	～花
閘	tsʰap055	铁～，跳～
煠	sap055	～番薯（水煮地瓜）
杉	tsʰam51	～树
尷	kam33	～尬
減	kam31	加～
鹻	kiam31	酸～，～性
鹻	kiam31	纯～
夾	kiap055	夹子；～心饼干
裌	kap031	～袄，～衣
恰	kʰap031	～切，～当
咸	ham21	～丰皇帝
鹹	ham21	～淡
陷	ham51	～害，～井
掐	kʰak055	～颈（掐脖子）
餡	ham51	～饼
狹	hap055	～窄[文]
狹	hap055	空间小[白]
峽	ʃiap055	三～（地名）
洽	kʰap31	～谈会，融～
攙	tsʰan21	～扶，～腰
衫	sam33	衬～，～裤（衣服）
監	kam33	～狱，～视，～督
鑑	kam51	～定
監	kam51	太～
甲	kap031	天干，甲乙丙丁
胛	kap031	肩～
巖	ŋam21	～石，石灰～
銜	ham21	军～；叼在嘴里
艦	kam51	军～
匣	kap031	匣子
鴨	ap031	鸭子
押	ap031	抵～，～送
壓	ap031	～力
貶	pien31	～值
黏	ŋam21	～合剂，～起来
聶	ȵiap031	姓，～耳
廉	liam21	清～，～洁
鐮	liam21	镰刀，禾～
簾	liam21	窗～
斂	liam51	收～
殮	liam51	给死者穿衣入棺，～尸
獵	liap055	打～，～人
尖	tsiam33	～刀
殲	siam33	～灭
接	tsiap031	迎～，～待
籤	tsʰiam35	竹～，求～
簽	tsʰiam35	～字，～名
妾	tsʰiap031	小老婆
潛	siam21	～力
漸	tsʰiam51	逐～
捷	tsʰiap055	～报，大～，敏～
沾	tsam33	～光
粘	tsam33	～贴
占	tsam51	～卜
佔	tsam51	～领，～地方
摺	tsap031	～被，～叠
褶	tsap031	衣裙或皮肤上的皱纹，打～
陝	sam31	～西
閃	sap031	～开
攝	ȵiap031	～影
蟾	tsʰam21	～蜍
涉	sap055	～及
染	ȵiam31	污～
染	ȵiam51	～色
檢	kiam31	～查，体～
臉	lian35	红～白～[文]
鉗	kʰiam21	～工，火～
儉	kʰiam51	勤～
驗	ȵiam51	～收，试～
險	ʃiam31	危～，保～
淹	jam31	～没
閹	jam35	～鸡，～猪
掩	jam31	～护
厭	jam51	讨～
炎	jam21	消～，～热
鹽	jam21	盐
閻	jam21	～罗王；姓
簷	jam33	屋～下
豔	jam33	鲜～，～丽
焰	jam33	火～
葉	jap055	树～；姓
頁	jap055	～数
劍	kiam51	宝～
劫	kiap031	抢～
欠	kʰiam51	～钱，拖～
怯	kʰiap031	胆～
嚴	ȵiam21	～格；姓
釅	ȵiam21	～茶
業	ȵiap055	事～，～余
脅	ʃiap055	威～
醃	jam35	腌制
掂	tiam51	～量
點	tiam31	～心，～头
店	tiam51	开～
跌	tiek031	～打
添	tʰiam33	～加，～丁
帖	tʰiap031	请～
貼	tʰiap031	补～
貼	tiap031	～纸，～对联[动]
甜	tʰiam21	甜
簟	tʰun51	竹制品，用以储存粮食
疊	tʰiap055	～起来，折～
碟	tʰiap055	盛具，碟子
牒	tʰiap055	通～，文～
蝶	tʰiap055	蝴～
諜	tʰiap055	间～
鮎	ȵiam35	～鱼
拈	ȵiam35	用指头捏取物，～起来
念	ȵiam51	～经，怀～
兼	kiam33	～职
挾	kiap031	～菜
謙	kʰiam33	～虚
歉	kʰiap031	道～，～意
嫌	ʃiam21	～弃，～人
協	ʃiap055	～会，～作
俠	ʃiap055	武～
法	fap031	方～
泛	fam51	广～，～滥[文]
泛	pʰaŋ51	中空，～谷[白]
凡	fam21	平～
帆	fam21	～船
范	fam51	姓
範	fam51	模～，～围
犯	fam51	～法[文]
犯	fam51	触犯[白]
乏	fat055	缺～
稟	pin31	～报
品	pʰin31	～德
林	lim21	树～；姓
淋	lin21	～湿，～菜
臨	lin21	～时，面～
立	lit055	～足
笠	lit031	～嫲，斗～
粒	lep031	三～，颗～
凜	lin31	威风～～
浸	tsʰin33	～水
侵	tsʰin33	～略
寢	tsʰin31	就～，～室，废～忘食
緝	sit055	～私，通～
集	sit055	～合，～体
輯	sit055	编～
心	sin35	～肝，内～
尋	tsʰin21	～人
習	sit055	学～，练～
襲	sit055	～击，偷～
沉	tsʰən21	～底
蟄	suk055	惊～
參	tsʰam33	～差不齐
岑	tsʰen21	姓，～参；～村
森	sen35	～林
參	sen33	人～
滲	tsʰam35	～水
澀	set031	青～
澀	set031	柿子～[训]
針	tsən33	～线，～对
斟	tsən33	～酒，～酌
枕	tsən31	～头[名]；～枕头[动]
執	tsəp031	～行，～法
汁	tsəp031	菜～，果～
深	tsʰən33	～浅，～入
沈	səm31	姓；地名，～阳
審	sən31	～问
嬸	sən31	叔母，大～
濕	sət031	潮～
甚	sən51	～至
十	sət055	数字
拾	sət055	收～
壬	ȵim21	天干，庚辛壬癸
任	jin51	姓；责～，～何
紝	ȵiun31	缝～
入	ȵip055	～门，进～
今	kin35	～日，～年，现～[文]
今	kin35	～日，～年[白]
金	kin35	～银
禁	kin51	不～
襟	kʰin35	衣的前幅、交领，连～
錦	kin31	～绣，～旗
禁	kin51	～止
急	kip031	心～
級	kʰit031	～别，年～
級	kʰit031	三年～
給	kit031	供～，～予
欽	kʰim33	～差，～佩
泣	kʰip031	～血，哭～
琴	kʰim21	弹～
禽	kʰim21	家～
擒	kʰim21	～拿
及	kʰit055	～时
吟	ȵim21	～诗
吸	kʰit031	呼～，～引
音	jim35	～乐，声～
陰	jim33	～天
飮	jin31	～料
蔭	jin33	福～，树～
飮	jin31	～田
揖	jit055	作～
淫	ȵim21	～荡
丹	tan33	牡～，仙～
單	tan33	～独
旦	tan51	元～，花～
疸	tʰan31	黄～
灘	tʰan33	沙～
攤	tʰan33	分～，～开，摆～
癱	tʰan33	～痪
坦	tʰan31	～白，～克
炭	tʰan51	烧～
嘆	tʰan51	～气
獺	lai51	水～
檀	tʰan21	～香
壇	tʰan21	天～，文～
彈	tʰan21	～琴
誕	tan51	圣～，～生
但	tan51	～係（但是），不～
彈	tʰan21	子～
蛋	tʰan51	皮～
達	tʰat055	发～，～到
難	nan21	困～
難	nan51	逃～，患～
捺	nai51	撇～
蘭	lan21	～花
攔	lan21	～路
欄	lan21	～杆
懶	lan33	懒惰，～尸
爛	lan51	灿～，腐～
辣	lat055	～椒
瘌	lat031	结～（结痂），～痢（头屑）
贊	tsan51	称～，～助
餐	tsʰɔn35	～车，快～
燦	tsʰan51	～烂
擦	tsʰat031	～车
殘	tsʰan21	～废
珊	san33	～瑚
散	san31	药～
散	san51	分～，解～
撒	san31	～手
薩	sat031	菩～
干	kɔn33	天～地支；～扰
亁	kɔn33	烘～，饼～
肝	kɔn33	猪～
竿	kɔn33	竹～
桿	kɔn33	旗～，杠～
稈	kɔn31	禾～（稻秆）
趕	kɔn31	追～
幹	kɔn51	～部，才～
割	kɔt031	～禾（割稻）
葛	kɔt031	诸～亮；生～，～薯
看	kʰɔn51	～守所
刊	kan33	报～
看	kʰɔn51	看见
渴	hɔt031	口渴；～望
岸	ŋan51	口～，两～
鼾	kʰun51	～睡
罕	hɔn31	稀～，～见
漢	hɔn51	～人
喝	hɔt031	吆～，～彩
寒	hɔn21	大～，～流
韓	hɔn21	～国；姓
旱	hɔn35	干旱
汗	hɔn51	出～，～马功劳
銲	hɔn51	电～，～接
翰	hɔn51	～林院；人名用字
安	ɔn33	公～，～全
鞍	ɔn33	马～，～山
按	ɔn51	～照
案	ɔn51	～件，档～
扮	pan51	打～
八	pat031	数字
盼	pʰan51	～望
瓣	pʰan51	花～
辦	pʰan51	～事
拔	pʰat055	～河，选～
綻	tsʰan51	破～[文]
綻	tsʰan51	长出，～笋，～芽[白]
盞	tsan31	灯～（灯）
紮	tsap031	～紧，驻～
鏟	tsʰan31	～草
察	tsʰat031	观～
山	san33	山
產	san31	生～
殺	sat031	～人，自～
艱	kian33	～苦
間	kian33	房～，中～
簡	kian31	～单
揀	kian31	挑选
間	kian33	～断，离～[文]
間	kian33	隔开[白]
眼	ȵian31	双～皮
閑	han21	～事，空～
限	han51	期～，～制
莧	han51	～菜
軋	tsap031	～钢厂
班	pan33	上～
斑	pan33	～马
頒	pan33	～布，～奖
扳	pan33	～手，～开
板	pan31	黑～，石～
版	pan31	出～
攀	pan33	～登，高～
襻	pʰan51	扣住扣子的套，纽～
蠻	man21	不听话；野～
慢	man51	～车
棧	tsʰan51	客～；碗橱，碗～
鍘	tsʰiet31	～刀
刪	san33	～除
疝	san33	～气（小肠气）
奸	kian33	～诈，～臣
鐧	kian31	杀手～
顏	ȵian21	姓；～色
雁	ȵian51	大～
瞎	hat031	～目
轄	hɔt055	管～，直～市
晏	jan51	晚、迟；～子使楚
鞭	pien33	皮～，～策
編	pʰien33	主～，～辑[文]
編	pʰien33	毛～，～毛编[白]
變	pien51	～化，改～
別	pʰiet055	区～
鼈	piet031	甲鱼
篇	pʰien33	一～文章
偏	pʰien33	～～，～僻
騙	pʰien51	欺～
便	pʰien21	～宜
辨	pʰien51	分～，～别
辯	pʰien51	～论
便	pʰien51	方～
別	pʰiet031	离～，分～
綿	mien21	海～，～羊
棉	mien21	～花
免	mien35	难～，～除
勉	mien31	～强，～励
娩	van31	分～
