#漢字	音標	解釋
譜	pʰu31	族～，歌～
布	pu51	红～，～料
佈	pu51	公～，～置
鋪	pʰu35	～路，床～
普	pʰu33	～通，～遍
浦	pʰu33	黄～江
鋪	pʰu33	店～，当～
怖	pu51	恐～
蒲	pʰu35	（石）菖～
菩	pʰu21	～萨
脯	pʰu21	胸～
部	pʰu51	～队，干～
簿	pʰu33	练习～，帐～
步	pʰu51	跑～
捕	pʰu31	逮～，～快
埠	feu51	开～
埠	feu51	庵～，蚌～（地名）
模	mu33	～型，～范
摹	mu33	～仿，描～
暮	mu51	日暮
慕	mu51	羡～，～名而来
墓	mu51	坟～，～地
募	mɔk031	～捐
都	tu33	首～，～市
都	tu33	都是
堵	tu31	～车，～塞
賭	tu31	～博
肚	tu31	猪～，鱼～
妬	tu51	～忌
土	tʰu31	～地
吐	tʰu51	～痰；呕～
兔	tʰu51	野～
徒	tʰu23	～弟
屠	tʰu23	～杀
途	tʰu23	前～
塗	tʰu23	糊～，～改
圖	tʰu23	画～，地～
杜	tʰu51	姓；杜仲（中药）
肚	tu31	肚子
度	tʰu51	～数，长～
渡	tʰu51	偷～，摆～
鍍	tʰu51	电～
奴	nu21	～隶
努	nu31	～力
怒	nu51	愤～，～气
盧	lu23	姓
爐	lu23	火～
蘆	lu23	～苇
鸕	lu23	～鹚（扁嘴善捕鱼的水鸟）
魯	lu33	～国，～迅
虜	lu31	俘～
滷	lu35	盐～，～水
路	lu51	大～
賂	lu51	贿～
露	lu51	～水，白～，打～
鷺	lu51	白～
租	tsu35	～金，出～
祖	tsu31	～宗，～国
組	tsu35	～织，小～
做	tsɔ51	～好事
粗	tsʰu35	～心
醋	tsʰu51	陈～
措	tsʰɔk031	～施
錯	tsʰɔk031	～误
蘇	su35	～州；姓
酥	su35	脆，杏仁～
素	su51	～菜，朴～
訴	su51	上～，倾～
塑	sɔk031	雕～，～料
姑	ku35	大～
孤	ku33	～儿，～单
箍	tsap031	紧～咒[文]
箍	kʰu35	围束，～桶[白]
古	ku31	～代
估	ku35	～计
牯	ku31	牛～
股	ku31	～票
鼓	ku31	锣～，～励
故	ku51	～事，～乡
蠱	ku31	养～，～惑
固	ku51	～定
錮	ku51	禁～
雇	ku51	～人，～主
顧	ku51	照～
枯	kʰu35	干～，～水
苦	kʰu31	辛～，食～（吃苦）
苦	kʰu31	～味
庫	kʰu51	水～，仓～
褲	kʰu51	裤子
吳	n̩35	姓
蜈	n̩35	～蚣
梧	n̩35	～桐
五	n̩31	数字
伍	n̩31	姓；队～
午	n̩31	中～，端～
誤	ŋu51	～会，错～
悟	ŋu51	觉～；孙～空
呼	fu35	称～，～吸，招～
虎	fu31	老～
虎	fu31	马～
滸	fu31	水～
戽	fu51	～水（泼水），～斗
胡	fu21	二～ ；姓
湖	fu21	西～
狐	fu21	～狸
壺	fu21	水～
乎	fu21	在～
瓠	fu21	瓠卢，同葫芦
鬍	fu21	～须
蝴	fu21	～蝶
糊	fu21	浆～，～涂
戶	fu51	～口
滬	fu51	上海简称
互	fu35	～相
護	fu51	保～，～士
瓠	pʰu21	瓠瓜（味似葫芦而长）
烏	vu35	黑
污	vu35	～染
塢	vu33	船～
惡	ɔk031	可～
女	n̩31	女人
廬	lu21	～山
驢	lu21	毛驴
呂	li35	姓
旅	li31	～游
慮	li51	考～
濾	li51	过～
蛆	tsu51	蛆虫，生～
絮	si51	棉～
徐	tsʰi21	姓
序	si51	顺～
敍	si51	倒～
緖	si51	情～；光～
豬	tsu35	～肉
著	tsu51	～名，显～
除	tsu21	～法
儲	su21	～蓄
苧	tsʰu35	～麻
阻	tsu31	～止，～力
初	tsʰu35	当～，～中
楚	tsʰu31	清～
礎	tsʰu31	基～
鋤	tsʰɿ21	～草，～禾日当午
助	tsʰu51	帮～
梳	su33	梳子[名]；梳头[动]
疏	su33	～远；稀疏
疏	su33	生～
蔬	su33	～菜
所	so31	～以；派出～
疏	su33	注～
諸	tsu35	姓；～如此类
煮	tsu31	～饭
處	tsʰu51	～理
處	tsʰu51	～所
書	su35	读～
舒	su33	～服
暑	tsʰu31	～假
鼠	tsʰu31	老～
庶	su51	～民
恕	su51	宽～
署	su21	～名
薯	su21	番～
如	ji21	～果，假～
居	ki35	～民
車	ki33	象棋，～马炮
舉	ki31	～报，～重
據	ki31	收～
鋸	ki51	电～
墟	ʃi35	～日
去	kʰi51	来～，过～
渠	kʰi33	水～，～道
佢	ki21	他，第三人称
巨	kʰi33	～大
拒	kʰi33	～绝
距	kʰi33	～离
魚	n̩21	金～
漁	n̩21	～业，～夫
語	ȵi35	～文
御	ȵi51	～用文人
禦	ȵi51	防～
虛	ʃi35	～心
噓	ʃi33	吹～
許	ʃi31	允～；姓
於	ji35	在～
淤	ji35	～泥
余	ji21	姓
餘	ji21	多～
與	ji35	参～，给～，～众不同
予	ji35	给～
譽	ji51	荣～
預	ji51	～报，～备
豫	ji51	犹～
夫	fu35	～妻，车～
膚	fu35	皮～
跗	fu51	脚背，～骨
府	fu31	政～
腑	fu31	五脏六～
俯	fu31	～卧撑，～视
甫	pʰu31	杜～
脯	pʰu31	菜～（萝卜干）
斧	pu31	～头
付	fu51	应～
咐	fu51	吩～
賦	fu51	天～
傅	fu51	师～[文]
傅	fu51	姓[白]
敷	fu35	～衍，～药
俘	fu35	～虏
孵	pʰu51	孵小鸡
麩	fu35	麦～
撫	vu31	～养，安～
殕	pʰu31	食物长毛变质，臭～
赴	fu51	奔～，～汤蹈火
訃	fu35	～告
符	fu21	～合，鬼画～
扶	fu21	～贫，～手[文]
扶	pu21	搀扶，～起来[白]
芙	fu21	～蓉
父	fu51	～亲
釜	fu51	破～沉舟
腐	fu31	～败
腐	fu51	豆～
輔	pʰu31	～导，～助
附	fu51	～近，～带
無	vu21	没有，～中生有[文]
無	mɔ21	没有，～事[白]
巫	mu21	姓；～婆
誣	mu21	～陷，～告
武	vu35	～器，～术
舞	vu31	跳～
舞	vu31	拨弄，摆弄[白，动]
侮	vu35	～辱
鵡	vu35	鹦～
務	vu51	任～，～农
霧	vu51	大～
縷	leu31	千丝万～
屢	li31	～次，～教不改
趨	tsʰi35	～势
取	tsʰi31	～钱
娶	tsʰi31	嫁～
趣	tsʰi51	兴～
聚	tsʰi51	～会
聚	tsʰiu33	捡～（收拢）[白]
須	si33	必～
鬚	si33	胡～
